,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
Neg_446,0.0,0.032258064516129,0.064516129032258,0.064516129032258,0.064516129032258,0.0967741935483871,0.064516129032258,0.064516129032258,0.032258064516129,0.032258064516129,0.064516129032258,0.064516129032258,0.0,0.032258064516129,0.0,0.1290322580645161,0.1290322580645161,0.0,0.0,0.064516129032258,0
Neg_2228,0.0294117647058823,0.0735294117647058,0.0147058823529411,0.0147058823529411,0.0147058823529411,0.0735294117647058,0.0441176470588235,0.1617647058823529,0.0294117647058823,0.0441176470588235,0.088235294117647,0.0294117647058823,0.0147058823529411,0.0294117647058823,0.1029411764705882,0.1323529411764706,0.0441176470588235,0.0294117647058823,0.0147058823529411,0.0147058823529411,0
Neg_2386,0.0256410256410256,0.1538461538461538,0.0512820512820512,0.0512820512820512,0.0256410256410256,0.0512820512820512,0.0512820512820512,0.1025641025641025,0.0,0.0,0.0769230769230769,0.0512820512820512,0.0,0.0,0.0512820512820512,0.1538461538461538,0.1282051282051282,0.0,0.0,0.0256410256410256,0
Neg_2835,0.0192307692307692,0.1346153846153846,0.0,0.0192307692307692,0.0,0.0384615384615384,0.1923076923076923,0.0192307692307692,0.0384615384615384,0.0384615384615384,0.1538461538461538,0.1153846153846153,0.0,0.0192307692307692,0.0,0.0576923076923076,0.0961538461538461,0.0,0.0384615384615384,0.0192307692307692,0
Neg_2149,0.0454545454545454,0.0606060606060606,0.0303030303030303,0.0606060606060606,0.0606060606060606,0.0303030303030303,0.0454545454545454,0.1212121212121212,0.0,0.1212121212121212,0.0606060606060606,0.0303030303030303,0.0606060606060606,0.0303030303030303,0.0303030303030303,0.0454545454545454,0.0909090909090909,0.0,0.0151515151515151,0.0606060606060606,0
Neg_2248,0.0476190476190476,0.0952380952380952,0.0238095238095238,0.0714285714285714,0.0,0.0238095238095238,0.0952380952380952,0.0476190476190476,0.0714285714285714,0.0238095238095238,0.0476190476190476,0.0952380952380952,0.0238095238095238,0.0476190476190476,0.0476190476190476,0.0714285714285714,0.0476190476190476,0.0,0.0952380952380952,0.0238095238095238,0
Neg_2739,0.1022727272727272,0.0909090909090909,0.034090909090909,0.0909090909090909,0.0227272727272727,0.0227272727272727,0.0568181818181818,0.0454545454545454,0.0227272727272727,0.0568181818181818,0.0681818181818181,0.034090909090909,0.0113636363636363,0.034090909090909,0.0681818181818181,0.0568181818181818,0.0681818181818181,0.0227272727272727,0.034090909090909,0.0568181818181818,0
Neg_2580,0.0689655172413793,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0,0.0689655172413793,0.0,0.0689655172413793,0.0,0.0344827586206896,0.0344827586206896,0.0689655172413793,0.0,0.0689655172413793,0.1034482758620689,0.3103448275862069,0.0344827586206896,0.0,0.0,0.0344827586206896,0
Neg_2765,0.075,0.0,0.0625,0.075,0.0125,0.05,0.0625,0.075,0.0375,0.1125,0.0625,0.0375,0.0125,0.0,0.075,0.0625,0.075,0.025,0.025,0.0625,0
Neg_939,0.0,0.04,0.04,0.06,0.02,0.04,0.06,0.04,0.04,0.02,0.04,0.14,0.06,0.14,0.08,0.06,0.02,0.02,0.02,0.06,0
Neg_1859,0.0,0.0,0.0357142857142857,0.1428571428571428,0.0,0.0357142857142857,0.0,0.0357142857142857,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.1071428571428571,0.0,0.0714285714285714,0.0357142857142857,0.0714285714285714,0.0357142857142857,0.0,0.0,0.2142857142857142,0
Neg_1088,0.1428571428571428,0.0892857142857142,0.0714285714285714,0.0357142857142857,0.0,0.0714285714285714,0.0357142857142857,0.0892857142857142,0.0357142857142857,0.0178571428571428,0.1071428571428571,0.0357142857142857,0.0,0.0178571428571428,0.0,0.0714285714285714,0.0535714285714285,0.0535714285714285,0.0357142857142857,0.0357142857142857,0
Neg_448,0.0895522388059701,0.0298507462686567,0.0746268656716417,0.044776119402985,0.0149253731343283,0.0149253731343283,0.0746268656716417,0.0895522388059701,0.0298507462686567,0.044776119402985,0.0746268656716417,0.044776119402985,0.0895522388059701,0.0298507462686567,0.0298507462686567,0.044776119402985,0.0746268656716417,0.0,0.0149253731343283,0.0895522388059701,0
