,AASI,y
Neg_446,0.1115790391139591,0
Neg_2228,0.0997393465010756,0
Neg_2386,0.1089621186586093,0
Neg_2835,0.1664955286948881,0
Neg_2149,0.0668717253994757,0
Neg_2248,0.0862383194175645,0
Neg_2739,0.1371872461628402,0
Neg_2580,0.1440137027163383,0
Neg_2765,0.0798600905122011,0
Neg_939,0.0537425902801306,0
Neg_1859,0.1030650878122448,0
Neg_1088,0.0828629321713251,0
Neg_448,0.0922359633738577,0
Neg_2831,0.1417734123987127,0
Neg_358,0.0942429060215357,0
Neg_2287,0.0910221729893865,0
Neg_2597,0.1088439645284012,0
Neg_2648,0.0848853910855959,0
Neg_152,0.0193813421137913,0
Neg_2086,0.156359081777748,0
Neg_966,0.0893145383214166,0
Neg_2081,0.1201588508811909,0
Neg_2579,0.0540497990106794,0
Neg_542,0.1286884319340758,0
Neg_270,0.1146944856537713,0
Neg_447,0.2656850659563658,0
Neg_2242,0.0827316773151325,0
Neg_1615,0.1171494504351848,0
Neg_103,0.2258121886817949,0
Neg_1048,0.0417678986050595,0
Neg_628,0.0801986464363569,0
Neg_2169,0.1375972133288469,0
Neg_599,0.0981514290877455,0
Neg_2490,0.0728712096942005,0
Neg_62,0.0636589216669984,0
Neg_1129,0.158434921886348,0
Neg_190,0.4047672989660955,0
Neg_1522,0.0364115129222226,0
Neg_165,0.130321963656027,0
Neg_1152,0.1255700853425759,0
Neg_217,0.1342554166108203,0
Neg_1140,0.1998793446051132,0
Neg_2378,0.0746325249132358,0
Neg_1569,0.0789330222702604,0
Neg_662,0.1381686120624504,0
Neg_688,0.1598567759204239,0
Neg_541,0.1361901286877049,0
Neg_624,0.0984719564244148,0
Neg_2108,0.0327377452508788,0
Neg_2808,0.0844259991200753,0
Neg_2794,0.1057500866512686,0
Neg_2286,0.0189376369438836,0
Neg_373,0.0163254751096941,0
Neg_2612,0.0609046090914519,0
Neg_937,0.1409389634530327,0
Neg_1345,0.0541720904000094,0
Neg_2671,0.000828727942659,0
Neg_2855,0.2422403196228318,0
Neg_279,0.1518469471884408,0
Neg_706,0.0890918502570012,0
Neg_2921,0.1164994295760348,0
Neg_994,0.0860133012246655,0
Neg_2453,0.1382384106345482,0
Neg_2074,0.1583970154805248,0
Neg_1803,0.0527370834791494,0
Neg_653,0.2085216332203572,0
Neg_1943,0.0458615301994161,0
Neg_1283,0.0293264101502841,0
Neg_1383,0.2267527397277433,0
Neg_325,0.0898427431300153,0
Neg_2702,0.0266359788642236,0
Neg_2180,0.0925921354764716,0
Neg_585,0.0538287559304199,0
Neg_2047,0.0587371010645264,0
Neg_2392,0.1940563175986485,0
Neg_919,0.3074886664407513,0
Neg_2566,0.1140801927406815,0
Neg_404,0.1243687777964283,0
Neg_953,0.0352272422764705,0
Neg_1257,0.0499200563021085,0
Neg_1680,0.0591381928890395,0
Neg_1098,0.4601970486779098,0
Neg_1404,0.0509730448021635,0
Neg_79,0.0538152549391509,0
Neg_2483,0.2764978201991216,0
Neg_2866,0.4073368812849128,0
