,Charge_density,Charge_phys,Charge_acid,y
Neg_446,-1.0800617678567778e-05,0.0518950543000862,0.0469689075280939,0
Neg_2228,0.0005652942980438,0.0362102650005585,0.023140184472511,0
Neg_2386,0.001161396973115,0.0866131301755011,0.0866131301755011,0
Neg_2835,0.0004995908187521,0.0473424978205238,0.0641154028391937,0
Neg_2149,-3.78270138314687e-05,0.0191424908378611,0.0191424908378611,0
Neg_2248,0.0004499453007673,0.0942539119888041,0.0989661194292739,0
Neg_2739,-9.373632593746362e-05,0.0293491061727227,0.0162068995630621,0
Neg_2580,0.0010096959116751,8.56046259740439e-17,8.56046259740439e-17,0
Neg_2765,-0.0007833472438146,0.0506514799730866,0.0473742195833634,0
Neg_939,0.0006773216186822,0.1033374463417784,0.1138815299127887,0
Neg_1859,3.071380809628779e-05,0.0683691664005535,0.0988921513970124,0
Neg_1088,0.0006644018403693,0.0471308847932376,0.0782447356962475,0
Neg_448,-0.0002573277062136,0.0266034273855301,0.0261138326886362,0
Neg_2831,0.0004245084233572,0.0769980347841929,0.0884672266335643,0
Neg_358,-0.0001554785456882,0.0122202211611646,0.0063144791878883,0
Neg_2287,0.0008371600555537,0.0355333625016652,0.0355333625016652,0
Neg_2597,-0.0011715695301047,0.0810564029988378,0.0647050647725705,0
Neg_2648,-0.0004517156216105,0.0127606630426015,0.012121808426756,0
Neg_152,3.876641330515869e-05,0.0646623508851845,0.0768697024777208,0
Neg_2086,0.0015868153686545,0.0639220374175246,0.0808921715258641,0
Neg_966,-0.0004394760230992,0.0602405573499051,0.0801973885016455,0
Neg_2081,0.0003046357464433,0.0375215054728451,0.0375215054728451,0
Neg_2579,0.0003867972164802,0.0079151228400076,0.0143990741007636,0
Neg_542,0.0002014566868123,0.0556471526325113,0.0556471526325113,0
Neg_270,4.426164148746145e-05,0.0606167987203099,0.092615693945773,0
Neg_447,7.924526806693055e-07,0.1955269923084522,0.1955269923084522,0
Neg_2242,-0.0004114181015636,0.08565825850856,0.0992433804155751,0
Neg_1615,0.0012596824109575,0.0873878999629512,0.0845067618603496,0
Neg_103,0.0012572870534668,0.0789993669133873,0.1118949525536891,0
Neg_1048,0.0002259453306837,0.0752112107532771,0.0712874874113472,0
