,Cougar__1,Cougar__2,Cougar__3,Cougar__4,Cougar__5,Cougar__6,Cougar__7,Cougar__8,Cougar__9,Cougar__10,Cougar__11,Cougar__12,Cougar__13,Cougar__14,Cougar__15,Cougar__16,Cougar__17,Cougar__18,Cougar__19,Cougar__20,Cougar__21,Cougar__22,Cougar__23,Cougar__24,Cougar__25,Cougar__26,Cougar__27,Cougar__28,Cougar__29,Cougar__30,y
Neg_446,0.4846707741935483,0.4233944666666666,0.4020167586206897,0.4023005714285714,0.3944382592592592,-0.2462748387096774,-0.1399969999999999,-0.1446637931034483,-0.1077285714285714,-0.0954081481481481,1.5863345161290328,1.5971000000000002,1.5571086206896554,1.4980428571428572,1.4594896296296296,0.8392935483870967,0.0089466666666666,0.0904379310344827,-0.0943571428571429,-0.118637037037037,-0.6220225806451612,-0.5074766666666667,-0.4314448275862068,-0.2303357142857141,-0.2178111111111111,5.8776,5.566519999999999,5.492251724137931,5.510664285714285,5.309603703703703,0
Neg_2228,0.5693454411764705,0.4596732985074625,0.452831227272727,0.4741094153846152,0.4596449687499997,-0.1524722058823529,0.0010316417910447,-0.0050736363636363,0.0014238461538461,-0.0303912499999999,1.455315882352941,1.4057361194029852,1.38448696969697,1.4019587692307685,1.4330990624999995,0.9639750000000004,-0.094510447761194,0.2230212121212121,0.1779723076923079,0.14463125,-0.1904294117647059,0.0802567164179104,-0.0673969696969696,0.1485815384615385,0.0266390625,5.010572058823529,4.47069104477612,4.388354545454546,4.505439999999999,4.521614062499999,0
Neg_2386,0.6127967179487178,0.5730127894736841,0.5553934054054052,0.5513456944444443,0.5347706285714285,-0.4886689743589743,-0.4184771052631579,-0.3966824324324324,-0.3321136111111111,-0.2487142857142857,1.6603935897435902,1.6518015789473683,1.6415245945945942,1.587047222222222,1.599600857142857,1.3805846153846155,0.3734184210526316,0.1367135135135135,0.0521777777777777,-0.0809457142857143,-1.0832179487179492,-1.0864868421052636,-0.821702702702703,-0.564316666666667,-0.7893828571428573,5.184048717948717,4.734097368421054,4.820127027027027,4.68858888888889,4.768280000000001,0
Neg_2835,0.4938048461538459,0.3971048431372548,0.4137324999999998,0.4096156530612243,0.4198000833333331,-0.5062432692307692,-0.1856378431372548,-0.2671699999999999,-0.3107204081632653,-0.3472304166666667,1.5670842307692303,1.4680203921568626,1.5073011999999997,1.456926734693877,1.5096445833333336,1.5848211538461536,-0.169056862745098,0.1066719999999998,0.1484408163265306,0.2577208333333334,-1.163730769230769,-0.7509509803921567,-1.0779579999999995,-1.097644897959184,-1.120664583333333,5.729757692307692,5.390170588235296,5.429036,5.367871428571429,5.440633333333333,0
Neg_2149,0.4682767878787877,0.3601809846153846,0.360168828125,0.3785762698412699,0.3736621935483871,-0.0658378787878787,0.0623330769230769,0.1960346874999999,0.0571477777777777,-0.0065090322580645,1.399494545454546,1.351001384615385,1.3638164062499991,1.3833415873015866,1.404561612903225,1.0676424242424245,-0.1635923076923076,-0.2501,0.278888888888889,-0.0291338709677419,0.1782151515151515,0.3587953846153847,0.312428125,0.1868619047619047,0.1765419354838709,5.221736363636363,4.904859999999999,4.977728125000001,4.956600000000001,5.038703225806452,0
Neg_2248,0.481758,0.4060921463414635,0.3955211749999999,0.4085438205128205,0.393966,-0.3902509523809522,-0.2478678048780487,-0.1585202499999999,-0.228136923076923,-0.1526576315789473,1.4135314285714289,1.412599268292683,1.4075732499999998,1.390248717948718,1.4289631578947368,1.2129023809523811,0.0597463414634146,-0.05081,0.3757282051282051,-0.3806052631578948,-0.9141404761904764,-0.7209073170731708,-0.7607075000000001,-0.5082358974358974,-0.6685394736842105,5.555573809523807,5.056475609756099,5.210657500000002,4.941905128205129,5.092539473684211,0
Neg_2739,0.4585401477272727,0.3585215517241378,0.362750476744186,0.3519347999999998,0.3542308214285713,-0.2537556818181817,-0.0074927586206896,-0.0150531395348837,0.0236214117647059,-0.0047796428571428,1.314703068181818,1.2643762068965518,1.2858404651162796,1.332096235294118,1.3171926190476186,1.1786999999999994,-0.1535103448275861,-0.1356999999999999,0.1023588235294117,0.0505107142857142,-0.3542272727272726,-0.0821195402298849,-0.090520930232558,-0.3093964705882353,-0.2624142857142857,5.031199999999999,4.404513793103449,4.649209302325581,4.626874117647059,4.594069047619048,0
Neg_2580,0.5762768620689656,0.493612107142857,0.4988328148148148,0.5300801153846154,0.48691832,-0.1816037931034481,0.0607371428571428,-0.0650996296296296,-0.13165,0.0119992,1.4485379310344828,1.4645439285714286,1.5405900000000003,1.4398299999999995,1.4459539999999995,0.773803448275862,-0.27095,0.031237037037037,0.1629461538461538,-0.050404,-0.3128689655172413,0.0732714285714285,-0.3824074074074073,0.0016653846153846,-0.4481279999999998,4.572375862068966,4.059689285714286,4.288270370370371,4.080215384615385,4.205920000000001,0
Neg_2765,0.4604700249999999,0.3829792531645569,0.3939052692307691,0.3732808311688311,0.3803921710526314,-0.0056017499999999,0.0610746835443037,0.0642885897435897,0.128638961038961,0.0886388157894736,1.3859913749999997,1.3806892405063291,1.3957311538461536,1.3604810389610391,1.400481842105263,0.7049162500000004,-0.0198924050632911,0.0685974358974359,-0.1151597402597403,-0.046053947368421,0.05344625,0.2838278481012657,0.2267282051282052,0.3748428571428571,0.3925065789473685,5.430145,4.923591139240506,5.123446153846155,4.944736363636364,5.02053552631579,0
Neg_939,0.41849868,0.3392797551020408,0.3277262708333333,0.3034929148936169,0.2969326739130435,-0.2923978,-0.1425197959183673,-0.0734293749999999,-0.0858702127659574,-0.04191,1.1870654000000005,1.1899916326530613,1.1262235416666664,1.250182978723405,1.1722252173913044,1.1209859999999996,0.2094489795918367,0.1838749999999999,0.0534978723404254,-0.0985521739130434,-0.4804819999999999,-0.381134693877551,-0.3995708333333334,-0.4542787234042553,-0.2102869565217392,5.12032,4.461534693877551,4.65773125,4.596004255319149,4.512397826086956,0
