,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G2,CTDC_hydrophobicity_PRAM900101.G3,CTDC_hydrophobicity_ARGP820101.G1,CTDC_hydrophobicity_ARGP820101.G2,CTDC_hydrophobicity_ARGP820101.G3,CTDC_hydrophobicity_ZIMJ680101.G1,CTDC_hydrophobicity_ZIMJ680101.G2,CTDC_hydrophobicity_ZIMJ680101.G3,CTDC_hydrophobicity_PONP930101.G1,CTDC_hydrophobicity_PONP930101.G2,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_CASG920101.G1,CTDC_hydrophobicity_CASG920101.G2,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_ENGD860101.G2,CTDC_hydrophobicity_ENGD860101.G3,CTDC_hydrophobicity_FASG890101.G1,CTDC_hydrophobicity_FASG890101.G2,CTDC_hydrophobicity_FASG890101.G3,CTDC_normwaalsvolume.G1,CTDC_normwaalsvolume.G2,CTDC_normwaalsvolume.G3,CTDC_polarity.G1,CTDC_polarity.G2,CTDC_polarity.G3,CTDC_polarizability.G1,CTDC_polarizability.G2,CTDC_polarizability.G3,CTDC_charge.G1,CTDC_charge.G2,CTDC_charge.G3,CTDC_secondarystruct.G1,CTDC_secondarystruct.G2,CTDC_secondarystruct.G3,CTDC_solventaccess.G1,CTDC_solventaccess.G2,CTDC_solventaccess.G3,y
Neg_446,0.3870967741935484,0.3548387096774194,0.2580645161290322,0.6129032258064516,0.2580645161290322,0.1290322580645161,0.6451612903225806,0.2258064516129032,0.1290322580645161,0.6129032258064516,0.1290322580645161,0.2580645161290322,0.7096774193548387,0.1612903225806451,0.1290322580645161,0.4193548387096774,0.3225806451612903,0.2580645161290322,0.4516129032258064,0.2580645161290322,0.2903225806451612,0.4516129032258064,0.3870967741935484,0.1612903225806451,0.2580645161290322,0.3225806451612903,0.4193548387096774,0.3870967741935484,0.4516129032258064,0.1612903225806451,0.0967741935483871,0.7741935483870968,0.1290322580645161,0.3548387096774194,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3870967741935484,0.2903225806451613,0
Neg_2228,0.25,0.5147058823529411,0.2352941176470588,0.4852941176470588,0.2058823529411764,0.3088235294117646,0.6176470588235294,0.1029411764705882,0.2794117647058823,0.4558823529411764,0.2941176470588235,0.25,0.6911764705882353,0.1911764705882352,0.1176470588235294,0.3970588235294117,0.3970588235294117,0.2058823529411765,0.3676470588235294,0.3235294117647059,0.3088235294117646,0.5,0.2794117647058823,0.2205882352941176,0.25,0.4705882352941176,0.2794117647058823,0.3823529411764705,0.3970588235294117,0.2205882352941177,0.1029411764705882,0.8382352941176471,0.0588235294117647,0.3823529411764705,0.1911764705882352,0.4264705882352941,0.4117647058823529,0.25,0.3382352941176471,0
Neg_2386,0.4102564102564102,0.4615384615384615,0.1282051282051282,0.5897435897435898,0.282051282051282,0.1282051282051282,0.7692307692307693,0.1025641025641025,0.1282051282051281,0.5897435897435898,0.282051282051282,0.1282051282051282,0.8461538461538461,0.1282051282051282,0.0256410256410256,0.4615384615384615,0.4102564102564102,0.1282051282051282,0.5128205128205128,0.3333333333333333,0.1538461538461539,0.5384615384615384,0.2564102564102564,0.2051282051282051,0.1282051282051282,0.4615384615384615,0.4102564102564102,0.4615384615384615,0.3333333333333333,0.2051282051282051,0.2051282051282051,0.6923076923076923,0.1025641025641026,0.4102564102564102,0.1794871794871795,0.4102564102564102,0.2564102564102564,0.4102564102564102,0.3333333333333333,0
Neg_2835,0.5,0.2692307692307692,0.2307692307692307,0.4230769230769231,0.3269230769230769,0.2499999999999999,0.5769230769230769,0.173076923076923,0.25,0.5192307692307693,0.2115384615384615,0.2692307692307691,0.6730769230769231,0.2692307692307692,0.0576923076923076,0.5769230769230769,0.1923076923076923,0.2307692307692308,0.5576923076923077,0.1153846153846153,0.3269230769230768,0.2115384615384615,0.4423076923076923,0.3461538461538461,0.2692307692307692,0.1923076923076923,0.5384615384615385,0.2115384615384615,0.4423076923076923,0.3461538461538461,0.25,0.5384615384615384,0.2115384615384615,0.6923076923076923,0.2115384615384615,0.0961538461538461,0.2692307692307692,0.5,0.2307692307692308,0
Neg_2149,0.2575757575757575,0.3484848484848485,0.3939393939393939,0.4242424242424242,0.3181818181818182,0.2575757575757575,0.5303030303030303,0.2121212121212121,0.2575757575757575,0.3636363636363636,0.2272727272727272,0.409090909090909,0.5454545454545454,0.2424242424242424,0.2121212121212121,0.303030303030303,0.303030303030303,0.393939393939394,0.2727272727272727,0.2727272727272727,0.4545454545454546,0.4545454545454545,0.3484848484848485,0.1969696969696969,0.4090909090909091,0.3333333333333333,0.2575757575757575,0.3636363636363636,0.4393939393939394,0.1969696969696969,0.0909090909090909,0.803030303030303,0.106060606060606,0.3333333333333333,0.3787878787878788,0.2878787878787879,0.5,0.2575757575757575,0.2424242424242424,0
Neg_2248,0.4047619047619047,0.4285714285714285,0.1666666666666666,0.3809523809523809,0.3571428571428571,0.2619047619047619,0.5238095238095238,0.2142857142857142,0.2619047619047618,0.4761904761904761,0.2619047619047619,0.2619047619047619,0.6190476190476191,0.3095238095238095,0.0714285714285714,0.6190476190476191,0.2142857142857142,0.1666666666666666,0.4523809523809524,0.1666666666666666,0.380952380952381,0.3333333333333333,0.238095238095238,0.4285714285714286,0.2619047619047619,0.2619047619047619,0.4761904761904762,0.2857142857142857,0.2857142857142857,0.4285714285714286,0.1904761904761904,0.6428571428571429,0.1666666666666666,0.5,0.238095238095238,0.2619047619047619,0.238095238095238,0.4047619047619047,0.3571428571428571,0
Neg_2739,0.3295454545454545,0.3977272727272727,0.2727272727272727,0.375,0.3409090909090909,0.2840909090909091,0.5909090909090909,0.1477272727272727,0.2613636363636363,0.4318181818181818,0.2613636363636363,0.3068181818181817,0.5681818181818182,0.2954545454545454,0.1363636363636363,0.4545454545454545,0.2954545454545454,0.2499999999999999,0.3522727272727273,0.2159090909090909,0.4318181818181817,0.4545454545454545,0.2954545454545454,0.2499999999999999,0.3068181818181818,0.3409090909090909,0.3522727272727272,0.3636363636363636,0.3863636363636363,0.25,0.125,0.7272727272727273,0.1477272727272727,0.4090909090909091,0.2954545454545454,0.2954545454545453,0.4090909090909091,0.3295454545454545,0.2613636363636363,0
Neg_2580,0.2413793103448276,0.5862068965517241,0.1724137931034483,0.5517241379310345,0.2068965517241379,0.2413793103448276,0.6551724137931034,0.1034482758620689,0.2413793103448276,0.6551724137931034,0.1724137931034483,0.1724137931034483,0.7586206896551724,0.1379310344827586,0.103448275862069,0.3448275862068966,0.4827586206896552,0.1724137931034482,0.5172413793103449,0.2413793103448276,0.2413793103448275,0.6206896551724138,0.2068965517241379,0.1724137931034482,0.1724137931034483,0.5862068965517241,0.2413793103448276,0.5172413793103449,0.3103448275862069,0.1724137931034482,0.1034482758620689,0.8620689655172413,0.0344827586206897,0.2758620689655172,0.1724137931034483,0.5517241379310345,0.3103448275862069,0.2413793103448276,0.4482758620689655,0
Neg_2765,0.2875,0.425,0.2875,0.4625,0.2375,0.3,0.5625,0.1625,0.275,0.5,0.1875,0.3125,0.575,0.275,0.15,0.425,0.3125,0.2624999999999999,0.2875,0.2875,0.425,0.45,0.4125,0.1375,0.3125,0.3625,0.325,0.3625,0.5,0.1374999999999999,0.0375,0.825,0.1375,0.3375,0.3125,0.35,0.425,0.2875,0.2875,0
Neg_939,0.38,0.26,0.36,0.32,0.36,0.3199999999999999,0.38,0.32,0.3,0.5,0.12,0.38,0.58,0.22,0.2,0.52,0.14,0.3399999999999999,0.4,0.18,0.42,0.28,0.26,0.4599999999999999,0.38,0.2,0.42,0.18,0.36,0.4600000000000001,0.18,0.7,0.1200000000000001,0.42,0.3,0.2800000000000001,0.34,0.38,0.2799999999999999,0
