,Ez__1,Ez__2,Ez__3,Ez__4,Ez__5,Ez__6,Ez__7,Ez__8,Ez__9,Ez__10,Ez__11,Ez__12,Ez__13,Ez__14,Ez__15,Ez__16,Ez__17,Ez__18,Ez__19,Ez__20,Ez__21,Ez__22,Ez__23,Ez__24,Ez__25,Ez__26,Ez__27,Ez__28,Ez__29,Ez__30,y
Neg_446,0.7975838709677419,0.2335333333333333,0.1617862068965517,0.1872142857142857,0.1856259259259259,5.43574193548387,6.51868,5.559189655172414,6.120485714285714,6.286896296296297,1.7789290322580644,2.589413333333333,2.6784896551724136,2.893057142857142,2.4805518518518515,184.6007774193548,179.64950666666667,182.47411724137933,183.30820714285716,184.32362222222216,78.64983225806449,75.65360000000001,76.81687241379308,77.58691071428572,79.8323925925926,36.20731935483872,32.02817,33.69601379310345,33.30333571428571,34.33715185185185,0
Neg_2228,0.6739838235294122,0.0862447761194029,0.2150227272727272,0.1066276923076922,0.1808,3.56145,4.390107462686568,3.438809090909091,3.684133846153846,3.4954046875000007,0.6197794117647057,1.7295462686567158,1.4527696969696968,1.4868399999999995,1.2099624999999996,202.0253294117646,193.96189999999996,196.57883787878785,198.00571692307685,199.0834484374999,80.3396338235294,78.8243537313433,78.67224848484847,80.39270615384615,78.8119109375,35.8519794117647,31.23845074626865,31.781831818181814,32.876415384615385,31.531021875000004,0
Neg_2386,0.8852769230769232,0.3968842105263158,0.2567243243243243,0.2281416666666666,0.2093657142857143,6.506107692307692,7.480110526315791,7.514435135135134,6.979216666666664,7.149428571428572,2.432751282051282,3.3020921052631578,3.2922783783783798,2.898486111111112,3.003291428571429,179.75430769230758,173.8756131578947,173.66900810810807,175.73930833333327,177.2856885714285,74.5498358974359,71.67315263157894,71.47573513513512,73.17943611111112,74.07286285714287,33.21683076923076,30.12180526315789,29.562908108108097,29.978588888888883,31.22835428571429,0
Neg_2835,1.172169230769231,0.0520490196078431,0.29685,0.3971612244897959,0.4383812500000001,6.309965384615385,8.351517647058822,8.020518000000003,8.403965306122451,7.504674999999999,1.503330769230769,3.7067254901960784,3.440418,3.150193877551019,3.0884125,187.09104038461533,181.06230196078428,180.844908,179.96388571428577,179.66627291666666,76.16372500000001,72.83532156862744,73.28782199999998,73.8935775510204,72.74060208333334,34.263019230769224,28.071735294117648,29.213007999999995,29.538808163265315,28.30721458333333,0
Neg_2149,0.6430348484848485,-0.0234861538461538,-0.066290625,0.127115873015873,-0.0204758064516129,2.3905212121212127,3.902383076923079,3.3789390625,3.6173253968253967,3.668048387096773,0.5532530303030299,1.9622661538461528,1.859296875,1.3642952380952376,1.4614322580645156,199.85129393939388,192.45847538461527,192.53041718749992,192.06196825396813,193.172379032258,91.75784545454545,88.78696615384612,88.83326249999999,88.42758253968253,91.36492741935484,46.23264393939393,41.2263676923077,40.854982812500005,40.88164761904763,41.76030645161293,0
Neg_2248,0.9661547619047622,0.1657414634146341,0.1161974999999999,0.4447153846153847,-0.0359263157894736,5.8254285714285725,6.5645,6.688942499999999,5.688256410256411,7.260426315789474,1.7462738095238093,3.0043219512195125,2.8765325000000006,2.140233333333333,3.1359263157894737,189.48830476190477,184.0611975609756,182.146945,182.5114871794872,179.7566447368421,75.0118880952381,73.71011219512194,71.21138999999998,73.16483076923073,73.01947368421054,33.31326904761905,28.72657560975609,28.094779999999997,30.004323076923075,28.68297368421053,0
Neg_2739,0.790273863636364,0.0742471264367816,0.0785627906976744,0.1603729411764705,0.117372619047619,4.030080681818181,5.017332183908048,4.938182558139533,4.859056470588234,5.08680119047619,1.2934500000000009,1.9227494252873556,2.423466279069768,2.5692423529411768,2.4086595238095234,189.5524465909091,181.4490574712643,180.57765930232557,182.47786588235283,180.4861226190475,82.1856409090909,79.38652873563215,78.9578988372093,79.50039999999998,81.44299523809525,39.844101136363626,35.39618045977012,34.20284186046512,34.70095294117648,35.210313095238114,0
Neg_2580,0.6068758620689655,0.0054392857142857,0.1278,0.2503230769230769,0.0159119999999999,3.466362068965517,5.023853571428572,4.632062962962963,5.648873076923076,4.859235999999999,0.7907724137931034,1.7943999999999998,2.212674074074074,1.5723076923076922,2.144476,200.83109310344824,186.26548928571427,191.291474074074,189.13206538461532,186.259364,78.50370344827587,75.8271392857143,77.52787037037037,75.85418076923077,73.67406,34.19420689655172,31.127553571428567,30.478266666666663,30.0211423076923,29.696235999999995,0
Neg_2765,0.6270075000000003,0.0689822784810127,0.1221115384615385,-0.0129155844155844,0.0500592105263157,3.6180275,3.652978481012657,3.553160256410256,3.3910896103896118,3.784111842105264,0.6707637499999995,1.4502506329113924,1.5440833333333333,1.4157259740259742,1.818434210526317,191.83661875,185.25843670886067,185.24585384615372,185.21634415584407,186.86910921052623,84.78006124999997,82.6845481012658,81.73011153846154,82.99340909090911,84.1621197368421,42.94345375,36.32873291139241,36.61105641025641,37.54842207792206,35.99387105263158,0
Neg_939,1.0029580000000002,0.2378367346938775,0.3389958333333333,0.1535,0.123695652173913,4.4544000000000015,6.314406122448978,7.480970833333333,7.076295744680852,8.138797826086956,0.9803719999999996,2.6386693877551024,2.951470833333333,2.6062765957446805,2.636082608695652,219.4287400000001,211.38276734693883,210.05286249999995,209.7905659574468,208.7027217391304,81.69779800000002,78.40308775510205,76.02857083333332,77.09405957446808,77.27726739130436,34.185786,28.28240204081632,28.171824999999988,29.156776595744667,28.18276086956521,0
Neg_1859,0.7828714285714288,0.1902814814814814,-0.0432,-0.067312,-0.200175,2.1906321428571425,2.8103333333333325,3.8029000000000006,4.760603999999999,4.216749999999999,0.5061464285714289,1.4049222222222224,2.263169230769231,2.0126919999999995,2.241916666666666,198.6175428571429,190.96577777777784,188.01205,180.88376,183.91504166666667,89.01309285714287,82.72135925925924,83.38936153846154,82.64897200000001,87.8037125,44.517460714285725,36.69947037037037,37.51048461538461,35.676931999999994,37.14747083333332,0
Neg_1088,0.7316535714285717,0.0679763636363636,0.0257148148148148,0.0214584905660377,-0.0470249999999999,2.4230125,3.3202272727272724,3.616168518518519,3.3709094339622645,3.0439461538461527,0.5876,1.5051527272727276,1.6652703703703695,1.4681754716981137,1.403,168.80088928571425,163.81592909090912,161.86905370370368,164.42790188679243,166.59418076923072,75.62928928571432,73.23576727272726,72.12553148148147,73.33818867924528,75.63881923076923,35.93050178571428,32.711918181818184,31.985148148148145,33.79617924528302,34.078588461538466,0
