,Instability_index,y
Neg_446,55.067741935483866,0
Neg_2228,49.188235294117625,0
Neg_2386,82.14871794871794,0
Neg_2835,97.10961538461538,0
Neg_2149,36.136363636363626,0
Neg_2248,51.12380952380953,0
Neg_2739,48.35113636363636,0
Neg_2580,57.806896551724144,0
Neg_2765,34.19374999999998,0
Neg_939,67.934,0
Neg_1859,30.028571428571432,0
Neg_1088,37.19285714285714,0
Neg_448,19.67761194029851,0
Neg_2831,60.086516853932565,0
Neg_358,9.239999999999998,0
Neg_2287,61.26851851851851,0
Neg_2597,78.17222222222223,0
Neg_2648,49.58888888888887,0
Neg_152,33.45223880597014,0
Neg_2086,59.4027027027027,0
Neg_966,45.70666666666666,0
Neg_2081,60.57926829268291,0
Neg_2579,11.231914893617018,0
Neg_542,89.16046511627906,0
Neg_270,72.33783783783784,0
Neg_447,73.42857142857142,0
Neg_2242,45.53230769230768,0
Neg_1615,35.54333333333333,0
Neg_103,80.7951219512195,0
Neg_1048,68.16244444444443,0
Neg_628,1.112000000000002,0
Neg_2169,23.36046511627907,0
Neg_599,47.60760869565216,0
Neg_2490,50.56551724137931,0
Neg_62,73.8641975308642,0
Neg_1129,43.469736842105256,0
Neg_190,115.47692307692309,0
Neg_1522,25.654794520547945,0
Neg_165,74.34938461538461,0
Neg_1152,21.35,0
Neg_217,33.12916666666666,0
Neg_1140,46.623913043478254,0
Neg_2378,40.13333333333333,0
Neg_1569,50.98048780487804,0
Neg_662,32.85,0
Neg_688,47.80545454545454,0
Neg_541,35.120000000000005,0
Neg_624,22.9,0
Neg_2108,58.606779661016944,0
Neg_2808,32.51081081081081,0
Neg_2794,28.253191489361694,0
Neg_2286,45.66626506024096,0
Neg_373,34.50752688172042,0
Neg_2612,24.737307692307688,0
Neg_937,36.99135802469135,0
Neg_1345,60.62967213114753,0
Neg_2671,13.225274725274726,0
Neg_2855,51.69545454545455,0
Neg_279,58.65974025974024,0
Neg_706,26.527586206896547,0
Neg_2921,46.7369387755102,0
Neg_994,45.6025641025641,0
Neg_2453,0.7434782608695648,0
Neg_2074,54.52857142857143,0
Neg_1803,55.29583333333334,0
Neg_653,74.77428571428571,0
Neg_1943,68.66206896551724,0
Neg_1283,25.346938775510218,0
Neg_1383,22.561538461538458,0
Neg_325,112.61159420289852,0
Neg_2702,71.85999999999997,0
Neg_2180,30.879629629629637,0
Neg_585,40.92765957446808,0
Neg_2047,45.4,0
Neg_2392,41.70952380952381,0
Neg_919,57.86666666666667,0
Neg_2566,34.137078651685385,0
Neg_404,3.853333333333334,0
Neg_953,89.25983870967742,0
Neg_1257,32.28064516129033,0
Neg_1680,19.434146341463418,0
Neg_1098,92.41538461538462,0
Neg_1404,23.823809523809523,0
Neg_79,30.05625,0
Neg_2483,9.700000000000005,0
Neg_2866,5.915384615384618,0
Neg_133,28.22840909090909,0
Neg_1514,78.85,0
Neg_1790,31.09705882352941,0
Neg_2219,21.538235294117648,0
Neg_2758,68.93658536585365,0
Neg_621,9.09142857142857,0
Neg_904,23.65,0
Neg_736,65.06129032258063,0
Neg_431,35.7820895522388,0
Neg_2469,41.39032258064516,0
Neg_2895,67.44337349397588,0
Neg_202,60.82539682539682,0
Neg_478,52.25323529411766,0
Neg_1929,40.23209876543209,0
Neg_1179,55.6888888888889,0
Neg_116,62.44606741573032,0
Neg_2854,42.74,0
Neg_2229,34.654054054054065,0
Neg_301,53.49285714285715,0
Neg_2264,87.13793103448275,0
Neg_58,23.27647058823529,0
Neg_37,115.59999999999998,0
Neg_1299,38.18181818181818,0
Neg_2238,47.25652173913043,0
Neg_1065,36.54938271604936,0
Neg_2393,29.02470588235294,0
Neg_1063,35.47857142857142,0
Neg_2681,57.1189189189189,0
Neg_1206,58.32647058823528,0
Neg_926,64.93157894736842,0
Neg_1834,21.35,0
Neg_219,73.6816326530612,0
Neg_1051,81.666,0
Neg_2732,162.70000000000002,0
Neg_22,31.74,0
Neg_2672,48.10363636363636,0
Neg_1925,45.69158536585364,0
Neg_1046,15.723529411764709,0
Neg_2602,69.41960784313724,0
Neg_2626,44.20327868852458,0
Neg_664,35.230864197530856,0
Neg_1033,56.147674418604645,0
Neg_1541,34.56190476190475,0
Neg_352,72.14999999999998,0
Neg_2763,68.3301587301587,0
Neg_2198,43.327058823529406,0
Neg_260,31.00833333333333,0
Neg_743,75.77021276595744,0
Neg_1798,69.79687499999999,0
Neg_805,76.97692307692304,0
Neg_2446,10.343010752688176,0
Neg_1456,70.51578947368421,0
Neg_853,52.86428571428573,0
Neg_1866,70.23499999999999,0
Neg_1972,69.0579545454545,0
Neg_1250,51.326,0
Neg_2893,55.56419753086417,0
Neg_415,48.477777777777774,0
Neg_2440,45.756521739130434,0
Neg_1947,43.13939393939396,0
Neg_2296,12.877631578947367,0
Neg_1491,48.738,0
Neg_1592,69.7796875,0
Neg_833,41.74999999999999,0
Neg_2254,163.9125,0
Neg_2786,34.51518987341772,0
Neg_1307,5.753333333333334,0
Neg_1022,97.17272727272729,0
Neg_2289,73.19999999999999,0
Neg_2564,65.15675675675675,0
Neg_1131,63.903134328358185,0
Neg_2814,44.642857142857146,0
Neg_2346,68.56451612903226,0
Neg_2538,11.510937500000002,0
Neg_503,74.64444444444445,0
Neg_614,41.23076923076922,0
Neg_2227,58.92,0
Neg_1977,66.04782608695652,0
Neg_1151,39.74929577464787,0
Neg_2315,9.449999999999998,0
Neg_1180,93.69705882352942,0
Neg_308,50.436585365853645,0
Neg_1426,58.61964285714286,0
Neg_12,37.88699999999999,0
Neg_506,70.17428571428569,0
Neg_136,34.33589743589743,0
Neg_378,82.06896551724138,0
Neg_2058,33.10305555555556,0
Neg_2336,18.19615384615385,0
Neg_2220,61.78372093023255,0
Neg_262,105.1391304347826,0
Neg_1888,7.676785714285716,0
Neg_2552,33.20196078431372,0
Neg_1340,37.3375,0
Neg_1753,49.88292682926828,0
Neg_941,75.55624999999999,0
Neg_689,18.3,0
Neg_403,20.261,0
Neg_2524,71.86714285714287,0
Neg_1006,38.391551724137926,0
Neg_89,38.73928571428572,0
Neg_1956,29.46031746031745,0
Neg_2723,58.863793103448266,0
Neg_34,37.604838709677416,0
Neg_757,53.37241379310346,0
Neg_1170,37.74705882352941,0
Neg_1405,18.43170731707317,0
Neg_1634,84.56206896551723,0
Neg_835,41.91752577319586,0
Neg_1809,75.24634146341462,0
Neg_296,49.46352112676056,0
Neg_1989,33.01511627906976,0
Neg_636,94.94725274725276,0
Neg_1350,26.53023255813953,0
Neg_160,32.62500000000001,0
Neg_1524,40.53658536585366,0
Neg_836,79.54285714285717,0
Neg_1885,60.39999999999999,0
Neg_1723,62.165051546391744,0
Neg_1139,81.74507042253524,0
Neg_531,56.26521739130435,0
Neg_131,23.87444444444443,0
Neg_226,17.903896103896095,0
Neg_2031,-5.274999999999998,0
Neg_1050,61.84035087719297,0
Neg_2215,39.95384615384616,0
Neg_1008,38.84444444444444,0
Neg_755,40.694736842105264,0
Neg_1309,-1.5999999999999996,0
Neg_1348,49.629629629629626,0
Neg_2829,11.977777777777776,0
Neg_1281,22.022580645161288,0
Neg_2879,17.22,0
Neg_2182,56.63690476190475,0
Neg_513,42.1032258064516,0
Neg_2222,40.89545454545454,0
Neg_2348,71.79767441860464,0
Neg_549,34.74285714285715,0
Neg_2669,53.91758620689656,0
Neg_1248,80.57833333333332,0
Neg_19,82.59841269841267,0
Neg_1763,44.22972972972973,0
Neg_2832,47.7,0
Neg_1992,42.62727272727271,0
Neg_2675,63.41044776119402,0
Neg_203,46.52551020408162,0
Neg_2314,41.08375,0
Neg_460,50.23521126760564,0
Neg_248,61.41521739130433,0
Neg_418,76.86842105263156,0
Neg_1007,9.28367346938776,0
Neg_2178,23.31875,0
Neg_537,28.41093749999999,0
Neg_97,53.663414634146335,0
Neg_1719,14.925,0
Neg_1777,49.22419354838709,0
Neg_771,68.81931818181816,0
Neg_2070,34.89999999999999,0
Neg_1418,84.93521126760562,0
Neg_1167,51.29846153846153,0
Neg_2477,38.80344827586207,0
Neg_715,34.117241379310336,0
Neg_616,23.9390243902439,0
Neg_558,26.44687500000001,0
Neg_64,85.91086956521738,0
Neg_1316,52.56046511627907,0
Neg_1507,36.91428571428572,0
Neg_1101,56.846376811594205,0
Neg_1796,40.86216216216215,0
Neg_1223,26.628,0
Neg_538,45.56195652173912,0
Neg_302,73.32134831460674,0
Neg_200,69.87671232876711,0
Neg_1730,58.74558823529411,0
Neg_876,30.35374999999999,0
Neg_326,54.841509433962266,0
Neg_1436,47.1186440677966,0
Neg_727,41.34857142857142,0
Neg_1831,58.96727272727272,0
Neg_900,21.23846153846154,0
Neg_1637,64.95,0
Neg_2635,78.46129032258065,0
Neg_2454,50.84423076923077,0
Neg_1216,30.92166666666666,0
Neg_2191,28.933783783783785,0
Neg_1275,50.93225806451613,0
Neg_2151,30.62337662337661,0
Neg_1402,128.9272727272727,0
Neg_717,23.244444444444447,0
Neg_1862,100.44444444444446,0
Neg_158,50.005833333333335,0
Neg_1740,53.38024691358024,0
Neg_1424,57.06666666666667,0
Neg_943,48.13333333333335,0
Neg_1688,-7.644444444444445,0
Neg_148,50.39420289855072,0
Neg_2796,41.46914893617021,0
Neg_1887,17.3734375,0
Neg_2811,72.88888888888889,0
Neg_859,54.43750000000001,0
Neg_2155,67.20794871794871,0
Neg_2045,86.40212765957443,0
Neg_1104,15.647058823529411,0
Neg_2638,48.650000000000006,0
Neg_962,47.03571428571427,0
Neg_2828,78.43483146067415,0
Neg_1944,27.9264705882353,0
Neg_523,52.67500000000001,0
Neg_1319,40.29999999999998,0
Neg_562,60.74727272727273,0
Neg_2456,18.04042553191489,0
Neg_1500,50.815,0
Neg_1913,19.52727272727273,0
Neg_286,54.72941176470588,0
Neg_2871,103.34594594594596,0
Neg_456,35.519696969696966,0
Neg_984,60.56091954022987,0
Neg_1837,39.38214285714286,0
Neg_2617,20.79154929577465,0
Neg_139,95.10625,0
Neg_1815,74.07142857142856,0
Neg_1157,13.30975609756098,0
Neg_1317,87.52833333333332,0
Neg_2405,61.74069767441859,0
Neg_45,42.571929824561394,0
Neg_1797,49.586666666666666,0
Neg_2769,24.858333333333334,0
Neg_1390,44.13021505376342,0
Neg_1018,46.40886075949367,0
Neg_602,1.7533333333333332,0
Neg_182,39.12812499999999,0
Neg_1056,32.431250000000006,0
Neg_2567,100.0507462686567,0
Neg_849,89.3560975609756,0
Neg_2338,42.900000000000006,0
Neg_422,86.88670731707316,0
Neg_1421,63.79156626506023,0
Neg_2439,30.6,0
Neg_563,60.922857142857126,0
Neg_1622,43.694,0
Neg_1578,36.88571428571429,0
Neg_1939,71.96984126984124,0
Neg_163,83.14324324324325,0
Neg_287,34.443243243243245,0
Neg_787,41.79565217391305,0
Neg_1846,43.57432432432433,0
Neg_1280,31.060526315789467,0
Neg_1918,71.76428571428572,0
Neg_999,20.745,0
Neg_314,28.906538461538457,0
Neg_2192,49.23333333333332,0
Neg_605,47.20434782608695,0
Neg_413,3.507142857142857,0
Neg_1861,20.65365853658536,0
Neg_342,38.525,0
Neg_398,41.65338709677419,0
Neg_96,47.96,0
Neg_1924,58.01499999999999,0
Neg_592,50.39892473118279,0
Neg_1985,12.733928571428574,0
Neg_1045,65.28454545454542,0
Neg_2542,-3.877777777777777,0
Neg_2165,83.62068965517241,0
Neg_1526,107.119298245614,0
Neg_2709,40.95913978494623,0
Neg_2230,49.35119047619047,0
Neg_2137,53.69354838709677,0
Neg_2068,13.88688524590164,0
Neg_2163,59.71290322580644,0
Neg_2247,35.184536082474224,0
Neg_529,79.53770491803276,0
Neg_936,36.32602739726026,0
Neg_2418,44.37179487179487,0
Neg_2487,40.05714285714285,0
Neg_703,39.89811320754717,0
Neg_1742,60.82714285714284,0
Neg_305,25.47692307692308,0
Neg_1078,13.279775280898878,0
Neg_1672,63.56169230769231,0
Neg_2568,52.672,0
Neg_1911,52.24353535353534,0
Neg_2397,76.50588235294119,0
Neg_992,31.164367816091957,0
Neg_1161,-8.907142857142858,0
Neg_2581,50.654545454545456,0
Neg_701,36.788,0
Neg_464,13.421052631578949,0
Neg_1692,-6.340000000000001,0
Neg_774,33.973684210526315,0
Neg_2620,35.76049382716048,0
Neg_979,61.30759493670885,0
Neg_2827,63.71724137931035,0
Neg_2729,80.0439393939394,0
Neg_2277,75.31666666666666,0
Neg_1632,71.51764705882353,0
Neg_2756,20.91538461538461,0
Neg_1898,51.03472222222221,0
Neg_1391,48.19999999999999,0
Neg_1059,62.693589743589726,0
Neg_1746,77.38846153846153,0
Neg_1847,63.82105263157894,0
Neg_1490,38.27241379310345,0
Neg_450,31.591666666666672,0
Neg_1448,17.306250000000002,0
Neg_2410,46.193617021276594,0
Neg_1301,72.06185567010309,0
Neg_696,72.95,0
Neg_2757,79.92142857142858,0
Neg_815,19.888000000000005,0
Neg_890,1.9428571428571435,0
Neg_2049,41.94736842105261,0
Neg_634,72.08163265306122,0
Neg_1241,84.60727272727273,0
Neg_1265,97.57017543859646,0
Neg_1145,52.82577319587627,0
