,Isoelectric_point,y
Neg_446,6.927734375,0
Neg_2228,10.71142578125,0
Neg_2386,11.52197265625,0
Neg_2835,10.052978515625,0
Neg_2149,6.1640625,0
Neg_2248,9.630126953125,0
Neg_2739,6.10009765625,0
Neg_2580,11.572265625,0
Neg_2765,4.16064453125,0
Neg_939,10.144775390625,0
Neg_1859,7.6796875,0
Neg_1088,10.79248046875,0
Neg_448,5.3662109375,0
Neg_2831,9.879150390625,0
Neg_358,5.4404296875,0
Neg_2287,10.965576171875,0
Neg_2597,3.92822265625,0
Neg_2648,4.5390625,0
Neg_152,7.890625,0
Neg_2086,11.034423828125,0
Neg_966,4.52099609375,0
Neg_2081,8.2822265625,0
Neg_2579,8.8984375,0
Neg_542,10.181884765625,0
Neg_270,7.24951171875,0
Neg_447,7.09375,0
Neg_2242,4.5654296875,0
Neg_1615,11.392578125,0
Neg_103,9.471435546875,0
Neg_1048,9.3310546875,0
Neg_628,11.84130859375,0
Neg_2169,9.4638671875,0
Neg_599,10.88427734375,0
Neg_2490,10.3955078125,0
Neg_62,6.11572265625,0
Neg_1129,10.655029296875,0
Neg_190,11.220703125,0
Neg_1522,9.8232421875,0
Neg_165,10.5440673828125,0
Neg_1152,9.833984375,0
Neg_217,4.0712890625,0
Neg_1140,8.369140625,0
Neg_2378,9.72265625,0
Neg_1569,5.81982421875,0
Neg_662,9.7265625,0
Neg_688,9.615966796875,0
Neg_541,8.693359375,0
Neg_624,6.923828125,0
Neg_2108,8.119140625,0
Neg_2808,8.11865234375,0
Neg_2794,4.48046875,0
Neg_2286,9.345458984375,0
Neg_373,4.3193359375,0
Neg_2612,9.1591796875,0
Neg_937,4.0699462890625,0
Neg_1345,9.66650390625,0
Neg_2671,8.5654296875,0
Neg_2855,7.71875,0
Neg_279,3.862060546875,0
Neg_706,8.568359375,0
Neg_2921,8.0849609375,0
Neg_994,10.0625,0
Neg_2453,10.458984375,0
Neg_2074,9.626953125,0
Neg_1803,7.8203125,0
Neg_653,8.0966796875,0
Neg_1943,10.013671875,0
Neg_1283,9.25146484375,0
Neg_1383,12.41162109375,0
Neg_325,8.662109375,0
Neg_2702,6.6953125,0
Neg_2180,9.66796875,0
Neg_585,10.195068359375,0
Neg_2047,9.57177734375,0
Neg_2392,10.681640625,0
Neg_919,10.025390625,0
Neg_2566,3.8797607421875,0
Neg_404,10.216064453125,0
Neg_953,9.44873046875,0
Neg_1257,7.828125,0
Neg_1680,10.396484375,0
Neg_1098,10.41064453125,0
Neg_1404,11.427734375,0
Neg_79,10.21728515625,0
Neg_2483,4.244384765625,0
Neg_2866,5.03515625,0
Neg_133,8.595703125,0
Neg_1514,4.0531005859375,0
Neg_1790,5.400390625,0
Neg_2219,11.964111328125,0
Neg_2758,11.926513671875,0
Neg_621,10.6611328125,0
Neg_904,6.9375,0
Neg_736,10.02099609375,0
Neg_431,10.298583984375,0
Neg_2469,6.8359375,0
Neg_2895,11.204345703125,0
Neg_202,7.404296875,0
Neg_478,10.280517578125,0
Neg_1929,4.589111328125,0
Neg_1179,4.31005859375,0
Neg_116,4.3380126953125,0
Neg_2854,11.15478515625,0
Neg_2229,10.56005859375,0
Neg_301,7.236328125,0
Neg_2264,4.92138671875,0
Neg_58,9.8349609375,0
Neg_37,3.5445556640625,0
Neg_1299,13.56640625,0
Neg_2238,4.93359375,0
Neg_1065,4.6279296875,0
Neg_2393,9.5458984375,0
Neg_1063,10.1751708984375,0
Neg_2681,4.88232421875,0
Neg_1206,4.9013671875,0
Neg_926,5.232421875,0
Neg_1834,3.7099609375,0
Neg_219,4.2706298828125,0
Neg_1051,10.8746337890625,0
Neg_2732,13.796875,0
Neg_22,9.4736328125,0
Neg_2672,7.849609375,0
Neg_1925,11.5029296875,0
Neg_1046,10.6796875,0
Neg_2602,9.39501953125,0
Neg_2626,6.50439453125,0
Neg_664,6.0859375,0
Neg_1033,4.58837890625,0
Neg_1541,9.634765625,0
Neg_352,4.427978515625,0
Neg_2763,5.25390625,0
Neg_2198,9.08154296875,0
Neg_260,4.66552734375,0
Neg_743,11.84130859375,0
Neg_1798,7.6875,0
Neg_805,3.89599609375,0
Neg_2446,9.9735107421875,0
Neg_1456,10.94677734375,0
Neg_853,10.7421875,0
Neg_1866,7.68603515625,0
Neg_1972,10.60205078125,0
Neg_1250,6.44970703125,0
Neg_2893,10.5406494140625,0
Neg_415,5.3388671875,0
Neg_2440,11.80078125,0
Neg_1947,4.248046875,0
Neg_2296,12.1171875,0
Neg_1491,7.091796875,0
Neg_1592,3.92578125,0
Neg_833,10.5020751953125,0
Neg_2254,11.67578125,0
Neg_2786,10.10009765625,0
Neg_1307,8.80859375,0
Neg_1022,8.7578125,0
Neg_2289,7.125,0
Neg_2564,4.3193359375,0
Neg_1131,11.046630859375,0
Neg_2814,4.4208984375,0
Neg_2346,10.10205078125,0
Neg_2538,7.09375,0
Neg_503,10.80419921875,0
Neg_614,8.080078125,0
Neg_2227,12.10009765625,0
Neg_1977,7.8173828125,0
Neg_1151,9.566162109375,0
Neg_2315,9.169921875,0
Neg_1180,11.9561767578125,0
Neg_308,10.1953125,0
Neg_1426,10.3876953125,0
Neg_12,10.8369140625,0
Neg_506,8.38427734375,0
Neg_136,4.093994140625,0
Neg_378,3.852294921875,0
Neg_2058,6.8125,0
Neg_2336,3.751708984375,0
Neg_2220,5.006591796875,0
Neg_262,12.25,0
Neg_1888,4.31640625,0
Neg_2552,7.0859375,0
Neg_1340,10.4326171875,0
Neg_1753,9.47119140625,0
Neg_941,9.70556640625,0
Neg_689,7.85595703125,0
Neg_403,6.70654296875,0
