,Levitt_alpha,y
Neg_446,0.0612887145908891,0
Neg_2228,0.0245747511791592,0
Neg_2386,0.0660355789914348,0
Neg_2835,0.0448709549075604,0
Neg_2149,0.0106186721154822,0
Neg_2248,0.0637567310949196,0
Neg_2739,0.0189278012797904,0
Neg_2580,0.0650468364761442,0
Neg_2765,0.0121542908463318,0
Neg_939,0.0515976955062754,0
Neg_1859,0.0151803810041017,0
Neg_1088,0.0793341961155425,0
Neg_448,0.0390301725301031,0
Neg_2831,0.0141073192590982,0
Neg_358,0.0345158659231651,0
Neg_2287,0.0586326950332759,0
Neg_2597,0.010398306094022,0
Neg_2648,0.0334743791952886,0
Neg_152,0.0113110190357548,0
Neg_2086,0.0723542175590128,0
Neg_966,0.0565958869528307,0
Neg_2081,0.0498032230235107,0
Neg_2579,0.0243172403300616,0
Neg_542,0.0457060127254449,0
Neg_270,0.056125215796713,0
Neg_447,0.0609325777299597,0
Neg_2242,0.0150871174656716,0
Neg_1615,0.073067187727885,0
Neg_103,0.1100809124248151,0
Neg_1048,0.0556606537859799,0
Neg_628,0.0338608733121747,0
Neg_2169,0.0083541277408858,0
Neg_599,0.0228561193673829,0
Neg_2490,0.0737788255227333,0
Neg_62,0.023055551558075,0
Neg_1129,0.07549641533472,0
Neg_190,0.1646366711272807,0
Neg_1522,0.0389196381634237,0
Neg_165,0.0251491056158378,0
Neg_1152,0.0524309049268624,0
Neg_217,0.0418650832952762,0
Neg_1140,0.0394650497184231,0
Neg_2378,0.0477158561117506,0
Neg_1569,0.0379288994340525,0
Neg_662,0.0171803220894264,0
Neg_688,0.037990255953668,0
Neg_541,0.0887979160725667,0
Neg_624,0.0637778744876218,0
Neg_2108,0.0227963306954507,0
Neg_2808,0.0410071990952325,0
Neg_2794,0.0806400338137173,0
Neg_2286,0.0256448836334645,0
Neg_373,0.0085935504581358,0
Neg_2612,0.045227654874815,0
Neg_937,0.034758031156214,0
Neg_1345,0.0394987888973377,0
Neg_2671,0.0247334403552902,0
Neg_2855,0.0278148730232632,0
Neg_279,0.0331628223875106,0
Neg_706,0.0222189832893168,0
Neg_2921,0.0205394644785236,0
Neg_994,0.0457402164962017,0
Neg_2453,0.0261850384927752,0
Neg_2074,0.0741014866464555,0
Neg_1803,0.0882319312400411,0
Neg_653,0.0034169637849549,0
Neg_1943,0.0840936434667568,0
Neg_1283,0.0181393506245576,0
Neg_1383,0.0135207361314017,0
Neg_325,0.0565838326827154,0
Neg_2702,0.042755088279655,0
Neg_2180,0.046987732133887,0
Neg_585,0.0380204418498469,0
Neg_2047,0.0466608295228834,0
Neg_2392,0.1416085104547307,0
Neg_919,0.1308273024839696,0
Neg_2566,0.0210452159828682,0
Neg_404,0.0296070531276674,0
Neg_953,0.0409862485204301,0
Neg_1257,0.0129507434690107,0
Neg_1680,0.0289482671936053,0
Neg_1098,0.1614430309361127,0
Neg_1404,0.0545977864980158,0
Neg_79,0.0400732836720706,0
Neg_2483,0.1132610411075229,0
Neg_2866,0.1297964940858866,0
Neg_133,0.0383651236641763,0
Neg_1514,0.0603611446911041,0
Neg_1790,0.0732046769313407,0
Neg_2219,0.0280081278301559,0
Neg_2758,0.037434727596383,0
Neg_621,0.0189041403986523,0
Neg_904,0.0910673476706278,0
Neg_736,0.0490255389025536,0
Neg_431,0.0040556444439307,0
Neg_2469,0.0785251139502217,0
Neg_2895,0.0135149289925343,0
Neg_202,0.0296285763298156,0
Neg_478,0.0182430423991915,0
Neg_1929,0.0104590438236814,0
Neg_1179,0.0479531617306934,0
Neg_116,0.0430976494564614,0
Neg_2854,0.0203804441886796,0
Neg_2229,0.0389778395289016,0
Neg_301,0.0453195157280007,0
Neg_2264,0.0169153218809115,0
Neg_58,0.0389686912197065,0
Neg_37,0.0399881948681896,0
Neg_1299,0.0841894039040614,0
Neg_2238,0.0222717014691457,0
Neg_1065,0.0579205134674957,0
Neg_2393,0.0321093270946318,0
Neg_1063,0.0368637191773819,0
Neg_2681,0.0091939801395351,0
