,Moran_CIDH920105.lag1,Moran_CIDH920105.lag2,Moran_CIDH920105.lag3,Moran_BHAR880101.lag1,Moran_BHAR880101.lag2,Moran_BHAR880101.lag3,Moran_CHAM820101.lag1,Moran_CHAM820101.lag2,Moran_CHAM820101.lag3,Moran_CHAM820102.lag1,Moran_CHAM820102.lag2,Moran_CHAM820102.lag3,Moran_CHOC760101.lag1,Moran_CHOC760101.lag2,Moran_CHOC760101.lag3,Moran_BIGC670101.lag1,Moran_BIGC670101.lag2,Moran_BIGC670101.lag3,Moran_CHAM810101.lag1,Moran_CHAM810101.lag2,Moran_CHAM810101.lag3,Moran_DAYM780201.lag1,Moran_DAYM780201.lag2,Moran_DAYM780201.lag3,y
Neg_446,-0.1093254693641794,-0.2137350774958649,-0.2738548127289937,0.1061999097140286,-0.2076512052868179,-0.1290311227127306,-0.1617781311665294,-0.1958051161423181,-0.0407000454107388,0.004928611301958,-0.3808934128054704,0.1785498857145487,-0.0635718249617628,-0.1290537579303903,-0.1579429371943685,-0.15265080906837,-0.1501514509018501,-0.1459022047623595,-0.1108668226339195,-0.1049066143218056,-0.1152292763781874,-0.1380840432614573,-0.0351195153045088,0.0794372084830344,0
Neg_2228,-0.1415229614560517,-0.0831062899361914,0.1683753651331301,-0.1343071173370671,-0.1484812729367531,0.1073894707741272,0.0055745742567295,-0.0804636093357684,0.0502928262068483,0.0059589153405841,-0.0258199420865223,-0.0149026031896516,0.0056251217063962,-0.0328144488203595,0.0285928948871355,-0.021012927915858,-0.1106645299555312,0.0662005636636745,-0.1944792462831503,-0.0232159232728391,0.1262610196327143,-0.028833673683912,-0.0467065218727383,0.1361915525877533,0
Neg_2386,0.3065972112563728,0.0291570002097082,-0.322773323958396,0.3038655440451298,0.0963205723888211,-0.0246789086620832,0.0034327114647994,-0.0670612371711422,-0.2140085921233515,0.0132343020312655,0.117104504266907,0.318038714439168,-0.0235887921114889,-0.114677010270896,-0.2355737232727618,0.0329712285867832,-0.0764757290887289,-0.2404209846476053,0.0771398573159241,-0.2288242206400773,-0.0304563796533106,0.2055645522451517,0.010591590405614,0.1090489354827128,0
Neg_2835,-0.3276051668411013,-0.021482599751937,0.0538067166732061,-0.2993776811727611,0.0095759854989029,0.0066785637081406,0.0533029672493609,-0.1660426236645042,-0.1725881364639092,0.0026713676636935,0.0280673274020721,-0.2384723895876321,-0.0633590334116168,-0.1472769840595276,-0.1272833011460482,0.0321066692615341,-0.1309531126823936,-0.1269099962415577,-0.0267123275988814,-0.0856595549730628,-0.0141681808568566,-0.0201184875013522,-0.0294678337600133,-0.19806101843786,0
Neg_2149,-0.088260927841365,-0.2459580722071018,0.1475370156023664,-0.1113369082846749,-0.0995993274528082,0.0922644647305486,0.0588676802641043,-0.0439873448403717,0.1061285439240168,-0.0819931035443425,-0.1021202989874466,0.1676906428328979,0.0223466407010711,-0.0514240506329113,0.1093337042704131,0.0184381745656451,-0.0923248164352057,0.0798906392185252,0.0491953077754462,-0.1337008915170674,-0.0667617719012466,-0.0601935088908173,-0.0446459411888451,0.0885262843276815,0
Neg_2248,0.2575734029593222,-0.1585148576049613,0.0334687872816984,0.2501857154858334,0.0382248936996155,0.2108809566475688,0.2110826391006965,-0.0292101287014386,0.099659854119831,-0.2115030615256398,-0.0679287925368877,-0.1973748497643906,0.1940447665783029,-0.0154198246276753,0.1088877526858253,0.1966998073514717,-0.0710759305108474,0.0842271033650883,0.1083560825712497,-0.108803505926295,-0.008406416389988,0.2785938399775302,-0.0449433530472268,-0.1714528765960074,0
Neg_2739,-0.1258465313518811,-0.0743755985290026,0.1734262249734831,-0.0431121225461924,0.0315803784236674,-0.0788802266884372,-0.0901681178030918,-0.141480224794833,0.0863018165317262,0.0713901450371422,-0.0256736251500107,0.0158230400738781,-0.0784898016852537,-0.1167585512740131,0.0577828007558771,-0.0853991902696602,-0.1227218492497662,0.05199361960719,0.0535369538691582,-0.037984752699013,-0.1081489978789844,0.038230226118951,-0.1753616134079224,0.1521806941651098,0
Neg_2580,-0.3273467366272899,-0.2653463367717885,0.3353742289868501,-0.2290891937270766,-0.2910725628765537,0.2822408714185376,-0.239223010064172,-0.0298575888039584,-0.0910218193966161,-0.1377931140046776,0.0762893033421363,-0.0017027358349308,-0.255184331797235,-0.004778972520908,-0.1035980148883374,-0.2897280627230457,-0.0106723050220977,-0.0709245935776983,-0.0395394516943681,0.0124725773647903,0.0570848805835607,-0.0719760748166731,-0.1077637657844395,0.1986042288492518,0
Neg_2765,0.0786182163264439,-0.0240715853194441,-0.2066444408577241,0.0442807870692782,0.2023188262866745,-0.0421106616042053,0.1221898275544697,0.0739410161404616,0.0056675956789869,-0.0103092708159586,-0.0043782054146244,0.0406594156462339,0.10744729340572,0.0748812982611419,0.027814503687523,0.1472130795185327,0.0183726436299399,0.0210571285532667,0.002615373787638,-0.0992807010444015,-0.0744339904621867,-0.2696466146411683,0.2410109052266054,0.0661424229587667,0
Neg_939,0.2536493157229309,0.1243428489650618,-0.0040378851348859,0.3730841915402428,0.2484448653408666,0.0251991944164016,0.4173197976112187,0.220628688714603,0.2016505332544132,0.0202603592324635,0.201999868774721,0.1521427018063477,0.4659892135528726,0.3151149581320909,0.2513096072728732,0.4101598151383024,0.2333868156944935,0.2091484642935474,0.0977481293393567,0.064958038030562,0.1305293021252521,0.1591722092433565,-0.0285779514120222,0.1479467831461108,0
