,MSW__1,MSW__2,MSW__3,MSW__4,MSW__5,MSW__6,MSW__7,MSW__8,MSW__9,MSW__10,MSW__11,MSW__12,MSW__13,MSW__14,MSW__15,MSW__16,MSW__17,MSW__18,MSW__19,MSW__20,MSW__21,MSW__22,MSW__23,MSW__24,MSW__25,MSW__26,MSW__27,MSW__28,MSW__29,MSW__30,y
Neg_446,0.3610548387096775,0.0691166666666666,0.0865172413793103,0.1411464285714286,0.0588555555555555,-0.1896096774193549,-0.1125933333333333,-0.2303620689655172,-0.1575785714285714,-0.1435518518518518,0.1703129032258065,0.1672733333333333,0.1266793103448276,0.2208392857142857,0.1862185185185186,0.4608258064516129,0.2094933333333333,0.1475793103448275,0.2368499999999999,0.1160481481481481,-0.1999709677419354,-0.25833,-0.1859620689655172,-0.1578357142857142,-0.1633703703703703,0.472816129032258,0.2414499999999999,0.1930517241379311,0.2125892857142857,0.2227074074074073,0
Neg_2228,0.3647926470588236,0.0746686567164179,0.0832227272727273,0.0495415384615385,0.066434375,-0.1287264705882353,-0.1308089552238805,-0.1157575757575758,-0.1600953846153845,-0.1494328124999999,0.1629588235294116,0.1303477611940298,0.1229924242424242,0.1994384615384615,0.1355046875,0.4210397058823529,0.1442865671641791,0.1632333333333333,0.1703276923076923,0.230721875,-0.1875705882352941,-0.19415223880597,-0.2533696969696969,-0.1901923076923076,-0.1982531249999999,0.4581294117647059,0.2136402985074627,0.2893666666666666,0.2152492307692306,0.2122593749999999,0
Neg_2386,0.2835051282051283,0.1933921052631579,0.1421459459459459,0.1314194444444444,0.1330057142857143,-0.2197128205128206,-0.1868736842105263,-0.1871675675675675,-0.1338722222222222,-0.1262457142857143,0.2016871794871795,0.1170894736842105,0.0869027027027026,0.1017555555555555,0.1071371428571428,0.3678410256410255,0.1511868421052631,0.1796648648648648,0.1477277777777777,0.1280285714285714,-0.1454692307692307,-0.1082736842105263,-0.1163459459459459,-0.1276999999999999,-0.1721257142857142,0.6004769230769231,0.1162973684210526,0.0955864864864864,0.0724777777777778,0.1926942857142857,0
Neg_2835,0.342425,-0.001413725490196,0.013612,0.0853510204081632,0.01751875,-0.1654961538461538,-0.0640274509803921,-0.08522,-0.0775224489795918,-0.1666041666666666,0.0386826923076923,-0.0051960784313725,-0.0397339999999999,0.0084163265306122,0.0830479166666666,0.3568750000000001,0.0537882352941176,0.1352579999999999,0.1217244897959183,0.1361541666666666,-0.1187057692307691,-0.0395098039215686,-0.018256,-0.1102142857142857,-0.0205125,0.3891307692307692,0.0779509803921568,0.0089879999999999,-0.0301673469387755,-0.0228625,0
Neg_2149,0.400660606060606,0.1264876923076922,0.1635671875,0.2513857142857142,0.1590112903225806,-0.2737151515151514,-0.1190138461538461,-0.150703125,-0.2360857142857142,-0.0915096774193548,0.188990909090909,0.1744430769230769,0.1271828124999999,0.188763492063492,0.1706645161290322,0.4596545454545453,0.1255630769230769,0.1323359375,0.1654412698412698,0.1521919354838709,-0.1202454545454544,-0.1386338461538461,-0.1402,-0.0798904761904762,-0.1032838709677419,0.4014272727272727,0.1436646153846154,0.1533265624999999,0.1738968253968254,0.1306,0
Neg_2248,0.3876142857142857,-0.0810121951219512,0.0427275,0.0081743589743589,0.1549447368421052,-0.0415023809523809,-0.0254268292682926,-0.1434025,0.0535897435897435,-0.0362815789473684,0.02005,0.0943,0.0774049999999999,0.028428205128205,-0.0261921052631578,0.3979380952380952,0.0168731707317073,0.1171549999999999,0.1154307692307692,0.0803421052631578,-0.0964023809523809,-0.0840390243902439,-0.0497425,-0.2007076923076922,-0.0946684210526315,0.4439547619047619,0.1509756097560975,0.130865,0.0915435897435897,-0.0244947368421052,0
Neg_2739,0.3983340909090909,0.0865586206896551,0.0548348837209302,0.0849988235294117,0.1241559523809524,-0.1651375,-0.156883908045977,-0.0717058139534883,-0.1336329411764706,-0.1041988095238095,0.1302011363636363,0.0491781609195402,0.0794976744186046,0.1763576470588234,0.0956869047619047,0.4392374999999998,0.0609793103448275,0.1561383720930233,0.1267176470588234,0.1186130952380952,-0.1029238636363636,-0.1315597701149424,-0.1878162790697674,-0.0961,-0.1170785714285713,0.4550943181818181,0.1664367816091954,0.0935918604651162,0.1358082352941176,0.1284857142857142,0
Neg_2580,0.421389655172414,0.2063035714285714,0.179574074074074,0.1770230769230769,0.2358280000000001,-0.2191103448275862,-0.1825749999999999,-0.2558925925925925,-0.2759423076923077,-0.272524,0.3123965517241379,0.2292535714285714,0.2429444444444444,0.3214961538461537,0.281168,0.4244482758620689,0.2546321428571428,0.1972444444444443,0.2632038461538461,0.2459239999999999,-0.281151724137931,-0.2644071428571428,-0.3347407407407407,-0.2996692307692307,-0.2118919999999999,0.5751310344827585,0.2796142857142857,0.3704814814814814,0.2764615384615384,0.241524,0
Neg_2765,0.4226975,0.063059493670886,0.1253294871794872,0.0960766233766233,0.0578302631578947,-0.2112687499999999,-0.1101101265822784,-0.1085858974358974,-0.1126142857142857,-0.1017315789473684,0.16324875,0.1874645569620252,0.1866961538461538,0.1693571428571428,0.1745855263157895,0.4775237499999994,0.1196050632911392,0.1397512820512821,0.1315012987012987,0.1190447368421052,-0.1675487499999999,-0.2051227848101266,-0.1978833333333333,-0.178416883116883,-0.145657894736842,0.3951950000000001,0.2570012658227847,0.2752692307692306,0.2801662337662337,0.2716460526315788,0
Neg_939,0.395164,0.1150897959183673,0.1158,0.0488297872340425,-0.0539934782608695,-0.0518579999999999,0.0152020408163265,0.0075791666666666,0.078895744680851,-0.0324304347826086,0.0086179999999999,0.0073102040816326,0.06931875,0.0117893617021276,0.0518543478260869,0.4774199999999999,0.2377,0.1784562499999999,0.0963255319148936,0.1237978260869565,-0.1491359999999999,-0.1471836734693877,-0.10019375,-0.1299787234042553,-0.1476760869565217,0.3694679999999999,0.1014591836734694,0.0724374999999999,0.1301127659574468,0.0919739130434782,0
