,Refractivity,y
Neg_446,0.0448070535422995,0
Neg_2228,0.0453673021444973,0
Neg_2386,0.0212236780095601,0
Neg_2835,0.0043308502800298,0
Neg_2149,0.014900345080346,0
Neg_2248,0.0525321411133404,0
Neg_2739,0.0047193583909959,0
Neg_2580,0.0395039098161245,0
Neg_2765,0.0270763897936217,0
Neg_939,0.0215059478458385,0
Neg_1859,0.0263318328507023,0
Neg_1088,0.0362252513803977,0
Neg_448,0.0199155973268909,0
Neg_2831,0.0146555621853806,0
Neg_358,0.0082938723940745,0
Neg_2287,0.0109558542761271,0
Neg_2597,0.0463674659354764,0
Neg_2648,0.0208233016960476,0
Neg_152,0.0170828918188703,0
Neg_2086,0.0257962730901591,0
Neg_966,0.0328055718738597,0
Neg_2081,0.0255466228191395,0
Neg_2579,0.0070219351059411,0
Neg_542,0.0174627464850005,0
Neg_270,0.0268628576585519,0
Neg_447,0.0288776543536323,0
Neg_2242,0.0424668742825728,0
Neg_1615,0.0093228484778827,0
Neg_103,0.0373000930143337,0
Neg_1048,0.0094064773757074,0
Neg_628,0.0401718850651095,0
Neg_2169,0.0151203931954629,0
Neg_599,0.0184775060970461,0
Neg_2490,0.0508244829096769,0
Neg_62,0.0114402717759105,0
Neg_1129,0.0232515934552692,0
Neg_190,0.0395207019102428,0
Neg_1522,0.0119998132517554,0
Neg_165,0.0165849630182422,0
Neg_1152,0.0318764927823221,0
Neg_217,0.0117269926806218,0
Neg_1140,0.0409597022164306,0
Neg_2378,0.0078238963886665,0
Neg_1569,0.0272493174486241,0
Neg_662,0.0582928805468269,0
Neg_688,0.0230238733438644,0
Neg_541,0.0622423680744463,0
Neg_624,0.0309416603795081,0
Neg_2108,0.0177247210685378,0
Neg_2808,0.0106258019356336,0
Neg_2794,0.0598513874857036,0
Neg_2286,0.0199024384111392,0
Neg_373,0.0232215661843708,0
Neg_2612,0.0453324256811665,0
Neg_937,0.0320092076627369,0
Neg_1345,0.0110318328820364,0
Neg_2671,0.0113133323731931,0
Neg_2855,0.0315611191955957,0
Neg_279,0.0175908215197683,0
Neg_706,0.0167204971017926,0
Neg_2921,0.040636148011379,0
Neg_994,0.0408634860480007,0
Neg_2453,0.0307349017850696,0
Neg_2074,0.0341965179910189,0
Neg_1803,0.0541836777581279,0
Neg_653,0.0395615283753206,0
Neg_1943,0.0575408259128973,0
Neg_1283,0.0286074390839941,0
Neg_1383,0.0330849333379637,0
Neg_325,0.0077566518824393,0
Neg_2702,0.018062754945027,0
Neg_2180,0.033818958220223,0
Neg_585,0.0221437853882133,0
Neg_2047,0.0678112017604347,0
Neg_2392,0.0686371800174411,0
Neg_919,0.0238552368235545,0
Neg_2566,0.0081408523915699,0
Neg_404,0.0635480017699099,0
Neg_953,0.0345871377021167,0
Neg_1257,0.047735632046257,0
Neg_1680,0.0365048896505737,0
Neg_1098,0.0362380642252274,0
Neg_1404,0.0323097296166603,0
