,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_1,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0714285714285714,0.0,0.0,0.1428571428571428,0.2142857142857142,0.2142857142857142,0.0,0.0,0.0,0
peptide_nm_2,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0,0.2307692307692307,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_3,0.1851851851851851,0.037037037037037,0.0,0.0,0.074074074074074,0.037037037037037,0.037037037037037,0.1481481481481481,0.074074074074074,0.074074074074074,0.1481481481481481,0.037037037037037,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.1111111111111111,0
peptide_nm_4,0.0416666666666666,0.0,0.0833333333333333,0.0416666666666666,0.0,0.0833333333333333,0.25,0.0833333333333333,0.0,0.0,0.0416666666666666,0.0833333333333333,0.0416666666666666,0.0,0.0833333333333333,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0,0.0416666666666666,0
peptide_nm_5,0.0434782608695652,0.0,0.0869565217391304,0.0869565217391304,0.0,0.0869565217391304,0.0,0.0,0.0434782608695652,0.0869565217391304,0.1304347826086956,0.1304347826086956,0.0434782608695652,0.0,0.0,0.0869565217391304,0.0869565217391304,0.0,0.0869565217391304,0.0,0
peptide_nm_6,0.0357142857142857,0.0357142857142857,0.0714285714285714,0.0714285714285714,0.0,0.0714285714285714,0.1071428571428571,0.0,0.0714285714285714,0.0,0.1428571428571428,0.0357142857142857,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714,0
peptide_nm_7,0.0625,0.125,0.125,0.0,0.0,0.125,0.125,0.0625,0.0,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0
peptide_nm_8,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.125,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.125,0.0,0.0625,0.1875,0
peptide_nm_9,0.0,0.125,0.0,0.0625,0.0625,0.0,0.0,0.0625,0.0,0.0,0.375,0.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.0625,0
peptide_nm_10,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0833333333333333,0.0,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0
