,APAAC_Pc1.A,APAAC_Pc1.R,APAAC_Pc1.N,APAAC_Pc1.D,APAAC_Pc1.C,APAAC_Pc1.Q,APAAC_Pc1.E,APAAC_Pc1.G,APAAC_Pc1.H,APAAC_Pc1.I,APAAC_Pc1.L,APAAC_Pc1.K,APAAC_Pc1.M,APAAC_Pc1.F,APAAC_Pc1.P,APAAC_Pc1.S,APAAC_Pc1.T,APAAC_Pc1.W,APAAC_Pc1.Y,APAAC_Pc1.V,APAAC_Pc2.Hydrophobicity.1,APAAC_Pc2.Hydrophilicity.1,APAAC_Pc2.Hydrophobicity.2,APAAC_Pc2.Hydrophilicity.2,APAAC_Pc2.Hydrophobicity.3,APAAC_Pc2.Hydrophilicity.3,y
peptide_nm_1,0.0,0.9513226550226184,0.9513226550226184,0.9513226550226184,0.0,0.0,0.0,0.0,0.0,1.9026453100452363,0.0,0.9513226550226184,0.0,0.0,1.9026453100452363,2.853967965067855,2.853967965067855,0.0,0.0,0.0,0.0071115634206484,-0.0005549537585339,0.0059209082965802,8.071157270818098e-05,0.0205883852481686,0.0155307301978101,0
peptide_nm_2,0.0,1.0564407426078042,0.0,1.0564407426078042,0.0,1.0564407426078042,0.0,0.0,3.1693222278234128,1.0564407426078042,1.0564407426078042,2.1128814852156084,0.0,1.0564407426078042,2.1128814852156084,0.0,0.0,0.0,0.0,0.0,-0.0117545169174407,-0.0191326798032853,0.0095294661381187,0.0143059818845428,-0.0194612189623377,-0.029927774947402,0
peptide_nm_3,4.883520729477467,0.9767041458954934,0.0,0.0,1.9534082917909867,0.9767041458954934,0.9767041458954934,3.9068165835819735,1.9534082917909867,1.9534082917909867,3.9068165835819735,0.9767041458954934,0.0,0.0,0.9767041458954934,0.0,0.0,0.0,0.0,2.93011243768648,0.0060232967688742,-0.0070722735503788,0.0158591894688166,0.0040868728121662,0.0077226711199823,-0.003323902514954,0
peptide_nm_4,0.9614243120966502,0.0,1.9228486241933005,0.9614243120966502,0.0,1.9228486241933005,5.768545872579901,1.9228486241933005,0.0,0.0,0.9614243120966502,1.9228486241933005,0.9614243120966502,0.0,1.9228486241933005,0.9614243120966502,0.9614243120966502,0.9614243120966502,0.0,0.9614243120966502,-0.0001157753299234,-0.0034680089050786,0.0015762533036154,0.0210923895213972,0.0032770728050445,0.0162137565082944,0
peptide_nm_5,1.0250911052339775,0.0,2.050182210467955,2.050182210467955,0.0,2.050182210467955,0.0,0.0,1.0250911052339775,2.050182210467955,3.0752733157019323,3.0752733157019323,1.0250911052339775,0.0,0.0,2.050182210467955,2.050182210467955,0.0,2.050182210467955,0.0,-0.0117811278911711,-0.0117305886429009,-0.0017735166910422,-0.0021301719151632,0.010639596512537,-0.0083152966062369,0
peptide_nm_6,0.9986028608190572,0.9986028608190572,1.9972057216381145,1.9972057216381145,0.0,1.9972057216381145,2.995808582457172,0.0,1.9972057216381145,0.0,3.994411443276229,0.9986028608190572,0.9986028608190572,1.9972057216381145,2.995808582457172,0.0,0.0,1.9972057216381145,0.0,1.9972057216381145,0.0072113079903357,0.0117378296718338,-0.0064261082349268,-0.0116371406306534,0.0062513504489956,-0.0057401000646423,0
peptide_nm_7,1.0360132094742585,2.072026418948517,2.072026418948517,0.0,0.0,2.072026418948517,2.072026418948517,1.0360132094742585,0.0,0.0,4.144052837897034,1.0360132094742585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360132094742585,-0.0160167436342961,-0.0009038541193002,-0.0365679546943544,-0.0244785607546078,0.0257630907413445,0.0161908129869556,0
peptide_nm_8,0.0,1.0767919070170764,1.0767919070170764,1.0767919070170764,0.0,0.0,1.0767919070170764,1.0767919070170764,0.0,2.1535838140341528,1.0767919070170764,1.0767919070170764,0.0,0.0,0.0,1.0767919070170764,2.1535838140341528,0.0,1.0767919070170764,3.230375721051229,-0.0194431943276586,-0.0294880383545594,0.014611717188257,0.013107892115787,-0.0356775785873164,-0.0199027050515858,0
peptide_nm_9,0.0,1.92956694690117,0.0,0.964783473450585,0.964783473450585,0.0,0.0,0.964783473450585,0.0,0.0,5.788700840703511,0.964783473450585,0.0,0.0,0.0,1.92956694690117,0.0,0.0,0.964783473450585,0.964783473450585,0.0107034471374524,0.0070664664814967,-0.0032900951234229,-0.006087256615466,0.0128749454610534,0.0139490192083012,0
peptide_nm_10,0.8652916771877438,0.8652916771877438,0.0,0.8652916771877438,0.8652916771877438,0.0,0.0,0.0,0.0,0.0,0.0,3.461166708750975,0.0,0.8652916771877438,0.0,1.7305833543754876,0.8652916771877438,0.0,0.0,0.0,0.0386993666469742,0.0462289554250486,0.0044004059828549,0.0276722429752598,0.0017531356755052,0.015954216106613,0
