,Charge_density,Charge_phys,Charge_acid,y
peptide_nm_1,0.001316900665048,0.0547967427989904,0.0547967427989904,0
peptide_nm_2,0.0019928205190292,0.0332533199854276,0.1198130211868471,0
peptide_nm_3,0.0007640212739127,0.0745136822474227,0.0947211670268788,0
peptide_nm_4,-0.001455785435588,0.0504822423702212,0.0504822423702212,0
peptide_nm_5,0.000768324333452,0.0508293829793543,0.0844566577481341,0
peptide_nm_6,-0.0005162026288786,0.0195499627884913,0.0496906530898419,0
peptide_nm_7,0.0010626755169772,0.0655006575573463,0.0655006575573463,0
peptide_nm_8,0.0005520242735648,0.0590925241650522,0.0590925241650522,0
peptide_nm_9,0.0015841841289422,0.0437644408477326,0.0437644408477326,0
peptide_nm_10,0.0035258932787659,0.1722958760168778,0.1722958760168778,0
peptide_nm_11,0.001824545997829,0.1515088850788012,0.1515088850788012,0
peptide_nm_12,3.393187310864432e-05,0.198869316637923,0.2229575524292966,0
peptide_nm_13,0.0006964918621091,0.1564090259155753,0.1457476412726095,0
peptide_nm_14,0.0005133221778864,0.1135269824623098,0.1135269824623098,0
peptide_nm_15,0.0010104126849621,0.1076536648575198,0.1286748696728995,0
peptide_nm_16,-0.002243809942565,0.102138980422923,0.0551584484693441,0
peptide_nm_17,0.0009350422484685,0.0310951084661069,0.0195751350341675,0
peptide_nm_18,-0.0014221330621891,0.0612133483008313,0.0612133483008313,0
peptide_nm_19,0.0019082402367993,0.1345155345963824,0.1345155345963824,0
peptide_nm_20,-0.0,0.0306691562244319,0.0306691562244319,0
peptide_nm_21,0.0005794133730468,0.0,0.0,0
peptide_nm_22,-1.6528925619834712e-06,0.0676618536512147,0.0676618536512147,0
peptide_nm_23,-1.5747700835677992e-06,0.2065512540316219,0.2065512540316219,0
peptide_nm_24,-9.73562899465027e-07,0.1265007750293938,0.1265007750293938,0
peptide_nm_25,0.0013979234865195,0.3064177772475912,0.3064177772475912,0
peptide_nm_26,-0.0028428473959517,0.0918268013837913,0.0918268013837913,0
peptide_nm_27,0.0006485599494696,0.1482105384953548,0.1482105384953548,0
peptide_nm_28,0.0010520212934169,0.0192942419629923,0.0192942419629923,0
peptide_nm_29,0.0013495507499504,0.2123927980737193,0.2123927980737193,0
peptide_nm_30,0.0010986193181494,0.1038836421770873,0.1038836421770873,0
peptide_nm_31,0.0008078957461309,0.1347419140016097,0.1347419140016097,0
peptide_nm_32,0.0007352999374718,0.1525511620185216,0.1525511620185216,0
peptide_nm_33,0.0007145721159353,0.2058681117475352,0.2058681117475352,0
peptide_nm_34,-5.355756098867258e-06,0.1428571428571428,0.1428571428571428,0
peptide_nm_35,-0.0006202116016052,0.1705701839379629,0.1705701839379629,0
peptide_nm_36,-0.0007168073786046,0.1797510555653239,0.1797510555653239,0
peptide_nm_37,-1.4506342845850134e-05,0.0928362244479571,0.0928362244479571,0
peptide_nm_38,-0.0010943234482573,0.0975856881452835,0.0975856881452835,0
peptide_nm_39,-0.0004191305477938,0.1403601758009205,0.1673160033646874,0
peptide_nm_40,-0.002447572682094,0.0368018509872213,0.0481780127249943,0
peptide_nm_41,0.0002866150759529,0.0314422270849607,0.0314422270849607,0
peptide_nm_43,0.0013511943938983,0.171402155729037,0.2399487701309847,0
peptide_nm_44,-0.0008912435934151,0.1302902543882224,0.1644178890264826,0
peptide_nm_45,-0.0002858337981037,0.0371904007506641,0.0648063876404075,0
peptide_nm_46,-0.0002590953913026,0.0380349878306279,0.0310372138361624,0
peptide_nm_47,0.0010323859471624,0.1292462128344049,0.1292462128344049,0
peptide_nm_48,0.0015324493854079,0.0988904014902368,0.0988904014902368,0
peptide_nm_49,-0.0016522137017415,0.0968998625613006,0.0968998625613006,0
peptide_nm_50,0.0003837076890069,0.0632541654414837,0.0632541654414837,0
peptide_nm_51,0.0009474830664553,0.0910896020436913,0.0856452660602882,0
peptide_nm_52,0.0009903396016821,0.2130201223410491,0.2130201223410491,0
peptide_nm_53,8.144286621484413e-05,0.0553805539583736,0.1258442280863598,0
peptide_nm_54,0.0015842542422631,0.1988612147025413,0.1988612147025413,0
peptide_nm_55,-0.0005243832406188,0.121657010710923,0.1740895295574523,0
peptide_nm_56,-0.000312051426075,0.0235875960914255,0.0235875960914255,0
peptide_nm_57,-3.3804340477317287e-06,0.0833333333333333,0.0833333333333333,0
peptide_nm_58,0.0006795291833515,0.1925184735327639,0.2013096465025901,0
peptide_nm_59,0.0010565450183505,0.0555555555555555,0.0555555555555555,0
peptide_nm_60,1.7452905765753394e-05,0.0900299282743511,0.0996875850453852,0
peptide_nm_61,-0.0014296248197836,0.1741644744831273,0.2095738075863115,0
peptide_nm_62,-2.699638248474705e-06,0.0909090909090909,0.0909090909090909,0
peptide_nm_63,-0.0004605792900361,0.0709103344912558,0.0709103344912558,0
