,GAAC_alphatic,GAAC_aromatic,GAAC_postivecharge,GAAC_negativecharge,GAAC_uncharge,y
peptide_nm_1,0.1428571428571428,0.0,0.1428571428571428,0.0714285714285714,0.6428571428571429,0
peptide_nm_2,0.1538461538461538,0.0769230769230769,0.4615384615384615,0.0769230769230769,0.2307692307692307,0
peptide_nm_3,0.6666666666666666,0.0,0.1481481481481481,0.037037037037037,0.1481481481481481,0
peptide_nm_4,0.25,0.0416666666666666,0.0833333333333333,0.2916666666666667,0.3333333333333333,0
peptide_nm_5,0.3043478260869565,0.0869565217391304,0.1739130434782608,0.0869565217391304,0.3478260869565217,0
peptide_nm_6,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.1785714285714285,0.25,0
peptide_nm_7,0.4375,0.0,0.1875,0.125,0.25,0
peptide_nm_8,0.4375,0.0625,0.125,0.125,0.25,0
peptide_nm_9,0.5,0.0625,0.1875,0.0625,0.1875,0
peptide_nm_10,0.0833333333333333,0.0833333333333333,0.4166666666666667,0.0833333333333333,0.3333333333333333,0
peptide_nm_11,0.2307692307692307,0.3076923076923077,0.1538461538461538,0.0,0.3076923076923077,0
peptide_nm_12,0.3076923076923077,0.1153846153846153,0.1538461538461538,0.1538461538461538,0.2692307692307692,0
peptide_nm_13,0.2413793103448276,0.0344827586206896,0.2413793103448276,0.1379310344827586,0.3448275862068966,0
peptide_nm_14,0.5263157894736842,0.0,0.1052631578947368,0.1052631578947368,0.2631578947368421,0
peptide_nm_15,0.4782608695652174,0.0434782608695652,0.1739130434782608,0.0434782608695652,0.2608695652173913,0
peptide_nm_16,0.3157894736842105,0.0526315789473684,0.0526315789473684,0.3157894736842105,0.2631578947368421,0
peptide_nm_17,0.3243243243243243,0.054054054054054,0.1486486486486486,0.0405405405405405,0.4324324324324324,0
peptide_nm_18,0.3076923076923077,0.0769230769230769,0.0,0.2307692307692307,0.3846153846153846,0
peptide_nm_19,0.5263157894736842,0.0,0.2105263157894736,0.0526315789473684,0.2105263157894736,0
peptide_nm_20,0.4210526315789473,0.0526315789473684,0.1578947368421052,0.2105263157894736,0.1578947368421052,0
peptide_nm_21,0.6111111111111112,0.0,0.0,0.0,0.3888888888888889,0
peptide_nm_22,0.631578947368421,0.0526315789473684,0.0526315789473684,0.1052631578947368,0.1578947368421052,0
peptide_nm_23,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.1666666666666666,0.3333333333333333,0
peptide_nm_24,0.3888888888888889,0.1111111111111111,0.0555555555555555,0.1111111111111111,0.3333333333333333,0
peptide_nm_25,0.0,0.4,0.2,0.2,0.2,0
peptide_nm_26,0.2142857142857142,0.2142857142857142,0.0,0.4285714285714285,0.1428571428571428,0
peptide_nm_27,0.2142857142857142,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.4285714285714285,0
peptide_nm_28,0.5555555555555556,0.0,0.1111111111111111,0.0555555555555555,0.2777777777777778,0
peptide_nm_29,0.1666666666666666,0.0555555555555555,0.3333333333333333,0.2222222222222222,0.2222222222222222,0
peptide_nm_30,0.3125,0.125,0.125,0.0625,0.375,0
peptide_nm_31,0.3823529411764705,0.088235294117647,0.1470588235294117,0.088235294117647,0.2941176470588235,0
peptide_nm_32,0.4166666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.3333333333333333,0
peptide_nm_33,0.6153846153846154,0.0,0.1538461538461538,0.1538461538461538,0.0769230769230769,0
peptide_nm_34,0.4285714285714285,0.0,0.0,0.1428571428571428,0.4285714285714285,0
peptide_nm_35,0.25,0.0625,0.125,0.25,0.3125,0
peptide_nm_36,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.25,0.4166666666666667,0
peptide_nm_37,0.574468085106383,0.0212765957446808,0.0638297872340425,0.0851063829787234,0.2553191489361702,0
peptide_nm_38,0.2592592592592592,0.037037037037037,0.074074074074074,0.2222222222222222,0.4074074074074074,0
peptide_nm_39,0.4736842105263157,0.0526315789473684,0.1052631578947368,0.1578947368421052,0.2105263157894736,0
peptide_nm_40,0.2692307692307692,0.0384615384615384,0.1153846153846153,0.3076923076923077,0.2692307692307692,0
peptide_nm_41,0.25,0.1071428571428571,0.25,0.25,0.1428571428571428,0
