,MSW__1,MSW__2,MSW__3,MSW__4,MSW__5,MSW__6,MSW__7,MSW__8,MSW__9,MSW__10,MSW__11,MSW__12,MSW__13,MSW__14,MSW__15,MSW__16,MSW__17,MSW__18,MSW__19,MSW__20,MSW__21,MSW__22,MSW__23,MSW__24,MSW__25,MSW__26,MSW__27,MSW__28,MSW__29,MSW__30,y
peptide_nm_1,0.3782428571428572,0.2843692307692308,0.2302,0.273090909090909,0.19493,-0.3759714285714285,-0.2863384615384615,-0.20245,-0.3188363636363636,-0.21494,0.2996857142857143,0.2066230769230769,0.2989083333333334,0.228190909090909,0.18383,0.4890499999999999,0.1918538461538461,0.1676916666666666,0.2645363636363637,0.18034,-0.3031785714285714,-0.1189,-0.2648166666666666,-0.2622272727272727,-0.20205,0.6384642857142857,0.1438538461538461,0.2345,0.4921000000000001,0.1528,0
peptide_nm_2,0.3931230769230769,-0.1075749999999999,-0.0241999999999999,-0.05737,-0.0856666666666666,0.0359615384615384,0.0951999999999999,-0.0050818181818181,-0.2605099999999999,0.1167,-0.1838230769230769,0.1070833333333333,-0.1254727272727272,0.13062,0.0503888888888889,0.4944615384615384,0.205025,0.2790545454545455,0.21419,0.2133555555555555,-0.1561153846153846,-0.085175,-0.2495727272727273,-0.16856,-0.1801111111111111,0.421576923076923,-0.02165,0.0727090909090909,0.02208,0.0964444444444444,0
peptide_nm_3,0.474774074074074,0.2551576923076923,0.19258,0.1758416666666667,0.1999347826086957,-0.2155518518518518,-0.1857115384615384,-0.190964,-0.1454916666666666,-0.1995739130434782,0.1681481481481481,0.2428999999999999,0.278224,0.2457708333333333,0.2404,0.3198,0.1458576923076923,0.1656839999999999,0.1088291666666666,0.1870869565217391,-0.1340888888888889,-0.142926923076923,-0.162108,-0.2101333333333333,-0.1236434782608695,0.3178814814814814,0.1710153846153846,0.158432,0.1679458333333333,0.1674130434782609,0
peptide_nm_4,0.2585833333333333,0.0594260869565217,-0.0356772727272727,0.0234761904761904,0.0286349999999999,-0.1133833333333333,-0.039895652173913,-0.0623772727272727,-0.0356904761904761,-0.0874349999999999,0.085925,0.0066826086956521,0.0292363636363636,0.0951047619047619,0.0149499999999999,0.3943958333333333,-0.1394782608695652,0.1621590909090909,-0.0074666666666666,0.103445,-0.1256208333333333,0.0394695652173913,-0.0482181818181818,-0.0494809523809523,-0.019405,0.3087166666666667,0.1328304347826087,0.1666681818181817,0.2065476190476191,0.1482099999999999,0
peptide_nm_5,0.4298173913043477,0.0527272727272727,0.0238523809523809,0.06791,-0.0113315789473684,-0.1634869565217391,-0.117990909090909,-0.061547619047619,-0.23082,-0.0482105263157894,0.0721565217391304,0.2074363636363636,0.0073380952380952,0.07832,0.0991263157894736,0.5035434782608695,0.1449954545454545,0.0880666666666666,0.1983149999999999,0.2807421052631578,-0.1509304347826087,-0.2294727272727272,-0.1665619047619048,-0.049875,-0.3224368421052631,0.3872521739130434,0.0558363636363636,0.1726952380952381,0.18278,0.121078947368421,0
peptide_nm_6,0.3949678571428571,-0.0599407407407407,0.0247461538461538,-0.037968,-0.0322458333333333,-0.0380821428571428,0.0649962962962963,-0.0875961538461538,-0.102988,-0.1112708333333333,-0.0290642857142857,0.058674074074074,0.0063038461538461,0.00496,0.0698916666666666,0.5299892857142857,0.1839962962962962,0.1226807692307691,0.1227319999999999,0.161225,-0.1520999999999999,-0.2654703703703704,-0.1983230769230769,-0.141848,-0.0945541666666666,0.3032499999999999,0.1651703703703703,0.0932923076923077,0.062784,0.0855416666666666,0
peptide_nm_7,0.28191875,-0.0085133333333333,0.0350928571428571,0.1327923076923076,0.0585499999999999,-0.16695,-0.08822,-0.0716642857142857,-0.1704230769230769,-0.1670166666666666,0.03804375,-0.0579333333333333,0.0397,0.051076923076923,0.1303333333333333,0.3345312499999999,0.18254,0.0975357142857142,0.1741153846153846,0.2011833333333333,-0.0673625,0.0047333333333333,0.0320142857142857,-0.1110923076923077,-0.1050166666666666,0.3000062499999999,-0.1020266666666666,-0.0176285714285714,-0.0226307692307692,-0.00655,0
peptide_nm_8,0.4969625,0.1842266666666666,0.0457642857142857,0.1245615384615384,0.2081583333333333,-0.3397625,-0.2037333333333333,-0.1235071428571428,-0.0753923076923076,-0.1239833333333333,0.21809375,0.1627466666666666,0.1615,0.1285538461538461,0.27685,0.4606875,0.1197866666666666,0.1610857142857142,0.0770230769230769,0.1192166666666666,-0.1726125,-0.0629733333333333,-0.1716857142857142,-0.2293384615384615,-0.2887666666666666,0.44068125,0.1908333333333333,0.1987785714285714,0.2107,0.0538833333333333,0
peptide_nm_9,0.4629500000000001,0.29402,0.1142642857142856,0.0665692307692307,0.1705833333333333,-0.2923125,-0.1703599999999999,-0.0873428571428571,-0.04,-0.175075,0.14339375,0.0990133333333333,0.0100214285714285,0.0034923076923076,0.0018916666666666,0.3882812499999999,0.1872466666666666,0.0866928571428571,0.0271153846153846,0.0434916666666666,-0.0491999999999999,-0.1469666666666666,0.01075,-0.0042538461538461,0.0593,0.4020374999999999,-0.05488,0.1291714285714285,0.0343692307692307,-0.1798083333333333,0
peptide_nm_10,0.3552833333333334,0.1835454545454545,0.16778,0.1762111111111111,0.275025,-0.1227666666666666,-0.0954545454545454,-0.0859399999999999,-0.0079111111111111,-0.0349374999999999,0.07825,0.1365090909090909,-0.00668,-0.1557111111111111,0.0147749999999999,0.2829416666666667,0.0523727272727272,0.07372,-0.0299222222222222,-0.07115,-0.086475,-0.1267727272727273,-0.11036,0.2237555555555555,0.059875,0.56055,0.0212272727272727,-0.286,-0.1551111111111111,0.1568,0
peptide_nm_11,0.5046999999999999,-0.1346416666666667,-0.0548818181818181,-0.0324599999999999,0.1382777777777778,0.0651846153846154,0.0730749999999999,-0.1147090909090909,-0.0090499999999999,-0.1392222222222222,0.0284846153846153,-0.1193666666666666,-0.0193181818181818,0.10552,-0.0156555555555555,0.385,0.2392666666666667,0.2290909090909091,0.22918,0.2294777777777777,-0.1650230769230769,-0.1825666666666666,-0.1419636363636363,-0.11543,-0.1645999999999999,0.2887538461538461,-0.0333833333333333,0.0570181818181818,0.04476,0.0177333333333333,0
peptide_nm_12,0.3561384615384615,0.018004,-0.0402708333333333,-0.0613782608695652,0.1899636363636363,-0.1158076923076922,-0.134788,0.0227875,0.0242391304347826,0.0121454545454545,0.143576923076923,0.077984,0.1399083333333333,0.0333086956521739,0.25125,0.4119307692307691,0.109788,0.0649208333333333,0.0801347826086956,0.1090954545454545,-0.1378576923076923,-0.087956,-0.1335,-0.1399608695652174,-0.2433045454545455,0.5155884615384615,0.168988,0.2205375,0.1723652173913043,0.2060545454545454,0
