,Z3__1,Z3__2,Z3__3,Z3__4,Z3__5,Z3__6,Z3__7,Z3__8,Z3__9,Z3__10,Z3__11,Z3__12,Z3__13,Z3__14,Z3__15,Z3__16,Z3__17,Z3__18,Z3__19,Z3__20,Z3__21,Z3__22,Z3__23,Z3__24,Z3__25,Z3__26,Z3__27,Z3__28,Z3__29,Z3__30,y
peptide_nm_1,6.889,0.3014153846153843,1.7110999999999998,3.191418181818182,-0.0376800000000008,1.2473285714285716,-1.0890769230769228,-0.1657833333333331,-0.2760909090909093,-0.1942400000000001,-0.3097714285714286,-1.5358615384615386,0.9507,-0.2918363636363636,0.8336399999999997,2.8561785714285715,-0.080546153846154,-0.9031249999999996,1.1591090909090906,-0.31995,0.2974928571428571,1.1836384615384614,0.3094333333333334,0.0828545454545454,0.6677399999999999,3.349335714285714,1.3060076923076922,1.0625666666666669,0.1443636363636361,-0.9856899999999996,0
peptide_nm_2,9.561907692307692,-3.972700000000001,0.0378636363636362,-0.3088599999999992,-1.3659555555555556,2.795915384615385,-0.8505833333333334,0.4543,1.07058,0.6306555555555557,-0.9682846153846154,0.701333333333333,-0.2935727272727275,2.03365,-0.5612111111111113,2.1607153846153846,0.6393083333333337,0.7793181818181819,1.50321,0.6807888888888889,-0.1859384615384615,-0.4001166666666667,0.4157181818181819,0.1060099999999998,-1.0191666666666668,4.175992307692308,-1.0156666666666665,-0.8962272727272727,0.16804,0.5813333333333335,0
peptide_nm_3,7.258799999999998,-1.3519384615384618,1.3075000000000006,-1.6205625,0.4525130434782611,0.8791111111111112,-0.5055653846153848,2.2839760000000005,1.3489041666666672,-0.6085565217391304,0.9502814814814818,-1.1937961538461537,-0.087096,-0.3068999999999999,-1.3658782608695648,6.535440740740741,3.0469038461538456,2.909168,1.8757708333333332,2.724234782608696,-0.216137037037037,-0.847796153846154,-0.9450320000000002,0.6926916666666664,-0.192504347826087,2.8112888888888894,0.2530538461538462,-0.6477759999999999,-0.2118958333333335,-0.2928826086956522,0
peptide_nm_4,7.821295833333331,0.8477999999999996,1.6243545454545454,1.9261333333333333,1.164165,-0.2440541666666666,-1.3690000000000004,-2.3447363636363643,-0.9587428571428572,-1.337245000000001,-0.4086333333333332,0.5911826086956522,-0.6753227272727274,-0.996014285714286,-0.0569849999999998,4.200650000000001,1.7959478260869564,0.2944318181818181,0.458747619047619,0.062755,0.2046708333333332,0.5308434782608695,0.4558999999999999,0.6289333333333332,0.330725,1.8859375,-0.0273565217391304,0.1126727272727273,0.5760666666666666,0.10532,0
peptide_nm_5,8.62114782608696,-3.655445454545455,-0.3415285714285718,2.3534700000000006,-3.4040578947368427,2.0788565217391306,-0.2994681818181819,-0.9651809523809524,-0.8374050000000001,1.2369473684210524,0.6810913043478264,-1.408868181818182,-0.2396761904761902,0.4428300000000001,-1.6657789473684212,2.305243478260869,-0.015090909090909,-0.6949285714285716,0.3665299999999999,-0.4526157894736842,0.247591304347826,-0.5852681818181817,-0.0294238095238093,0.1929949999999999,-0.4210210526315789,2.422160869565217,-0.5580045454545454,0.7655285714285714,0.081725,0.7855736842105263,0
peptide_nm_6,10.7886,0.7565185185185187,-1.100330769230769,1.33698,-2.8156249999999994,0.8523285714285717,0.535948148148148,1.160373076923077,-1.071728,-0.6197916666666667,0.2580714285714286,-0.8767074074074076,-0.6064884615384616,-1.354496,0.2958916666666666,2.6653571428571423,0.1286,0.5296961538461539,0.304164,0.5966166666666667,0.7510035714285712,-0.134974074074074,-0.4202076923076923,0.461276,0.1600458333333332,2.2655857142857143,0.0205518518518518,-0.6433692307692307,-0.203568,-0.2545291666666667,0
peptide_nm_7,9.769193750000005,-1.7188200000000005,-4.420964285714286,3.6526307692307705,2.25945,2.7853375,-1.19156,-2.0846071428571427,0.4441923076923079,2.0090916666666665,-0.5096124999999996,0.4675266666666668,-0.3355714285714285,-1.0719,-1.9143916666666667,3.88293125,-0.926,-1.0942928571428572,0.7652999999999999,0.1713833333333333,-0.9409,1.84996,-0.2731499999999999,0.4135076923076923,0.0797083333333333,2.696925,0.6581133333333333,0.8667785714285713,0.2595692307692307,0.3168,0
peptide_nm_8,8.787212499999999,-2.6672733333333336,1.9796071428571431,-4.611153846153847,-0.5032916666666672,2.4174125,-0.2850466666666665,-0.5785428571428568,-0.5986461538461538,-0.9882416666666666,0.944625,1.5113066666666668,-1.679992857142857,0.4136923076923074,-2.5550833333333336,5.205218749999999,1.6930866666666666,-1.4480214285714283,-1.769553846153846,-0.7568166666666668,0.52254375,0.92762,0.6656785714285715,-0.2727,0.7405500000000002,2.5239249999999998,0.7545333333333332,1.0511785714285713,0.3762615384615385,0.3337166666666666,0
peptide_nm_9,10.3480625,2.040286666666667,-1.1782285714285714,1.0963692307692308,-2.035816666666666,2.0673,1.4639733333333331,-2.1172428571428576,0.0258461538461544,0.6453333333333333,0.8617187500000003,-0.6727666666666663,1.406764285714286,1.0187615384615387,2.8347166666666666,4.318675,-1.1717800000000007,-0.2985642857142855,-0.3285461538461537,-0.0760249999999999,-1.0767,1.1756266666666664,-1.1892571428571428,1.1515692307692311,-0.3869083333333333,4.01998125,1.15868,1.4286642857142855,-0.7060615384615385,-0.6482333333333332,0
peptide_nm_10,7.254283333333333,3.5256,3.01992,2.452755555555556,1.6971500000000002,0.9891833333333332,1.3673636363636363,0.8871899999999998,0.936022222222222,2.236975,-2.943016666666667,-3.4935,-1.8569800000000003,-1.2148,-1.9060875,2.573783333333333,0.2614181818181818,-0.4158100000000001,-0.5456555555555556,1.2410999999999996,-2.18505,-2.600627272727273,1.04737,2.282333333333333,0.3792375000000002,6.393241666666667,1.4164727272727278,-2.44832,-0.8598666666666666,0.7304000000000002,0
