,Z5__1,Z5__2,Z5__3,Z5__4,Z5__5,Z5__6,Z5__7,Z5__8,Z5__9,Z5__10,Z5__11,Z5__12,Z5__13,Z5__14,Z5__15,Z5__16,Z5__17,Z5__18,Z5__19,Z5__20,Z5__21,Z5__22,Z5__23,Z5__24,Z5__25,Z5__26,Z5__27,Z5__28,Z5__29,Z5__30,Z5__31,Z5__32,Z5__33,Z5__34,Z5__35,Z5__36,Z5__37,Z5__38,Z5__39,Z5__40,Z5__41,Z5__42,Z5__43,Z5__44,Z5__45,Z5__46,Z5__47,Z5__48,Z5__49,Z5__50,Z5__51,Z5__52,Z5__53,Z5__54,Z5__55,Z5__56,Z5__57,Z5__58,Z5__59,Z5__60,Z5__61,Z5__62,Z5__63,Z5__64,Z5__65,Z5__66,Z5__67,Z5__68,Z5__69,Z5__70,Z5__71,Z5__72,Z5__73,Z5__74,Z5__75,y
peptide_nm_1,6.955471428571429,0.1666999999999998,1.4580583333333337,3.4401,-0.1242999999999999,1.3904714285714286,-0.9200230769230768,-0.379075,-0.0763363636363636,-0.36037,0.4108428571428571,-1.1356230769230768,1.1755083333333334,0.3700363636363634,0.3896100000000001,-0.8515357142857142,-0.863276923076923,-0.988575,-1.424763636363636,-1.59276,0.2320071428571428,0.2813692307692308,1.28395,0.6387181818181819,1.5569400000000002,2.453921428571429,0.1378384615384616,-0.6209166666666667,0.820609090909091,-0.20082,0.2183642857142857,1.313423076923077,0.7564583333333333,0.0275272727272727,0.7306500000000001,1.3889285714285715,-0.8111076923076923,0.1148666666666666,0.7192272727272726,-1.3266,0.2715928571428572,-0.0899,-0.1162249999999999,-0.1633181818181818,-0.30522,3.114764285714286,0.5499076923076924,1.0070666666666666,-0.1485,-0.8612200000000001,-0.7899999999999997,-0.2464461538461538,0.2964916666666666,-1.224845454545454,0.4232099999999999,0.9336642857142856,-0.2035076923076923,0.3990999999999999,-0.7710272727272727,-0.4403500000000002,2.0097571428571426,-0.1673384615384614,0.1113499999999999,1.6700181818181818,-0.56204,-0.1608285714285714,-0.3578307692307693,-0.6853250000000001,-0.3926818181818182,-0.3841099999999999,0.9458214285714288,0.3977,0.5383416666666666,0.2025818181818182,0.34995,0
peptide_nm_2,8.988792307692309,-3.2391333333333336,-0.098581818181818,-0.0776599999999998,-1.5056222222222226,2.7009692307692315,-0.8605583333333332,0.4434090909090909,1.32486,0.4988555555555551,-1.091469230769231,0.0680083333333332,0.2469,1.70919,-0.439588888888889,2.487584615384616,0.805975,-0.5553909090909092,-0.2316499999999999,2.171777777777778,-0.2309153846153847,0.6859250000000002,-0.1506727272727271,0.01751,-0.1856777777777777,2.226838461538461,0.3758833333333332,0.3889727272727272,1.36875,0.1059,-0.2031538461538464,-0.7434666666666666,0.6725727272727272,-0.0657300000000001,-1.0443555555555557,2.407630769230769,1.7236416666666663,-0.0353636363636363,0.7863300000000002,1.259988888888889,0.0012461538461538,0.5294416666666667,0.9304545454545454,0.3172399999999999,0.6043444444444445,3.360807692307693,-0.4665333333333334,-0.6081,0.0329999999999999,0.3021333333333332,-0.6541384615384616,-0.9815000000000002,-2.350627272727273,0.0226600000000001,-0.0677999999999998,0.3557769230769231,-0.6824333333333334,-0.3565727272727272,0.10367,-0.0038666666666666,4.951776923076921,1.7677166666666662,-0.7688090909090909,0.5721200000000002,1.631811111111111,0.0423923076923076,1.088258333333333,0.7087818181818182,0.3049099999999999,1.1069777777777778,0.8000846153846155,0.0352333333333333,0.092190909090909,0.60153,0.0817555555555555,0
peptide_nm_3,6.944362962962964,-1.3688961538461544,1.4849800000000002,-1.659879166666667,0.5736999999999999,1.446411111111112,-0.1002346153846152,2.0050480000000004,1.302366666666667,-0.1656652173913042,1.4084814814814814,-1.2450807692307693,-0.0299160000000001,-0.6792208333333333,-0.8292391304347827,1.3184444444444448,-0.3070230769230772,0.496564,-0.8590041666666665,-0.4770999999999997,-0.9126888888888888,-0.5153076923076922,0.314588,-0.8974833333333333,0.5415521739130434,5.448755555555556,2.772423076923077,2.7768120000000005,2.1142375,2.6225956521739127,-0.3533444444444444,-0.8271384615384616,-0.439592,0.8801958333333332,0.1026086956521738,1.7763592592592592,0.056903846153846,0.6876439999999999,0.6240833333333329,0.2354173913043478,-0.1540777777777778,-0.3510923076923076,0.133692,-0.67155,-0.1046130434782609,2.805429629629629,0.2192692307692307,-0.4734999999999999,-0.2115208333333334,-0.232791304347826,0.2122481481481481,0.3875230769230769,-0.045524,0.1634458333333333,-0.2021130434782608,-0.7217185185185186,-0.2562423076923077,-0.1774919999999999,-0.3832166666666667,0.1775739130434782,2.097485185185185,-0.3719846153846154,0.5892479999999999,0.0908541666666666,-0.0658739130434783,-0.0489407407407407,-0.2200153846153846,0.1694319999999999,-0.7391166666666669,-0.0048130434782608,1.135951851851852,-0.186126923076923,0.103708,0.0634333333333333,0.1221826086956521,0
peptide_nm_4,7.562425,0.597473913043478,1.4679,1.5535095238095238,0.9881799999999996,-0.0908374999999998,-1.0488826086956522,-2.324386363636364,-0.7429476190476189,-1.342925,-0.0249083333333334,0.4490217391304348,-0.5423818181818182,-0.5699142857142857,0.2003299999999999,-4.032458333333333,-1.7123565217391303,-0.9721136363636362,-0.5254476190476189,-0.2225649999999999,0.4778375000000001,0.2286739130434783,0.6938954545454546,-0.2748761904761904,0.283625,3.217824999999999,1.2957739130434782,0.2746363636363635,0.3700904761904762,0.0258899999999999,0.2180833333333334,0.3361391304347827,0.0358227272727273,0.4915238095238096,0.325065,0.7872541666666667,-0.0985739130434783,0.9138954545454544,1.2316952380952382,1.199565,0.0396749999999999,-0.2509695652173912,-0.0390318181818181,0.0886190476190476,-0.125615,1.5681708333333333,-0.1697826086956521,-0.0942954545454545,0.5455809523809525,-0.1323649999999999,-0.0597041666666666,-0.5083565217391304,0.4694318181818182,-0.411438095238095,-0.6892150000000001,0.3325875,0.0872478260869565,0.0727136363636363,0.0130857142857142,0.6164000000000001,3.9759916666666673,1.0976347826086954,1.6052409090909086,-0.0948380952380953,1.19615,-0.2874041666666667,-0.874321739130435,-0.4599454545454545,-0.154495238095238,-0.41941,0.9153041666666668,-0.0618565217391304,0.2903136363636364,0.4090285714285714,0.10923,0
peptide_nm_5,8.56938695652174,-3.815868181818181,-0.3043285714285718,1.6185649999999996,-3.6896894736842114,1.7133652173913043,-0.474090909090909,-0.7263095238095241,-1.165265,0.9057947368421052,1.4380521739130432,-1.2671409090909087,-0.0160476190476191,0.7832950000000001,-1.6129,-0.4450999999999998,0.0303272727272725,0.4489761904761906,-2.619645,2.656078947368421,0.9052086956521735,0.2020999999999999,-0.0935285714285715,0.491275,0.0694999999999999,2.341121739130435,-0.0148954545454544,-0.4442952380952381,0.124955,-0.3673526315789472,0.6143869565217391,-0.7957863636363635,-0.006295238095238,0.2335899999999999,-0.2526421052631579,0.7430217391304347,-0.1901681818181818,-0.2357714285714284,-0.7199450000000001,-0.2744578947368421,-0.2419478260869564,0.1448,0.1581857142857143,0.11213,0.5656263157894736,2.2191782608695654,-1.1283000000000003,0.631947619047619,0.0428499999999997,0.6951263157894738,-0.4833869565217391,0.1670181818181817,0.4580380952380952,-0.397185,0.5881105263157894,-0.0478739130434782,-0.1651727272727272,-0.3219619047619048,-0.04857,-0.0744105263157894,2.39521304347826,-0.2798999999999998,0.159452380952381,0.12667,-0.451357894736842,-0.5465956521739131,-0.2320090909090909,-0.2905619047619049,-0.5305099999999999,0.4179894736842106,0.7790782608695652,0.2200636363636363,0.1774333333333333,0.0991049999999999,0.022178947368421,0
peptide_nm_6,10.429860714285711,0.171511111111111,-0.837403846153846,1.5177639999999997,-2.8574083333333338,0.9235035714285714,0.3539333333333334,1.489988461538461,-1.00632,-0.8342375000000001,0.2835321428571432,-1.0624777777777776,-0.1914076923076921,-0.784996,0.3633041666666667,-2.030017857142856,0.0309000000000004,-0.0573423076923077,-1.5021600000000002,-0.8766708333333341,0.510357142857143,0.0797999999999999,-1.3354115384615388,-0.997284,1.1378708333333332,3.116128571428572,-0.1424407407407406,0.3593615384615385,0.0045639999999999,0.5319249999999999,0.7184892857142854,-0.1407555555555555,-0.4157961538461538,0.4901719999999999,-0.2243333333333333,1.6927750000000004,-0.2156555555555556,-0.8941846153846155,-0.648532,0.3429625,-0.467832142857143,0.328625925925926,0.1414692307692307,0.4583599999999999,0.332825,2.1316607142857147,-0.2695333333333334,-0.4675961538461537,0.079784,-0.2340416666666667,0.0404535714285715,-0.4515851851851851,-0.173,0.778344,0.3415583333333336,0.2685499999999999,0.319374074074074,-0.2879461538461539,-0.481072,-0.1854083333333333,4.131664285714286,-0.6504444444444446,-0.8547692307692307,0.127,0.2092500000000001,-0.6404785714285716,0.3191296296296297,0.2829153846153845,0.2565560000000001,-0.3211666666666666,1.100275,0.0481,-0.0609307692307692,-0.0296639999999999,0.0127916666666666,0
peptide_nm_7,9.89630625,-1.8754466666666672,-5.154864285714285,3.768476923076923,3.140983333333333,3.3188187500000006,-1.4524866666666667,-2.557342857142857,0.5586769230769233,2.075083333333333,0.0410687499999998,0.41414,-0.6354,-0.7702230769230769,-1.8433583333333328,-0.0236749999999998,-2.317826666666667,-0.4373857142857141,-0.0218307692307693,0.1987749999999999,-0.29418125,0.9312933333333332,0.7467857142857142,-0.285676923076923,-0.0787916666666667,3.42323125,-0.7794666666666665,-1.1229714285714287,0.7104153846153847,0.2616833333333333,-0.5552312500000002,1.4985933333333334,-0.2579857142857144,0.6839076923076923,0.1977916666666665,0.8919562499999999,-1.6097733333333335,1.0796714285714286,-0.4680769230769229,0.5472166666666667,-0.0385062499999999,0.24118,0.1505714285714285,-0.4937692307692308,-0.5256833333333334,3.04851875,0.9325733333333334,1.1604214285714285,0.3404692307692307,0.5499666666666667,-0.6426937500000001,0.7483400000000001,0.5340571428571428,1.4428153846153848,1.604166666666667,-0.1507062499999999,-0.7139933333333334,-0.9150285714285714,-1.0610000000000002,-0.5798416666666667,2.3967374999999995,-0.2223466666666666,0.612692857142857,0.0779846153846154,-0.5658416666666668,-0.40244375,-0.4343333333333332,-0.0724928571428571,-0.192376923076923,-0.6718666666666667,0.6869687500000001,0.19978,0.2583285714285714,0.1564307692307692,0.2855333333333333,0
peptide_nm_8,8.665475,-2.7522400000000005,2.1610071428571427,-4.2894461538461535,-0.6295750000000002,2.4673375,0.0097333333333332,-0.3465928571428571,-0.5935076923076922,-1.2719750000000003,1.5531437499999998,1.55628,-1.1236142857142857,-0.3584076923076921,-2.2520666666666678,-0.213075,-0.16074,1.459342857142857,-0.6130384615384615,-0.1709833333333332,0.3576875,0.5422533333333333,0.0968428571428571,-0.3125923076923076,-0.7386333333333334,4.51690625,1.61942,-1.2719428571428577,-1.5117692307692308,-0.4971333333333333,0.98598125,1.345773333333333,0.3773357142857142,-0.7426153846153846,0.2772333333333331,1.450875,1.15904,0.7178285714285714,0.4123153846153846,-0.4093083333333334,0.01509375,-0.1377599999999999,0.1118214285714286,0.1382846153846152,-0.5856583333333335,2.66235,0.9354733333333336,0.7187357142857145,0.5856461538461538,-0.1528666666666665,-0.4386249999999997,0.6265466666666667,0.581157142857143,0.4342923076923079,1.0852666666666668,0.11385625,0.5463399999999999,0.0219142857142857,-0.5777230769230768,-0.1145333333333333,2.11014375,1.08494,1.0099571428571428,0.8906461538461538,0.5928083333333333,-0.2071250000000001,-0.5810333333333334,-0.2392357142857143,-0.0066769230769231,-0.465975,0.45364375,0.0678266666666666,0.0388428571428571,0.1748846153846153,-0.126075,0
peptide_nm_9,11.57923125,2.094373333333333,-1.368328571428572,2.1507307692307696,-2.170925,2.6576937500000004,1.9014,-1.2961142857142856,-0.6718923076923079,0.4725333333333333,1.7406437499999998,-0.2130599999999995,1.3854785714285716,1.467623076923077,2.308358333333333,1.2529000000000003,0.3148933333333333,-0.0302071428571428,-0.5963538461538461,-1.7532333333333334,-0.94311875,-0.1062399999999999,-0.7360428571428572,0.0337923076923077,-0.1218833333333333,3.67390625,-0.6309933333333329,-0.5037642857142857,-0.3234307692307692,0.4481583333333332,-0.7064187500000002,1.0927600000000004,-1.1363142857142856,1.4280076923076916,0.0656583333333335,1.43431875,-0.2884066666666664,0.4572857142857142,0.0557923076923076,-1.155175,-0.3392562499999999,-0.1477533333333334,0.0285428571428571,-0.5756692307692307,1.4266416666666666,4.17755,0.6247,2.0059000000000005,-0.9506307692307692,-0.3815583333333333,-1.0905812499999996,-0.2991866666666667,-0.3218214285714286,-0.5727846153846154,0.7963916666666666,-0.9170375,0.1039066666666665,-0.7792499999999999,1.0824538461538462,-0.785025,1.5372125,-0.0061466666666666,0.3744785714285714,0.3135153846153846,-0.9289333333333336,-0.48489375,0.12072,-0.1034714285714285,-0.4055461538461538,0.5094166666666666,0.9485,-0.2644933333333333,0.358192857142857,-0.2917,0.08605,0
peptide_nm_10,6.647125,3.414672727272728,3.2805100000000005,2.449577777777778,1.301475,0.3131500000000001,1.2937727272727273,0.5745600000000002,0.985322222222222,1.6534375,-2.000233333333333,-2.6634090909090915,-1.13634,-0.4912111111111114,-0.9159625000000002,0.0801666666666667,1.7921999999999998,0.39799,0.1399444444444445,0.7732375,0.7359333333333334,0.3963727272727274,0.90398,0.6775111111111113,0.4164,2.4383666666666666,0.3053545454545455,-0.64717,-0.1778666666666667,0.8984125000000001,-1.78085,-2.300954545454545,1.39739,2.320422222222223,0.4561125000000002,1.2684,1.1209272727272726,-0.8265799999999996,-1.2525777777777778,-0.1189874999999998,0.0850833333333333,0.5610727272727275,0.15963,-0.1664555555555555,-0.490425,4.993533333333333,0.8752272727272725,-2.7059100000000003,-1.097977777777778,0.8857624999999998,-2.246566666666667,-0.8622545454545456,1.91522,0.3792000000000001,0.1708125,-0.7304,-0.2104545454545456,-0.5425100000000002,0.0141444444444444,-0.0891,2.102625,-0.2509181818181817,-0.73329,-0.0668666666666666,-0.165825,-0.2173416666666666,0.8372454545454545,0.18338,-0.1057666666666667,0.0692125,0.9275416666666666,0.0613181818181818,-0.04448,0.0951,0.075925,0
