SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
-0.181,-0.285,-0.254,-0.312,-0.22,-0.254,0,-0.254,-0.181,-0.285,-0.136,-0.312,-0.081,-0.136,-0.312,-0.136,-0.22,-0.22,-0.181,-0.136
-0.235,-0.178,-0.235,-0.108,-0.108,-0.412,-0.178,-0.108,-0.386,-0.386,-0.108,-0.178,-0.108,0,-0.321,-0.281,-0.178,-0.108,-0.108,-0.108
-0.314,0,0,0,-0.447,-0.447,0,0,-0.314,0,-0.314,0,-0.314,0,-0.314,-0.314,0,0,0,-0.314
-0.314,0,-0.314,-0.314,-0.314,-0.314,0,0,-0.314,-0.314,-0.314,-0.314,-0.314,0,0,0,0,0,0,-0.314
-0.513,0,0,-0.352,-0.232,-0.232,0,0,0,0,-0.232,0,-0.232,0,-0.352,-0.482,0,0,-0.232,0
-0.285,0,0,0,-0.285,-0.285,-0.285,0,0,-0.285,-0.285,-0.285,-0.285,0,-0.285,-0.415,0,-0.285,0,-0.285
0,0,0,0,-0.415,-0.285,0,0,-0.285,-0.415,-0.285,0,0,0,-0.488,0,-0.285,0,0,-0.415
0,0,-0.519,-0.363,0,0,0,0,0,0,-0.24,0,-0.442,-0.24,0,-0.363,0,-0.442,0,0
-0.285,0,-0.415,0,-0.415,-0.285,0,-0.285,0,0,0,0,-0.285,0,-0.285,-0.488,0,0,0,-0.285
-0.388,-0.388,0,0,0,-0.464,-0.26,0,-0.388,0,-0.26,-0.26,0,0,0,0,0,0,-0.388,-0.26
-0.232,0,-0.232,-0.431,-0.352,0,0,-0.232,-0.232,-0.232,0,-0.232,-0.232,0,-0.232,-0.352,-0.232,-0.232,0,-0.232
0,0,-0.285,0,0,-0.285,0,-0.285,-0.285,-0.488,0,-0.285,-0.415,0,0,-0.285,0,-0.285,0,-0.285
-0.352,0,0,-0.232,0,-0.232,0,-0.232,0,-0.482,0,-0.482,-0.232,0,-0.232,-0.352,0,-0.232,0,0
-0.464,0,0,-0.216,0,0,0,0,-0.332,-0.5,0,0,-0.216,0,-0.411,-0.411,-0.216,0,0,0
-0.292,0,-0.186,-0.186,0,-0.292,0,-0.292,-0.292,-0.186,0,-0.186,-0.423,-0.186,-0.292,-0.292,0,-0.292,-0.186,-0.186
-0.138,-0.224,0,0,-0.224,-0.342,-0.138,0,-0.224,-0.385,-0.289,-0.224,-0.138,0,-0.289,-0.385,-0.342,-0.289,0,0
0,0,-0.299,-0.299,-0.431,-0.5,0,0,0,0,0,0,0,-0.431,-0.5,0,0,0,0,0
-0.299,0,-0.299,0,-0.299,-0.431,0,0,0,0,-0.431,0,-0.299,0,-0.299,-0.299,0,-0.431,0,0
0,0,0,-0.314,0,-0.314,0,0,-0.314,-0.314,-0.314,-0.447,-0.314,0,0,0,-0.314,0,-0.447,0
-0.272,0,-0.401,0,-0.401,-0.476,-0.272,-0.272,0,0,0,0,0,0,-0.401,-0.401,0,0,0,0
0,0,-0.26,-0.388,-0.164,0,0,-0.164,0,0,-0.26,-0.26,-0.332,0,-0.332,-0.431,-0.26,-0.26,-0.332,0
-0.314,0,-0.314,0,0,-0.447,0,0,0,-0.314,0,0,0,0,-0.314,-0.511,0,0,-0.447,0
-0.164,0,-0.332,-0.332,0,-0.332,-0.164,-0.164,-0.332,-0.388,0,-0.164,-0.164,-0.164,-0.164,-0.388,-0.164,-0.164,0,-0.164
-0.321,0,-0.17,-0.343,-0.24,-0.297,-0.127,-0.127,-0.127,-0.343,-0.075,-0.075,-0.27,-0.208,-0.17,-0.399,-0.075,-0.297,-0.075,-0.127
-0.22,0,-0.285,-0.337,-0.136,-0.136,0,0,0,-0.285,-0.337,-0.445,-0.22,-0.136,-0.22,-0.337,-0.136,-0.285,0,-0.136
-0.238,-0.148,-0.148,-0.335,0,-0.274,-0.148,-0.148,-0.36,-0.36,-0.089,-0.274,-0.238,-0.238,-0.274,-0.238,0,-0.148,-0.148,-0.148
-0.337,-0.136,-0.22,-0.136,-0.22,-0.285,0,-0.22,-0.22,-0.337,-0.136,-0.285,-0.22,-0.22,-0.285,-0.285,-0.22,0,-0.136,-0.136
0,-0.415,-0.415,0,-0.415,0,0,0,0,0,-0.285,-0.285,0,0,-0.415,-0.285,0,0,-0.285,-0.285
-0.285,0,-0.372,-0.395,-0.093,-0.155,0,-0.155,-0.093,-0.372,-0.155,-0.285,-0.205,0,-0.155,-0.346,-0.248,-0.205,0,-0.205
-0.314,0,-0.203,-0.392,0,-0.392,0,0,-0.314,0,0,0,-0.447,-0.314,-0.203,-0.392,0,0,0,-0.203
-0.26,0,-0.26,0,-0.26,-0.388,0,0,0,0,0,0,-0.26,-0.26,-0.464,-0.464,0,-0.388,0,0
0,0,0,-0.401,-0.272,-0.401,0,0,0,-0.272,-0.272,0,-0.401,0,-0.272,-0.401,0,-0.272,-0.272,0
-0.469,0,-0.285,-0.22,-0.136,-0.285,0,0,0,-0.415,0,-0.136,-0.38,-0.285,-0.22,-0.22,-0.136,-0.136,0,-0.136
-0.314,-0.369,-0.153,-0.153,0,-0.314,-0.245,-0.153,-0.153,-0.447,0,-0.153,-0.245,-0.245,-0.245,-0.153,-0.245,0,0,-0.153
-0.314,0,0,0,-0.314,-0.511,0,0,0,-0.447,0,-0.447,0,0,-0.314,0,0,-0.314,0,0
-0.274,0,-0.306,0,0,-0.335,-0.089,-0.274,-0.238,-0.274,-0.238,-0.274,-0.238,-0.306,-0.306,-0.197,-0.148,-0.197,-0.089,-0.148
-0.268,0,-0.206,0,-0.126,-0.426,-0.361,-0.126,0,-0.206,-0.126,-0.268,0,-0.206,-0.426,-0.206,-0.126,-0.268,-0.126,-0.206
0,0,-0.186,-0.186,-0.292,-0.464,0,0,-0.186,-0.186,-0.292,0,-0.186,-0.186,-0.423,0,0,-0.186,-0.292,-0.367
-0.133,0,0,-0.411,-0.216,-0.332,-0.133,0,-0.28,0,-0.216,-0.133,-0.28,0,-0.332,-0.332,-0.133,-0.375,-0.133,-0.216
-0.288,0,-0.24,-0.183,-0.111,-0.363,-0.111,-0.183,-0.111,-0.288,-0.111,-0.24,-0.393,-0.24,-0.111,-0.24,-0.24,-0.24,0,-0.24
-0.224,0,-0.224,-0.42,-0.342,0,0,-0.342,0,-0.224,0,0,-0.42,0,-0.342,-0.342,-0.342,0,0,0
0,0,-0.447,-0.314,0,0,0,-0.314,0,-0.314,-0.314,-0.447,-0.314,0,0,-0.314,0,-0.314,0,0
-0.168,0,-0.266,0,-0.339,-0.168,-0.168,-0.266,-0.266,-0.266,0,-0.266,-0.437,-0.339,-0.266,-0.266,0,0,0,-0.168
-0.285,0,0,0,0,-0.359,0,-0.359,-0.359,-0.415,0,0,-0.181,-0.285,-0.285,-0.181,-0.285,-0.285,-0.181,0
0,-0.306,-0.306,-0.197,-0.197,-0.197,0,-0.306,-0.197,-0.197,0,-0.306,-0.306,0,-0.306,-0.383,-0.197,0,0,-0.306
-0.138,-0.224,-0.224,-0.184,-0.184,-0.082,-0.138,-0.258,-0.404,-0.224,-0.082,-0.138,-0.258,-0.258,-0.258,-0.224,-0.365,-0.184,-0.082,-0.138
0,0,0,0,-0.314,0,0,0,0,-0.447,0,-0.447,-0.314,-0.314,-0.511,-0.314,0,0,0,0
-0.257,0,-0.257,-0.257,-0.12,-0.197,-0.12,0,-0.257,-0.383,0,-0.306,-0.257,-0.197,-0.257,-0.306,-0.12,-0.383,0,-0.12
-0.411,0,-0.332,-0.216,-0.216,-0.411,-0.216,0,-0.216,0,0,0,-0.411,0,-0.216,-0.216,0,-0.332,0,-0.216
-0.299,0,0,0,0,-0.431,0,-0.431,0,0,0,-0.299,0,-0.299,-0.299,-0.431,0,0,0,-0.431
