iter	Logloss
0	0.6890382052
1	0.6836586951
2	0.6786722355
3	0.6741065275
4	0.6701949096
5	0.6653986464
6	0.6617765644
7	0.6575850861
8	0.6540230452
9	0.650832782
10	0.6471734559
11	0.644264975
12	0.6405723812
13	0.6363724202
14	0.6328639922
15	0.6301645948
16	0.6269832118
17	0.6239914951
18	0.6206164697
19	0.6174189167
20	0.6143890944
21	0.611617197
22	0.6082440272
23	0.6059925523
24	0.6033870602
25	0.601147514
26	0.5989694668
27	0.5967218356
28	0.5940315172
29	0.5916520739
30	0.5894299568
31	0.5873396518
32	0.5852131631
33	0.5834575243
34	0.5807202864
35	0.5782819286
36	0.5760922841
37	0.5741841568
38	0.5714435391
39	0.5693363351
40	0.5675206552
41	0.5657029872
42	0.563997979
43	0.561697729
44	0.5596286306
45	0.5577685494
46	0.5560127117
47	0.5544966409
48	0.5526757919
49	0.5511123376
50	0.5494612736
51	0.5479485826
52	0.5464412263
53	0.5448274395
54	0.5433145828
55	0.5418277372
56	0.5401490384
57	0.5381713602
58	0.5369140758
59	0.5354490332
60	0.534261134
61	0.5329340667
62	0.5313805529
63	0.5299929475
64	0.5286743297
65	0.5269606069
66	0.5255017607
67	0.5237776335
68	0.522343241
69	0.5207269029
70	0.5194723355
71	0.5180934446
72	0.5168040852
73	0.5156320247
74	0.5141221501
75	0.5128776227
76	0.5115780577
77	0.5106500715
78	0.5093230373
79	0.5080299667
80	0.5070495937
81	0.5058025812
82	0.5041733202
83	0.5029339951
84	0.5019155496
85	0.5009695047
86	0.499819943
87	0.4988249573
88	0.4977467358
89	0.4967531749
90	0.4956656424
91	0.4945189634
92	0.4934320274
93	0.4923953575
94	0.491353386
95	0.4898633926
96	0.4888452785
97	0.4878077471
98	0.4867311161
99	0.486047403
100	0.4846560533
101	0.4835749491
102	0.4826967651
103	0.481736936
104	0.4808804225
105	0.4796284066
106	0.4784554514
107	0.4773878332
108	0.4764693568
109	0.4756212928
110	0.4746491042
111	0.4737468309
112	0.4727773925
113	0.4717533141
114	0.4709476301
115	0.4699725587
116	0.4689198514
117	0.4679996519
118	0.4672293233
119	0.4665008446
120	0.4653582744
121	0.4641972147
122	0.4629726016
123	0.4620442841
124	0.4611836287
125	0.4603179368
126	0.459478952
127	0.4581541378
128	0.4574450432
129	0.4564045959
130	0.4558352326
131	0.4550677868
132	0.4542624011
133	0.453458639
134	0.4528093203
135	0.4518328572
136	0.4512042813
137	0.4505216617
138	0.4497060372
139	0.4488602264
140	0.4479401927
141	0.4469499122
142	0.4459495586
143	0.4453486174
144	0.444464171
145	0.4438765502
146	0.4431950904
147	0.4423987174
148	0.4416272622
149	0.4409734703
150	0.4404294887
151	0.4397122428
152	0.4390482783
153	0.4382784136
154	0.4375487751
155	0.4366743686
156	0.4359741211
157	0.4352287102
158	0.4347731666
159	0.4341569832
160	0.4334275435
161	0.4328994337
162	0.432255483
163	0.4315674623
164	0.4309786487
165	0.4303198534
166	0.429645617
167	0.4290552792
168	0.4283760725
169	0.4276963026
170	0.4270706757
171	0.4261693965
172	0.425265831
173	0.4247306633
