iter	Passed	Remaining
0	31	31125
1	55	27465
2	79	26439
3	103	25801
4	126	25181
5	150	24900
6	175	24836
7	200	24864
8	225	24783
9	250	24753
10	274	24691
11	298	24610
12	322	24515
13	348	24521
14	375	24630
15	400	24632
16	427	24736
17	455	24868
18	479	24744
19	504	24722
20	529	24681
21	552	24565
22	576	24471
23	599	24370
24	622	24279
25	646	24202
26	671	24195
27	694	24117
28	719	24079
29	742	24004
30	766	23974
31	793	24007
32	817	23957
33	843	23970
34	870	24007
35	897	24043
36	925	24096
37	950	24060
38	975	24032
39	1000	24023
40	1026	24019
41	1051	23991
42	1076	23963
43	1101	23929
44	1127	23937
45	1151	23887
46	1176	23850
47	1201	23826
48	1224	23759
49	1247	23706
50	1270	23647
51	1293	23587
52	1317	23539
53	1340	23480
54	1366	23483
55	1390	23434
56	1416	23440
57	1441	23414
58	1465	23375
59	1489	23334
60	1513	23291
61	1539	23293
62	1563	23249
63	1586	23209
64	1610	23173
65	1634	23132
66	1658	23096
67	1682	23058
68	1706	23029
69	1734	23049
70	1761	23047
71	1789	23063
72	1813	23024
73	1837	22993
74	1861	22954
75	1884	22912
76	1909	22888
77	1933	22858
78	1961	22869
79	1986	22844
80	2010	22812
81	2034	22771
82	2058	22738
83	2082	22705
84	2105	22669
85	2129	22636
86	2153	22599
87	2177	22565
88	2202	22546
89	2226	22514
90	2249	22474
91	2273	22436
92	2297	22402
93	2320	22364
94	2348	22370
95	2372	22337
96	2395	22301
97	2421	22289
98	2447	22276
99	2472	22250
100	2496	22220
101	2523	22218
102	2547	22189
103	2573	22171
104	2599	22157
105	2625	22144
106	2650	22118
107	2675	22099
108	2702	22087
109	2725	22051
110	2749	22017
111	2773	21986
112	2797	21956
113	2821	21927
114	2845	21897
115	2869	21865
116	2894	21847
117	2919	21825
118	2944	21797
119	2968	21765
120	2990	21725
121	3016	21709
122	3040	21676
123	3063	21641
124	3087	21610
125	3110	21577
126	3134	21544
127	3158	21515
128	3181	21484
129	3207	21466
130	3231	21438
131	3256	21415
132	3281	21393
133	3307	21376
134	3334	21367
135	3358	21337
136	3383	21314
137	3409	21296
138	3434	21271
139	3457	21240
140	3484	21226
141	3511	21214
142	3534	21182
143	3559	21161
144	3584	21139
145	3608	21110
146	3633	21081
147	3657	21055
148	3681	21026
149	3705	20997
150	3729	20968
151	3755	20950
152	3778	20919
153	3801	20885
154	3830	20884
155	3858	20875
156	3884	20858
157	3908	20827
158	3931	20795
159	3957	20779
160	3982	20754
161	4006	20726
162	4031	20704
163	4057	20683
164	4082	20658
165	4106	20630
166	4134	20620
167	4160	20603
168	4185	20582
169	4211	20560
170	4235	20535
171	4259	20506
172	4283	20476
173	4307	20447
174	4330	20417
175	4355	20389
176	4382	20375
177	4406	20351
178	4432	20328
179	4457	20305
180	4482	20284
181	4506	20254
182	4530	20225
183	4555	20203
184	4580	20180
185	4604	20149
186	4628	20120
187	4652	20096
188	4676	20066
189	4700	20038
190	4724	20011
191	4749	19985
192	4775	19966
193	4804	19961
194	4831	19943
195	4856	19920
196	4880	19895
197	4905	19870
198	4930	19845
199	4955	19820
200	4981	19802
201	5007	19783
202	5032	19757
203	5058	19738
204	5081	19706
205	5105	19679
206	5129	19651
207	5153	19622
208	5177	19593
209	5201	19565
210	5224	19537
211	5248	19507
212	5275	19492
213	5300	19466
214	5324	19440
215	5347	19409
216	5371	19382
217	5394	19351
218	5421	19333
219	5449	19319
220	5474	19298
221	5503	19288
222	5530	19269
223	5556	19250
224	5585	19237
225	5612	19223
226	5639	19204
227	5666	19186
228	5693	19167
229	5717	19142
230	5742	19116
231	5767	19092
232	5796	19081
233	5822	19058
234	5848	19037
235	5874	19018
236	5899	18992
237	5926	18973
238	5953	18957
239	5980	18938
240	6008	18921
241	6033	18898
242	6057	18871
243	6082	18845
244	6107	18821
245	6132	18795
246	6156	18769
247	6181	18744
248	6207	18721
249	6233	18699
250	6259	18677
251	6285	18655
252	6310	18630
253	6338	18616
254	6365	18596
255	6390	18571
256	6415	18547
257	6441	18525
258	6467	18504
259	6496	18489
260	6523	18470
261	6546	18441
262	6570	18412
263	6594	18385
264	6619	18360
265	6643	18330
266	6667	18303
267	6692	18280
268	6718	18256
269	6742	18230
270	6768	18206
271	6792	18180
272	6816	18152
273	6840	18125
274	6865	18101
275	6889	18071
276	6912	18043
277	6936	18016
278	6963	17995
279	6991	17978
280	7016	17953
281	7042	17930
282	7067	17907
283	7092	17880
284	7118	17858
285	7144	17836
286	7171	17817
287	7198	17796
288	7228	17783
289	7251	17753
290	7275	17726
291	7302	17706
292	7327	17681
293	7354	17661
294	7379	17636
295	7404	17611
296	7428	17584
297	7456	17565
298	7483	17543
299	7509	17523
300	7533	17494
301	7557	17467
302	7581	17439
303	7607	17416
304	7632	17391
305	7657	17366
306	7682	17341
307	7706	17314
308	7731	17288
309	7755	17261
310	7779	17234
311	7803	17207
312	7827	17181
313	7851	17154
314	7876	17127
315	7903	17107
316	7928	17083
317	7957	17065
318	7980	17037
