ModelName,ConfusionMatrix,ACC,MCC
lightgbm,"[[107   3]
 [  5 105]]",0.9636363636363636,0.9274260335029676
catboost,"[[110   0]
 [  6 104]]",0.9727272727272728,0.9468641529479986
rbfsvm,"[[108   2]
 [  7 103]]",0.9590909090909091,0.9191318254904459
gbc,"[[110   0]
 [  7 103]]",0.9681818181818181,0.9382653571042044
ridge,"[[106   4]
 [  8 102]]",0.9454545454545454,0.8914987065202297
lr,"[[107   3]
 [  8 102]]",0.95,0.9009311952827143
lda,"[[107   3]
 [  8 102]]",0.95,0.9009311952827143
ada,"[[105   5]
 [  8 102]]",0.9409090909090909,0.8821463137889523
knn,"[[106   4]
 [  7 103]]",0.95,0.9003348975784152
nb,"[[106   4]
 [ 27  83]]",0.8590909090909091,0.7344151792536056
et,"[[110   0]
 [  7 103]]",0.9681818181818181,0.9382653571042044
rf,"[[109   1]
 [  7 103]]",0.9636363636363636,0.9286552269297679
xgboost,"[[108   2]
 [  6 104]]",0.9636363636363636,0.9278864088271778
gpc,"[[106   4]
 [ 20  90]]",0.8909090909090909,0.7902222465352922
mlp,"[[108   2]
 [  5 105]]",0.9681818181818181,0.9367120651573411
dt,"[[ 95  15]
 [  8 102]]",0.8954545454545455,0.7925153987190853
svm,"[[104   6]
 [  7 103]]",0.9409090909090909,0.8818546228447823
qda,"[[107   3]
 [ 10 100]]",0.9409090909090909,0.8836091227097848
