,Polarity,y
Neg_446,-0.75179,0
Neg_2228,-0.99692,0
Neg_2386,-1.10928,0
Neg_2835,1.96896,0
Neg_2149,-0.49721,0
Neg_2248,-1.11524,0
Neg_2739,0.41112,0
Neg_2580,0.35492,0
Neg_2765,-1.18142,0
Neg_939,-0.53127,0
Neg_1859,0.06069,0
Neg_1088,-0.63963,0
Neg_448,0.82707,0
Neg_2831,-1.42668,0
Neg_358,0.05655,0
Neg_2287,-0.2975,0
Neg_2597,1.42534,0
Neg_2648,-0.7621,0
Neg_152,-1.2157,0
Neg_2086,0.05004,0
Neg_966,0.39033,0
Neg_2081,-1.08755,0
Neg_2579,0.12795,0
Neg_542,-1.01066,0
Neg_270,0.39069,0
Neg_447,2.86036,0
Neg_2242,0.21832,0
Neg_1615,-1.45031,0
Neg_103,0.15813,0
Neg_1048,-0.95245,0
Neg_628,-1.1575,0
Neg_2169,1.3865,0
Neg_599,-0.78729,0
Neg_2490,-0.45029,0
Neg_62,-0.32241,0
Neg_1129,-0.19668,0
Neg_190,-0.04744,0
Neg_1522,-0.21193,0
Neg_165,0.32337,0
Neg_1152,-1.13094,0
Neg_217,0.52298,0
Neg_1140,0.56466,0
Neg_2378,-0.60779,0
Neg_1569,0.07305,0
Neg_662,-0.54085,0
Neg_688,1.41573,0
Neg_541,1.54098,0
Neg_624,-0.14913,0
Neg_2108,-0.74428,0
Neg_2808,-0.60715,0
Neg_2794,-0.05548,0
Neg_2286,-0.09419,0
Neg_373,-0.85244,0
Neg_2612,-1.01821,0
Neg_937,0.27678,0
Neg_1345,-0.53834,0
Neg_2671,-0.42354,0
Neg_2855,1.10631,0
Neg_279,-0.69097,0
Neg_706,0.33296,0
Neg_2921,-0.25886,0
Neg_994,-0.41907,0
Neg_2453,-0.23852,0
Neg_2074,-0.95891,0
Neg_1803,-0.99528,0
Neg_653,1.05285,0
Neg_1943,0.64923,0
Neg_1283,-0.70581,0
Neg_1383,0.01905,0
Neg_325,-1.18637,0
Neg_2702,-1.42626,0
Neg_2180,-0.8572,0
Neg_585,0.30543,0
Neg_2047,0.35492,0
Neg_2392,0.52667,0
Neg_919,0.92963,0
Neg_2566,0.32375,0
Neg_404,0.44001,0
Neg_953,-0.69392,0
Neg_1257,-0.18167,0
Neg_1680,-0.67306,0
Neg_1098,3.99909,0
Neg_1404,-0.36273,0
Neg_79,-0.49701,0
Neg_2483,0.32709,0
Neg_2866,2.23141,0
Neg_133,-0.3838,0
Neg_1514,0.44935,0
Neg_1790,0.0356,0
Neg_2219,-1.24928,0
Neg_2758,-0.34394,0
Neg_621,0.48738,0
Neg_904,2.63454,0
Neg_736,-0.39933,0
Neg_431,-0.84157,0
Neg_2469,0.29175,0
Neg_2895,-0.19652,0
Neg_202,-0.43879,0
Neg_478,0.47231,0
Neg_1929,-0.60839,0
Neg_1179,-0.02946,0
Neg_116,-0.31059,0
Neg_2854,0.7409,0
Neg_2229,0.37296,0
Neg_301,1.97078,0
Neg_2264,-0.08586,0
Neg_58,-0.32085,0
Neg_37,0.4907,0
Neg_1299,1.4219,0
Neg_2238,1.72611,0
Neg_1065,-0.82642,0
Neg_2393,-0.65976,0
Neg_1063,-0.32944,0
Neg_2681,-0.04866,0
Neg_1206,0.4695,0
Neg_926,0.43494,0
Neg_1834,2.95508,0
Neg_219,0.23599,0
Neg_1051,-0.68197,0
Neg_2732,0.20531,0
Neg_22,2.15269,0
Neg_2672,-0.85143,0
Neg_1925,-0.5934,0
Neg_1046,0.99762,0
Neg_2602,-1.21438,0
Neg_2626,-0.71943,0
Neg_664,-0.60468,0
Neg_1033,-0.5154,0
Neg_1541,-0.53955,0
Neg_352,-1.23244,0
Neg_2763,1.53023,0
Neg_2198,-0.85438,0
Neg_260,0.83474,0
Neg_743,-0.5815,0
Neg_1798,1.12304,0
Neg_805,-0.68047,0
Neg_2446,-0.69827,0
Neg_1456,1.6626,0
Neg_853,1.91566,0
Neg_1866,0.41014,0
