,SEP_A,SEP_C,SEP_D,SEP_E,SEP_F,SEP_G,SEP_H,SEP_I,SEP_K,SEP_L,SEP_M,SEP_N,SEP_P,SEP_Q,SEP_R,SEP_S,SEP_T,SEP_V,SEP_W,SEP_Y,y
peptide_nm_1,1.28659,0.51032,-1.05303,0.80409,1.02697,1.34979,0.57191,-1.29176,0.00015,2.07674,0.53568,-1.30211,-1.83105,0.65443,-0.62543,-1.90617,-2.30519,1.22158,0.65087,0.65328,0
peptide_nm_2,1.28659,0.51032,-1.14022,0.80409,-0.75426,1.34979,-3.56768,-0.57539,-0.76322,0.24069,0.53568,0.72336,-1.92475,-1.46558,-0.69944,1.06474,0.89747,1.22158,0.65087,0.65328,0
peptide_nm_3,-1.28325,-1.35464,0.77128,-0.33433,1.02697,-1.15761,-1.7863,-0.53216,0.51261,-0.55172,0.53568,0.72336,-0.32513,-0.65477,-0.07884,1.06474,0.89747,-0.98893,0.65087,0.65328,0
peptide_nm_4,0.19825,0.51032,-0.50976,-2.43007,1.02697,-0.48774,0.57191,1.18466,-0.14399,0.84626,-1.3216,-1.50316,-1.14837,-1.56972,0.92323,-0.12737,-0.38763,0.02213,-0.72469,0.65328,0
peptide_nm_5,0.16406,0.51032,-1.28107,0.80409,1.02697,1.34979,-1.0992,-0.70508,-0.59239,-0.39066,-1.37995,-1.55529,0.85284,-1.62179,0.92323,-0.84513,-1.16139,1.22158,0.65087,-1.80148,0
peptide_nm_6,0.30652,0.51032,-1.05303,-1.42748,-0.67301,1.34979,-1.73541,1.18466,0.53396,-0.50662,-1.13685,-1.30211,-1.45624,-1.36888,-0.05607,1.06474,0.89747,-0.48654,-1.30804,0.65328,0
peptide_nm_7,-0.13794,0.51032,0.77128,-1.62153,1.02697,-0.18661,0.57191,1.18466,0.11759,-1.14441,0.53568,-2.0691,0.85284,-2.13506,-1.21187,1.06474,0.89747,-0.34839,0.65087,0.65328,0
peptide_nm_8,1.28659,0.51032,-0.90548,-0.81299,1.02697,-0.18661,0.57191,-1.13119,0.11759,0.46617,0.53568,-1.13828,0.85284,0.65443,-0.50017,-0.49562,-1.62564,-1.62319,0.65087,-1.35224,0
peptide_nm_9,1.28659,-1.1668,-0.90548,0.80409,1.02697,-0.18661,0.57191,1.18466,0.11759,-1.34412,0.53568,0.72336,0.85284,0.65443,-1.21187,-1.27579,0.89747,-0.34839,0.65087,-1.35224,0
peptide_nm_10,-0.41714,-1.49552,-1.23412,0.80409,-0.84176,1.34979,0.57191,1.18466,-1.36643,2.07674,0.53568,0.72336,0.85284,0.65443,-0.77915,-1.62531,-1.11429,1.22158,0.65087,0.65328,0
