,Janin,y
Neg_446,-0.41398,0
Neg_2228,-0.9193,0
Neg_2386,-1.3079,0
Neg_2835,1.3226,0
Neg_2149,-0.42915,0
Neg_2248,-0.41551,0
Neg_2739,0.02685,0
Neg_2580,0.95263,0
Neg_2765,-1.10484,0
Neg_939,0.0555,0
Neg_1859,0.81062,0
Neg_1088,-1.45803,0
Neg_448,0.49213,0
Neg_2831,-0.71719,0
Neg_358,-0.01107,0
Neg_2287,-0.29027,0
Neg_2597,0.09415,0
Neg_2648,-0.76934,0
Neg_152,-1.48483,0
Neg_2086,0.08754,0
Neg_966,0.14229,0
Neg_2081,-0.80461,0
Neg_2579,0.27147,0
Neg_542,-0.80065,0
Neg_270,0.0382,0
Neg_447,2.44589,0
Neg_2242,-0.62884,0
Neg_1615,0.2491,0
Neg_103,-0.6439,0
Neg_1048,-1.29662,0
Neg_628,0.11182,0
Neg_2169,1.4265,0
Neg_599,-0.15694,0
Neg_2490,-0.05415,0
Neg_62,-0.37071,0
Neg_1129,-0.46908,0
Neg_190,2.22754,0
Neg_1522,0.44836,0
Neg_165,-0.0069,0
Neg_1152,-0.30996,0
Neg_217,0.08443,0
Neg_1140,0.12969,0
Neg_2378,-0.66434,0
Neg_1569,-0.28821,0
Neg_662,-0.35944,0
Neg_688,1.47426,0
Neg_541,1.29452,0
Neg_624,-0.95054,0
Neg_2108,-0.66593,0
Neg_2808,-0.76413,0
Neg_2794,-0.15353,0
Neg_2286,0.3349,0
Neg_373,-0.45971,0
Neg_2612,-0.48168,0
Neg_937,0.03187,0
Neg_1345,-0.46697,0
Neg_2671,-0.27806,0
Neg_2855,0.45008,0
Neg_279,-1.00438,0
Neg_706,-0.33192,0
Neg_2921,-0.67869,0
Neg_994,0.70086,0
Neg_2453,-0.49867,0
Neg_2074,-0.4098,0
Neg_1803,-0.65706,0
Neg_653,0.45688,0
Neg_1943,-0.60693,0
Neg_1283,-1.29911,0
Neg_1383,-1.26964,0
Neg_325,-0.80317,0
Neg_2702,-1.15027,0
Neg_2180,-0.45736,0
Neg_585,0.68202,0
Neg_2047,-0.71843,0
Neg_2392,-0.73564,0
Neg_919,1.93678,0
Neg_2566,-0.72183,0
Neg_404,1.27073,0
Neg_953,-0.4955,0
Neg_1257,-1.07109,0
Neg_1680,-0.90034,0
Neg_1098,3.97674,0
Neg_1404,0.45466,0
Neg_79,0.05448,0
Neg_2483,-0.40546,0
Neg_2866,0.03603,0
Neg_133,0.40032,0
Neg_1514,0.84339,0
Neg_1790,-1.16621,0
Neg_2219,-1.11036,0
Neg_2758,-0.03679,0
Neg_621,-0.0187,0
Neg_904,1.92513,0
Neg_736,0.75808,0
Neg_431,-0.98018,0
Neg_2469,0.25836,0
Neg_2895,0.21854,0
Neg_202,-0.45147,0
Neg_478,1.48161,0
Neg_1929,-1.13407,0
Neg_1179,-1.40333,0
Neg_116,-0.32727,0
Neg_2854,-0.30383,0
Neg_2229,-0.82716,0
Neg_301,1.86875,0
Neg_2264,-0.45703,0
Neg_58,-0.93802,0
Neg_37,-0.11871,0
Neg_1299,0.11818,0
Neg_2238,0.44559,0
Neg_1065,-0.59662,0
Neg_2393,0.16302,0
Neg_1063,-0.34151,0
Neg_2681,-0.25689,0
Neg_1206,0.04402,0
Neg_926,-0.48007,0
Neg_1834,0.20296,0
Neg_219,-0.81584,0
Neg_1051,-0.90699,0
Neg_2732,0.60788,0
Neg_22,1.50137,0
Neg_2672,-0.3197,0
Neg_1925,-1.32616,0
Neg_1046,1.09369,0
Neg_2602,-1.31658,0
Neg_2626,-1.03468,0
Neg_664,-0.28638,0
Neg_1033,-0.52542,0
Neg_1541,-0.60624,0
Neg_352,-1.54858,0
Neg_2763,1.3351,0
Neg_2198,-0.47085,0
Neg_260,0.52284,0
Neg_743,-0.81183,0
Neg_1798,0.94266,0
Neg_805,-0.64083,0
Neg_2446,-0.28692,0
Neg_1456,0.8425,0
Neg_853,1.29534,0
Neg_1866,-0.14838,0
Neg_1972,-0.08565,0
Neg_1250,-0.64571,0
Neg_2893,-0.62151,0
Neg_415,-0.0578,0
Neg_2440,0.04878,0
Neg_1947,-0.30221,0
Neg_2296,-1.13646,0
Neg_1491,-1.11404,0
Neg_1592,-0.44634,0
Neg_833,-1.3641,0
Neg_2254,2.03576,0
Neg_2786,1.16037,0
Neg_1307,-0.11148,0
Neg_1022,-0.19903,0
Neg_2289,-1.07781,0
Neg_2564,-1.3464,0
Neg_1131,-0.53623,0
Neg_2814,-0.96026,0
Neg_2346,-0.88018,0
Neg_2538,0.96868,0
Neg_503,1.26196,0
Neg_614,-0.03193,0
Neg_2227,-0.25188,0
Neg_1977,-1.07292,0
Neg_1151,-0.36022,0
Neg_2315,-0.74619,0
Neg_1180,-0.23798,0
Neg_308,-0.11957,0
Neg_1426,-1.04967,0
Neg_12,-0.94129,0
Neg_506,0.11384,0
Neg_136,-0.66818,0
Neg_378,-0.73899,0
Neg_2058,-1.08377,0
Neg_2336,-0.68615,0
Neg_2220,-1.21547,0
Neg_262,-1.40875,0
Neg_1888,1.00068,0
Neg_2552,-0.91329,0
Neg_1340,-0.40747,0
Neg_1753,0.7708,0
Neg_941,-0.72473,0
Neg_689,-1.19474,0
Neg_403,-1.11086,0
Neg_2524,-1.30631,0
Neg_1006,-1.39084,0
Neg_89,1.28629,0
Neg_1956,0.51263,0
Neg_2723,-0.72001,0
Neg_34,-0.55826,0
Neg_757,0.70425,0
Neg_1170,0.72949,0
Neg_1405,-0.55133,0
Neg_1634,-0.12968,0
Neg_835,-0.31166,0
Neg_1809,-0.99567,0
Neg_296,-0.33739,0
Neg_1989,-1.24053,0
Neg_636,-0.48102,0
Neg_1350,0.30158,0
Neg_160,-0.63164,0
Neg_1524,-1.13179,0
Neg_836,-1.30907,0
Neg_1885,-1.04532,0
Neg_1723,-0.2683,0
Neg_1139,-1.24645,0
Neg_531,-0.93316,0
Neg_131,-1.24841,0
Neg_226,-0.04459,0
Neg_2031,-1.33383,0
Neg_1050,-0.27631,0
Neg_2215,0.25048,0
Neg_1008,0.99472,0
Neg_755,0.63014,0
Neg_1309,1.8198,0
Neg_1348,-0.21456,0
Neg_2829,-0.68708,0
Neg_1281,-0.46858,0
Neg_2879,0.27788,0
Neg_2182,-0.73369,0
Neg_513,0.52352,0
Neg_2222,-0.52962,0
Neg_2348,-1.2174,0
Neg_549,1.79661,0
Neg_2669,0.15515,0
Neg_1248,-0.49368,0
Neg_19,-0.22102,0
Neg_1763,-0.91853,0
Neg_2832,-1.23191,0
Neg_1992,-0.96362,0
Neg_2675,-0.36896,0
Neg_203,-0.65515,0
Neg_2314,-0.39029,0
Neg_460,0.84903,0
Neg_248,-1.00563,0
Neg_418,-0.5917,0
Neg_1007,-0.7108,0
Neg_2178,-0.43073,0
Neg_537,-1.4311,0
Neg_97,-0.89601,0
Neg_1719,0.17929,0
Neg_1777,-0.83302,0
Neg_771,-0.89937,0
Neg_2070,-0.28625,0
Neg_1418,0.14858,0
Neg_1167,-1.23274,0
Neg_2477,-0.96953,0
Neg_715,-0.45523,0
Neg_616,-0.64272,0
Neg_558,0.58011,0
Neg_64,0.39127,0
Neg_1316,0.03372,0
Neg_1507,-0.22052,0
Neg_1101,-0.5566,0
Neg_1796,-1.17669,0
