,NMBroto_CIDH920105.lag1,NMBroto_CIDH920105.lag2,NMBroto_CIDH920105.lag3,NMBroto_BHAR880101.lag1,NMBroto_BHAR880101.lag2,NMBroto_BHAR880101.lag3,NMBroto_CHAM820101.lag1,NMBroto_CHAM820101.lag2,NMBroto_CHAM820101.lag3,NMBroto_CHAM820102.lag1,NMBroto_CHAM820102.lag2,NMBroto_CHAM820102.lag3,NMBroto_CHOC760101.lag1,NMBroto_CHOC760101.lag2,NMBroto_CHOC760101.lag3,NMBroto_BIGC670101.lag1,NMBroto_BIGC670101.lag2,NMBroto_BIGC670101.lag3,NMBroto_CHAM810101.lag1,NMBroto_CHAM810101.lag2,NMBroto_CHAM810101.lag3,NMBroto_DAYM780201.lag1,NMBroto_DAYM780201.lag2,NMBroto_DAYM780201.lag3,y
Neg_446,0.37686,0.15172,-0.46178,0.6417,-0.21402,-0.16977,-0.07701,-0.15169,0.14166,-0.32161,-1.39172,0.23362,-0.04832,-0.20692,-0.30356,-0.25566,-0.21826,-0.27597,-0.46389,-0.43012,-0.50107,-0.30268,0.27233,0.74558,0
Neg_2228,-0.29036,0.11315,0.81337,0.23198,0.20138,0.99159,0.29365,-0.10658,0.50471,0.61075,0.47336,0.47916,0.43065,0.22502,0.53836,0.22335,-0.19442,0.59447,-0.52625,0.39194,1.05741,-0.28694,-0.2848,0.42354,0
Neg_2386,2.39031,1.80024,0.76829,2.38328,1.85758,1.36033,0.37487,0.12302,-0.37511,0.61387,0.85867,1.37443,0.1693,-0.18655,-0.62477,0.53773,0.14347,-0.43724,0.57763,-0.52941,0.12017,1.06524,0.19036,0.50856,0
Neg_2835,-1.0805,0.33391,0.35947,-0.5775,0.34498,0.14685,-0.13181,-0.65353,-0.72927,-0.32515,-0.19175,-0.94091,-0.22029,-0.37749,-0.35867,-7e-05,-0.33744,-0.40031,-0.04096,-0.12487,-0.07318,-0.20122,-0.1556,-0.83837,0
Neg_2149,-0.60676,-1.19593,0.44564,-0.42635,-0.2897,0.30451,0.40167,0.01632,0.41197,-0.63429,-0.64575,0.35769,0.30693,-0.00846,0.45494,0.16348,-0.27547,0.24314,0.15317,-0.79879,-0.50662,-0.31535,-0.17104,0.30569,0
Neg_2248,1.13772,-0.29394,0.04451,1.07073,0.36476,0.78631,0.48976,-0.39527,0.00825,-1.49596,-0.63385,-1.30514,0.49725,-0.2826,0.10331,0.47163,-0.44921,-0.01323,0.13823,-0.38469,-0.21207,0.94199,-0.22873,-0.81226,0
Neg_2739,-0.61476,-0.21637,0.50461,-0.18317,0.16218,-0.39258,-0.46854,-0.66345,0.12786,0.11676,-0.25847,-0.10538,-0.45298,-0.57139,-0.01688,-0.4139,-0.54518,-0.01543,0.02939,-0.24899,-0.48943,0.11926,-0.70385,0.5577,0
Neg_2580,-0.04125,0.30615,1.94463,0.44249,0.40386,1.74264,0.42444,0.87116,0.54524,1.06282,1.39222,1.37451,0.37426,0.96846,0.51392,0.09035,0.92,0.48582,0.21808,0.32531,0.27982,0.70097,0.44928,1.86118,0
Neg_2765,0.3606,-0.00246,-1.25796,0.22761,0.7953,-0.14585,0.67108,0.47286,0.28109,-0.25381,-0.17318,-0.03374,0.49461,0.34665,0.20803,0.61956,0.17818,0.12799,-0.1237,-0.54006,-0.47934,-0.84909,1.31894,0.54396,0
Neg_939,1.02476,0.56342,-0.31024,1.63034,1.06855,-0.15743,1.15282,0.43386,0.34386,-0.15816,0.50517,0.33344,1.20427,0.66136,0.44972,1.15849,0.56166,0.40041,0.0868,-0.00228,0.05971,0.58401,-0.16516,0.49263,0
