,Levitt_alpha,y
peptide_nm_1,0.42748,0
peptide_nm_2,1.58879,0
peptide_nm_3,-0.6001,0
peptide_nm_4,-0.40405,0
peptide_nm_5,0.8898,0
peptide_nm_6,-0.15865,0
peptide_nm_7,0.46195,0
peptide_nm_8,0.10543,0
peptide_nm_9,0.2319,0
peptide_nm_10,0.04058,0
peptide_nm_11,0.82932,0
peptide_nm_12,-0.71556,0
peptide_nm_13,-0.79778,0
peptide_nm_14,0.35268,0
peptide_nm_15,1.73602,0
peptide_nm_16,0.64386,0
peptide_nm_17,-1.23414,0
peptide_nm_18,0.37949,0
peptide_nm_19,1.09628,0
peptide_nm_20,0.86968,0
peptide_nm_21,-0.59492,0
peptide_nm_22,0.79236,0
peptide_nm_23,-0.8647,0
peptide_nm_24,0.2034,0
peptide_nm_25,0.68672,0
peptide_nm_26,-0.08466,0
peptide_nm_27,-0.79661,0
peptide_nm_28,-0.54065,0
peptide_nm_29,-0.04743,0
peptide_nm_30,1.1971,0
peptide_nm_31,-0.40846,0
peptide_nm_32,0.47673,0
peptide_nm_33,1.42976,0
peptide_nm_34,-1.09804,0
peptide_nm_35,-0.01001,0
peptide_nm_36,2.00466,0
peptide_nm_37,-0.31922,0
peptide_nm_38,0.63215,0
peptide_nm_39,1.46921,0
peptide_nm_40,-0.87891,0
peptide_nm_41,-1.14275,0
peptide_nm_43,0.33532,0
peptide_nm_44,-0.92539,0
peptide_nm_45,0.12832,0
peptide_nm_46,-0.84111,0
peptide_nm_47,-1.12549,0
peptide_nm_48,1.4742,0
peptide_nm_49,0.44581,0
peptide_nm_50,-0.53862,0
peptide_nm_51,-1.067,0
peptide_nm_52,-0.55269,0
peptide_nm_53,-0.09492,0
peptide_nm_54,1.60134,0
peptide_nm_55,-0.48729,0
peptide_nm_56,-0.49718,0
peptide_nm_57,-0.05239,0
peptide_nm_58,-0.14962,0
peptide_nm_59,0.24604,0
peptide_nm_60,-0.55981,0
peptide_nm_61,0.41188,0
peptide_nm_62,2.29795,0
peptide_nm_63,1.23909,0
peptide_nm_64,0.1679,0
peptide_nm_65,-0.73656,0
peptide_nm_66,-0.59494,0
peptide_nm_67,0.29395,0
peptide_nm_68,0.74007,0
peptide_nm_69,-0.14739,0
peptide_nm_70,0.2069,0
peptide_nm_71,1.16393,0
peptide_nm_72,-1.32036,0
peptide_nm_73,-0.47023,0
peptide_nm_74,-0.20419,0
peptide_nm_75,-1.12679,0
peptide_nm_76,-0.48484,0
peptide_nm_77,-0.61315,0
peptide_nm_78,-0.24293,0
peptide_nm_79,0.77104,0
peptide_nm_80,-0.188,0
peptide_nm_81,-0.51908,0
peptide_nm_82,0.33863,0
peptide_nm_83,0.25323,0
peptide_nm_84,-0.06164,0
peptide_nm_85,0.23967,0
peptide_nm_86,-0.74442,0
peptide_nm_87,0.0501,0
peptide_nm_88,0.18044,0
peptide_nm_89,-0.38289,0
peptide_nm_90,0.30143,0
peptide_nm_91,-1.38123,0
peptide_nm_92,-1.0021,0
peptide_nm_93,0.52777,0
peptide_nm_94,0.30262,0
peptide_nm_95,0.29822,0
peptide_nm_96,-0.57887,0
peptide_nm_97,0.31589,0
peptide_nm_98,-1.11649,0
peptide_nm_99,-0.46493,0
peptide_nm_100,0.79079,0
peptide_nm_101,-1.16434,0
peptide_nm_102,-1.33928,0
peptide_nm_103,1.35578,0
peptide_nm_104,-0.90735,0
peptide_nm_105,1.13156,0
peptide_nm_106,-0.93435,0
peptide_nm_107,-0.65897,0
peptide_nm_108,0.30558,0
peptide_nm_109,3.09602,0
