,Argos,y
peptide_nm_1,-0.68245,0
peptide_nm_2,0.13659,0
peptide_nm_3,-0.85679,0
peptide_nm_4,-0.55772,0
peptide_nm_5,-0.32043,0
peptide_nm_6,-0.44756,0
peptide_nm_7,0.84066,0
peptide_nm_8,-1.22426,0
peptide_nm_9,-0.04072,0
peptide_nm_10,-1.32979,0
peptide_nm_11,-0.86945,0
peptide_nm_12,-1.31916,0
peptide_nm_13,-0.96259,0
peptide_nm_14,0.25559,0
peptide_nm_15,-1.10648,0
peptide_nm_16,-0.76955,0
peptide_nm_17,-1.28163,0
peptide_nm_18,-0.42073,0
peptide_nm_19,0.11106,0
peptide_nm_20,-0.7433,0
peptide_nm_21,-0.07478,0
peptide_nm_22,-0.97568,0
peptide_nm_23,-1.30873,0
peptide_nm_24,0.37061,0
peptide_nm_25,-0.94316,0
peptide_nm_26,-0.40254,0
peptide_nm_27,-0.3819,0
peptide_nm_28,-0.27894,0
peptide_nm_29,-0.84211,0
peptide_nm_30,-1.17225,0
peptide_nm_31,-0.9824,0
peptide_nm_32,-0.65426,0
peptide_nm_33,-0.09543,0
peptide_nm_34,0.70249,0
peptide_nm_35,-0.30617,0
peptide_nm_36,-0.44409,0
peptide_nm_37,-0.7256,0
peptide_nm_38,-0.49602,0
peptide_nm_39,0.22535,0
peptide_nm_40,-1.0383,0
peptide_nm_41,-0.05965,0
peptide_nm_43,0.16688,0
peptide_nm_44,0.50153,0
peptide_nm_45,-0.80512,0
peptide_nm_46,-1.16651,0
peptide_nm_47,-0.73636,0
peptide_nm_48,0.46446,0
peptide_nm_49,-1.11297,0
peptide_nm_50,-0.55794,0
peptide_nm_51,-0.61957,0
peptide_nm_52,-0.07371,0
peptide_nm_53,-0.41634,0
peptide_nm_54,-0.52828,0
peptide_nm_55,-0.72943,0
peptide_nm_56,-0.89305,0
peptide_nm_57,-1.21015,0
peptide_nm_58,-0.28005,0
peptide_nm_59,-0.96618,0
peptide_nm_60,-0.63164,0
peptide_nm_61,-0.56149,0
peptide_nm_62,-0.40415,0
peptide_nm_63,-0.76808,0
peptide_nm_64,-0.47618,0
peptide_nm_65,-0.25456,0
peptide_nm_66,-0.88626,0
peptide_nm_67,-0.59393,0
peptide_nm_68,-0.51829,0
peptide_nm_69,-0.82228,0
peptide_nm_70,-0.45367,0
peptide_nm_71,1.58051,0
peptide_nm_72,0.17822,0
peptide_nm_73,-0.52461,0
peptide_nm_74,-0.69933,0
peptide_nm_75,-1.14318,0
peptide_nm_76,-0.68167,0
peptide_nm_77,-0.81213,0
peptide_nm_78,1.17612,0
peptide_nm_79,-1.30299,0
peptide_nm_80,-0.92785,0
peptide_nm_81,-1.355,0
peptide_nm_82,-0.77719,0
peptide_nm_83,-1.24604,0
peptide_nm_84,-1.0018,0
peptide_nm_85,-0.2004,0
peptide_nm_86,-0.40837,0
peptide_nm_87,-0.62649,0
peptide_nm_88,1.29923,0
peptide_nm_89,-0.65481,0
peptide_nm_90,-0.81938,0
peptide_nm_91,-0.52807,0
peptide_nm_92,-0.26998,0
peptide_nm_93,0.32505,0
peptide_nm_94,-0.27082,0
peptide_nm_95,-0.81287,0
peptide_nm_96,-0.54192,0
peptide_nm_97,-0.94242,0
peptide_nm_98,0.388,0
peptide_nm_99,0.36941,0
peptide_nm_100,0.15295,0
peptide_nm_101,-0.40726,0
peptide_nm_102,-0.86186,0
peptide_nm_103,-0.19318,0
peptide_nm_104,0.04561,0
peptide_nm_105,-0.73203,0
peptide_nm_106,-0.34136,0
peptide_nm_107,-1.30097,0
peptide_nm_108,-0.56651,0
peptide_nm_109,0.60013,0
peptide_nm_110,-0.94132,0
peptide_nm_111,-0.90357,0
peptide_nm_112,-0.98024,0
peptide_nm_113,-0.1333,0
peptide_nm_114,-0.09305,0
peptide_nm_115,-0.56273,0
peptide_nm_116,0.5404,0
peptide_nm_117,0.3502,0
peptide_nm_118,-1.35473,0
peptide_nm_119,-0.13106,0
peptide_nm_120,0.47792,0
peptide_nm_121,-0.20565,0
peptide_nm_122,-0.69693,0
peptide_nm_123,-0.9018,0
peptide_nm_124,-0.32618,0
peptide_nm_125,-0.93478,0
peptide_nm_126,-0.72556,0
peptide_nm_127,-0.41914,0
peptide_nm_128,-0.73505,0
peptide_nm_129,-1.26006,0
peptide_nm_130,-0.59641,0
peptide_nm_131,-0.10619,0
peptide_nm_132,-0.62992,0
peptide_nm_133,0.94037,0
peptide_nm_134,0.4854,0
peptide_nm_135,0.17058,0
peptide_nm_136,-1.02178,0
peptide_nm_137,-0.90932,0
peptide_nm_138,-0.36776,0
peptide_nm_139,-0.43326,0
peptide_nm_140,0.06853,0
peptide_nm_141,-0.80685,0
peptide_nm_142,-0.51071,0
peptide_nm_143,-0.7978,0
peptide_nm_144,0.86261,0
peptide_nm_145,-0.88279,0
peptide_nm_146,-0.56809,0
peptide_nm_147,-0.51436,0
peptide_nm_148,-0.26076,0
peptide_nm_149,-0.44086,0
peptide_nm_150,-0.5727,0
peptide_nm_151,0.28805,0
peptide_nm_152,-0.45352,0
peptide_nm_153,-0.50031,0
peptide_nm_154,-0.25803,0
peptide_nm_155,-0.80983,0
peptide_nm_156,-0.63934,0
peptide_nm_157,-0.65817,0
peptide_nm_158,-0.01633,0
peptide_nm_159,-0.6142,0
peptide_nm_160,-1.15966,0
peptide_nm_161,-0.80935,0
peptide_nm_162,-0.59817,0
peptide_nm_163,0.13568,0
peptide_nm_164,-0.55073,0
peptide_nm_165,0.06165,0
peptide_nm_166,-0.70663,0
peptide_nm_167,-0.40298,0
peptide_nm_168,-0.46048,0
peptide_nm_169,-1.38702,0
peptide_nm_170,-0.12403,0
peptide_nm_171,-0.87515,0
peptide_nm_172,-0.21457,0
peptide_nm_173,-0.68942,0
peptide_nm_174,-0.64902,0
peptide_nm_175,-0.31824,0
peptide_nm_176,-1.07071,0
peptide_nm_177,-0.23344,0
peptide_nm_178,-0.05366,0
peptide_nm_179,-1.14347,0
peptide_nm_180,-0.58587,0
peptide_nm_181,0.40751,0
peptide_nm_182,-0.62633,0
peptide_nm_183,0.08846,0
peptide_nm_184,-0.30666,0
peptide_nm_185,-0.72005,0
peptide_nm_186,-0.83874,0
peptide_nm_187,-0.10894,0
peptide_nm_188,0.15985,0
peptide_nm_189,-0.80832,0
peptide_nm_190,-0.40837,0
peptide_nm_191,-1.32176,0
peptide_nm_192,-0.68602,0
peptide_nm_193,0.4661,0
peptide_nm_194,-0.63965,0
peptide_nm_195,0.47777,0
peptide_nm_196,-0.98967,0
peptide_nm_197,-1.26199,0
peptide_nm_198,0.2582,0
peptide_nm_199,0.99786,0
peptide_nm_200,1.46683,0
peptide_nm_201,-1.09436,0
peptide_nm_202,1.13775,0
peptide_nm_203,-0.68223,0
peptide_nm_204,-1.07321,0
peptide_nm_205,-0.89066,0
peptide_nm_206,-0.3307,0
