,formula_C,formula_H,formula_N,formula_O,formula_S,y
Neg_446,140,229,43,53,2,0
Neg_2228,320,499,97,96,2,0
Neg_2386,169,293,63,63,1,0
Neg_2835,280,467,85,87,0,0
Neg_2149,304,504,84,95,8,0
Neg_2248,226,340,66,68,1,0
Neg_2739,439,682,126,134,3,0
Neg_2580,127,203,37,45,0,0
Neg_2765,381,594,100,125,2,0
Neg_939,282,418,72,72,4,0
Neg_1859,144,233,35,42,0,0
Neg_1088,278,428,88,82,0,0
Neg_448,311,504,86,99,7,0
Neg_2831,428,681,121,134,2,0
Neg_358,259,425,67,82,0,0
Neg_2287,269,433,73,74,3,0
Neg_2597,182,282,48,63,1,0
Neg_2648,481,759,133,153,2,0
Neg_152,355,542,88,98,0,0
Neg_2086,206,348,56,50,2,0
Neg_966,200,318,50,64,1,0
Neg_2081,373,604,116,117,5,0
Neg_2579,225,363,63,66,2,0
Neg_542,427,716,140,137,0,0
Neg_270,392,606,116,113,4,0
Neg_447,105,182,36,36,0,0
Neg_2242,331,523,81,94,2,0
Neg_1615,150,249,45,38,2,0
Neg_103,201,337,63,59,5,0
Neg_1048,239,356,66,69,1,0
Neg_628,134,209,41,35,0,0
Neg_2169,216,353,53,56,1,0
Neg_599,471,744,134,115,6,0
Neg_2490,138,232,44,40,2,0
Neg_62,409,647,115,127,2,0
Neg_1129,393,615,133,108,4,0
Neg_190,67,118,20,19,2,0
Neg_1522,333,561,107,94,1,0
Neg_165,352,574,114,98,3,0
Neg_1152,250,396,58,59,2,0
Neg_217,237,364,66,77,4,0
Neg_1140,224,362,64,68,4,0
Neg_2378,228,368,64,62,1,0
Neg_1569,379,607,107,131,2,0
Neg_662,119,180,38,35,0,0
Neg_688,321,465,83,86,1,0
Neg_541,77,122,18,22,2,0
Neg_624,142,205,35,38,2,0
Neg_2108,298,465,77,79,6,0
Neg_2808,375,589,107,102,4,0
Neg_2794,209,322,60,75,4,0
Neg_2286,408,678,108,124,3,0
Neg_373,486,747,117,134,7,0
Neg_2612,384,617,101,121,0,0
Neg_937,424,638,108,129,1,0
Neg_1345,327,519,89,92,3,0
Neg_2671,478,752,108,124,5,0
Neg_2855,108,183,33,33,1,0
Neg_279,362,566,96,121,3,0
Neg_706,445,728,116,134,2,0
Neg_2921,249,391,57,67,5,0
Neg_994,192,320,60,66,0,0
Neg_2453,123,197,27,29,3,0
Neg_2074,143,225,41,43,2,0
Neg_1803,121,196,34,38,0,0
Neg_653,152,247,43,51,3,0
Neg_1943,140,238,38,43,1,0
Neg_1283,249,396,66,74,3,0
Neg_1383,134,234,38,35,0,0
Neg_325,299,440,70,87,2,0
Neg_2702,406,680,126,134,2,0
Neg_2180,256,424,70,75,1,0
Neg_585,248,395,69,72,2,0
Neg_2047,229,365,67,65,3,0
Neg_2392,97,156,34,34,1,0
Neg_919,47,81,13,17,0,0
Neg_2566,462,715,115,153,4,0
Neg_404,169,261,37,43,0,0
Neg_953,296,498,82,93,5,0
Neg_1257,329,502,82,91,3,0
Neg_1680,215,344,60,58,1,0
Neg_1098,61,101,19,22,0,0
Neg_1404,120,190,32,31,1,0
Neg_79,253,389,73,67,0,0
Neg_2483,166,251,45,54,0,0
Neg_2866,62,93,15,22,0,0
Neg_133,472,737,127,129,2,0
Neg_1514,158,256,44,71,0,0
Neg_1790,178,281,51,52,1,0
Neg_2219,335,525,99,85,3,0
Neg_2758,383,634,126,119,0,0
Neg_621,179,306,52,52,0,0
Neg_904,59,102,16,19,1,0
Neg_736,158,261,51,45,3,0
Neg_431,359,587,97,102,3,0
Neg_2469,159,243,45,48,3,0
Neg_2895,396,648,122,116,4,0
Neg_202,286,465,85,98,3,0
Neg_478,183,276,52,50,2,0
Neg_1929,405,649,105,126,3,0
Neg_1179,94,133,27,33,0,0
Neg_116,462,735,123,136,6,0
Neg_2854,202,328,64,63,0,0
Neg_2229,190,306,54,53,0,0
Neg_301,147,224,38,41,1,0
Neg_2264,265,417,83,100,3,0
Neg_58,178,270,48,48,1,0
Neg_37,163,253,43,74,0,0
Neg_1299,63,115,19,13,0,0
Neg_2238,239,374,68,75,2,0
Neg_1065,424,662,106,125,3,0
Neg_2393,445,705,129,116,6,0
Neg_1063,361,571,97,105,2,0
Neg_2681,168,277,47,62,1,0
Neg_1206,354,545,93,105,7,0
Neg_926,96,134,24,33,0,0
Neg_1834,53,92,12,19,1,0
Neg_219,242,354,62,84,5,0
Neg_1051,427,685,131,127,1,0
Neg_2732,85,142,30,24,0,0
Neg_22,115,180,30,31,1,0
Neg_2672,237,376,72,75,3,0
Neg_1925,433,647,111,108,1,0
Neg_1046,146,236,40,40,1,0
Neg_2602,253,389,61,68,6,0
Neg_2626,301,484,92,92,4,0
Neg_664,441,680,108,126,5,0
Neg_1033,378,612,96,121,3,0
Neg_1541,389,639,121,122,0,0
Neg_352,245,398,70,86,0,0
Neg_2763,318,538,104,109,3,0
Neg_2198,413,651,117,108,5,0
Neg_260,117,202,30,39,3,0
Neg_743,200,315,65,65,0,0
Neg_1798,187,286,52,53,2,0
Neg_805,355,555,89,113,3,0
Neg_2446,484,741,127,134,0,0
Neg_1456,98,161,29,27,2,0
Neg_853,66,116,18,22,0,0
Neg_1866,183,286,58,59,4,0
Neg_1972,417,687,131,116,6,0
Neg_1250,504,784,140,149,4,0
Neg_2893,428,701,135,128,2,0
Neg_415,183,287,47,53,3,0
Neg_2440,115,186,38,31,0,0
Neg_1947,163,263,43,50,6,0
Neg_2296,327,515,111,93,3,0
Neg_1491,539,829,151,150,9,0
Neg_1592,328,501,81,97,4,0
Neg_833,276,443,87,80,2,0
Neg_2254,75,133,31,28,0,0
Neg_2786,356,612,114,121,3,0
Neg_1307,394,627,105,109,3,0
Neg_1022,112,160,32,31,1,0
Neg_2289,202,337,51,61,1,0
Neg_2564,165,254,48,62,2,0
Neg_1131,336,538,92,88,0,0
Neg_2814,290,428,74,84,2,0
Neg_2346,147,239,41,50,0,0
Neg_2538,306,492,80,95,2,0
Neg_503,170,290,48,48,2,0
Neg_614,182,299,53,56,3,0
Neg_2227,176,285,57,56,0,0
Neg_1977,374,564,84,100,8,0
Neg_1151,360,578,104,109,2,0
Neg_2315,248,375,71,72,0,0
Neg_1180,325,515,115,97,1,0
Neg_308,223,358,66,56,3,0
