,Geary_CIDH920105.lag1,Geary_CIDH920105.lag2,Geary_CIDH920105.lag3,Geary_BHAR880101.lag1,Geary_BHAR880101.lag2,Geary_BHAR880101.lag3,Geary_CHAM820101.lag1,Geary_CHAM820101.lag2,Geary_CHAM820101.lag3,Geary_CHAM820102.lag1,Geary_CHAM820102.lag2,Geary_CHAM820102.lag3,Geary_CHOC760101.lag1,Geary_CHOC760101.lag2,Geary_CHOC760101.lag3,Geary_BIGC670101.lag1,Geary_BIGC670101.lag2,Geary_BIGC670101.lag3,Geary_CHAM810101.lag1,Geary_CHAM810101.lag2,Geary_CHAM810101.lag3,Geary_DAYM780201.lag1,Geary_DAYM780201.lag2,Geary_DAYM780201.lag3,y
peptide_nm_1,0.97733,-2.12299,-0.69052,-0.259,-1.77499,-0.45591,1.35944,0.49252,-1.40233,1.54247,-1.48954,0.86668,1.36458,0.32095,-1.27806,1.76575,-0.62086,-1.07964,1.65569,-2.14745,1.66086,0.231,1.11456,-2.15004,0
peptide_nm_2,0.32158,-1.38012,-0.42079,-0.00563,-0.15317,1.52392,0.26761,0.82317,-1.74952,-0.31589,-0.10297,-0.62985,0.88362,0.94393,-1.70639,0.80069,1.16435,-2.38174,-0.51621,0.34836,-2.01229,-3.16595,-1.76813,-0.35481,0
peptide_nm_3,0.58974,-0.45953,0.41909,-0.57784,-0.58903,1.00713,-0.98798,0.024,0.67921,0.32963,0.02857,1.20343,-1.49984,0.01374,0.66184,-0.80766,0.17969,1.06279,-0.53536,0.0459,1.47591,0.78637,-1.51252,0.3896,0
peptide_nm_4,-0.65675,-0.75584,-0.08209,-0.17763,-0.94454,-0.51587,-3.10354,-2.20384,-1.21959,1.36104,-1.24462,1.30825,-2.66198,-1.55757,-0.93067,-3.02753,-1.80201,-1.11261,-1.49144,-0.55926,1.07224,-1.45493,0.65825,-0.1144,0
peptide_nm_5,2.29351,-0.92895,-1.11203,1.14244,-0.64934,-0.69819,0.08517,-0.63121,-1.16371,-0.57465,-0.81291,-0.16402,-0.21945,-0.49538,-1.10775,0.91748,-0.66838,-1.23881,0.48642,-0.2742,-1.39765,1.95756,-0.55272,0.1046,0
peptide_nm_6,-0.61845,-0.13928,0.24419,-1.33304,0.25491,1.43245,0.32255,0.9519,1.31545,1.10392,-0.81453,0.75427,-0.26751,0.52785,1.01892,0.19068,0.77578,1.38475,-0.24721,0.57139,-0.12163,1.00196,0.47597,-0.55135,0
peptide_nm_7,0.6634,0.44713,-1.23135,0.77356,0.42428,-0.50948,-0.05965,-0.75585,-0.58786,0.46149,0.93661,-1.15641,0.08533,-0.2006,-1.58876,-0.28645,-0.80683,-1.38114,-2.09515,-1.07795,-2.48249,0.74163,0.32958,0.21438,0
peptide_nm_8,1.29157,-1.57905,0.95374,1.1734,-1.10539,-0.2293,-2.46699,0.06551,0.5691,1.51991,-0.54524,1.76069,-2.46863,0.03188,0.88797,-2.06182,-0.46924,0.38964,-0.18864,-1.5161,-0.72263,-1.93281,-0.29622,-0.61871,0
peptide_nm_9,-0.55772,-0.55115,-0.85804,-1.44134,-0.14133,0.19314,2.44701,-0.86354,0.82706,-2.04992,-1.31626,0.77663,2.21072,-0.67197,1.18063,1.68025,-0.8834,0.81147,-0.28234,-1.29794,1.60125,1.34502,0.9546,-2.03689,0
peptide_nm_10,0.60361,-1.73265,-1.23838,0.1957,-0.68199,0.20437,0.12132,1.23157,-0.32662,1.27104,-1.44375,-0.2387,-0.11624,1.33054,0.37997,-0.08335,1.1128,0.58892,0.40386,-1.13803,1.08841,1.83883,-0.86115,-1.02011,0
