,Aliphatic_Index,y
peptide_nm_1,-0.97282,0
peptide_nm_2,-0.88529,0
peptide_nm_3,0.69566,0
peptide_nm_4,-1.44694,0
peptide_nm_5,-0.29034,0
peptide_nm_6,-0.47682,0
peptide_nm_7,0.37843,0
peptide_nm_8,0.49331,0
peptide_nm_9,1.24644,0
peptide_nm_10,-1.94052,0
peptide_nm_11,-0.88529,0
peptide_nm_12,-1.26234,0
peptide_nm_13,-1.56139,0
peptide_nm_14,-0.11134,0
peptide_nm_15,-1.32928,0
peptide_nm_16,-0.12209,0
peptide_nm_17,-0.97913,0
peptide_nm_18,-0.27258,0
peptide_nm_19,-0.21883,0
peptide_nm_20,-0.54131,0
peptide_nm_21,0.21532,0
peptide_nm_22,-0.12209,0
peptide_nm_23,-1.22568,0
peptide_nm_24,0.21532,0
peptide_nm_25,-2.11071,0
peptide_nm_26,-0.54976,0
peptide_nm_27,-0.97282,0
peptide_nm_28,0.75995,0
peptide_nm_29,-1.11222,0
peptide_nm_30,-1.35759,0
peptide_nm_31,-0.29661,0
peptide_nm_32,-0.78317,0
peptide_nm_33,0.81145,0
peptide_nm_34,0.71943,0
peptide_nm_35,-1.35759,0
peptide_nm_36,-0.78317,0
peptide_nm_37,0.30537,0
peptide_nm_38,-1.0744,0
peptide_nm_39,0.18964,0
peptide_nm_40,-1.5687,0
peptide_nm_41,-0.89988,0
peptide_nm_43,-1.44694,0
peptide_nm_44,-0.44278,0
peptide_nm_45,0.22745,0
peptide_nm_46,-0.3815,0
peptide_nm_47,0.11956,0
peptide_nm_48,-0.11547,0
peptide_nm_49,-0.1194,0
peptide_nm_50,-0.93171,0
peptide_nm_51,-0.48438,0
peptide_nm_52,1.21381,0
peptide_nm_53,-0.2045,0
peptide_nm_54,0.56139,0
peptide_nm_55,0.00374,0
peptide_nm_56,0.01617,0
peptide_nm_57,0.0508,0
peptide_nm_58,-0.20188,0
peptide_nm_59,0.66918,0
peptide_nm_60,0.3146,0
peptide_nm_61,-0.69807,0
peptide_nm_62,0.2473,0
peptide_nm_63,-0.63806,0
peptide_nm_64,-0.88529,0
peptide_nm_65,-0.12507,0
peptide_nm_66,-0.98297,0
peptide_nm_67,-1.63416,0
peptide_nm_68,-1.00017,0
peptide_nm_69,0.03026,0
peptide_nm_70,0.54437,0
peptide_nm_71,0.97141,0
peptide_nm_72,0.54437,0
peptide_nm_73,-0.22719,0
peptide_nm_74,-0.40387,0
peptide_nm_75,-0.84816,0
peptide_nm_76,-1.55473,0
peptide_nm_77,-0.26472,0
peptide_nm_78,-0.11697,0
peptide_nm_79,-0.8787,0
peptide_nm_80,-0.01161,0
peptide_nm_81,-0.01101,0
peptide_nm_82,-1.21629,0
peptide_nm_83,-0.49194,0
peptide_nm_84,-0.87556,0
peptide_nm_85,-0.69078,0
peptide_nm_86,-0.04721,0
peptide_nm_87,-0.54489,0
peptide_nm_88,1.25135,0
peptide_nm_89,1.37834,0
peptide_nm_90,-0.86958,0
peptide_nm_91,0.0929,0
peptide_nm_92,-0.22719,0
peptide_nm_93,3.00494,0
peptide_nm_94,-0.76129,0
peptide_nm_95,0.05598,0
peptide_nm_96,-0.72818,0
peptide_nm_97,0.74861,0
peptide_nm_98,0.34986,0
peptide_nm_99,-0.40387,0
peptide_nm_100,-0.27258,0
peptide_nm_101,-0.04646,0
peptide_nm_102,-0.33093,0
peptide_nm_103,0.63863,0
peptide_nm_104,0.31349,0
peptide_nm_105,-1.3409,0
peptide_nm_106,0.10448,0
peptide_nm_107,-0.95823,0
peptide_nm_108,-1.63416,0
peptide_nm_109,-0.11547,0
peptide_nm_110,0.21532,0
peptide_nm_111,-0.3747,0
peptide_nm_112,0.10564,0
peptide_nm_113,-0.53638,0
peptide_nm_114,-0.68835,0
peptide_nm_115,0.40463,0
peptide_nm_116,0.18303,0
peptide_nm_117,-0.68105,0
peptide_nm_118,0.06163,0
peptide_nm_119,-2.11071,0
peptide_nm_120,-1.20093,0
peptide_nm_121,-0.01161,0
peptide_nm_122,-0.87743,0
peptide_nm_123,-1.52203,0
peptide_nm_124,1.20814,0
peptide_nm_125,-0.61723,0
peptide_nm_126,-0.11476,0
peptide_nm_127,-1.57227,0
peptide_nm_128,-0.61297,0
peptide_nm_129,-1.54177,0
peptide_nm_130,-1.20093,0
peptide_nm_131,0.43091,0
peptide_nm_132,0.44225,0
peptide_nm_133,-0.70508,0
peptide_nm_134,1.86263,0
peptide_nm_135,-1.16477,0
peptide_nm_136,-0.54976,0
peptide_nm_137,-0.48438,0
peptide_nm_138,-1.498,0
peptide_nm_139,-0.29527,0
peptide_nm_140,0.58041,0
peptide_nm_141,0.2247,0
peptide_nm_142,0.18303,0
peptide_nm_143,-0.48958,0
peptide_nm_144,0.86775,0
peptide_nm_145,-0.11764,0
peptide_nm_146,0.31096,0
peptide_nm_147,-0.12841,0
peptide_nm_148,-0.24705,0
peptide_nm_149,-0.19403,0
peptide_nm_150,-0.99875,0
peptide_nm_151,-0.54976,0
peptide_nm_152,-0.61723,0
peptide_nm_153,0.57254,0
peptide_nm_154,0.31744,0
peptide_nm_155,-0.45129,0
peptide_nm_156,0.43091,0
peptide_nm_157,-0.43382,0
peptide_nm_158,-0.60358,0
peptide_nm_159,-0.29733,0
peptide_nm_160,-0.30552,0
