,Boman_Index,y
Neg_446,0.85618,0
Neg_2228,-0.01644,0
Neg_2386,2.1443,0
Neg_2835,1.821,0
Neg_2149,-0.68215,0
Neg_2248,1.47604,0
Neg_2739,0.43162,0
Neg_2580,0.25795,0
Neg_2765,-0.57885,0
Neg_939,0.21593,0
Neg_1859,-0.89443,0
Neg_1088,0.38999,0
Neg_448,-0.57701,0
Neg_2831,0.12942,0
Neg_358,-1.01066,0
Neg_2287,-0.72131,0
Neg_2597,0.36184,0
Neg_2648,-0.00188,0
Neg_152,-1.01589,0
Neg_2086,0.24009,0
Neg_966,-1.40229,0
Neg_2081,0.28278,0
Neg_2579,-1.01271,0
Neg_542,1.72946,0
Neg_270,0.70489,0
Neg_447,2.0283,0
Neg_2242,-1.12723,0
Neg_1615,-0.71358,0
Neg_103,0.77374,0
Neg_1048,0.23195,0
Neg_628,0.39361,0
Neg_2169,-1.69714,0
Neg_599,-0.75588,0
Neg_2490,0.33723,0
Neg_62,0.17373,0
Neg_1129,1.26051,0
Neg_190,0.78461,0
Neg_1522,-0.59314,0
Neg_165,1.77603,0
Neg_1152,-2.59108,0
Neg_217,0.51543,0
Neg_1140,-0.13397,0
Neg_2378,-0.67636,0
Neg_1569,0.20791,0
Neg_662,0.60491,0
Neg_688,0.93285,0
Neg_541,-1.54882,0
Neg_624,-1.12559,0
Neg_2108,-1.47268,0
Neg_2808,-0.33068,0
Neg_2794,0.41206,0
Neg_2286,0.0273,0
Neg_373,-1.35301,0
Neg_2612,-0.09321,0
Neg_937,-0.11054,0
Neg_1345,0.23609,0
Neg_2671,-1.62746,0
Neg_2855,-0.07609,0
Neg_279,-0.21594,0
Neg_706,0.01808,0
Neg_2921,-1.76732,0
Neg_994,1.72709,0
Neg_2453,-2.87383,0
Neg_2074,0.41322,0
Neg_1803,-0.15659,0
Neg_653,-1.00849,0
Neg_1943,-0.7253,0
Neg_1283,-0.32923,0
Neg_1383,-0.77854,0
Neg_325,-1.56628,0
Neg_2702,0.72873,0
Neg_2180,-0.69127,0
Neg_585,0.65626,0
Neg_2047,-0.77894,0
Neg_2392,1.4928,0
Neg_919,-1.48095,0
Neg_2566,0.47744,0
Neg_404,-0.81101,0
Neg_953,-0.22863,0
Neg_1257,-0.49121,0
