,GDPC_alphaticr.alphaticr,GDPC_alphaticr.aromatic,GDPC_alphaticr.postivecharger,GDPC_alphaticr.negativecharger,GDPC_alphaticr.uncharger,GDPC_aromatic.alphaticr,GDPC_aromatic.aromatic,GDPC_aromatic.postivecharger,GDPC_aromatic.negativecharger,GDPC_aromatic.uncharger,GDPC_postivecharger.alphaticr,GDPC_postivecharger.aromatic,GDPC_postivecharger.postivecharger,GDPC_postivecharger.negativecharger,GDPC_postivecharger.uncharger,GDPC_negativecharger.alphaticr,GDPC_negativecharger.aromatic,GDPC_negativecharger.postivecharger,GDPC_negativecharger.negativecharger,GDPC_negativecharger.uncharger,GDPC_uncharger.alphaticr,GDPC_uncharger.aromatic,GDPC_uncharger.postivecharger,GDPC_uncharger.negativecharger,GDPC_uncharger.uncharger,y
peptide_nm_1,-1.35851,-0.68562,-1.09631,-0.64811,0.96042,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,2.73556,-0.628,-0.30483,-0.41086,-0.27412,1.8491,0.99574,-0.58647,3.02879,1.62627,2.38926,0
peptide_nm_2,-1.35851,-0.68562,0.04221,1.27339,-1.37673,-0.76325,-0.31118,1.16086,-0.32148,-0.51381,1.29944,-0.5271,1.76511,-0.42706,3.02402,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,1.31594,3.34172,-0.50514,-0.63352,0
peptide_nm_3,1.88028,-0.68562,-0.57084,0.23874,0.37613,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.55833,-0.5271,-0.66495,-0.42706,0.13943,0.23054,-0.30483,-0.41086,-0.27412,-0.50842,-0.13654,-0.58647,1.15117,-0.50514,-0.63352,0
peptide_nm_4,-0.7483,-0.68562,0.09171,-0.64811,-0.05574,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,0.37195,-0.66495,1.12194,-0.72594,1.31304,-0.30483,-0.41086,-0.27412,6.15413,0.01115,-0.58647,-0.72645,6.72314,-0.63352,0
peptide_nm_5,-1.35851,-0.68562,-0.4753,0.39998,1.38535,-0.76325,-0.31118,0.39574,-0.32148,0.5262,-0.45227,-0.5271,-0.66495,1.19235,1.31949,0.38663,-0.30483,-0.41086,-0.27412,0.88466,2.07655,0.45121,1.49256,-0.50514,-0.63352,0
peptide_nm_6,-0.83871,0.90439,-0.59031,0.20589,-0.25144,1.3893,-0.31118,-0.52241,-0.32148,0.33361,-1.10916,0.23876,-0.12494,0.89246,0.10738,0.19874,1.1918,2.41747,-0.27412,0.62668,-0.72364,-0.58647,-0.72645,2.57357,0.33675,0
peptide_nm_7,-0.89069,-0.68562,1.63614,-0.64811,0.6488,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,1.94808,2.27403,2.34826,-0.30483,-0.41086,-0.27412,-0.50842,1.6751,-0.58647,-0.72645,1.34208,-0.63352,0
peptide_nm_8,-0.42286,-0.68562,-0.1855,0.88909,0.6488,-0.76325,-0.31118,0.82421,-0.32148,-0.51381,-0.14572,0.85144,-0.66495,-0.42706,-0.72594,0.86013,-0.30483,-0.41086,-0.27412,1.53476,0.6938,-0.58647,-0.72645,1.34208,0.23972,0
peptide_nm_9,0.04497,-0.68562,0.72532,-0.64811,0.6488,0.52828,-0.31118,-0.52241,-0.32148,-0.51381,-0.14572,-0.5271,0.30707,-0.42706,0.77404,-0.628,2.3891,-0.41086,-0.27412,-0.50842,0.6938,-0.58647,-0.72645,1.34208,-0.63352,0
peptide_nm_10,-1.35851,-0.68562,-1.09631,1.44808,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.20462,-0.5271,3.31151,-0.42706,1.31949,-0.628,-0.30483,3.06028,-0.27412,-0.50842,-1.26881,1.48889,1.49256,-0.50514,1.74806,0
