,Isoelectric_point,y
Neg_446,-0.46353,0
Neg_2228,0.84203,0
Neg_2386,1.12171,0
Neg_2835,0.61483,0
Neg_2149,-0.72703,0
Neg_2248,0.46893,0
Neg_2739,-0.7491,0
Neg_2580,1.13906,0
Neg_2765,-1.41831,0
Neg_939,0.64651,0
Neg_1859,-0.20407,0
Neg_1088,0.87,0
Neg_448,-1.00233,0
Neg_2831,0.55486,0
Neg_358,-0.97672,0
Neg_2287,0.92973,0
Neg_2597,-1.4985,0
Neg_2648,-1.28773,0
Neg_152,-0.13128,0
Neg_2086,0.95348,0
Neg_966,-1.29397,0
Neg_2081,0.00384,0
Neg_2579,0.21646,0
Neg_542,0.65931,0
Neg_270,-0.3525,0
Neg_447,-0.40624,0
Neg_2242,-1.27864,0
Neg_1615,1.07706,0
Neg_103,0.41417,0
Neg_1048,0.36574,0
Neg_628,1.2319,0
Neg_2169,0.41156,0
Neg_599,0.90167,0
Neg_2490,0.73302,0
Neg_62,-0.74371,0
Neg_1129,0.82257,0
Neg_190,1.01776,0
Neg_1522,0.53556,0
Neg_165,0.78428,0
Neg_1152,0.53927,0
Neg_217,-1.44914,0
Neg_1140,0.03383,0
Neg_2378,0.50086,0
Neg_1569,-0.84581,0
Neg_662,0.50221,0
Neg_688,0.46404,0
Neg_541,0.1457,0
Neg_624,-0.46487,0
Neg_2108,-0.05243,0
Neg_2808,-0.0526,0
Neg_2794,-1.30795,0
Neg_2286,0.37071,0
Neg_373,-1.36355,0
Neg_2612,0.30643,0
Neg_937,-1.4496,0
Neg_1345,0.48148,0
Neg_2671,0.10156,0
Neg_2855,-0.19059,0
Neg_279,-1.52133,0
Neg_706,0.10257,0
Neg_2921,-0.06423,0
Neg_994,0.61812,0
Neg_2453,0.75493,0
Neg_2074,0.46784,0
Neg_1803,-0.15554,0
Neg_653,-0.06018,0
Neg_1943,0.60127,0
Neg_1283,0.33827,0
Neg_1383,1.42868,0
Neg_325,0.13492,0
Neg_2702,-0.54372,0
Neg_2180,0.48199,0
Neg_585,0.66386,0
Neg_2047,0.4488,0
Neg_2392,0.83175,0
Neg_919,0.60532,0
Neg_2566,-1.51522,0
Neg_404,0.67111,0
Neg_953,0.40634,0
Neg_1257,-0.15285,0
Neg_1680,0.73336,0
Neg_1098,0.73825,0
Neg_1404,1.08919,0
Neg_79,0.67153,0
Neg_2483,-1.38941,0
Neg_2866,-1.11656,0
Neg_133,0.112,0
Neg_1514,-1.45541,0
Neg_1790,-0.99053,0
Neg_2219,1.27427,0
Neg_2758,1.2613,0
Neg_621,0.82468,0
Neg_904,-0.46016,0
Neg_736,0.6038,0
Neg_431,0.69958,0
Neg_2469,-0.4952,0
Neg_2895,1.01211,0
Neg_202,-0.29909,0
Neg_478,0.69335,0
Neg_1929,-1.27046,0
Neg_1179,-1.36675,0
Neg_116,-1.35711,0
Neg_2854,0.99501,0
Neg_2229,0.7898,0
Neg_301,-0.35705,0
Neg_2264,-1.15581,0
Neg_58,0.53961,0
Neg_37,-1.63089,0
Neg_1299,1.82714,0
Neg_2238,-1.1516,0
Neg_1065,-1.25707,0
Neg_2393,0.43987,0
Neg_1063,0.657,0
Neg_2681,-1.16929,0
Neg_1206,-1.16272,0
Neg_926,-1.04849,0
Neg_1834,-1.57381,0
Neg_219,-1.38036,0
Neg_1051,0.89835,0
Neg_2732,1.90666,0
Neg_22,0.41493,0
Neg_2672,-0.14543,0
Neg_1925,1.11514,0
Neg_1046,0.83108,0
Neg_2602,0.38781,0
Neg_2626,-0.6096,0
Neg_664,-0.75399,0
Neg_1033,-1.27072,0
Neg_1541,0.47053,0
Neg_352,-1.32606,0
Neg_2763,-1.04108,0
Neg_2198,0.27964,0
Neg_260,-1.2441,0
Neg_743,1.2319,0
Neg_1798,-0.20137,0
Neg_805,-1.50962,0
Neg_2446,0.58741,0
Neg_1456,0.92324,0
Neg_853,0.85265,0
Neg_1866,-0.20188,0
Neg_1972,0.80429,0
Neg_1250,-0.62847,0
Neg_2893,0.7831,0
Neg_415,-1.01176,0
Neg_2440,1.21791,0
Neg_1947,-1.38815,0
Neg_2296,1.32709,0
Neg_1491,-0.40692,0
Neg_1592,-1.49934,0
Neg_833,0.76979,0
Neg_2254,1.17478,0
Neg_2786,0.63109,0
Neg_1307,0.18546,0
Neg_1022,0.16794,0
Neg_2289,-0.39546,0
Neg_2564,-1.36355,0
Neg_1131,0.95769,0
Neg_2814,-1.32851,0
Neg_2346,0.63177,0
Neg_2538,-0.40624,0
Neg_503,0.87404,0
Neg_614,-0.06591,0
Neg_2227,1.32119,0
Neg_1977,-0.15655,0
Neg_1151,0.44686,0
Neg_2315,0.31014,0
Neg_1180,1.27153,0
Neg_308,0.66395,0
Neg_1426,0.73033,0
Neg_12,0.88533,0
Neg_506,0.03905,0
Neg_136,-1.4413,0
Neg_378,-1.5247,0
Neg_2058,-0.50329,0
Neg_2336,-1.55941,0
Neg_2220,-1.12641,0
Neg_262,1.37291,0
Neg_1888,-1.36456,0
Neg_2552,-0.40894,0
Neg_1340,0.74583,0
Neg_1753,0.41409,0
Neg_941,0.49496,0
Neg_689,-0.14324,0
Neg_403,-0.53985,0
Neg_2524,0.91031,0
Neg_1006,-1.45049,0
Neg_89,0.855,0
Neg_1956,0.35411,0
Neg_2723,0.62014,0
Neg_34,-0.2076,0
Neg_757,0.69899,0
Neg_1170,0.40179,0
Neg_1405,0.28798,0
Neg_1634,-0.27921,0
Neg_835,0.10872,0
Neg_1809,1.41748,0
Neg_296,0.03299,0
Neg_1989,0.04141,0
Neg_636,1.00832,0
Neg_1350,-1.39725,0
Neg_160,-0.19328,0
Neg_1524,0.73555,0
Neg_836,-1.63181,0
Neg_1885,-0.41096,0
Neg_1723,0.25656,0
Neg_1139,0.16524,0
Neg_531,-0.60842,0
Neg_131,-1.01597,0
Neg_226,-0.98531,0
Neg_2031,0.40449,0
Neg_1050,-0.66132,0
Neg_2215,1.21791,0
Neg_1008,-0.15251,0
Neg_755,0.76571,0
Neg_1309,0.89258,0
Neg_1348,0.33693,0
Neg_2829,-1.57381,0
Neg_1281,-0.322,0
Neg_2879,0.93705,0
Neg_2182,-1.13955,0
Neg_513,0.65813,0
Neg_2222,-1.60759,0
Neg_2348,-0.15184,0
Neg_549,1.24655,0
Neg_2669,0.32867,0
Neg_1248,0.67178,0
Neg_19,-1.2716,0
Neg_1763,1.34023,0
Neg_2832,-1.21158,0
Neg_1992,-1.04613,0
Neg_2675,0.51181,0
Neg_203,0.09971,0
Neg_2314,-0.95599,0
Neg_460,-0.34904,0
Neg_248,0.98035,0
Neg_418,-0.66233,0
Neg_1007,0.10762,0
Neg_2178,-0.35772,0
Neg_537,0.68989,0
Neg_97,1.03258,0
Neg_1719,0.8358,0
Neg_1777,-1.26069,0
Neg_771,0.62865,0
Neg_2070,-0.41298,0
Neg_1418,1.07891,0
Neg_1167,-0.26607,0
Neg_2477,-0.3247,0
Neg_715,-0.82761,0
Neg_616,-1.46333,0
Neg_558,0.91296,0
Neg_64,0.7962,0
Neg_1316,-1.39969,0
Neg_1507,1.32136,0
Neg_1101,0.13323,0
Neg_1796,-0.83738,0
Neg_1223,-0.55973,0
Neg_538,-0.21754,0
Neg_302,-1.29047,0
Neg_200,0.72671,0
Neg_1730,-1.37897,0
Neg_876,-0.06793,0
Neg_326,1.36306,0
Neg_1436,-0.30583,0
Neg_727,-0.05328,0
Neg_1831,0.56774,0
Neg_900,-0.15285,0
Neg_1637,-0.40894,0
Neg_2635,1.53786,0
Neg_2454,0.84018,0
Neg_1216,0.5322,0
Neg_2191,-1.38756,0
Neg_1275,0.97749,0
Neg_2151,-1.34628,0
Neg_1402,-0.61111,0
Neg_717,0.74313,0
Neg_1862,-0.21367,0
Neg_158,-1.32362,0
Neg_1740,-1.50326,0
Neg_1424,0.67039,0
Neg_943,-1.58224,0
Neg_1688,0.16356,0
Neg_148,0.32597,0
Neg_2796,0.02524,0
Neg_1887,-1.33954,0
Neg_2811,-1.38031,0
Neg_859,1.57779,0
Neg_2155,-0.20676,0
Neg_2045,-0.31897,0
Neg_1104,0.328,0
Neg_2638,-0.46218,0
Neg_962,-0.46285,0
Neg_2828,0.11167,0
Neg_1944,-1.45049,0
Neg_523,-1.29397,0
Neg_1319,0.59992,0
Neg_562,-1.22169,0
Neg_2456,-0.76949,0
Neg_1500,0.12481,0
Neg_1913,0.14132,0
Neg_286,-1.2286,0
Neg_2871,1.38336,0
Neg_456,0.88461,0
Neg_984,-0.06928,0
Neg_1837,-0.64346,0
Neg_2617,-1.32851,0
Neg_139,0.62132,0
Neg_1815,0.53034,0
Neg_1157,0.51274,0
Neg_1317,0.96469,0
Neg_2405,-0.10887,0
Neg_45,-0.06119,0
Neg_1797,-1.25202,0
Neg_2769,-0.21502,0
Neg_1390,-0.67177,0
Neg_1018,1.02938,0
Neg_602,0.16861,0
Neg_182,0.27644,0
Neg_1056,0.76571,0
Neg_2567,0.82316,0
Neg_849,1.01776,0
Neg_2338,-1.28807,0
Neg_422,0.15817,0
Neg_1421,-0.59848,0
Neg_2439,0.55401,0
Neg_563,-1.32354,0
Neg_1622,0.63362,0
Neg_1578,0.4611,0
Neg_1939,-1.53835,0
Neg_163,-1.51078,0
Neg_287,0.19389,0
Neg_787,-1.28807,0
Neg_1846,0.75215,0
Neg_1280,0.52798,0
Neg_1918,1.57779,0
Neg_999,-0.50329,0
Neg_314,1.13906,0
Neg_2192,0.51611,0
Neg_605,-0.95212,0
Neg_413,-0.19598,0
Neg_1861,-0.43017,0
Neg_342,0.43043,0
Neg_398,0.69933,0
Neg_96,0.84843,0
Neg_1924,0.87455,0
Neg_592,-1.16011,0
Neg_1985,0.4146,0
Neg_1045,-0.40759,0
Neg_2542,-0.46622,0
Neg_2165,1.01422,0
Neg_1526,1.26686,0
Neg_2709,0.58813,0
Neg_2230,0.96603,0
Neg_2137,-1.05793,0
Neg_2068,0.60186,0
Neg_2163,0.53118,0
Neg_2247,-1.25505,0
Neg_529,-0.96206,0
Neg_936,0.70093,0
Neg_2418,0.12144,0
Neg_2487,-1.44126,0
Neg_703,-0.06389,0
Neg_1742,-0.13802,0
Neg_305,0.731,0
Neg_1078,0.63922,0
Neg_1672,0.52091,0
Neg_2568,0.45031,0
Neg_1911,0.3499,0
Neg_2397,-0.24619,0
Neg_992,-0.37659,0
Neg_1161,0.47592,0
Neg_2581,0.6952,0
Neg_701,-1.1206,0
Neg_464,0.50414,0
Neg_1692,0.93908,0
Neg_774,-0.75466,0
Neg_2620,-0.2723,0
Neg_979,0.39033,0
Neg_2827,0.69427,0
Neg_2729,0.71803,0
Neg_2277,0.23331,0
Neg_1632,-1.57676,0
Neg_2756,0.84119,0
Neg_1898,0.14402,0
Neg_1391,1.38269,0
Neg_1059,-0.1515,0
Neg_1746,1.21766,0
Neg_1847,1.48672,0
Neg_1490,-0.74169,0
Neg_450,-0.13937,0
Neg_1448,-0.61111,0
Neg_2410,-0.97613,0
Neg_1301,0.84254,0
Neg_696,1.43256,0
Neg_2757,1.17478,0
Neg_815,0.51939,0
Neg_890,0.93705,0
Neg_2049,0.95163,0
Neg_634,-1.46422,0
Neg_1241,-1.53371,0
Neg_1265,-1.36439,0
Neg_1145,-1.30138,0
Neg_364,-1.08606,0
Neg_2428,-1.3499,0
Neg_2873,-1.33676,0
Neg_2762,-1.12667,0
Neg_1932,0.72949,0
Neg_218,-0.7614,0
Neg_1471,-0.35772,0
Neg_211,0.82468,0
Neg_88,1.26256,0
Neg_1800,-1.2911,0
Neg_1995,-1.498,0
Neg_2231,0.99375,0
Neg_1090,-0.52485,0
Neg_1457,1.21033,0
Neg_795,0.69899,0
Neg_1614,0.12144,0
Neg_732,1.58941,0
Neg_2025,0.7957,0
Neg_2088,-1.44181,0
Neg_2527,-0.94808,0
Neg_2021,0.38646,0
Neg_2570,0.87177,0
Neg_215,0.3718,0
Neg_2516,0.70228,0
Neg_1712,-1.25033,0
Neg_2010,-0.75129,0
Neg_1285,0.73926,0
Neg_2834,-0.19598,0
Neg_2013,-0.20676,0
Neg_945,-0.7015,0
Neg_1787,-0.94538,0
Neg_935,0.87202,0
Neg_2099,0.85669,0
Neg_2179,0.43178,0
Neg_2726,0.85265,0
Neg_1484,-0.75399,0
Neg_2381,0.69158,0
Neg_1458,1.1506,0
Neg_216,-0.43084,0
Neg_2725,0.58939,0
Neg_406,-1.39851,0
Neg_1363,0.55999,0
Neg_1311,1.04101,0
Neg_1149,0.63261,0
Neg_1218,-0.50329,0
Neg_1597,0.13964,0
Neg_2745,-0.29841,0
Neg_1477,0.91717,0
Neg_2803,1.22254,0
Neg_104,-0.95953,0
Neg_1900,-0.50632,0
Neg_2586,-0.0622,0
Neg_2050,1.17427,0
Neg_1069,1.04101,0
Neg_336,1.38184,0
Neg_2260,0.12279,0
Neg_1733,1.11682,0
Neg_1555,0.9229,0
Neg_2329,0.56454,0
Neg_1878,0.03838,0
Neg_1893,0.19372,0
Neg_1716,1.14163,0
Neg_2322,0.73707,0
Neg_101,0.73201,0
Neg_16,1.07234,0
Neg_31,-1.3368,0
Neg_240,0.39017,0
Neg_1117,-1.54736,0
Neg_2262,-0.35637,0
Neg_2861,-0.01082,0
Neg_1225,-0.21485,0
Neg_261,-0.08251,0
Neg_609,-1.25117,0
Neg_1352,0.73277,0
Neg_733,-1.25185,0
Neg_2593,-0.72164,0
Neg_2259,-1.04849,0
Neg_1785,0.69006,0
Neg_847,0.39691,0
Neg_684,-0.6219,0
Neg_1411,-1.57811,0
Neg_680,0.84119,0
Neg_502,-1.08353,0
Neg_1097,0.16828,0
Neg_1826,-0.74219,0
Neg_702,0.18959,0
Neg_1626,0.38932,0
Neg_2358,-1.50533,0
Neg_1026,-0.19733,0
Neg_82,-1.20644,0
Neg_509,-1.45049,0
Neg_1235,-0.39108,0
Neg_2118,-0.14973,0
Neg_1303,-0.2076,0
Neg_72,-1.03636,0
Neg_1147,0.67431,0
Neg_2437,-1.23154,0
Neg_1770,0.70017,0
Neg_177,0.33356,0
Neg_978,-0.66048,0
Neg_724,1.43256,0
Neg_1766,-1.57937,0
Neg_868,0.59386,0
Neg_1825,-1.23896,0
Neg_2020,-0.35502,0
Neg_1628,0.50524,0
Neg_892,-1.68194,0
Neg_2692,-0.41029,0
Neg_512,-1.58156,0
Neg_2128,0.4023,0
Neg_1647,1.2319,0
Neg_2419,-0.41163,0
Neg_2659,0.94413,0
Neg_1214,0.47491,0
Neg_411,0.57002,0
Neg_2321,-0.20676,0
