,Bulkiness,y
Neg_446,1.05567,0
Neg_2228,0.6704,0
Neg_2386,-1.03456,0
Neg_2835,0.80126,0
Neg_2149,-0.77171,0
Neg_2248,0.1256,0
Neg_2739,-1.05819,0
Neg_2580,-0.6826,0
Neg_2765,-0.01554,0
Neg_939,-0.39558,0
Neg_1859,-0.56849,0
Neg_1088,-0.19167,0
Neg_448,-0.49846,0
Neg_2831,-0.70182,0
Neg_358,-0.56998,0
Neg_2287,-1.31171,0
Neg_2597,0.51834,0
Neg_2648,-0.29986,0
Neg_152,-0.8766,0
Neg_2086,-0.20974,0
Neg_966,-0.71611,0
Neg_2081,-0.48259,0
Neg_2579,-0.49414,0
Neg_542,-0.66551,0
Neg_270,-0.94036,0
Neg_447,0.43633,0
Neg_2242,-0.03183,0
Neg_1615,-0.18204,0
Neg_103,-0.71082,0
Neg_1048,0.25524,0
Neg_628,0.84753,0
Neg_2169,1.35129,0
Neg_599,-1.22125,0
Neg_2490,-0.8205,0
Neg_62,-1.1619,0
Neg_1129,-0.97255,0
Neg_190,0.51528,0
Neg_1522,-0.66118,0
Neg_165,-0.15692,0
Neg_1152,0.65588,0
Neg_217,-0.4724,0
Neg_1140,-1.00221,0
Neg_2378,-0.69579,0
Neg_1569,-0.34633,0
Neg_662,-0.08431,0
Neg_688,0.11017,0
Neg_541,1.78089,0
Neg_624,-0.21122,0
Neg_2108,-0.16104,0
Neg_2808,-0.29149,0
Neg_2794,0.03032,0
Neg_2286,-1.25891,0
Neg_373,-0.97513,0
Neg_2612,0.07607,0
Neg_937,-0.47184,0
Neg_1345,-0.32646,0
Neg_2671,-0.28075,0
Neg_2855,-0.03948,0
Neg_279,-0.62342,0
Neg_706,-0.36336,0
Neg_2921,-1.17224,0
Neg_994,-0.10676,0
Neg_2453,0.09282,0
Neg_2074,-0.29044,0
Neg_1803,0.66093,0
Neg_653,0.63398,0
Neg_1943,0.61526,0
Neg_1283,-0.48245,0
Neg_1383,0.61872,0
Neg_325,-0.63203,0
Neg_2702,-1.02796,0
Neg_2180,-0.56346,0
Neg_585,-0.09623,0
Neg_2047,0.19526,0
Neg_2392,0.09045,0
Neg_919,0.04579,0
Neg_2566,-0.69546,0
Neg_404,-0.30543,0
Neg_953,0.05345,0
Neg_1257,0.70975,0
Neg_1680,-0.99532,0
Neg_1098,0.13272,0
Neg_1404,-0.31771,0
Neg_79,-0.4177,0
Neg_2483,0.53856,0
Neg_2866,1.96427,0
Neg_133,-0.8321,0
Neg_1514,-0.95617,0
Neg_1790,0.22564,0
Neg_2219,-0.45783,0
Neg_2758,0.19179,0
Neg_621,-0.15542,0
Neg_904,-1.23679,0
Neg_736,-0.56272,0
Neg_431,-1.21454,0
Neg_2469,0.72239,0
Neg_2895,-0.93322,0
Neg_202,-1.19215,0
Neg_478,-0.8842,0
Neg_1929,-0.73758,0
Neg_1179,1.08517,0
Neg_116,-0.94591,0
Neg_2854,-1.04869,0
Neg_2229,0.64812,0
Neg_301,-0.68333,0
Neg_2264,0.04288,0
Neg_58,-0.48924,0
Neg_37,-0.80129,0
Neg_1299,-0.2119,0
Neg_2238,1.05406,0
Neg_1065,-0.95185,0
Neg_2393,-0.63673,0
Neg_1063,-1.29418,0
Neg_2681,0.06626,0
Neg_1206,-0.05671,0
Neg_926,-0.18989,0
Neg_1834,1.01762,0
Neg_219,0.09462,0
Neg_1051,-0.30062,0
Neg_2732,0.28624,0
Neg_22,2.54847,0
Neg_2672,-0.93227,0
Neg_1925,-0.66396,0
Neg_1046,-0.46936,0
Neg_2602,-0.79466,0
Neg_2626,-1.12895,0
Neg_664,-1.00501,0
Neg_1033,-0.91462,0
Neg_1541,-0.86671,0
Neg_352,-0.85373,0
Neg_2763,-0.17469,0
Neg_2198,-0.84692,0
Neg_260,0.15578,0
Neg_743,-0.31413,0
Neg_1798,0.19274,0
Neg_805,-0.44447,0
Neg_2446,-0.54687,0
Neg_1456,-1.0649,0
Neg_853,1.09394,0
Neg_1866,-0.52627,0
Neg_1972,-0.86688,0
Neg_1250,-0.32526,0
Neg_2893,0.35124,0
Neg_415,-1.17239,0
Neg_2440,0.39181,0
Neg_1947,0.09024,0
Neg_2296,-0.60253,0
Neg_1491,-1.05386,0
Neg_1592,-0.16258,0
Neg_833,-0.85755,0
Neg_2254,1.02716,0
Neg_2786,-1.09188,0
Neg_1307,-0.92229,0
Neg_1022,-0.79433,0
Neg_2289,0.40658,0
Neg_2564,-0.41789,0
Neg_1131,-0.60461,0
Neg_2814,-0.57773,0
Neg_2346,0.36945,0
Neg_2538,-0.54521,0
Neg_503,-0.26655,0
Neg_614,-0.63584,0
Neg_2227,-0.1209,0
Neg_1977,-0.91117,0
Neg_1151,-1.21968,0
Neg_2315,0.19086,0
Neg_1180,-0.92857,0
Neg_308,-0.32596,0
Neg_1426,-0.57138,0
Neg_12,-0.02727,0
Neg_506,-0.6695,0
Neg_136,-1.30095,0
Neg_378,-0.86482,0
Neg_2058,1.84884,0
Neg_2336,-1.38148,0
Neg_2220,-0.65852,0
Neg_262,0.01587,0
Neg_1888,0.0997,0
Neg_2552,-1.39837,0
Neg_1340,-0.03768,0
Neg_1753,0.06974,0
Neg_941,0.18895,0
Neg_689,-0.23189,0
Neg_403,-1.16876,0
Neg_2524,0.24348,0
Neg_1006,-0.47091,0
Neg_89,-0.18755,0
Neg_1956,0.7153,0
Neg_2723,-0.21186,0
Neg_34,0.35717,0
Neg_757,-0.82602,0
Neg_1170,-0.20099,0
Neg_1405,-0.94493,0
Neg_1634,-0.86899,0
Neg_835,-1.00782,0
Neg_1809,-0.71051,0
Neg_296,-0.99255,0
Neg_1989,-0.78646,0
Neg_636,0.07859,0
Neg_1350,0.24173,0
Neg_160,1.34891,0
Neg_1524,-0.03981,0
Neg_836,-0.76878,0
Neg_1885,-0.43526,0
Neg_1723,-0.74184,0
Neg_1139,-0.36225,0
Neg_531,-0.573,0
Neg_131,-0.69133,0
Neg_226,-0.23642,0
Neg_2031,-0.91685,0
Neg_1050,-0.21216,0
Neg_2215,0.44004,0
Neg_1008,-0.92159,0
Neg_755,-0.04756,0
Neg_1309,0.50008,0
Neg_1348,-0.35332,0
Neg_2829,0.54261,0
Neg_1281,1.38653,0
Neg_2879,-0.07675,0
Neg_2182,-0.20774,0
Neg_513,0.77876,0
Neg_2222,0.93358,0
Neg_2348,-0.37465,0
Neg_549,0.62027,0
Neg_2669,-0.07226,0
Neg_1248,-0.45858,0
Neg_19,-0.32321,0
Neg_1763,1.21994,0
Neg_2832,-0.18936,0
Neg_1992,-1.00181,0
Neg_2675,-0.62792,0
Neg_203,0.09625,0
Neg_2314,-0.99287,0
Neg_460,-0.77078,0
Neg_248,-0.44245,0
Neg_418,-0.97989,0
Neg_1007,-0.84709,0
Neg_2178,-0.38303,0
Neg_537,-0.48186,0
Neg_97,-0.70557,0
Neg_1719,-0.04089,0
Neg_1777,-0.683,0
Neg_771,-1.09758,0
Neg_2070,-1.27413,0
Neg_1418,-0.67171,0
Neg_1167,-1.05131,0
Neg_2477,-0.57297,0
Neg_715,-0.72733,0
Neg_616,-0.69858,0
Neg_558,-0.93941,0
Neg_64,-1.10437,0
Neg_1316,-0.47122,0
Neg_1507,-1.0045,0
Neg_1101,-1.19284,0
Neg_1796,-1.01812,0
Neg_1223,-0.72285,0
Neg_538,-0.62096,0
