,Levitt_alpha,y
Neg_446,0.23212,0
Neg_2228,-0.76739,0
Neg_2386,0.36135,0
Neg_2835,-0.21484,0
Neg_2149,-1.14733,0
Neg_2248,0.29931,0
Neg_2739,-0.92113,0
Neg_2580,0.33443,0
Neg_2765,-1.10553,0
Neg_939,-0.03171,0
Neg_1859,-1.02315,0
Neg_1088,0.72339,0
Neg_448,-0.37385,0
Neg_2831,-1.05236,0
Neg_358,-0.49675,0
Neg_2287,0.15981,0
Neg_2597,-1.15333,0
Neg_2648,-0.52511,0
Neg_152,-1.12849,0
Neg_2086,0.53337,0
Neg_966,0.10436,0
Neg_2081,-0.08057,0
Neg_2579,-0.7744,0
Neg_542,-0.19211,0
Neg_270,0.09154,0
Neg_447,0.22242,0
Neg_2242,-1.02568,0
Neg_1615,0.55278,0
Neg_103,1.56045,0
Neg_1048,0.0789,0
Neg_628,-0.51458,0
Neg_2169,-1.20898,0
Neg_599,-0.81418,0
Neg_2490,0.57215,0
Neg_62,-0.80875,0
Neg_1129,0.61891,0
Neg_190,3.04568,0
Neg_1522,-0.37686,0
Neg_165,-0.75176,0
Neg_1152,-0.00903,0
Neg_217,-0.29668,0
Neg_1140,-0.36201,0
Neg_2378,-0.13739,0
Neg_1569,-0.40384,0
Neg_662,-0.9687,0
Neg_688,-0.40216,0
Neg_541,0.98103,0
Neg_624,0.29988,0
Neg_2108,-0.81581,0
Neg_2808,-0.32003,0
Neg_2794,0.75894,0
Neg_2286,-0.73826,0
Neg_373,-1.20247,0
Neg_2612,-0.20513,0
Neg_937,-0.49016,0
Neg_1345,-0.3611,0
Neg_2671,-0.76307,0
Neg_2855,-0.67918,0
Neg_279,-0.53359,0
Neg_706,-0.83153,0
Neg_2921,-0.87725,0
Neg_994,-0.19118,0
Neg_2453,-0.72355,0
Neg_2074,0.58093,0
Neg_1803,0.96562,0
Neg_653,-1.3434,0
Neg_1943,0.85296,0
Neg_1283,-0.94259,0
Neg_1383,-1.06833,0
Neg_325,0.10403,0
Neg_2702,-0.27245,0
Neg_2180,-0.15722,0
Neg_585,-0.40134,0
Neg_2047,-0.16612,0
Neg_2392,2.41876,0
Neg_919,2.12525,0
Neg_2566,-0.86348,0
Neg_404,-0.63039,0
Neg_953,-0.3206,0
Neg_1257,-1.08385,0
Neg_1680,-0.64833,0
Neg_1098,2.95874,0
Neg_1404,0.04996,0
Neg_79,-0.34546,0
Neg_2483,1.64702,0
Neg_2866,2.09719,0
Neg_133,-0.39196,0
Neg_1514,0.20686,0
Neg_1790,0.55652,0
Neg_2219,-0.67392,0
Neg_2758,-0.41729,0
Neg_621,-0.92177,0
Neg_904,1.04282,0
Neg_736,-0.10174,0
Neg_431,-1.32601,0
Neg_2469,0.70136,0
Neg_2895,-1.06849,0
Neg_202,-0.62981,0
Neg_478,-0.93977,0
Neg_1929,-1.15168,0
Neg_1179,-0.13093,0
Neg_116,-0.26312,0
Neg_2854,-0.88158,0
Neg_2229,-0.37528,0
Neg_301,-0.20263,0
Neg_2264,-0.97591,0
Neg_58,-0.37553,0
Neg_37,-0.34777,0
Neg_1299,0.85557,0
Neg_2238,-0.83009,0
Neg_1065,0.14042,0
Neg_2393,-0.56227,0
Neg_1063,-0.43283,0
Neg_2681,-1.18612,0
Neg_1206,-0.47992,0
Neg_926,0.83087,0
Neg_1834,1.80227,0
Neg_219,-0.56361,0
Neg_1051,-0.4568,0
Neg_2732,0.17891,0
Neg_22,-0.72051,0
Neg_2672,-0.94082,0
Neg_1925,-0.86191,0
Neg_1046,-0.10145,0
Neg_2602,-0.60913,0
Neg_2626,-0.6822,0
Neg_664,-1.30655,0
Neg_1033,-0.61823,0
Neg_1541,-0.83612,0
Neg_352,-0.43095,0
Neg_2763,-1.09201,0
Neg_2198,-0.53203,0
Neg_260,-1.0416,0
