,DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,y
Neg_446,0.0,16.13,13.17,9.63,11.37,12.34,11.83,16.03,29.03,15.55,11.77,12.43,0.0,18.65,0.0,7.04,7.18,0.0,0.0,21.17,0
Neg_2228,26.33,46.05,36.25,42.01,66.01,16.11,20.47,7.16,44.63,29.56,12.95,45.07,41.01,27.13,10.44,10.02,27.77,23.58,47.9,55.25,0
Neg_2386,27.18,8.62,32.34,24.34,22.67,12.45,16.5,8.25,0.0,0.0,12.81,17.29,0.0,0.0,14.18,10.32,19.31,0.0,0.0,28.56,0
Neg_2835,28.48,11.8,0.0,25.48,0.0,28.75,7.02,48.1,18.39,24.08,5.87,14.68,0.0,25.79,0.0,19.78,11.52,0.0,18.55,35.48,0
Neg_2149,30.17,20.57,26.46,19.71,31.46,23.02,18.58,14.14,0.0,11.19,20.76,31.66,20.16,22.06,53.82,21.45,15.08,0.0,35.35,17.65,0
Neg_2248,19.85,10.15,40.02,10.38,0.0,24.31,10.92,15.07,15.28,20.98,15.76,14.1,27.45,33.61,21.32,18.23,22.98,0.0,9.03,30.02,0
Neg_2739,14.76,14.17,30.45,17.11,41.26,44.67,20.94,24.12,48.32,19.27,29.57,29.5,52.56,33.66,21.76,42.32,17.59,33.72,21.43,17.44,0
Neg_2580,14.68,17.93,14.14,23.45,0.0,10.18,0.0,14.32,0.0,13.59,20.41,9.61,0.0,14.46,18.3,4.1,17.93,0.0,0.0,13.79,0
Neg_2765,21.33,0.0,20.36,15.36,45.81,29.58,23.41,26.51,26.91,12.51,19.49,42.58,40.41,0.0,24.83,18.72,13.87,30.0,34.18,15.51,0
Neg_939,0.0,35.31,25.76,12.48,24.02,15.96,13.48,20.24,25.35,24.26,16.94,10.16,16.56,10.61,19.15,44.1,37.7,46.1,28.42,19.06,0
Neg_1859,0.0,0.0,16.04,8.96,0.0,18.18,0.0,13.46,20.89,12.59,13.58,8.65,0.0,13.11,22.46,14.3,14.46,0.0,0.0,5.57,0
Neg_1088,9.47,13.83,13.36,18.36,0.0,22.72,23.38,27.63,26.65,43.52,7.61,37.56,0.0,33.52,0.0,19.77,20.98,20.31,29.49,20.11,0
Neg_448,17.21,31.32,13.56,22.89,40.15,32.63,15.4,13.34,48.2,37.57,18.48,26.58,14.69,30.74,31.17,26.06,22.25,0.0,44.45,13.66,0
Neg_2831,17.38,49.79,31.31,50.46,81.28,15.9,19.62,29.29,64.15,0.0,22.34,15.87,61.12,28.21,28.89,19.89,22.77,0.0,56.07,24.8,0
Neg_358,12.22,0.0,15.9,22.98,0.0,34.69,17.92,17.21,28.29,13.1,10.45,18.21,0.0,32.65,18.98,23.17,16.26,38.29,0.0,15.17,0
Neg_2287,19.66,21.88,38.69,27.13,0.0,44.48,24.79,7.91,0.0,35.66,8.17,24.21,14.37,27.88,29.35,16.46,29.09,0.0,21.58,20.75,0
Neg_2597,10.03,22.03,22.23,13.76,0.0,8.79,8.42,19.36,32.14,17.03,7.1,27.14,28.69,24.4,0.0,20.29,17.03,0.0,17.69,17.14,0
Neg_2648,16.06,21.56,0.0,19.21,55.21,14.99,26.54,15.96,40.05,31.55,10.07,39.98,0.0,41.09,24.07,24.37,24.49,0.0,43.48,23.97,0
Neg_152,18.12,48.3,16.63,18.98,0.0,21.88,33.5,17.2,22.18,17.73,6.64,21.69,0.0,8.52,46.96,11.02,17.67,39.22,33.58,0.0,0
Neg_2086,18.38,16.29,0.0,26.65,0.0,22.92,17.2,0.0,22.92,13.37,11.82,5.16,24.08,25.3,8.24,20.16,31.35,0.0,17.51,28.11,0
Neg_966,17.93,35.91,0.0,29.02,32.89,0.0,20.56,15.49,25.96,23.48,11.46,0.0,0.0,28.61,6.92,10.45,7.67,0.0,0.0,18.74,0
Neg_2081,12.74,12.72,45.13,18.06,22.47,26.22,32.41,16.22,0.0,45.7,11.72,78.06,0.0,36.94,17.45,14.63,46.65,0.0,43.82,44.12,0
Neg_2579,18.57,23.19,26.46,26.8,24.98,11.34,36.3,14.16,23.57,12.62,10.14,12.27,0.0,45.02,0.0,14.42,28.64,29.59,0.0,10.64,0
Neg_542,20.01,14.34,42.48,65.8,0.0,12.12,10.47,37.06,0.0,21.35,13.04,36.58,0.0,0.0,18.32,19.06,29.65,76.48,0.0,23.4,0
Neg_270,19.86,14.6,0.0,19.39,31.88,23.21,25.96,42.5,13.83,19.64,13.04,32.88,36.82,20.73,46.28,13.81,32.08,0.0,23.62,26.57,0
Neg_447,11.75,6.39,12.95,11.9,0.0,7.45,8.17,0.0,0.0,10.38,4.53,0.0,0.0,0.0,0.0,15.62,0.0,0.0,0.0,9.05,0
Neg_2242,21.76,20.1,61.08,39.27,33.02,52.31,18.02,29.21,57.38,17.49,10.25,54.64,46.4,17.85,18.86,14.82,34.58,49.23,42.62,17.7,0
