,Calculate_mw,Calculate_charge,y
Neg_446,3425.73,-0.037,0
Neg_2228,7304.160000000001,4.129,0
Neg_2386,4246.610000000001,4.932,0
Neg_2835,6415.25,3.205,0
Neg_2149,7111.320000000001,-0.269,0
Neg_2248,5100.620000000001,2.295,0
Neg_2739,9964.12,-0.934,0
Neg_2580,2967.23,2.996,0
Neg_2765,8638.57,-6.767,0
Neg_939,6096.070000000001,4.129,0
Neg_1859,3125.63,0.096,0
Neg_1088,6313.950000000001,4.195,0
Neg_448,7255.34,-1.867,0
Neg_2831,9728.9,4.13,0
Neg_358,5788.580000000001,-0.9,0
Neg_2287,5968.990000000001,4.997,0
Neg_2597,4181.570000000001,-4.899,0
Neg_2648,10916.16,-4.931,0
Neg_152,7609.68,0.295,0
Neg_2086,4472.4800000000005,7.097,0
Neg_966,4478.06,-1.968,0
Neg_2081,8744.87,2.664,0
Neg_2579,5069.84,1.961,0
Neg_542,10002.15,2.015,0
Neg_270,8879.02,0.393,0
Neg_447,2523.81,0.002,0
Neg_2242,7204.35,-2.964,0
Neg_1615,3354.02,4.225,0
Neg_103,4739.570000000001,5.959,0
Neg_1048,5288.89,1.195,0
Neg_628,2953.37,3.096,0
Neg_2169,4619.530000000001,1.93,0
Neg_599,10315.22,10.152,0
Neg_2490,3210.75,3.864,0
Neg_62,9270.38,-0.866,0
Neg_1129,9058.22,11.717,0
Neg_190,1570.93,1.998,0
Neg_1522,7598.780000000001,2.333,0
Neg_165,8066.26,7.966,0
Neg_1152,5221.330000000001,1.097,0
Neg_217,5497.110000000001,-4.063,0
Neg_1140,5166.96,1.994,0
Neg_2378,5028.85,1.297,0
Neg_1569,8821.69,-1.836,0
Neg_662,2701.97,1.295,0
Neg_688,6893.740000000001,3.033,0
Neg_541,1715.06,0.928,0
Neg_624,3073.52,-0.038,0
Neg_2108,6581.780000000001,2.021,0
Neg_2808,8355.640000000001,1.929,0
Neg_2794,5002.450000000001,-3.1,0
Neg_2286,9175.65,3.8,0
Neg_373,10596.33,-2.337,0
Neg_2612,8583.66,1.001,0
Neg_937,9343.36,-6.894,0
Neg_1345,7264.39,3.03,0
Neg_2671,10155.11,0.933,0
Neg_2855,2502.9,0.098,0
Neg_279,8294.18,-8.891,0
Neg_706,9910.42,1.136,0
Neg_2921,5414.47,0.96,0
Neg_994,4523.990000000001,3.0,0
Neg_2453,2613.27,1.995,0
Neg_2074,3269.73,2.959,0
Neg_1803,2734.09,0.197,0
Neg_653,3588.07,0.862,0
Neg_1943,3172.71,1.096,0
Neg_1283,5593.4400000000005,2.028,0
Neg_1383,2936.55,3.997,0
Neg_325,6470.3,0.927,0
Neg_2702,9533.68,-0.055,0
Neg_2180,5713.63,2.033,0
Neg_585,5558.370000000001,4.932,0
Neg_2047,5191.990000000001,3.057,0
Neg_2392,2373.58,3.127,0
Neg_919,1099.25,0.997,0
Neg_2566,10455.61,-12.189,0
Neg_404,3498.14,2.997,0
Neg_953,6852.9800000000005,3.796,0
Neg_1257,7157.240000000001,0.298,0
Neg_1680,4728.5,4.029,0
Neg_1098,1451.59,1.998,0
Neg_1404,2608.08,4.095,0
Neg_79,5524.280000000001,2.492,0
Neg_2483,3740.07,-2.9,0
Neg_2866,1399.51,-0.904,0
Neg_133,10317.86,1.229,0
Neg_1514,3907.0,-9.98,0
Neg_1790,3998.54,-0.901,0
Neg_2219,7394.610000000001,7.423,0
Neg_2758,8906.95,8.593,0
Neg_621,4017.69,3.0,0
Neg_904,1370.63,-0.001,0
Neg_736,3690.3,4.161,0
Neg_431,7989.330000000001,7.197,0
Neg_2469,3648.13,-0.105,0
Neg_2895,9101.43,3.104,0
Neg_202,6757.5,0.328,0
Neg_478,4067.63,3.929,0
Neg_1929,9100.36,-2.132,0
Neg_1179,2168.25,-1.902,0
Neg_116,10379.96,-8.66,0
Neg_2854,4660.1900000000005,3.001,0
Neg_2229,4193.820000000001,2.997,0
Neg_301,3210.68,0.127,0
