,Calculate_mw,Calculate_charge,y
Neg_446,-0.43921,-0.25138,0
Neg_2228,0.8371,0.83836,0
Neg_2386,-0.16908,1.0484,0
Neg_2835,0.54458,0.59666,0
Neg_2149,0.77364,-0.31207,0
Neg_2248,0.11196,0.35862,0
Neg_2739,1.71245,-0.48602,0
Neg_2580,-0.5901,0.54199,0
Neg_2765,1.27623,-2.01181,0
Neg_939,0.43954,0.83836,0
Neg_1859,-0.53797,-0.21659,0
Neg_1088,0.51124,0.85562,0
Neg_448,0.82104,-0.73007,0
Neg_2831,1.63504,0.83862,0
Neg_358,0.33836,-0.47712,0
Neg_2287,0.39772,1.06541,0
Neg_2597,-0.19048,-1.52318,0
Neg_2648,2.02574,-1.53155,0
Neg_152,0.93764,-0.16454,0
Neg_2086,-0.09475,1.61472,0
Neg_966,-0.09291,-0.75649,0
Neg_2081,1.31121,0.45514,0
Neg_2579,0.10183,0.27125,0
Neg_542,1.72496,0.28538,0
Neg_270,1.35536,-0.1389,0
Neg_447,-0.73602,-0.24118,0
Neg_2242,0.80426,-1.01702,0
Neg_1615,-0.46281,0.86347,0
Neg_103,-0.00685,1.31705,0
Neg_1048,0.17392,0.07088,0
Neg_628,-0.59466,0.56815,0
Neg_2169,-0.04636,0.26314,0
Neg_599,1.82799,2.41385,0
Neg_2490,-0.50996,0.76904,0
Neg_62,1.48415,-0.46823,0
Neg_1129,1.41433,2.82322,0
Neg_190,-1.04959,0.28093,0
Neg_1522,0.93406,0.36856,0
Neg_165,1.0879,1.84203,0
Neg_1152,0.15168,0.04525,0
Neg_217,0.24244,-1.3045,0
Neg_1140,0.13379,0.27989,0
Neg_2378,0.08834,0.09757,0
Neg_1569,1.33649,-0.72196,0
Neg_662,-0.67739,0.09704,0
Neg_688,0.70204,0.55167,0
Neg_541,-1.00216,0.00104,0
Neg_624,-0.55512,-0.25164,0
Neg_2108,0.59938,0.28695,0
Neg_2808,1.18313,0.26288,0
Neg_2794,0.07966,-1.0526,0
Neg_2286,1.45297,0.7523,0
Neg_373,1.92049,-0.85301,0
Neg_2612,1.25816,0.02014,0
Neg_937,1.50817,-2.04503,0
Neg_1345,0.82402,0.55088,0
Neg_2671,1.7753,0.00235,0
Neg_2855,-0.7429,-0.21607,0
Neg_279,1.1629,-2.5674,0
Neg_706,1.69477,0.05545,0
Neg_2921,0.21524,0.00941,0
Neg_994,-0.0778,0.54303,0
Neg_2453,-0.70658,0.28015,0
Neg_2074,-0.49055,0.53231,0
Neg_1803,-0.66682,-0.19017,0
Neg_653,-0.38579,-0.01622,0
Neg_1943,-0.52248,0.04499,0
Neg_1283,0.27414,0.28878,0
Neg_1383,-0.60019,0.80383,0
Neg_325,0.5627,0.00078,0
Neg_2702,1.5708,-0.25609,0
Neg_2180,0.31369,0.29009,0
Neg_585,0.2626,1.0484,0
Neg_2047,0.14203,0.55794,0
Neg_2392,-0.78546,0.57625,0
Neg_919,-1.20481,0.01909,0
Neg_2566,1.87419,-3.43008,0
Neg_404,-0.41538,0.54225,0
Neg_953,0.68863,0.75125,0
Neg_1257,0.78876,-0.16375,0
Neg_1680,-0.0105,0.8122,0
Neg_1098,-1.08886,0.28093,0
Neg_1404,-0.70829,0.82946,0
Neg_79,0.25138,0.41015,0
Neg_2483,-0.33577,-1.00028,0
Neg_2866,-1.106,-0.47817,0
Neg_133,1.82885,0.07978,0
Neg_1514,-0.28084,-2.85226,0
Neg_1790,-0.25071,-0.47738,0
Neg_2219,0.86687,1.7,0
Neg_2758,1.36455,2.00604,0
Neg_621,-0.24441,0.54303,0
Neg_904,-1.11551,-0.24196,0
Neg_736,-0.35215,0.84673,0
Neg_431,1.06258,1.64088,0
Neg_2469,-0.36603,-0.26917,0
Neg_2895,1.42855,0.57024,0
Neg_202,0.65721,-0.1559,0
Neg_478,-0.22798,0.78604,0
Neg_1929,1.4282,-0.79939,0
Neg_1179,-0.85303,-0.73922,0
Neg_116,1.84929,-2.50697,0
Neg_2854,-0.03298,0.5433,0
Neg_2229,-0.18645,0.54225,0
Neg_301,-0.50998,-0.20848,0
Neg_2264,0.55959,-0.75597,0
Neg_58,-0.28925,0.09678,0
Neg_37,-0.25088,-3.63778,0
Neg_1299,-1.1237,0.8292,0
Neg_2238,0.23125,-0.77297,0
Neg_1065,1.50695,-0.99923,0
Neg_2393,1.6945,0.82972,0
Neg_1063,1.07042,1.33483,0
Neg_2681,-0.25735,-0.52002,0
Neg_1206,1.06845,-1.28017,0
Neg_926,-0.85862,-0.47843,0
Neg_1834,-1.16098,-0.50407,0
Neg_219,0.28786,-1.35027,0
Neg_1051,1.6311,1.90298,0
Neg_2732,-0.91917,0.82946,0
Neg_22,-0.74059,0.04525,0
Neg_2672,0.253,0.0442,0
Neg_1925,1.44998,1.0913,0
Neg_1046,-0.506,0.28093,0
Neg_2602,0.26465,0.28799,0
Neg_2626,0.73402,-0.43449,0
Neg_664,1.6157,-0.47006,0
Neg_1033,1.2414,-0.7918,0
Neg_1541,1.38267,0.0994,0
Neg_352,0.30896,-0.76434,0
