,Hopp_woods,y
peptide_nm_1,0.1603,0
peptide_nm_2,-0.43865,0
peptide_nm_3,-0.57257,0
peptide_nm_4,-0.31147,0
peptide_nm_5,-0.9921,0
peptide_nm_6,-0.95019,0
peptide_nm_7,0.78264,0
peptide_nm_8,-1.10061,0
peptide_nm_9,-0.00073,0
peptide_nm_10,-1.2079,0
peptide_nm_11,0.35871,0
peptide_nm_12,-0.47081,0
peptide_nm_13,-1.50308,0
peptide_nm_14,-0.38984,0
peptide_nm_15,-1.02698,0
peptide_nm_16,-0.04118,0
peptide_nm_17,-1.08004,0
peptide_nm_18,-0.14961,0
peptide_nm_19,0.03278,0
peptide_nm_20,-1.12853,0
peptide_nm_21,-0.93241,0
peptide_nm_22,-1.29484,0
peptide_nm_23,-0.65353,0
peptide_nm_24,0.27706,0
peptide_nm_25,2.72476,0
peptide_nm_26,-0.43305,0
peptide_nm_27,0.30305,0
peptide_nm_28,-0.38151,0
peptide_nm_29,0.15572,0
peptide_nm_30,-0.40097,0
peptide_nm_31,-1.31287,0
peptide_nm_32,-0.34234,0
peptide_nm_33,0.06198,0
peptide_nm_34,0.37933,0
peptide_nm_35,-0.72977,0
peptide_nm_36,0.91568,0
peptide_nm_37,-1.33311,0
peptide_nm_38,-1.44651,0
peptide_nm_39,-0.44113,0
peptide_nm_40,-1.12753,0
peptide_nm_41,-0.61206,0
peptide_nm_43,1.10426,0
peptide_nm_44,0.31781,0
peptide_nm_45,-0.86405,0
peptide_nm_46,-1.39257,0
peptide_nm_47,-1.03738,0
peptide_nm_48,0.40235,0
peptide_nm_49,-1.22768,0
peptide_nm_50,-1.02425,0
peptide_nm_51,-0.91591,0
peptide_nm_52,-0.03911,0
peptide_nm_53,-0.64036,0
peptide_nm_54,-0.49796,0
peptide_nm_55,-0.04621,0
peptide_nm_56,-0.92656,0
peptide_nm_57,-1.26372,0
peptide_nm_58,-0.86477,0
peptide_nm_59,-1.27254,0
peptide_nm_60,-0.92647,0
peptide_nm_61,-0.38394,0
peptide_nm_62,-0.56087,0
peptide_nm_63,-0.53339,0
peptide_nm_64,-1.08408,0
peptide_nm_65,-0.57683,0
peptide_nm_66,-0.84016,0
peptide_nm_67,-0.89981,0
peptide_nm_68,-1.06996,0
peptide_nm_69,-0.83857,0
peptide_nm_70,0.0398,0
peptide_nm_71,-0.47771,0
