DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
25.70,12.74,18.32,20.34,15.59,54.55,16.71,24.85,0.00,26.04,13.26,27.22,27.61,24.83,63.45,27.92,23.33,21.30,27.97,22.24,
22.39,12.04,19.71,28.98,29.25,0.00,28.57,16.20,27.17,37.74,10.77,10.21,42.15,30.08,27.36,16.70,31.94,34.00,25.66,45.47,
4.73,5.27,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,0.00,7.45,5.27,3.50,6.18,4.73,0.00,0.00,9.09,0.00,
7.45,0.00,4.73,6.18,0.00,0.00,9.09,6.18,0.00,0.00,7.45,4.55,9.09,4.73,5.27,0.00,0.00,0.00,5.27,0.00,
3.36,15.06,0.00,0.00,0.00,0.00,6.71,8.72,0.00,0.00,0.00,0.00,12.72,10.28,9.39,6.13,0.00,11.39,0.00,0.00,
5.69,5.54,6.15,0.00,0.00,0.00,0.00,8.00,11.08,0.00,8.00,0.00,6.15,11.08,9.38,3.58,0.00,0.00,6.92,9.38,
0.00,3.27,0.00,0.00,0.00,0.00,0.00,5.69,0.00,0.00,5.42,5.54,11.08,4.92,0.00,0.00,6.15,0.00,4.75,0.00,
0.00,0.00,0.00,5.38,0.00,15.06,6.19,0.00,0.00,0.00,0.00,0.00,10.47,0.00,5.07,10.81,0.00,0.00,0.00,4.67,
6.15,6.92,0.00,5.75,0.00,0.00,0.00,5.54,0.00,6.15,0.00,0.00,0.00,7.08,11.08,3.09,0.00,0.00,9.38,0.00,
4.64,0.00,13.07,0.00,5.79,0.00,0.00,5.69,6.67,0.00,0.00,7.79,6.53,0.00,0.00,0.00,0.00,4.21,9.87,0.00,
12.72,14.28,8.28,9.39,0.00,0.00,3.81,0.00,0.00,14.28,16.06,8.72,0.00,5.65,12.72,8.00,11.39,0.00,11.39,8.72,
0.00,0.00,9.38,8.00,0.00,0.00,0.00,5.69,0.00,6.15,7.45,5.69,0.00,0.00,5.08,9.38,0.00,0.00,6.15,6.92,
8.00,9.39,6.53,0.00,0.00,0.00,12.72,8.06,0.00,10.28,3.47,0.00,0.00,0.00,8.72,8.12,0.00,0.00,0.00,10.28,
