,Kytedoolittle,y
peptide_nm_1,0.23912406547836,0
peptide_nm_2,0.3334073930757286,0
peptide_nm_3,0.1859237916019905,0
peptide_nm_4,0.2158256752828309,0
peptide_nm_5,0.2131013499883407,0
peptide_nm_6,0.1221443830047015,0
peptide_nm_7,0.4680809375996267,0
peptide_nm_8,0.3486917205180637,0
peptide_nm_9,0.3431977720141119,0
peptide_nm_10,0.0490236211479181,0
peptide_nm_11,0.1728843658056694,0
peptide_nm_12,0.0887393372948748,0
peptide_nm_13,0.1049737305765003,0
peptide_nm_14,0.2998292529624125,0
peptide_nm_15,0.0684939855071942,0
peptide_nm_16,0.301585591635829,0
peptide_nm_17,0.0436691946616235,0
peptide_nm_18,0.1604542308618239,0
peptide_nm_19,0.3128187822387463,0
peptide_nm_20,0.1526939575885648,0
peptide_nm_21,0.219950730380017,0
peptide_nm_22,0.1970011492676538,0
peptide_nm_23,0.149296142562901,0
peptide_nm_24,0.4131440892727417,0
peptide_nm_25,0.1784064952885775,0
peptide_nm_26,0.1867283417054277,0
peptide_nm_27,0.3517087333364211,0
peptide_nm_28,0.2961553155034968,0
peptide_nm_29,0.1076802484002366,0
peptide_nm_30,0.0849270319840013,0
peptide_nm_31,0.1754784563756846,0
peptide_nm_32,0.1215662282362447,0
peptide_nm_33,0.3155706787472547,0
peptide_nm_34,0.4153221623276076,0
peptide_nm_35,0.2492419783529625,0
peptide_nm_36,0.3091963461924802,0
peptide_nm_37,0.046261938488198,0
peptide_nm_38,0.1362209183161616,0
peptide_nm_39,0.4453271196273745,0
peptide_nm_40,0.1297439557935436,0
peptide_nm_41,0.2344787215100157,0
peptide_nm_43,0.2960366458347439,0
peptide_nm_44,0.3240131453401632,0
peptide_nm_45,0.1575876642849756,0
peptide_nm_46,0.0155750275536149,0
peptide_nm_47,0.0891287542861794,0
peptide_nm_48,0.3896176670638113,0
peptide_nm_49,0.145258824330192,0
peptide_nm_50,0.0699143428162779,0
peptide_nm_51,0.161932145301469,0
peptide_nm_52,0.2219195478174458,0
peptide_nm_53,0.2212183889457253,0
peptide_nm_54,0.2107123843718562,0
peptide_nm_55,0.2309774211349987,0
peptide_nm_56,0.0544469342127767,0
peptide_nm_57,0.0652719501362178,0
peptide_nm_58,0.0562543516040209,0
peptide_nm_59,0.3238146894133049,0
peptide_nm_60,0.1078413018028555,0
peptide_nm_61,0.2888695503436818,0
peptide_nm_62,0.3016860031818138,0
peptide_nm_63,0.1425595883550844,0
peptide_nm_64,0.111955231270279,0
peptide_nm_65,0.3168632890727075,0
peptide_nm_66,0.1333986510471931,0
peptide_nm_67,0.1439748514433171,0
peptide_nm_68,0.1679732783973239,0
peptide_nm_69,0.0828841214585528,0
peptide_nm_70,0.1991421243324613,0
peptide_nm_71,0.5038665232769856,0
peptide_nm_72,0.3555815185839707,0
peptide_nm_73,0.0693448172432803,0
peptide_nm_74,0.2151798379805018,0
peptide_nm_75,0.1337283407711671,0
peptide_nm_76,0.0139122093904662,0
peptide_nm_77,0.1376058694598925,0
peptide_nm_78,0.3637636935417219,0
peptide_nm_79,0.0190972952179446,0
peptide_nm_80,0.2602091172516011,0
peptide_nm_81,0.0901714292824711,0
peptide_nm_82,0.0848418953516813,0
peptide_nm_83,0.0631152448790629,0
peptide_nm_84,0.1651898686388386,0
peptide_nm_85,0.2692960559727905,0
peptide_nm_86,0.4029977990381476,0
peptide_nm_87,0.0620330527994824,0
peptide_nm_88,0.4840713135997308,0
peptide_nm_89,0.1822656178941815,0
peptide_nm_90,0.1206314550306029,0
peptide_nm_91,0.0554041014987215,0
peptide_nm_92,0.3060298475438132,0
peptide_nm_93,0.2063391484243788,0
peptide_nm_94,0.0826835038077581,0
peptide_nm_95,0.1248879275422285,0
peptide_nm_96,0.2659070716238099,0
peptide_nm_97,0.4583107670282798,0
peptide_nm_98,0.3638426788773873,0
peptide_nm_99,0.5910053748814584,0
peptide_nm_100,0.2741617242623035,0
peptide_nm_101,0.2171300461828769,0
peptide_nm_102,0.2784844470888614,0
peptide_nm_103,0.3184708965767905,0
peptide_nm_104,0.4060253406719785,0
peptide_nm_105,0.0643529858740567,0
peptide_nm_106,0.4393943059085602,0
peptide_nm_107,0.1184276312321885,0
peptide_nm_108,0.203754306243446,0
peptide_nm_109,0.2760053596837326,0
peptide_nm_110,0.135149170900877,0
peptide_nm_111,0.0408132061865879,0
peptide_nm_112,0.2591878341958355,0
peptide_nm_113,0.0737107222691827,0
peptide_nm_114,0.2329741096449547,0
peptide_nm_115,0.1483146511144366,0
peptide_nm_116,0.2194022269779393,0
peptide_nm_117,0.2794125145083058,0
peptide_nm_118,0.1266964310541521,0
peptide_nm_119,0.3343058835882855,0
peptide_nm_120,0.3976530454070936,0
peptide_nm_121,0.207602219664117,0
peptide_nm_122,0.2596733444938073,0
peptide_nm_123,0.1482853674779464,0
peptide_nm_124,0.2018563777742872,0
peptide_nm_125,0.2033849833917224,0
peptide_nm_126,0.2792914911841853,0
peptide_nm_127,0.2135798462629476,0
peptide_nm_128,0.0737881809259868,0
peptide_nm_129,0.0511994495913583,0
peptide_nm_130,0.1488417569206986,0
peptide_nm_131,0.4795877608413894,0
peptide_nm_132,0.3189917876014744,0
peptide_nm_133,0.4870730072668974,0
peptide_nm_134,0.4403358591707046,0
peptide_nm_135,0.2533482224533066,0
peptide_nm_136,0.3652139673540032,0
peptide_nm_137,0.1167261785396545,0
peptide_nm_138,0.2944736488940992,0
peptide_nm_139,0.2405178716895395,0
peptide_nm_140,0.2027653396372569,0
peptide_nm_141,0.0142439781869732,0
peptide_nm_142,0.3346058011331461,0
peptide_nm_143,0.070939247004449,0
peptide_nm_144,0.1455235278659533,0
peptide_nm_145,0.1778518016217192,0
peptide_nm_146,0.3108252737244275,0
peptide_nm_147,0.379704809512052,0
peptide_nm_148,0.154607868276034,0
peptide_nm_149,0.1871271364000087,0
peptide_nm_150,0.1544412858093417,0
peptide_nm_151,0.3884104522487197,0
peptide_nm_152,0.0833428037608634,0
peptide_nm_153,0.139288249298309,0
peptide_nm_154,0.1026192539508977,0
peptide_nm_155,0.2132795811548312,0
peptide_nm_156,0.1795241236555247,0
peptide_nm_157,0.3000018763593977,0
peptide_nm_158,0.3382750545756751,0
peptide_nm_159,0.2081291654219006,0
peptide_nm_160,0.2276323415226756,0
peptide_nm_161,0.20000482671455,0
peptide_nm_162,0.1842751782205763,0
peptide_nm_163,0.2959059653660279,0
peptide_nm_164,0.2960442209978373,0
peptide_nm_165,0.4069220901783874,0
peptide_nm_166,0.2245726651171704,0
peptide_nm_167,0.2271539994474731,0
