,Hopp_woods,y
Neg_446,-0.71282,0
Neg_2228,-0.68722,0
Neg_2386,-0.67941,0
Neg_2835,1.62562,0
Neg_2149,-0.93676,0
Neg_2248,-0.51095,0
Neg_2739,0.04024,0
Neg_2580,-0.4981,0
Neg_2765,-1.30668,0
Neg_939,-0.4309,0
Neg_1859,0.54958,0
Neg_1088,-0.83276,0
Neg_448,0.8377,0
Neg_2831,-0.99082,0
Neg_358,0.23975,0
Neg_2287,-0.54415,0
Neg_2597,1.03006,0
Neg_2648,-1.16307,0
Neg_152,-1.32968,0
Neg_2086,0.1459,0
Neg_966,-0.00708,0
Neg_2081,-0.79665,0
Neg_2579,-0.06457,0
Neg_542,-0.90871,0
Neg_270,-0.07982,0
Neg_447,2.71837,0
Neg_2242,-0.12593,0
Neg_1615,-0.99148,0
Neg_103,-0.8145,0
Neg_1048,-1.53825,0
Neg_628,-0.36552,0
Neg_2169,0.79545,0
Neg_599,-0.57569,0
Neg_2490,0.1789,0
Neg_62,-0.53932,0
Neg_1129,-0.88169,0
Neg_190,1.24097,0
Neg_1522,-0.18421,0
Neg_165,0.46953,0
Neg_1152,-0.83014,0
Neg_217,0.52228,0
Neg_1140,0.51764,0
Neg_2378,-1.11282,0
Neg_1569,-0.06297,0
Neg_662,-1.18859,0
Neg_688,2.28399,0
Neg_541,0.98448,0
Neg_624,-0.69524,0
Neg_2108,-0.78465,0
Neg_2808,-1.1105,0
Neg_2794,-0.43154,0
Neg_2286,0.09704,0
Neg_373,-0.89985,0
Neg_2612,-1.0149,0
Neg_937,-0.00115,0
Neg_1345,0.12343,0
Neg_2671,-0.8967,0
Neg_2855,0.2315,0
Neg_279,-0.60516,0
Neg_706,0.53638,0
Neg_2921,-0.56808,0
Neg_994,-0.63271,0
Neg_2453,-0.11375,0
Neg_2074,0.74205,0
Neg_1803,-1.03155,0
Neg_653,0.05601,0
Neg_1943,0.21783,0
Neg_1283,-1.06538,0
Neg_1383,-0.85171,0
Neg_325,-1.08101,0
Neg_2702,-0.98774,0
Neg_2180,-0.49446,0
Neg_585,0.58435,0
Neg_2047,-0.69012,0
Neg_2392,-0.98726,0
Neg_919,1.60837,0
Neg_2566,-0.01836,0
Neg_404,0.6478,0
Neg_953,-0.31702,0
Neg_1257,-0.59912,0
Neg_1680,-0.67218,0
Neg_1098,3.60128,0
Neg_1404,-0.20913,0
Neg_79,0.20206,0
Neg_2483,-0.60977,0
Neg_2866,1.30655,0
Neg_133,0.15448,0
Neg_1514,0.73539,0
Neg_1790,-0.03931,0
Neg_2219,-1.22052,0
Neg_2758,-0.08602,0
Neg_621,0.48881,0
Neg_904,2.231,0
Neg_736,-0.38311,0
Neg_431,-0.70406,0
Neg_2469,-0.37976,0
Neg_2895,0.13901,0
Neg_202,-0.38403,0
Neg_478,1.37196,0
Neg_1929,-0.90409,0
Neg_1179,0.20518,0
Neg_116,-0.24021,0
Neg_2854,0.21031,0
Neg_2229,0.14701,0
Neg_301,0.87396,0
Neg_2264,0.18165,0
Neg_58,-0.47285,0
Neg_37,-0.13959,0
Neg_1299,0.01272,0
Neg_2238,0.90639,0
Neg_1065,-1.08044,0
Neg_2393,-0.56248,0
Neg_1063,-0.52035,0
Neg_2681,-0.05471,0
Neg_1206,0.18438,0
Neg_926,0.11412,0
Neg_1834,1.38905,0
Neg_219,0.34897,0
Neg_1051,-0.73922,0
Neg_2732,-0.01585,0
Neg_22,3.12391,0
