,Hydrophobic,y
peptide_nm_1,-2.19018,0
peptide_nm_2,-1.52608,0
peptide_nm_3,1.20721,0
peptide_nm_4,-2.01032,0
peptide_nm_5,-0.97025,0
peptide_nm_6,-0.57143,0
peptide_nm_7,-0.43653,0
peptide_nm_8,-0.43653,0
peptide_nm_9,0.50774,0
peptide_nm_10,-1.3808,0
peptide_nm_11,-2.10717,0
peptide_nm_12,-0.65444,0
peptide_nm_13,-2.22739,0
peptide_nm_14,0.30895,0
peptide_nm_15,-1.29869,0
peptide_nm_16,-1.28141,0
peptide_nm_17,-1.02351,0
peptide_nm_18,-0.94498,0
peptide_nm_19,0.70654,0
peptide_nm_20,-0.88382,0
peptide_nm_21,0.08807,0
peptide_nm_22,-0.88382,0
peptide_nm_23,-1.17096,0
peptide_nm_24,0.08807,0
peptide_nm_25,-3.26935,0
peptide_nm_26,-1.11101,0
peptide_nm_27,-1.6506,0
peptide_nm_28,0.50774,0
peptide_nm_29,-2.01032,0
peptide_nm_30,-0.90867,0
peptide_nm_31,-0.60317,0
peptide_nm_32,-0.75129,0
peptide_nm_33,1.37938,0
peptide_nm_34,-0.03184,0
peptide_nm_35,-1.3808,0
peptide_nm_36,-1.3808,0
peptide_nm_37,0.42738,0
peptide_nm_38,-0.4715,0
peptide_nm_39,-0.08864,0
peptide_nm_40,-1.52608,0
peptide_nm_41,-0.84122,0
peptide_nm_43,-0.75129,0
peptide_nm_44,0.92742,0
peptide_nm_45,0.3775,0
peptide_nm_46,-0.62538,0
peptide_nm_47,-0.70093,0
peptide_nm_48,-0.36389,0
peptide_nm_49,-0.43653,0
peptide_nm_50,-1.20912,0
peptide_nm_51,-0.75129,0
peptide_nm_52,1.3471,0
peptide_nm_53,0.19299,0
peptide_nm_54,1.76678,0
peptide_nm_55,0.28556,0
peptide_nm_56,-0.14348,0
peptide_nm_57,-0.75129,0
peptide_nm_58,-0.36389,0
peptide_nm_59,1.76678,0
peptide_nm_60,0.74381,0
peptide_nm_61,-0.75129,0
peptide_nm_62,0.16437,0
peptide_nm_63,-1.28141,0
peptide_nm_64,-1.23553,0
peptide_nm_65,-0.33161,0
peptide_nm_66,-0.64181,0
peptide_nm_67,-1.83046,0
peptide_nm_68,-1.3808,0
peptide_nm_69,1.15897,0
peptide_nm_70,-0.12177,0
peptide_nm_71,0.85112,0
peptide_nm_72,0.50774,0
peptide_nm_73,-1.17096,0
peptide_nm_74,-0.57143,0
peptide_nm_75,-1.20912,0
peptide_nm_76,-0.33161,0
peptide_nm_77,-0.36389,0
peptide_nm_78,0.68761,0
peptide_nm_79,-0.10146,0
peptide_nm_80,0.08807,0
peptide_nm_81,-0.3537,0
peptide_nm_82,-1.44593,0
peptide_nm_83,-0.19172,0
peptide_nm_84,-0.03184,0
peptide_nm_85,-1.47073,0
peptide_nm_86,-0.14348,0
peptide_nm_87,-0.9802,0
peptide_nm_88,0.2172,0
peptide_nm_89,0.50774,0
peptide_nm_90,-0.36389,0
peptide_nm_91,-0.08864,0
peptide_nm_92,-0.33161,0
peptide_nm_93,2.84595,0
peptide_nm_94,-1.11101,0
peptide_nm_95,0.01508,0
peptide_nm_96,-0.94498,0
peptide_nm_97,0.97988,0
peptide_nm_98,1.04733,0
peptide_nm_99,-0.03184,0
peptide_nm_100,-0.94498,0
peptide_nm_101,-0.84122,0
peptide_nm_102,-0.84122,0
peptide_nm_103,0.2172,0
peptide_nm_104,1.00041,0
peptide_nm_105,-1.52608,0
peptide_nm_106,-0.36389,0
peptide_nm_107,-0.57143,0
peptide_nm_108,-1.47073,0
peptide_nm_109,0.2172,0
peptide_nm_110,0.92742,0
peptide_nm_111,-0.75129,0
peptide_nm_112,-0.19172,0
