,Shannon-Entropy,y
peptide_nm_1,2.842,0
peptide_nm_2,3.027,0
peptide_nm_3,3.334,0
peptide_nm_4,3.522,0
peptide_nm_5,3.501,0
peptide_nm_6,3.682,0
peptide_nm_7,3.0,0
peptide_nm_8,3.453,0
peptide_nm_9,2.781,0
peptide_nm_10,2.752,0
peptide_nm_11,2.777,0
peptide_nm_12,3.584,0
peptide_nm_13,3.634,0
peptide_nm_14,3.366,0
peptide_nm_15,3.088,0
peptide_nm_16,3.366,0
peptide_nm_17,3.703,0
peptide_nm_18,3.027,0
peptide_nm_19,3.261,0
peptide_nm_20,3.326,0
peptide_nm_21,2.864,0
peptide_nm_22,3.116,0
peptide_nm_23,3.197,0
peptide_nm_24,3.35,0
peptide_nm_25,1.922,0
peptide_nm_26,3.093,0
peptide_nm_27,3.093,0
peptide_nm_28,3.308,0
peptide_nm_29,3.392,0
peptide_nm_30,3.375,0
peptide_nm_31,3.646,0
peptide_nm_32,3.252,0
peptide_nm_33,2.931,0
peptide_nm_34,1.842,0
peptide_nm_35,3.25,0
peptide_nm_36,2.855,0
peptide_nm_37,3.764,0
peptide_nm_38,3.51,0
peptide_nm_39,3.537,0
peptide_nm_40,3.369,0
peptide_nm_41,3.512,0
peptide_nm_43,3.252,0
peptide_nm_44,3.017,0
peptide_nm_45,3.686,0
peptide_nm_46,3.854,0
peptide_nm_47,3.586,0
peptide_nm_48,3.239,0
peptide_nm_49,3.0,0
peptide_nm_50,3.664,0
peptide_nm_51,3.26,0
peptide_nm_52,3.017,0
peptide_nm_53,3.772,0
peptide_nm_54,2.585,0
peptide_nm_55,3.175,0
peptide_nm_56,3.745,0
peptide_nm_57,2.855,0
peptide_nm_58,3.565,0
peptide_nm_59,3.044,0
peptide_nm_60,3.84,0
peptide_nm_61,3.57,0
peptide_nm_62,2.914,0
peptide_nm_63,3.471,0
peptide_nm_64,3.767,0
peptide_nm_65,3.35,0
peptide_nm_66,3.414,0
peptide_nm_67,3.327,0
peptide_nm_68,3.156,0
peptide_nm_69,3.479,0
peptide_nm_70,3.252,0
peptide_nm_71,2.369,0
peptide_nm_72,3.572,0
peptide_nm_73,3.419,0
peptide_nm_74,3.236,0
peptide_nm_75,3.278,0
peptide_nm_76,3.461,0
peptide_nm_77,3.408,0
peptide_nm_78,3.535,0
peptide_nm_79,3.241,0
peptide_nm_80,3.039,0
peptide_nm_81,3.869,0
peptide_nm_82,3.883,0
peptide_nm_83,3.556,0
peptide_nm_84,3.654,0
peptide_nm_85,3.726,0
peptide_nm_86,3.729,0
peptide_nm_87,3.715,0
peptide_nm_88,2.931,0
peptide_nm_89,2.918,0
peptide_nm_90,2.624,0
peptide_nm_91,3.181,0
peptide_nm_92,3.35,0
peptide_nm_93,2.678,0
peptide_nm_94,3.182,0
peptide_nm_95,3.708,0
peptide_nm_96,2.777,0
peptide_nm_97,3.031,0
peptide_nm_98,3.137,0
peptide_nm_99,3.379,0
peptide_nm_100,2.873,0
peptide_nm_101,3.285,0
peptide_nm_102,3.771,0
peptide_nm_103,3.181,0
peptide_nm_104,3.708,0
peptide_nm_105,2.931,0
peptide_nm_106,3.321,0
peptide_nm_107,2.95,0
peptide_nm_108,3.559,0
peptide_nm_109,3.239,0
peptide_nm_110,3.059,0
peptide_nm_111,3.522,0
peptide_nm_112,3.486,0
peptide_nm_113,3.491,0
peptide_nm_114,3.673,0
peptide_nm_115,3.511,0
peptide_nm_116,3.181,0
peptide_nm_117,2.95,0
peptide_nm_118,2.914,0
peptide_nm_119,2.752,0
peptide_nm_120,3.425,0
peptide_nm_121,3.572,0
peptide_nm_122,3.562,0
peptide_nm_123,3.617,0
peptide_nm_124,2.626,0
peptide_nm_125,3.25,0
peptide_nm_126,3.607,0
peptide_nm_127,2.914,0
