,Cougar__1,Cougar__2,Cougar__3,Cougar__4,Cougar__5,Cougar__6,Cougar__7,Cougar__8,Cougar__9,Cougar__10,Cougar__11,Cougar__12,Cougar__13,Cougar__14,Cougar__15,Cougar__16,Cougar__17,Cougar__18,Cougar__19,Cougar__20,Cougar__21,Cougar__22,Cougar__23,Cougar__24,Cougar__25,Cougar__26,Cougar__27,Cougar__28,Cougar__29,Cougar__30,y
peptide_nm_1,2.06781,2.74524,2.96517,2.94249,3.08297,-0.28297,-0.86577,-0.72828,-0.43524,-0.24772,0.8817,1.07031,1.05447,0.70142,0.88016,-0.47016,0.28922,0.62524,0.85866,-0.00672,-0.92498,-1.41984,-1.41729,-1.29107,-2.23351,-0.6576,-0.88714,-0.81319,-0.73698,-0.99641,0
peptide_nm_2,0.11886,-0.52051,-0.74032,-0.92214,-0.63833,-0.81783,-1.26655,-1.22064,0.78107,-0.83749,-0.80021,-0.51681,-0.53335,-1.07981,0.82405,0.25399,-0.81894,0.7312,-1.24789,-0.14515,-1.67429,-0.61372,-1.62727,-1.35418,-1.43054,0.7396,-0.68215,-0.1133,-0.83756,-1.41962,0
peptide_nm_3,-0.52897,-0.44741,-0.54966,-1.0808,-0.88889,1.17362,1.18054,0.98513,1.43181,1.09622,-0.39223,-0.4162,-0.40653,-0.5417,-0.3245,-0.58353,0.22799,1.05948,0.1623,-0.25054,1.16012,0.88466,1.44762,1.44436,1.52513,0.29329,0.22681,0.18955,0.29741,0.25806,0
peptide_nm_4,1.47113,1.6885,1.84584,2.02423,2.04114,-0.56814,-0.7073,-1.19305,-1.42758,-1.11901,1.84563,2.36696,1.88321,2.72443,2.5778,-1.20549,-0.1505,0.42204,-0.0979,-0.56906,-1.36161,-1.65084,-1.20002,-1.35074,-0.91315,2.19797,1.7278,1.90899,1.80477,1.89228,0
peptide_nm_5,-0.08694,0.13708,0.37876,0.46511,-0.07759,-0.08264,-0.24281,-0.89376,-0.33488,-0.17236,0.58433,0.68888,0.88606,0.77056,0.56414,-0.7672,-0.82561,0.28192,0.29077,-0.85369,-0.74427,-0.52215,-0.66321,-0.89923,-0.49613,0.97451,1.21998,1.12308,1.25703,0.94667,0
peptide_nm_6,-0.43249,-0.31011,-0.85252,-1.12564,-0.65814,-0.29768,-0.59446,-0.29089,0.46762,0.53694,-0.53583,-0.60817,-0.8042,-0.35069,-0.99563,-0.53925,0.29114,0.10161,0.06215,-0.79452,-0.451,0.01549,-0.15186,-0.8394,0.24698,0.8241,0.10452,0.49211,0.64525,0.31396,0
peptide_nm_7,0.63319,0.57401,0.60028,0.54754,0.89881,-1.24501,-0.86659,-0.72896,-1.05869,-1.26228,1.24022,1.19872,1.18131,1.01893,1.07558,0.75297,-1.07754,-1.14093,1.06841,0.11971,-1.3068,-1.80697,-0.9911,-1.29035,-1.01942,1.11501,1.0408,1.30038,1.2204,1.07609,0
peptide_nm_8,0.63499,0.83603,1.17839,0.86353,1.02644,0.3204,0.5042,-0.68019,0.96224,0.35559,1.17476,1.39387,1.0412,1.22025,1.52026,0.00739,-1.18505,0.92779,-2.05599,-0.59591,0.23132,0.00088,0.041,-0.18675,-0.50604,0.84609,0.98991,0.7577,0.90884,0.92705,0
peptide_nm_9,0.07659,0.59753,0.29831,0.53851,0.54053,-0.34849,-0.45437,-0.0288,-0.59268,-0.39737,0.05464,0.04905,0.15875,0.61216,0.54725,0.66063,0.53411,0.18457,0.43601,-0.91785,0.08186,-0.37535,-0.41732,-0.72738,-0.91248,-0.58321,-0.318,-0.33007,-0.16671,-0.19529,0
peptide_nm_10,0.7287,0.99371,1.25786,0.94476,0.39711,-2.05102,-3.01832,-2.5555,-2.47141,-1.84607,0.76285,0.94089,1.11683,0.89549,0.51579,0.60359,2.4332,0.57243,-0.17993,0.96807,-2.44713,-2.87439,-3.24935,-2.52855,-2.01432,-0.03547,0.29014,0.51978,0.48606,0.4562,0
peptide_nm_11,0.08083,0.64128,0.69951,1.02249,0.89377,0.11538,-0.516,-0.42046,-0.01124,-0.13391,0.67071,0.58917,0.90614,0.99631,0.97023,-1.15504,-1.05699,0.52021,-0.86271,-0.28896,-0.47444,-0.20163,-0.70421,-0.63214,-0.65415,0.16577,0.44807,0.4982,0.61352,0.69221,0
peptide_nm_12,0.36261,-0.14649,-0.02412,-0.41334,-0.08769,-0.54619,0.3019,-0.23227,-0.019,0.08999,0.53128,0.50109,0.25804,0.21457,0.27391,-0.37578,-0.63067,0.2615,-0.54339,-1.05871,-0.57833,-0.8481,-0.59254,-0.50647,-0.25956,0.71707,0.84282,0.7816,0.7381,0.74844,0
peptide_nm_13,1.6653,1.85878,1.95949,1.74459,1.8457,-0.7622,-1.56334,-1.84753,-1.62171,-1.43651,1.73668,1.83351,1.51785,1.84292,1.94136,-0.46459,0.11873,0.64905,0.4197,-0.1223,-1.40384,-1.34995,-1.53719,-1.52784,-1.40593,1.62915,1.41991,1.50983,1.57707,1.32219,0
