,Length,y
peptide_nm_1,-0.67862,0
peptide_nm_2,-0.78184,0
peptide_nm_3,0.6633,0
peptide_nm_4,0.35363,0
peptide_nm_5,0.2504,0
peptide_nm_6,0.76653,0
peptide_nm_7,-0.47217,0
peptide_nm_8,-0.47217,0
peptide_nm_9,-0.47217,0
peptide_nm_10,-0.88506,0
peptide_nm_11,-0.78184,0
peptide_nm_12,0.56008,0
peptide_nm_13,0.86975,0
peptide_nm_14,-0.16249,0
peptide_nm_15,0.2504,0
peptide_nm_16,-0.16249,0
peptide_nm_17,5.51484,0
peptide_nm_18,-0.78184,0
peptide_nm_19,-0.16249,0
peptide_nm_20,-0.16249,0
peptide_nm_21,-0.26572,0
peptide_nm_22,-0.16249,0
peptide_nm_23,-0.26572,0
peptide_nm_24,-0.26572,0
peptide_nm_25,-1.60763,0
peptide_nm_26,-0.67862,0
peptide_nm_27,-0.67862,0
peptide_nm_28,-0.26572,0
peptide_nm_29,-0.26572,0
peptide_nm_30,-0.47217,0
peptide_nm_31,1.38587,0
peptide_nm_32,-0.88506,0
peptide_nm_33,-0.78184,0
peptide_nm_34,-1.40119,0
peptide_nm_35,-0.47217,0
peptide_nm_36,-0.88506,0
peptide_nm_37,2.72779,0
peptide_nm_38,0.6633,0
peptide_nm_39,-0.16249,0
peptide_nm_40,0.56008,0
peptide_nm_41,0.76653,0
peptide_nm_43,-0.88506,0
peptide_nm_44,-0.26572,0
peptide_nm_45,0.86975,0
peptide_nm_46,4.0697,0
peptide_nm_47,3.03746,0
peptide_nm_48,-0.78184,0
peptide_nm_49,-0.47217,0
peptide_nm_50,0.14718,0
peptide_nm_51,0.6633,0
peptide_nm_52,-0.26572,0
peptide_nm_53,0.35363,0
peptide_nm_54,-0.88506,0
peptide_nm_55,-0.36894,0
peptide_nm_56,0.86975,0
peptide_nm_57,-0.88506,0
peptide_nm_58,0.56008,0
peptide_nm_59,-0.26572,0
peptide_nm_60,1.17942,0
peptide_nm_61,0.35363,0
peptide_nm_62,-0.98829,0
peptide_nm_63,-0.16249,0
peptide_nm_64,0.56008,0
peptide_nm_65,-0.26572,0
peptide_nm_66,0.2504,0
peptide_nm_67,0.04396,0
peptide_nm_68,-0.47217,0
peptide_nm_69,0.86975,0
peptide_nm_70,-0.88506,0
peptide_nm_71,-0.98829,0
peptide_nm_72,-0.26572,0
peptide_nm_73,-0.26572,0
peptide_nm_74,-0.67862,0
peptide_nm_75,-0.98829,0
peptide_nm_76,-0.26572,0
peptide_nm_77,0.56008,0
peptide_nm_78,0.04396,0
peptide_nm_79,1.0762,0
peptide_nm_80,-0.26572,0
peptide_nm_81,3.76003,0
peptide_nm_82,0.86975,0
peptide_nm_83,0.6633,0
peptide_nm_84,0.04396,0
peptide_nm_85,0.04396,0
peptide_nm_86,0.86975,0
peptide_nm_87,1.28265,0
peptide_nm_88,-0.78184,0
peptide_nm_89,-0.88506,0
peptide_nm_90,-0.78184,0
peptide_nm_91,-0.16249,0
peptide_nm_92,-0.26572,0
peptide_nm_93,0.04396,0
peptide_nm_94,0.76653,0
peptide_nm_95,0.2504,0
peptide_nm_96,-0.78184,0
peptide_nm_97,-0.47217,0
peptide_nm_98,0.04396,0
peptide_nm_99,-0.67862,0
peptide_nm_100,-0.78184,0
peptide_nm_101,0.76653,0
peptide_nm_102,0.76653,0
peptide_nm_103,-0.78184,0
peptide_nm_104,0.2504,0
peptide_nm_105,-0.78184,0
peptide_nm_106,0.56008,0
peptide_nm_107,-0.67862,0
peptide_nm_108,0.04396,0
peptide_nm_109,-0.78184,0
peptide_nm_110,-0.26572,0
peptide_nm_111,0.35363,0
peptide_nm_112,0.6633,0
peptide_nm_113,0.35363,0
peptide_nm_114,0.76653,0
peptide_nm_115,-0.16249,0
peptide_nm_116,-0.78184,0
peptide_nm_117,-0.67862,0
peptide_nm_118,-0.98829,0
peptide_nm_119,-0.88506,0
peptide_nm_120,0.14718,0
peptide_nm_121,-0.26572,0
peptide_nm_122,0.56008,0
peptide_nm_123,-0.36894,0
peptide_nm_124,-0.88506,0
peptide_nm_125,-0.47217,0
peptide_nm_126,0.14718,0
peptide_nm_127,-0.98829,0
peptide_nm_128,-0.88506,0
peptide_nm_129,-0.67862,0
peptide_nm_130,-0.98829,0
peptide_nm_131,-0.26572,0
peptide_nm_132,-0.26572,0
peptide_nm_133,-0.36894,0
peptide_nm_134,-0.98829,0
peptide_nm_135,-0.16249,0
peptide_nm_136,-0.67862,0
peptide_nm_137,0.6633,0
peptide_nm_138,-0.78184,0
peptide_nm_139,3.45036,0
peptide_nm_140,-0.36894,0
peptide_nm_141,0.2504,0
peptide_nm_142,-0.78184,0
peptide_nm_143,-0.47217,0
peptide_nm_144,-0.88506,0
peptide_nm_145,0.86975,0
peptide_nm_146,-0.67862,0
peptide_nm_147,-0.36894,0
peptide_nm_148,-0.47217,0
peptide_nm_149,0.56008,0
peptide_nm_150,-0.26572,0
peptide_nm_151,-0.67862,0
peptide_nm_152,-0.47217,0
peptide_nm_153,0.86975,0
peptide_nm_154,-0.26572,0
peptide_nm_155,0.35363,0
peptide_nm_156,-0.26572,0
peptide_nm_157,-0.16249,0
peptide_nm_158,0.86975,0
peptide_nm_159,1.28265,0
peptide_nm_160,1.0762,0
peptide_nm_161,-0.47217,0
peptide_nm_162,0.35363,0
peptide_nm_163,0.56008,0
peptide_nm_164,0.2504,0
peptide_nm_165,-0.88506,0
peptide_nm_166,1.17942,0
peptide_nm_167,0.6633,0
peptide_nm_168,0.76653,0
peptide_nm_169,-0.26572,0
peptide_nm_170,-0.98829,0
peptide_nm_171,0.76653,0
peptide_nm_172,0.04396,0
peptide_nm_173,-0.98829,0
peptide_nm_174,0.56008,0
peptide_nm_175,-0.36894,0
peptide_nm_176,2.62456,0
peptide_nm_177,-0.88506,0
peptide_nm_178,-0.88506,0
peptide_nm_179,-0.67862,0
