,Eisenberg,y
Neg_446,-0.14852,0
Neg_2228,-1.19166,0
Neg_2386,-1.17031,0
Neg_2835,1.50509,0
Neg_2149,-1.05183,0
Neg_2248,-0.97798,0
Neg_2739,0.01016,0
Neg_2580,0.18374,0
Neg_2765,-1.14008,0
Neg_939,-0.36167,0
Neg_1859,0.28792,0
Neg_1088,-1.04721,0
Neg_448,0.40629,0
Neg_2831,-0.87471,0
Neg_358,-0.32796,0
Neg_2287,-0.2746,0
Neg_2597,0.64654,0
Neg_2648,-0.63721,0
Neg_152,-1.35932,0
Neg_2086,-0.20643,0
Neg_966,0.02287,0
Neg_2081,-0.61019,0
Neg_2579,0.22079,0
Neg_542,-0.62354,0
Neg_270,-0.60574,0
Neg_447,3.04855,0
Neg_2242,-0.99753,0
Neg_1615,-0.58629,0
Neg_103,-0.77115,0
Neg_1048,-1.06845,0
Neg_628,-0.41763,0
Neg_2169,1.6703,0
Neg_599,-0.28078,0
Neg_2490,0.49492,0
Neg_62,-0.35034,0
Neg_1129,-0.29575,0
Neg_190,0.95703,0
Neg_1522,0.15559,0
Neg_165,0.12659,0
Neg_1152,-0.51243,0
Neg_217,0.05692,0
Neg_1140,-0.34457,0
Neg_2378,-0.29563,0
Neg_1569,-0.73496,0
Neg_662,-0.79561,0
Neg_688,1.36722,0
Neg_541,0.77315,0
Neg_624,-1.21361,0
Neg_2108,-0.62139,0
Neg_2808,-0.81657,0
Neg_2794,-0.75247,0
Neg_2286,0.02799,0
Neg_373,-0.49568,0
Neg_2612,-0.64874,0
Neg_937,-0.10032,0
Neg_1345,-0.20018,0
Neg_2671,-0.71189,0
Neg_2855,1.00123,0
Neg_279,-0.78541,0
Neg_706,-0.17001,0
Neg_2921,-0.90557,0
Neg_994,-0.17369,0
Neg_2453,-0.52905,0
Neg_2074,-0.5345,0
Neg_1803,-0.75596,0
Neg_653,0.38365,0
Neg_1943,-0.32635,0
Neg_1283,-1.04211,0
Neg_1383,-1.30199,0
Neg_325,-0.88682,0
Neg_2702,-1.1091,0
Neg_2180,-0.91334,0
Neg_585,0.37195,0
Neg_2047,-0.66009,0
Neg_2392,-0.79406,0
Neg_919,1.16018,0
Neg_2566,-0.4954,0
Neg_404,0.04001,0
Neg_953,-0.6835,0
Neg_1257,-0.78873,0
Neg_1680,-0.76698,0
Neg_1098,1.59922,0
Neg_1404,0.05377,0
Neg_79,0.02224,0
Neg_2483,-0.91171,0
Neg_2866,0.50504,0
Neg_133,0.41795,0
Neg_1514,0.09879,0
Neg_1790,-0.50171,0
Neg_2219,-0.82893,0
Neg_2758,0.10809,0
Neg_621,-0.36616,0
Neg_904,1.95166,0
Neg_736,-0.79108,0
Neg_431,-1.24209,0
Neg_2469,0.13507,0
Neg_2895,0.38425,0
Neg_202,-0.7323,0
Neg_478,0.69914,0
Neg_1929,-0.73822,0
Neg_1179,-1.14774,0
Neg_116,-0.27099,0
Neg_2854,-0.11085,0
Neg_2229,-0.19064,0
Neg_301,1.28762,0
Neg_2264,-0.34892,0
Neg_58,-0.48334,0
Neg_37,-0.33346,0
Neg_1299,0.54645,0
Neg_2238,0.63391,0
Neg_1065,-0.44899,0
Neg_2393,0.22511,0
Neg_1063,-0.29192,0
Neg_2681,-0.29883,0
Neg_1206,0.20451,0
Neg_926,-0.55332,0
Neg_1834,0.3531,0
Neg_219,-0.49369,0
Neg_1051,-0.67532,0
Neg_2732,0.96921,0
Neg_22,2.92653,0
Neg_2672,-0.74247,0
Neg_1925,-1.15775,0
Neg_1046,1.00728,0
Neg_2602,-1.16195,0
Neg_2626,-0.67794,0
Neg_664,-0.58001,0
Neg_1033,-0.65929,0
Neg_1541,-0.16776,0
Neg_352,-1.44842,0
Neg_2763,1.32501,0
Neg_2198,-0.4396,0
Neg_260,0.11925,0
Neg_743,-0.69792,0
Neg_1798,1.11502,0
Neg_805,-0.79195,0
Neg_2446,-0.67485,0
Neg_1456,0.14507,0
Neg_853,1.73075,0
Neg_1866,-0.64017,0
Neg_1972,0.00057,0
Neg_1250,-0.19943,0
Neg_2893,-0.18265,0
Neg_415,-0.37647,0
Neg_2440,0.18456,0
Neg_1947,0.01525,0
Neg_2296,-1.25506,0
Neg_1491,-0.96296,0
Neg_1592,-0.81629,0
Neg_833,-1.22321,0
Neg_2254,1.91438,0
Neg_2786,0.45771,0
Neg_1307,0.08168,0
Neg_1022,0.88008,0
Neg_2289,-0.27442,0
Neg_2564,-1.26105,0
Neg_1131,-0.70602,0
Neg_2814,-0.79878,0
Neg_2346,-0.66721,0
Neg_2538,0.40419,0
Neg_503,0.67303,0
Neg_614,-0.35176,0
Neg_2227,-0.28783,0
Neg_1977,-1.14452,0
Neg_1151,-0.34287,0
Neg_2315,-0.99821,0
Neg_1180,-0.2079,0
Neg_308,-0.46402,0
Neg_1426,-1.15172,0
Neg_12,-1.19852,0
Neg_506,0.11798,0
Neg_136,-0.89267,0
Neg_378,-0.55841,0
Neg_2058,-0.58005,0
Neg_2336,-0.36392,0
Neg_2220,-1.10779,0
Neg_262,-1.01968,0
Neg_1888,0.43716,0
Neg_2552,-1.1252,0
Neg_1340,-0.18126,0
Neg_1753,0.93699,0
Neg_941,-0.60975,0
Neg_689,-1.07363,0
Neg_403,-0.81771,0
Neg_2524,-1.12215,0
Neg_1006,-0.9613,0
Neg_89,0.58781,0
Neg_1956,0.61345,0
Neg_2723,-1.35989,0
Neg_34,-0.47498,0
Neg_757,0.49053,0
Neg_1170,0.03715,0
Neg_1405,-0.73623,0
Neg_1634,-0.02968,0
Neg_835,-0.33609,0
Neg_1809,-1.26608,0
Neg_296,-0.76207,0
Neg_1989,-0.93469,0
Neg_636,-0.25615,0
Neg_1350,0.11622,0
Neg_160,-0.22833,0
Neg_1524,-0.32369,0
Neg_836,-0.87083,0
Neg_1885,-0.86699,0
Neg_1723,-0.07233,0
Neg_1139,-0.72879,0
Neg_531,-1.12977,0
Neg_131,-0.80572,0
