,Shannon-Entropy,y
peptide_nm_1,-0.229,0
peptide_nm_2,0.08112,0
peptide_nm_3,0.59574,0
peptide_nm_4,0.91089,0
peptide_nm_5,0.87569,0
peptide_nm_6,1.1791,0
peptide_nm_7,0.03586,0
peptide_nm_8,0.79522,0
peptide_nm_9,-0.33125,0
peptide_nm_10,-0.37986,0
peptide_nm_11,-0.33796,0
peptide_nm_12,1.01482,0
peptide_nm_13,1.09863,0
peptide_nm_14,0.64939,0
peptide_nm_15,0.18337,0
peptide_nm_16,0.64939,0
peptide_nm_17,1.2143,0
peptide_nm_18,0.08112,0
peptide_nm_19,0.47337,0
peptide_nm_20,0.58233,0
peptide_nm_21,-0.19212,0
peptide_nm_22,0.23031,0
peptide_nm_23,0.36609,0
peptide_nm_24,0.62257,0
peptide_nm_25,-1.77119,0
peptide_nm_26,0.19176,0
peptide_nm_27,0.19176,0
peptide_nm_28,0.55216,0
peptide_nm_29,0.69297,0
peptide_nm_30,0.66447,0
peptide_nm_31,1.11875,0
peptide_nm_32,0.45829,0
peptide_nm_33,-0.07981,0
peptide_nm_34,-1.9053,0
peptide_nm_35,0.45493,0
peptide_nm_36,-0.2072,0
peptide_nm_37,1.31655,0
peptide_nm_38,0.89077,0
peptide_nm_39,0.93603,0
peptide_nm_40,0.65441,0
peptide_nm_41,0.89413,0
peptide_nm_43,0.45829,0
peptide_nm_44,0.06436,0
peptide_nm_45,1.1858,0
peptide_nm_46,1.46742,0
peptide_nm_47,1.01817,0
peptide_nm_48,0.4365,0
peptide_nm_49,0.03586,0
peptide_nm_50,1.14892,0
peptide_nm_51,0.4717,0
peptide_nm_52,0.06436,0
peptide_nm_53,1.32996,0
peptide_nm_54,-0.65981,0
peptide_nm_55,0.32921,0
peptide_nm_56,1.2847,0
peptide_nm_57,-0.2072,0
peptide_nm_58,0.98297,0
peptide_nm_59,0.10962,0
peptide_nm_60,1.44395,0
peptide_nm_61,0.99135,0
peptide_nm_62,-0.1083,0
peptide_nm_63,0.8254,0
peptide_nm_64,1.32158,0
peptide_nm_65,0.62257,0
peptide_nm_66,0.72985,0
peptide_nm_67,0.58401,0
peptide_nm_68,0.29736,0
peptide_nm_69,0.83881,0
peptide_nm_70,0.45829,0
peptide_nm_71,-1.02189,0
peptide_nm_72,0.9947,0
peptide_nm_73,0.73823,0
peptide_nm_74,0.43147,0
peptide_nm_75,0.50187,0
peptide_nm_76,0.80863,0
peptide_nm_77,0.71979,0
peptide_nm_78,0.93268,0
peptide_nm_79,0.43985,0
peptide_nm_80,0.10123,0
peptide_nm_81,1.49257,0
peptide_nm_82,1.51603,0
peptide_nm_83,0.96788,0
peptide_nm_84,1.13216,0
peptide_nm_85,1.25285,0
