,Refractivity,y
Neg_446,0.25461,0
Neg_2228,0.27452,0
Neg_2386,-0.58335,0
Neg_2835,-1.18359,0
Neg_2149,-0.80803,0
Neg_2248,0.5291,0
Neg_2739,-1.16978,0
Neg_2580,0.06618,0
Neg_2765,-0.3754,0
Neg_939,-0.57332,0
Neg_1859,-0.40185,0
Neg_1088,-0.05032,0
Neg_448,-0.62983,0
Neg_2831,-0.81673,0
Neg_358,-1.04278,0
Neg_2287,-0.94819,0
Neg_2597,0.31005,0
Neg_2648,-0.59758,0
Neg_152,-0.73048,0
Neg_2086,-0.42088,0
Neg_966,-0.17183,0
Neg_2081,-0.42975,0
Neg_2579,-1.08797,0
Neg_542,-0.71699,0
Neg_270,-0.38298,0
Neg_447,-0.31139,0
Neg_2242,0.17146,0
Neg_1615,-1.00621,0
Neg_103,-0.01213,0
Neg_1048,-1.00324,0
Neg_628,0.08991,0
Neg_2169,-0.80022,0
Neg_599,-0.68093,0
Neg_2490,0.46842,0
Neg_62,-0.93098,0
Neg_1129,-0.5113,0
Neg_190,0.06678,0
Neg_1522,-0.9111,0
Neg_165,-0.74818,0
Neg_1152,-0.20484,0
Neg_217,-0.92079,0
Neg_1140,0.11791,0
Neg_2378,-1.05947,0
Neg_1569,-0.36925,0
Neg_662,0.73379,0
Neg_688,-0.51939,0
Neg_541,0.87412,0
Neg_624,-0.23805,0
Neg_2108,-0.70768,0
Neg_2808,-0.95992,0
Neg_2794,0.78916,0
Neg_2286,-0.6303,0
Neg_373,-0.51236,0
Neg_2612,0.27328,0
Neg_937,-0.20012,0
Neg_1345,-0.94549,0
Neg_2671,-0.93549,0
Neg_2855,-0.21604,0
Neg_279,-0.71244,0
Neg_706,-0.74336,0
Neg_2921,0.10641,0
Neg_994,0.11449,0
Neg_2453,-0.2454,0
Neg_2074,-0.1224,0
Neg_1803,0.58778,0
Neg_653,0.06823,0
Neg_1943,0.70707,0
Neg_1283,-0.32099,0
Neg_1383,-0.1619,0
Neg_325,-1.06186,0
Neg_2702,-0.69567,0
Neg_2180,-0.13582,0
Neg_585,-0.55066,0
Neg_2047,1.07199,0
Neg_2392,1.10134,0
Neg_919,-0.48985,0
Neg_2566,-1.04821,0
Neg_404,0.92051,0
Neg_953,-0.10852,0
Neg_1257,0.35867,0
Neg_1680,-0.04038,0
Neg_1098,-0.04986,0
Neg_1404,-0.18944,0
Neg_79,-0.38618,0
Neg_2483,0.00745,0
Neg_2866,0.05399,0
Neg_133,-1.17294,0
Neg_1514,-0.61308,0
Neg_1790,-0.00216,0
Neg_2219,-0.41704,0
Neg_2758,-0.57672,0
Neg_621,0.00022,0
Neg_904,0.58899,0
Neg_736,-0.41142,0
Neg_431,-1.01918,0
Neg_2469,1.10811,0
Neg_2895,-0.69643,0
Neg_202,-0.77984,0
Neg_478,-0.394,0
Neg_1929,-0.51108,0
Neg_1179,-0.51061,0
Neg_116,-0.8563,0
Neg_2854,-1.04222,0
Neg_2229,0.60574,0
Neg_301,-0.79976,0
Neg_2264,-0.75074,0
Neg_58,-0.49287,0
Neg_37,-0.92752,0
Neg_1299,-0.87307,0
Neg_2238,0.15804,0
Neg_1065,-0.43165,0
Neg_2393,-0.35015,0
Neg_1063,-1.01119,0
Neg_2681,-0.31197,0
Neg_1206,0.48419,0
Neg_926,-0.18311,0
Neg_1834,0.76423,0
Neg_219,-0.33426,0
Neg_1051,-0.28862,0
Neg_2732,0.80522,0
Neg_22,0.73891,0
Neg_2672,-0.7464,0
Neg_1925,-0.27795,0
Neg_1046,-1.04966,0
Neg_2602,-0.42098,0
Neg_2626,-0.95764,0
Neg_664,-1.16945,0
Neg_1033,-0.66784,0
Neg_1541,-0.2284,0
Neg_352,-0.95252,0
Neg_2763,-1.06421,0
Neg_2198,-0.39083,0
Neg_260,-0.09496,0
Neg_743,-0.32134,0
Neg_1798,1.18012,0
Neg_805,-0.67201,0
Neg_2446,-0.51245,0
Neg_1456,0.46762,0
Neg_853,-0.52468,0
Neg_1866,0.78004,0
Neg_1972,-0.93039,0
Neg_1250,-0.79276,0
Neg_2893,-0.31409,0
Neg_415,-0.47866,0
Neg_2440,1.23194,0
Neg_1947,-0.86941,0
Neg_2296,-0.38616,0
Neg_1491,-0.89526,0
Neg_1592,-0.25243,0
Neg_833,-0.69135,0
Neg_2254,1.97039,0
Neg_2786,-0.77333,0
Neg_1307,-1.27163,0
Neg_1022,1.18373,0
Neg_2289,0.00353,0
Neg_2564,-0.75056,0
Neg_1131,-0.22941,0
Neg_2814,-0.35681,0
Neg_2346,0.51839,0
Neg_2538,-0.36648,0
Neg_503,-0.60805,0
Neg_614,-0.44118,0
Neg_2227,-0.42031,0
Neg_1977,-0.1535,0
Neg_1151,-0.25484,0
Neg_2315,-0.22195,0
Neg_1180,-0.92198,0
Neg_308,-0.58078,0
Neg_1426,-0.35413,0
Neg_12,-0.2346,0
Neg_506,-1.25531,0
Neg_136,-1.1033,0
Neg_378,-0.13387,0
Neg_2058,0.38774,0
Neg_2336,-0.55088,0
Neg_2220,-0.84965,0
Neg_262,-0.45605,0
Neg_1888,-1.03349,0
Neg_2552,-0.99643,0
Neg_1340,-0.31832,0
Neg_1753,-0.22852,0
Neg_941,-0.22849,0
Neg_689,-1.20987,0
Neg_403,-0.90913,0
Neg_2524,-0.27169,0
Neg_1006,-0.47755,0
Neg_89,-0.85474,0
Neg_1956,-0.01795,0
Neg_2723,-1.22552,0
Neg_34,0.21878,0
Neg_757,-0.47163,0
Neg_1170,1.21626,0
Neg_1405,-0.63036,0
Neg_1634,-1.00229,0
Neg_835,-0.59402,0
Neg_1809,-0.99186,0
Neg_296,-0.77989,0
Neg_1989,-0.11067,0
Neg_636,-0.53579,0
Neg_1350,-0.60001,0
Neg_160,0.80873,0
Neg_1524,-0.41103,0
Neg_836,-0.797,0
Neg_1885,0.25576,0
Neg_1723,-0.48368,0
Neg_1139,-0.94998,0
Neg_531,0.573,0
Neg_131,-0.50287,0
Neg_226,-0.69782,0
Neg_2031,-0.80672,0
Neg_1050,0.57717,0
Neg_2215,-0.29678,0
Neg_1008,-0.26883,0
Neg_755,0.79154,0
Neg_1309,-0.13139,0
Neg_1348,-0.39661,0
Neg_2829,-0.56507,0
Neg_1281,1.2594,0
Neg_2879,0.25019,0
Neg_2182,-0.84189,0
Neg_513,-0.24728,0
Neg_2222,-0.58021,0
Neg_2348,0.14657,0
Neg_549,-0.31972,0
Neg_2669,-0.4351,0
Neg_1248,0.02922,0
Neg_19,-0.04178,0
Neg_1763,0.11432,0
Neg_2832,-0.63867,0
Neg_1992,-1.26889,0
Neg_2675,-0.3306,0
Neg_203,0.18648,0
Neg_2314,-0.91653,0
Neg_460,-0.12776,0
Neg_248,-0.71845,0
Neg_418,-0.79973,0
Neg_1007,-0.65878,0
Neg_2178,-0.85679,0
Neg_537,0.32535,0
Neg_97,-0.704,0
Neg_1719,0.13242,0
Neg_1777,-0.59562,0
Neg_771,-0.53316,0
Neg_2070,-0.43008,0
Neg_1418,-0.52438,0
Neg_1167,0.23227,0
Neg_2477,-0.80739,0
Neg_715,-1.00613,0
Neg_616,-0.54009,0
Neg_558,-0.25221,0
Neg_64,-0.28529,0
Neg_1316,-0.52958,0
Neg_1507,-0.66896,0
Neg_1101,-1.10938,0
Neg_1796,-0.75737,0
Neg_1223,-1.10155,0
Neg_538,-0.80818,0
Neg_302,-0.80869,0
Neg_200,-1.30615,0
Neg_1730,-0.82043,0
Neg_876,-1.13275,0
Neg_326,-0.85961,0
Neg_1436,0.74529,0
Neg_727,0.06449,0
Neg_1831,-0.47046,0
Neg_900,2.59903,0
Neg_1637,0.0655,0
Neg_2635,-0.33511,0
Neg_2454,-0.29017,0
Neg_1216,-0.71954,0
Neg_2191,-0.9016,0
Neg_1275,-1.04389,0
Neg_2151,0.23502,0
Neg_1402,1.58583,0
Neg_717,0.90494,0
Neg_1862,-0.58829,0
Neg_158,0.45424,0
Neg_1740,-0.76299,0
Neg_1424,-0.89573,0
Neg_943,-0.69521,0
Neg_1688,1.40047,0
Neg_148,-0.489,0
Neg_2796,-0.07748,0
Neg_1887,-0.74106,0
Neg_2811,0.92342,0
Neg_859,-0.51258,0
Neg_2155,-0.02121,0
Neg_2045,-0.58762,0
Neg_1104,-0.04456,0
Neg_2638,-0.86338,0
Neg_962,-0.72293,0
Neg_2828,-0.80101,0
Neg_1944,-0.56105,0
Neg_523,0.17888,0
Neg_1319,-0.50143,0
Neg_562,0.82129,0
Neg_2456,-0.47233,0
Neg_1500,-0.3496,0
Neg_1913,1.90814,0
Neg_286,-1.13853,0
Neg_2871,-0.69784,0
Neg_456,-0.37441,0
Neg_984,-0.44677,0
Neg_1837,-0.64123,0
Neg_2617,0.54138,0
Neg_139,-0.25292,0
Neg_1815,-0.73263,0
Neg_1157,-0.95807,0
Neg_1317,-0.48828,0
Neg_2405,-1.10339,0
Neg_45,0.12298,0
Neg_1797,-0.1568,0
Neg_2769,-0.16406,0
Neg_1390,-0.94589,0
Neg_1018,0.26754,0
Neg_602,1.47228,0
Neg_182,-0.7444,0
Neg_1056,-0.7953,0
Neg_2567,-1.03837,0
Neg_849,-0.58655,0
Neg_2338,0.83751,0
Neg_422,-0.89213,0
Neg_1421,-1.04328,0
Neg_2439,-0.82828,0
Neg_563,-0.82626,0
Neg_1622,0.0802,0
Neg_1578,-0.63052,0
Neg_1939,-0.76393,0
Neg_163,-0.61026,0
Neg_287,0.06764,0
Neg_787,0.59511,0
Neg_1846,-0.87097,0
Neg_1280,-0.25906,0
Neg_1918,-0.61675,0
Neg_999,-1.22225,0
Neg_314,-0.47079,0
Neg_2192,-0.11355,0
Neg_605,-1.01495,0
Neg_413,0.793,0
Neg_1861,-1.25999,0
Neg_342,0.31643,0
Neg_398,-0.48892,0
Neg_96,-0.34735,0
Neg_1924,0.42226,0
Neg_592,-0.40128,0
Neg_1985,-0.76255,0
Neg_1045,-0.46609,0
Neg_2542,-0.23433,0
Neg_2165,-1.00447,0
Neg_1526,-0.21483,0
Neg_2709,0.27038,0
Neg_2230,-0.62345,0
Neg_2137,-0.07915,0
Neg_2068,0.34328,0
Neg_2163,0.2572,0
Neg_2247,-0.94621,0
Neg_529,-0.61944,0
Neg_936,-0.70391,0
Neg_2418,-0.20506,0
Neg_2487,-0.85003,0
Neg_703,-0.27247,0
Neg_1742,-0.35249,0
Neg_305,-0.65952,0
Neg_1078,0.29942,0
Neg_1672,-0.41378,0
Neg_2568,1.53843,0
Neg_1911,-0.89252,0
Neg_2397,-0.12043,0
Neg_992,-1.01158,0
Neg_1161,-0.15239,0
Neg_2581,-0.99534,0
Neg_701,-0.60713,0
Neg_464,-0.78775,0
Neg_1692,-0.14852,0
Neg_774,-0.58103,0
Neg_2620,-0.5394,0
Neg_979,-0.51933,0
Neg_2827,-0.19843,0
Neg_2729,-0.38366,0
Neg_2277,0.07521,0
Neg_1632,0.02414,0
Neg_2756,1.2346,0
Neg_1898,-1.10595,0
Neg_1391,-0.34128,0
Neg_1059,-0.86204,0
Neg_1746,0.19152,0
Neg_1847,0.41645,0
Neg_1490,-0.34361,0
Neg_450,1.30749,0
Neg_1448,0.25435,0
Neg_2410,-1.06329,0
Neg_1301,-1.28471,0
Neg_696,0.13877,0
Neg_2757,-1.05407,0
Neg_815,0.00822,0
Neg_890,-0.44937,0
Neg_2049,-0.66838,0
Neg_634,-0.24583,0
Neg_1241,-0.36863,0
Neg_1265,-0.62673,0
Neg_1145,-0.63227,0
Neg_364,-0.45576,0
Neg_2428,-0.44116,0
Neg_2873,-0.44827,0
Neg_2762,-1.07805,0
Neg_1932,-0.12605,0
Neg_218,-0.18037,0
Neg_1471,-0.02372,0
Neg_211,-1.04259,0
Neg_88,-0.11636,0
Neg_1800,-0.7195,0
Neg_1995,0.39074,0
Neg_2231,-0.91202,0
Neg_1090,-0.156,0
Neg_1457,0.14631,0
Neg_795,0.8184,0
Neg_1614,1.20731,0
Neg_732,0.24321,0
Neg_2025,0.6581,0
Neg_2088,0.03582,0
Neg_2527,-0.37471,0
Neg_2021,-0.23111,0
Neg_2570,-0.44728,0
Neg_215,-0.46452,0
Neg_2516,-0.65228,0
Neg_1712,-0.14807,0
Neg_2010,-0.9661,0
Neg_1285,0.16529,0
Neg_2834,-0.71738,0
Neg_2013,-0.51282,0
Neg_945,-0.29236,0
Neg_1787,-1.11948,0
Neg_935,-1.16307,0
Neg_2099,-0.74826,0
Neg_2179,1.01197,0
Neg_2726,-0.25579,0
Neg_1484,-0.7683,0
Neg_2381,-0.56601,0
Neg_1458,-0.65924,0
Neg_216,-0.30088,0
Neg_2725,1.30686,0
Neg_406,-0.77807,0
Neg_1363,-0.23606,0
Neg_1311,1.99604,0
Neg_1149,1.01878,0
Neg_1218,0.45703,0
Neg_1597,-0.75483,0
Neg_2745,-0.90619,0
Neg_1477,-0.86324,0
Neg_2803,-0.55668,0
Neg_104,-1.05833,0
Neg_1900,-0.86652,0
Neg_2586,0.35674,0
Neg_2050,-0.91856,0
Neg_1069,0.29709,0
Neg_336,1.01709,0
Neg_2260,-1.0648,0
Neg_1733,-0.43691,0
Neg_1555,1.5194,0
Neg_2329,-0.24626,0
Neg_1878,-0.37392,0
Neg_1893,-0.85436,0
Neg_1716,-0.55277,0
Neg_2322,-0.23754,0
Neg_101,-0.78988,0
Neg_16,-0.30308,0
Neg_31,-0.37501,0
Neg_240,0.51252,0
Neg_1117,0.11105,0
Neg_2262,0.1037,0
Neg_2861,1.08068,0
Neg_1225,-0.60408,0
Neg_261,0.01954,0
Neg_609,-0.45364,0
Neg_1352,0.00498,0
Neg_733,0.66177,0
Neg_2593,0.70485,0
Neg_2259,-0.40875,0
Neg_1785,0.10136,0
Neg_847,0.14469,0
Neg_684,-1.01085,0
Neg_1411,-0.14164,0
Neg_680,0.84477,0
Neg_502,0.21838,0
Neg_1097,-0.57218,0
Neg_1826,-0.60435,0
Neg_702,-0.56918,0
Neg_1626,-0.57211,0
Neg_2358,-0.92238,0
Neg_1026,-1.15063,0
Neg_82,-0.69992,0
Neg_509,-0.39699,0
Neg_1235,-0.49717,0
Neg_2118,-0.43352,0
Neg_1303,0.06077,0
Neg_72,-0.70438,0
Neg_1147,-0.80749,0
Neg_2437,-0.87486,0
Neg_1770,-0.83705,0
Neg_177,-0.33644,0
Neg_978,-0.93651,0
Neg_724,-0.60433,0
Neg_1766,0.392,0
Neg_868,0.39868,0
Neg_1825,-0.18212,0
Neg_2020,-0.39427,0
Neg_1628,1.33871,0
Neg_892,-0.74279,0
Neg_2692,2.44633,0
Neg_512,-0.46181,0
Neg_2128,-0.70678,0
Neg_1647,0.14885,0
Neg_2419,0.21667,0
Neg_2659,-0.22391,0
Neg_1214,1.08844,0
Neg_411,-0.68222,0
Neg_2321,-0.38283,0
Neg_1384,-0.36992,0
Neg_1489,-0.77923,0
Neg_2666,-0.77754,0
Neg_1905,-0.00751,0
Neg_55,-0.88273,0
Neg_1178,-1.08409,0
Neg_2369,-0.9766,0
Neg_1,-0.9823,0
Neg_1999,0.22296,0
Neg_1883,0.75411,0
Neg_1643,0.03546,0
Neg_2885,1.03514,0
Neg_1786,-0.30144,0
Neg_1933,-1.20085,0
Neg_814,-0.39775,0
Neg_1593,-0.52671,0
Neg_1298,-1.10856,0
Neg_285,-1.04385,0
Neg_2792,-0.40931,0
Neg_2154,-0.25566,0
Neg_1689,-0.20402,0
Neg_603,-0.74399,0
Neg_1021,0.81776,0
Neg_1820,-0.84463,0
Neg_222,0.15537,0
Neg_256,1.93233,0
Neg_704,-0.30692,0
Neg_144,-0.53842,0
Neg_2067,-0.582,0
Neg_1406,0.21179,0
Neg_2616,0.04314,0
Neg_648,-0.98292,0
Neg_2774,-0.6922,0
Neg_292,-0.42687,0
Neg_2667,-0.86476,0
Neg_257,-0.29288,0
Neg_1768,0.00669,0
Neg_2249,-0.63388,0
Neg_779,-1.03338,0
Neg_2513,0.01121,0
Neg_2425,-0.25723,0
Neg_2272,0.07663,0
Neg_361,-0.74293,0
Neg_1745,0.39294,0
Neg_2902,-0.67386,0
Neg_808,0.26754,0
Neg_407,-0.75797,0
Neg_191,-0.1177,0
Neg_1737,-0.81264,0
Neg_1001,1.10724,0
Neg_2120,-0.93313,0
Neg_960,-0.41895,0
Neg_1356,-0.27655,0
Neg_1764,0.59429,0
Neg_901,-0.52471,0
Neg_2556,-0.82549,0
Neg_303,-1.14146,0
Neg_654,0.17285,0
Neg_251,-0.4982,0
Neg_1958,-0.35454,0
Neg_2857,-0.80907,0
Neg_1824,-1.11949,0
Neg_9,0.69637,0
Neg_1397,-0.90448,0
Neg_1841,0.27118,0
Neg_1197,-0.93353,0
Neg_1357,-0.61603,0
Neg_2898,-0.73541,0
Neg_2132,0.58213,0
Neg_647,0.15888,0
Neg_2646,1.34091,0
Neg_476,-0.42472,0
Neg_231,-1.03627,0
Neg_451,-0.54445,0
Neg_1073,-0.03131,0
Neg_7,-0.36998,0
Neg_1877,-0.51142,0
Neg_2912,0.85095,0
Neg_1968,-0.13475,0
Neg_2590,-0.54104,0
Neg_2781,0.01775,0
Neg_940,-0.37671,0
Neg_459,0.71299,0
Neg_1657,-0.73426,0
Neg_2544,-1.19774,0
Neg_2345,-0.43725,0
Neg_2406,-0.4783,0
Neg_2060,-1.1378,0
Neg_2697,0.40894,0
Neg_1979,-1.06179,0
Neg_875,1.79582,0
Neg_798,-0.3652,0
Neg_2520,-1.06491,0
Neg_2252,-1.06265,0
Neg_1502,0.24558,0
Neg_2316,-0.80524,0
Neg_2282,-0.60356,0
Neg_2664,-0.68638,0
Neg_1274,1.28306,0
Neg_1290,-0.66182,0
Neg_299,-0.74066,0
Neg_2528,-1.28347,0
Neg_1387,-0.33478,0
Neg_13,-1.23746,0
Neg_586,-0.43768,0
Neg_1691,-0.22268,0
Neg_629,0.79339,0
Neg_1089,-0.79267,0
Neg_2884,-0.86959,0
