,QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3,y
peptide_nm_1,-0.86711,0.28632,0.92828,0.76075,-0.42241,-0.57588,-0.61313,-1.00122,-0.5072,1.13318,-1.13714,-0.36731,-0.48417,-0.84053,1.85706,2.31204,2.95593,-0.53919,-0.59176,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,2.14426,-0.63248,-0.60739,-0.09562,-0.33007,3.60775,2.31328,3.61143,-0.23344,-0.12128,-0.38751,0.18151,-0.80081,-1.40422,0.18151,-0.80081,-1.40422,0
peptide_nm_2,-0.86711,0.13466,-0.63027,0.55328,-0.42241,0.77635,-0.61313,-1.00122,4.60197,-0.02666,-0.63744,0.10313,-0.48417,0.18811,1.48482,-0.82819,-0.7263,-0.53919,-0.59176,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,5.74121,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,3.60775,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.8106,-0.89975,-0.54505,0.8106,-0.89975,-0.54505,0
peptide_nm_3,1.48479,-0.07412,-0.63027,-0.68258,0.88937,0.46383,0.11869,1.48313,2.11235,0.4405,0.39997,-0.59294,-0.48417,-0.84053,0.12123,-0.82819,-0.7263,-0.53919,-0.59176,1.18198,1.65101,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.60232,-0.49665,1.05485,0.60232,-0.49665,1.05485,0
peptide_nm_4,-0.4149,-0.76872,1.34286,0.23105,-0.42241,1.42346,3.60844,0.19292,-0.5072,-0.89497,-0.76772,-0.19162,1.00764,-0.84053,0.90741,-0.16559,0.05065,0.42383,-0.59176,-0.27599,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,2.16199,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.82437,-0.72385,0.38839,1.82437,-0.72385,0.38839,0
peptide_nm_5,-0.44407,-0.76872,1.21561,1.02684,-0.42241,1.29451,-0.61313,-1.00122,0.67073,0.30606,-0.10036,0.14556,0.91142,-0.84053,-0.73055,0.41153,0.72739,-0.53919,1.69003,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.05501,-0.14485,0.86214,1.05501,-0.14485,0.86214,0
peptide_nm_6,-0.49749,-0.22284,0.98286,0.8113,-0.42241,1.05868,1.11252,-1.00122,1.5516,-0.89497,0.0708,-0.68604,0.7352,0.40287,1.27799,-0.82819,-0.7263,1.03545,-0.59176,0.16068,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-0.0629,0.98567,1.37804,-0.0629,0.98567,1.37804,0
peptide_nm_7,-0.35044,0.7574,1.62416,-0.68258,-0.42241,1.70849,0.99477,-0.31902,-0.5072,-0.89497,0.55107,-0.55009,-0.48417,-0.84053,-0.73055,-0.82819,-0.7263,-0.53919,-0.59176,-0.17797,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.6597,0.62471,-0.83211,0.6597,0.62471,-0.83211,0
peptide_nm_8,-0.86711,0.0594,0.59306,0.45031,-0.42241,-0.57588,0.25937,-0.26086,-0.5072,0.69718,-0.67907,-0.50936,-0.48417,-0.84053,-0.73055,-0.00658,1.20079,-0.53919,0.92046,1.59438,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,2.44035,0.70646,-1.32118,0.67947,0.70646,-1.32118,0.67947,0
peptide_nm_9,-0.86711,0.89092,-0.63027,0.4528,0.36115,-0.57588,-0.61313,-0.25924,-0.5072,-0.89497,1.61707,-0.50822,-0.48417,-0.84053,-0.73055,0.8184,-0.7263,-0.53919,0.92377,-0.10912,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-0.01402,-0.43802,0.37635,-0.01402,-0.43802,0.37635,0
peptide_nm_10,-0.21889,0.18862,-0.63027,0.62709,0.48143,-0.57588,-0.61313,-1.00122,-0.5072,-0.89497,-1.13714,1.36967,-0.48417,0.24954,-0.73055,1.07165,0.38744,-0.53919,-0.59176,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,-0.27718,2.31328,-0.23061,-0.23344,-0.12128,-0.38751,-1.73765,-0.2896,0.71158,-1.73765,-0.2896,0.71158,0
