,AASI,y
peptide_nm_1,1.10264,0
peptide_nm_2,1.6125,0
peptide_nm_3,-0.53825,0
peptide_nm_4,0.55681,0
peptide_nm_5,0.56037,0
peptide_nm_6,0.7162,0
peptide_nm_7,0.39445,0
peptide_nm_8,0.32559,0
peptide_nm_9,0.80442,0
peptide_nm_10,0.7255,0
peptide_nm_11,0.14271,0
peptide_nm_12,-0.27425,0
peptide_nm_13,-0.83376,0
peptide_nm_14,-0.73118,0
peptide_nm_15,1.42353,0
peptide_nm_16,0.79271,0
peptide_nm_17,-1.29325,0
peptide_nm_18,1.79829,0
peptide_nm_19,-0.05921,0
peptide_nm_20,0.6579,0
peptide_nm_21,-1.48351,0
peptide_nm_22,-0.65983,0
peptide_nm_23,-0.8664,0
peptide_nm_24,0.6468,0
peptide_nm_25,0.67301,0
peptide_nm_26,-0.06697,0
peptide_nm_27,-0.53539,0
peptide_nm_28,-0.13868,0
peptide_nm_29,-0.53314,0
peptide_nm_30,1.12493,0
peptide_nm_31,-1.11529,0
peptide_nm_32,0.53262,0
peptide_nm_33,-0.44944,0
peptide_nm_34,0.87257,0
peptide_nm_35,-0.41362,0
peptide_nm_36,2.4007,0
peptide_nm_37,-0.93105,0
peptide_nm_38,-0.03875,0
peptide_nm_39,1.34819,0
peptide_nm_40,-0.523,0
peptide_nm_41,-0.17356,0
peptide_nm_43,0.94274,0
peptide_nm_44,1.77875,0
peptide_nm_45,-0.58377,0
peptide_nm_46,-0.80327,0
peptide_nm_47,-0.85347,0
peptide_nm_48,1.26473,0
peptide_nm_49,0.92094,0
peptide_nm_50,-0.76849,0
peptide_nm_51,-0.28754,0
peptide_nm_52,-0.9784,0
peptide_nm_53,0.8633,0
peptide_nm_54,0.78884,0
peptide_nm_55,-0.25378,0
peptide_nm_56,-1.30049,0
peptide_nm_57,1.44962,0
peptide_nm_58,-0.25354,0
peptide_nm_59,-0.94141,0
peptide_nm_60,-0.46789,0
peptide_nm_61,1.23537,0
peptide_nm_62,2.03602,0
peptide_nm_63,1.20679,0
peptide_nm_64,-0.8094,0
peptide_nm_65,0.06013,0
peptide_nm_66,-0.65754,0
peptide_nm_67,-0.01377,0
peptide_nm_68,3.22338,0
peptide_nm_69,-0.16797,0
peptide_nm_70,0.12878,0
peptide_nm_71,0.44387,0
peptide_nm_72,-0.45515,0
peptide_nm_73,-0.68613,0
peptide_nm_74,0.55286,0
peptide_nm_75,0.55929,0
peptide_nm_76,-0.23148,0
peptide_nm_77,-0.75041,0
peptide_nm_78,0.30182,0
peptide_nm_79,-0.45137,0
peptide_nm_80,0.22763,0
peptide_nm_81,-1.36559,0
peptide_nm_82,-0.40051,0
peptide_nm_83,-0.85589,0
peptide_nm_84,-0.32206,0
peptide_nm_85,-0.15588,0
peptide_nm_86,-0.01372,0
peptide_nm_87,-1.04942,0
peptide_nm_88,1.76391,0
peptide_nm_89,0.38183,0
peptide_nm_90,0.71175,0
peptide_nm_91,-0.37121,0
peptide_nm_92,-0.48697,0
peptide_nm_93,-1.03044,0
peptide_nm_94,-1.27954,0
peptide_nm_95,-0.00449,0
peptide_nm_96,-0.65389,0
peptide_nm_97,0.89009,0
peptide_nm_98,0.35901,0
peptide_nm_99,1.04495,0
peptide_nm_100,0.80653,0
peptide_nm_101,-0.65516,0
peptide_nm_102,-0.23604,0
peptide_nm_103,-0.33844,0
peptide_nm_104,-0.67405,0
peptide_nm_105,1.26652,0
peptide_nm_106,-0.23325,0
peptide_nm_107,-0.94341,0
peptide_nm_108,-0.67183,0
peptide_nm_109,2.36583,0
peptide_nm_110,0.04463,0
peptide_nm_111,1.37398,0
peptide_nm_112,-0.79854,0
peptide_nm_113,-1.41475,0
peptide_nm_114,-0.57864,0
peptide_nm_115,-1.0671,0
peptide_nm_116,1.21122,0
peptide_nm_117,-0.25523,0
peptide_nm_118,0.04904,0
peptide_nm_119,3.89335,0
peptide_nm_120,-0.57649,0
peptide_nm_121,-1.36571,0
peptide_nm_122,-0.10359,0
peptide_nm_123,-1.20221,0
peptide_nm_124,0.64845,0
peptide_nm_125,-0.48729,0
peptide_nm_126,-0.11221,0
peptide_nm_127,0.80768,0
peptide_nm_128,-0.51179,0
peptide_nm_129,0.56884,0
peptide_nm_130,-0.54684,0
peptide_nm_131,-1.27731,0
peptide_nm_132,-0.10557,0
peptide_nm_133,1.50532,0
peptide_nm_134,-0.55869,0
peptide_nm_135,0.5658,0
peptide_nm_136,0.77275,0
peptide_nm_137,0.68617,0
peptide_nm_138,3.03561,0
peptide_nm_139,-0.22173,0
peptide_nm_140,-0.674,0
peptide_nm_141,1.36125,0
peptide_nm_142,0.37079,0
peptide_nm_143,0.38218,0
peptide_nm_144,0.02343,0
peptide_nm_145,-0.42512,0
peptide_nm_146,-0.63045,0
peptide_nm_147,1.60509,0
peptide_nm_148,-0.75709,0
peptide_nm_149,-1.04703,0
peptide_nm_150,-0.66097,0
peptide_nm_151,0.83735,0
peptide_nm_152,1.61319,0
peptide_nm_153,-0.90717,0
peptide_nm_154,-0.31767,0
peptide_nm_155,-0.40336,0
