,formula_C,formula_H,formula_N,formula_O,formula_S,y
peptide_nm_1,-0.90338,-0.8254,-0.70232,-0.29138,-0.62772,0
peptide_nm_2,-0.62751,-0.72005,-0.26503,-0.77011,-0.62772,0
peptide_nm_3,0.28498,0.39934,0.53667,0.18736,0.78445,0
peptide_nm_4,0.20009,0.07011,0.17226,1.14483,0.07836,0
peptide_nm_5,0.3062,0.29399,0.24514,0.66609,0.07836,0
peptide_nm_6,1.19746,0.82076,0.97395,1.00805,0.07836,0
peptide_nm_7,-0.54263,-0.40398,-0.11927,-0.22299,-0.62772,0
peptide_nm_8,-0.54263,-0.483,-0.55656,-0.1546,-0.62772,0
peptide_nm_9,-0.47897,-0.35131,-0.41079,-0.42816,0.07836,0
peptide_nm_10,-0.98826,-0.90442,-0.70232,-0.70172,0.07836,0
peptide_nm_11,-0.58507,-0.77272,-0.84808,-0.42816,-0.62772,0
peptide_nm_12,0.39108,0.24131,0.53667,0.93966,0.07836,0
peptide_nm_13,0.53962,0.53104,1.11972,1.28161,-0.62772,0
peptide_nm_14,-0.47897,-0.37764,-0.41079,-0.01781,0.07836,0
peptide_nm_15,-0.22432,-0.33814,0.09938,0.05058,-0.62772,0
peptide_nm_16,-0.2031,-0.33814,-0.48368,0.52931,-0.62772,0
peptide_nm_17,5.05962,4.92958,4.76379,5.0431,0.78445,0
peptide_nm_18,-0.96704,-1.03611,-0.99385,-0.22299,0.07836,0
peptide_nm_19,-0.28798,-0.11426,-0.11927,-0.29138,0.78445,0
peptide_nm_20,-0.33042,-0.33814,-0.04639,0.18736,-0.62772,0
peptide_nm_21,-0.71239,-0.60152,-0.62944,-0.1546,0.07836,0
peptide_nm_22,-0.56385,-0.60152,-0.48368,-0.0862,-0.62772,0
peptide_nm_23,-0.50019,-0.57518,-0.62944,0.25575,-0.62772,0
peptide_nm_24,-0.28798,-0.32497,-0.41079,0.11897,-0.62772,0
peptide_nm_25,-1.54,-1.6814,-1.50402,-1.24885,-0.62772,0
peptide_nm_26,-0.56385,-0.86491,-0.92096,0.11897,-0.62772,0
peptide_nm_27,-0.8185,-0.8254,-0.84808,-0.29138,-0.62772,0
peptide_nm_28,-0.45775,-0.3118,-0.48368,-0.22299,0.07836,0
peptide_nm_29,-0.24554,-0.15377,0.09938,0.25575,-0.62772,0
peptide_nm_30,-0.66995,-0.75955,-0.33791,-0.29138,0.07836,0
peptide_nm_31,1.26113,1.25535,0.90107,1.35,0.07836,0
peptide_nm_32,-1.09437,-1.14146,-0.99385,-0.70172,0.07836,0
peptide_nm_33,-0.94582,-0.83857,-0.7752,-0.63333,-0.62772,0
peptide_nm_34,-1.56122,-1.5102,-1.5769,-1.04368,-0.62772,0
peptide_nm_35,-0.75483,-0.81223,-0.62944,0.05058,0.07836,0
peptide_nm_36,-1.00948,-1.04928,-0.92096,-0.29138,-0.62772,0
peptide_nm_37,2.15239,2.32206,1.9943,2.51265,1.49053,0
peptide_nm_38,0.26376,0.26765,0.24514,1.35,2.9027,0
peptide_nm_39,-0.22432,-0.27229,-0.26503,0.11897,0.07836,0
peptide_nm_40,0.15765,-0.1406,0.31802,1.28161,0.07836,0
peptide_nm_41,1.00648,0.97879,0.97395,1.28161,0.78445,0
peptide_nm_43,-0.64873,-0.95709,-0.55656,-0.8385,-0.62772,0
peptide_nm_44,-0.3092,-0.52251,-0.33791,-0.0862,0.07836,0
peptide_nm_45,0.79427,0.78125,0.60955,0.87127,0.07836,0
peptide_nm_46,3.78638,3.81019,3.81633,4.56437,0.07836,0
peptide_nm_47,3.12854,3.55997,3.45193,3.33333,0.07836,0
peptide_nm_48,-1.07314,-0.97026,-0.92096,-0.56494,-0.62772,0
peptide_nm_49,-0.66995,-0.64103,-0.41079,0.11897,-0.62772,0
peptide_nm_50,-0.01211,-0.07475,0.09938,0.39253,0.07836,0
peptide_nm_51,0.75183,0.76808,1.41124,0.93966,-0.62772,0
peptide_nm_52,-0.18188,-0.1406,-0.41079,-0.35977,-0.62772,0
peptide_nm_53,0.45474,0.25448,0.31802,0.39253,0.78445,0
peptide_nm_54,-0.98826,-0.94392,-1.06673,-0.8385,-0.62772,0
peptide_nm_55,-0.58507,-0.66737,-0.70232,-0.22299,-0.62772,0
peptide_nm_56,0.83671,0.71541,0.68243,1.07644,-0.62772,0
peptide_nm_57,-1.20047,-1.19414,-0.99385,-0.63333,-0.62772,0
peptide_nm_58,0.43352,0.45202,0.3909,0.73448,0.78445,0
peptide_nm_59,-0.37286,-0.40398,-0.41079,-0.35977,-0.62772,0
peptide_nm_60,1.00648,1.05781,0.97395,1.14483,1.49053,0
peptide_nm_61,0.20009,0.10962,0.3909,1.00805,-0.62772,0
peptide_nm_62,-1.22169,-1.19414,-1.13961,-0.77011,-0.62772,0
peptide_nm_63,-0.26676,-0.3118,-0.19215,0.39253,-0.62772,0
peptide_nm_64,0.79427,0.49153,0.46378,0.80288,0.07836,0
peptide_nm_65,-0.35164,-0.36447,-0.04639,-0.22299,-0.62772,0
peptide_nm_66,-0.05455,-0.04841,0.24514,0.46092,1.49053,0
peptide_nm_67,0.20009,0.01743,0.31802,0.5977,0.07836,0
peptide_nm_68,-0.50019,-0.53568,-0.55656,-0.22299,0.07836,0
peptide_nm_69,0.75183,0.68907,0.82819,0.39253,0.07836,0
peptide_nm_70,-0.98826,-0.87808,-0.84808,-0.56494,-0.62772,0
peptide_nm_71,-1.05192,-1.03611,-1.13961,-0.77011,-0.62772,0
peptide_nm_72,-0.37286,-0.24595,-0.26503,-0.1546,0.78445,0
peptide_nm_73,-0.35164,-0.20644,0.24514,-0.01781,-0.62772,0
peptide_nm_74,-0.50019,-0.72005,-0.70232,-0.49655,-0.62772,0
peptide_nm_75,-0.83972,-0.9966,-0.7752,-0.8385,-0.62772,0
peptide_nm_76,-0.18188,-0.46983,-0.62944,0.05058,0.78445,0
