,Calculate_mw,Calculate_charge,y
peptide_nm_1,-0.76497,-0.25187,0
peptide_nm_2,-0.63568,0.11781,0
peptide_nm_3,0.35534,-0.23362,0
peptide_nm_4,0.40151,-1.96106,0
peptide_nm_5,0.38177,-0.2242,0
peptide_nm_6,1.10756,-1.33495,0
peptide_nm_7,-0.4191,-0.2513,0
peptide_nm_8,-0.4894,-0.53683,0
peptide_nm_9,-0.44936,0.01398,0
peptide_nm_10,-0.87697,0.58447,0
peptide_nm_11,-0.64713,0.03223,0
peptide_nm_12,0.53743,-0.79327,0
peptide_nm_13,0.79007,-0.19454,0
peptide_nm_14,-0.36018,-0.53683,0
peptide_nm_15,-0.14274,-0.19539,0
peptide_nm_16,-0.1314,-2.21864,0
peptide_nm_17,5.09774,1.23083,0
peptide_nm_18,-0.82202,-1.41168,0
peptide_nm_19,-0.21561,0.3189,0
peptide_nm_20,-0.19595,-0.82122,0
peptide_nm_21,-0.57205,-0.53712,0
peptide_nm_22,-0.48093,-0.82208,0
peptide_nm_23,-0.39549,-0.82208,0
peptide_nm_24,-0.25384,-0.82179,0
peptide_nm_25,-1.52784,-0.5374,0
peptide_nm_26,-0.53426,-2.24745,0
peptide_nm_27,-0.74597,-0.53712,0
peptide_nm_28,-0.40283,-0.25187,0
peptide_nm_29,-0.0952,0.03394,0
peptide_nm_30,-0.53794,-0.27127,0
peptide_nm_31,1.23594,0.01398,0
peptide_nm_32,-1.00435,-0.55623,0
peptide_nm_33,-0.87794,-0.53655,0
peptide_nm_34,-1.49455,-0.82236,0
peptide_nm_35,-0.5646,-1.12672,0
peptide_nm_36,-0.8781,-1.10675,0
peptide_nm_37,2.31045,-0.8409,0
peptide_nm_38,0.63059,-1.7534,0
peptide_nm_39,-0.1588,-1.0788,0
peptide_nm_40,0.42036,-2.75148,0
peptide_nm_41,1.10761,-0.53598,0
peptide_nm_43,-0.73265,-0.22392,0
peptide_nm_44,-0.28141,-1.33609,0
peptide_nm_45,0.79131,-1.07851,0
peptide_nm_46,4.02307,-1.30614,0
peptide_nm_47,3.31182,0.89025,0
peptide_nm_48,-0.96728,-0.25187,0
peptide_nm_49,-0.48195,-1.6761,0
peptide_nm_50,0.09671,-0.55594,0
peptide_nm_51,0.89852,0.06218,0
peptide_nm_52,-0.28974,-0.25159,0
peptide_nm_53,0.44167,-0.75647,0
peptide_nm_54,-1.0071,-0.25159,0
peptide_nm_55,-0.56735,-1.07908,0
peptide_nm_56,0.83773,-1.10647,0
peptide_nm_57,-1.0804,-0.82236,0
peptide_nm_58,0.53383,-0.26214,0
peptide_nm_59,-0.41144,-0.25216,0
peptide_nm_60,1.11342,-0.80382,0
peptide_nm_61,0.38346,-1.93282,0
peptide_nm_62,-1.14875,-0.82208,0
peptide_nm_63,-0.14088,-1.10675,0
peptide_nm_64,0.72851,-0.22392,0
peptide_nm_65,-0.30035,0.08957,0
peptide_nm_66,0.17845,-0.30949,0
peptide_nm_67,0.3028,-1.10561,0
peptide_nm_68,-0.45518,-0.50859,0
peptide_nm_69,0.69542,0.34657,0
peptide_nm_70,-0.90171,-0.53655,0
peptide_nm_71,-1.04609,-0.53712,0
peptide_nm_72,-0.26698,-0.50859,0
peptide_nm_73,-0.19016,0.0619,0
peptide_nm_74,-0.58631,-0.50916,0
peptide_nm_75,-0.87797,-0.22392,0
peptide_nm_76,-0.20157,-1.10732,0
peptide_nm_77,0.62684,-0.1392,0
peptide_nm_78,-0.00768,-1.06967,0
peptide_nm_79,0.93949,0.87057,0
peptide_nm_80,-0.60148,-0.27155,0
peptide_nm_81,3.88921,-0.4795,0
peptide_nm_82,0.94215,-0.19539,0
peptide_nm_83,0.48814,-0.50831,0
peptide_nm_84,0.04454,-0.28981,0
peptide_nm_85,0.17364,-0.84119,0
peptide_nm_86,0.67143,-1.6955,0
peptide_nm_87,1.47621,0.60444,0
peptide_nm_88,-0.80193,-0.79384,0
peptide_nm_89,-1.00139,-0.25187,0
peptide_nm_90,-0.92649,-0.53683,0
peptide_nm_91,-0.38592,-1.10704,0
peptide_nm_92,-0.23187,0.03394,0
peptide_nm_93,-0.03024,-0.25187,0
peptide_nm_94,1.19397,-1.39029,0
peptide_nm_95,0.09958,-0.7656,0
peptide_nm_96,-0.87992,0.06161,0
peptide_nm_97,-0.39247,-0.50831,0
peptide_nm_98,-0.22625,-1.36404,0
peptide_nm_99,-0.7279,-0.82179,0
peptide_nm_100,-0.73649,-0.82265,0
peptide_nm_101,0.94343,0.31919,0
peptide_nm_102,0.78366,-0.53626,0
