,Boman_Index,y
peptide_nm_1,1.33452,0
peptide_nm_2,1.36743,0
peptide_nm_3,-0.99966,0
peptide_nm_4,1.29291,0
peptide_nm_5,0.6311,0
peptide_nm_6,0.46797,0
peptide_nm_7,1.20506,0
peptide_nm_8,0.27904,0
peptide_nm_9,-0.04665,0
peptide_nm_10,1.94192,0
peptide_nm_11,0.27593,0
peptide_nm_12,0.98606,0
peptide_nm_13,1.55251,0
peptide_nm_14,-0.09941,0
peptide_nm_15,-0.13366,0
peptide_nm_16,0.55976,0
peptide_nm_17,0.12299,0
peptide_nm_18,0.63441,0
peptide_nm_19,0.03889,0
peptide_nm_20,1.19594,0
peptide_nm_21,-0.81697,0
peptide_nm_22,-0.55163,0
peptide_nm_23,0.67803,0
peptide_nm_24,0.13033,0
peptide_nm_25,2.37818,0
peptide_nm_26,1.13507,0
peptide_nm_27,0.80808,0
peptide_nm_28,-0.54541,0
peptide_nm_29,2.5058,0
peptide_nm_30,1.02856,0
peptide_nm_31,-0.07512,0
peptide_nm_32,-0.02568,0
peptide_nm_33,0.104,0
peptide_nm_34,-0.34068,0
peptide_nm_35,1.45714,0
peptide_nm_36,1.66279,0
peptide_nm_37,-0.49089,0
peptide_nm_38,0.77652,0
peptide_nm_39,0.03656,0
peptide_nm_40,1.09443,0
peptide_nm_41,1.6692,0
peptide_nm_43,0.84125,0
peptide_nm_44,-0.04837,0
peptide_nm_45,-0.22387,0
peptide_nm_46,0.66258,0
peptide_nm_47,1.16881,0
peptide_nm_48,0.19605,0
peptide_nm_49,1.67123,0
peptide_nm_50,0.79414,0
peptide_nm_51,1.49553,0
peptide_nm_52,-0.80396,0
peptide_nm_53,-0.2684,0
peptide_nm_54,-0.84459,0
peptide_nm_55,-0.5582,0
peptide_nm_56,0.058,0
peptide_nm_57,0.06613,0
peptide_nm_58,0.21432,0
peptide_nm_59,-0.89436,0
peptide_nm_60,-0.16854,0
peptide_nm_61,1.34805,0
peptide_nm_62,-0.48689,0
peptide_nm_63,1.17994,0
peptide_nm_64,0.26497,0
peptide_nm_65,0.18943,0
