,Ez__1,Ez__2,Ez__3,Ez__4,Ez__5,Ez__6,Ez__7,Ez__8,Ez__9,Ez__10,Ez__11,Ez__12,Ez__13,Ez__14,Ez__15,Ez__16,Ez__17,Ez__18,Ez__19,Ez__20,Ez__21,Ez__22,Ez__23,Ez__24,Ez__25,Ez__26,Ez__27,Ez__28,Ez__29,Ez__30,y
peptide_nm_1,-0.60727,0.43587,0.3235,0.9807,0.22367,1.15195,0.65628,0.99923,1.12125,1.5298,1.11185,0.96016,0.80828,1.4213,2.2156,0.18391,0.18044,0.29833,0.25194,0.20934,0.2081,0.46416,0.88838,0.90869,0.60409,0.51813,0.49687,1.176,0.46329,0.33818,0
peptide_nm_2,1.09497,0.58739,1.66319,0.46739,0.81457,1.91031,2.13632,2.05241,2.76129,2.00167,1.20136,1.43005,1.27593,1.7786,1.2065,0.35139,0.36975,0.76112,0.69492,0.69757,-1.12326,-1.12122,-0.88781,-0.77652,-0.22728,-1.09966,-1.65568,-2.07717,-1.59779,-1.33402,0
peptide_nm_3,-0.96722,-0.39102,0.44696,-0.53224,-1.2106,-0.34724,-0.38999,-0.82736,-0.69556,-0.83529,-0.29446,-0.16419,-1.11071,-0.50238,-0.61368,-0.73293,-0.60455,-0.43632,-0.62399,-0.48177,-0.54822,-0.44669,-0.29778,-0.35985,-0.251,-0.37264,-0.46861,-0.01871,-0.31725,-0.14941,0
peptide_nm_4,0.58091,1.47128,1.45423,1.55717,0.31391,2.2109,2.12003,1.67114,1.87414,1.75163,1.61413,1.80268,1.04022,1.56454,1.58885,0.02023,0.26044,0.30241,0.11558,-0.16765,-1.16707,-1.12081,-0.88092,-1.04723,-1.16218,-1.46743,-1.48428,-1.03137,-1.49685,-1.55388,0
peptide_nm_5,-0.14491,-0.32381,0.24676,0.17474,-0.66741,0.43067,0.77834,0.70331,0.66387,0.83356,0.4492,1.08273,0.48059,0.8406,1.00732,-0.33012,-0.14315,-0.03661,-0.09749,-0.27745,0.26016,0.18142,0.50491,0.05022,-0.17575,0.55714,0.16349,0.62574,0.44556,-0.25795,0
peptide_nm_6,0.2362,1.31432,0.21905,-0.19941,-0.37147,0.69527,0.58357,0.27441,0.49148,1.03296,0.59936,0.07075,0.21759,0.87443,0.70185,0.86622,0.87481,0.95632,0.95537,0.5724,-0.1018,0.11029,-0.03213,-0.19451,-0.40803,-0.48834,-0.19374,-0.41921,-0.68138,-0.86567,0
peptide_nm_7,0.80977,0.02353,-0.30984,1.74878,0.29603,0.93474,1.79791,1.15503,0.66031,1.42909,0.86576,1.63926,1.26998,0.39339,1.62985,-0.62346,-0.94007,-0.91345,-0.50148,-0.53983,-0.58077,-0.84178,-0.87613,-0.07747,-0.17075,-0.6614,-0.89299,-0.64664,-0.18908,-0.71225,0
peptide_nm_8,-0.56513,-1.03463,0.51136,-1.7408,-0.6069,-0.05403,-0.04335,-0.56951,0.11946,0.19909,0.23909,0.34719,-0.95008,0.90418,0.30191,-0.82279,-0.57656,-0.50234,-0.46781,-0.36872,0.17476,0.28781,0.72566,0.36305,0.51471,0.66851,0.60438,1.38425,0.70252,1.06666,0
peptide_nm_9,-0.17918,0.53215,-0.21899,0.50829,-1.12483,-0.6903,-0.34092,-0.01457,0.17249,0.80323,-0.13707,-0.16776,0.0287,0.28219,1.29649,0.65937,0.4062,0.635,0.24436,-0.03496,1.366,0.95341,1.28383,0.78486,0.3525,1.10317,1.11397,1.49054,0.98226,0.63068,0
peptide_nm_10,1.78696,3.30924,1.99002,1.37978,2.4044,2.09533,2.25438,2.83544,2.658,2.13708,1.7993,1.36649,2.10462,2.8613,1.94217,-1.12549,-1.491,-1.70554,-1.77867,-1.34748,-1.58886,-1.92649,-2.24074,-2.26824,-1.79056,-1.5206,-1.57447,-2.07749,-2.0495,-1.64216,0
