,TM_tend,y
peptide_nm_1,-0.12133,0
peptide_nm_2,-0.31071,0
peptide_nm_3,-0.85316,0
peptide_nm_4,-0.39019,0
peptide_nm_5,-0.57358,0
peptide_nm_6,-0.90596,0
peptide_nm_7,0.35627,0
peptide_nm_8,-0.71928,0
peptide_nm_9,0.02073,0
peptide_nm_10,-1.07408,0
peptide_nm_11,-0.0366,0
peptide_nm_12,-0.84685,0
peptide_nm_13,-1.08566,0
peptide_nm_14,-0.34644,0
peptide_nm_15,-1.05986,0
peptide_nm_16,-0.19042,0
peptide_nm_17,-1.19962,0
peptide_nm_18,-0.59917,0
peptide_nm_19,0.06792,0
peptide_nm_20,-1.19653,0
peptide_nm_21,-0.65681,0
peptide_nm_22,-1.40361,0
peptide_nm_23,-0.73988,0
peptide_nm_24,0.39371,0
peptide_nm_25,0.81185,0
peptide_nm_26,-0.62374,0
peptide_nm_27,0.35592,0
peptide_nm_28,-0.28194,0
peptide_nm_29,-0.31678,0
peptide_nm_30,-0.91092,0
peptide_nm_31,-1.05314,0
peptide_nm_32,-0.7642,0
peptide_nm_33,-0.28672,0
peptide_nm_34,0.54924,0
peptide_nm_35,-0.65979,0
peptide_nm_36,0.43695,0
peptide_nm_37,-1.35008,0
peptide_nm_38,-1.3342,0
peptide_nm_39,-0.16972,0
peptide_nm_40,-0.91244,0
peptide_nm_41,-0.44756,0
peptide_nm_43,0.80874,0
peptide_nm_44,0.34637,0
peptide_nm_45,-0.66498,0
peptide_nm_46,-1.44498,0
peptide_nm_47,-0.96333,0
peptide_nm_48,0.67909,0
peptide_nm_49,-1.28597,0
peptide_nm_50,-1.22833,0
peptide_nm_51,-0.75705,0
peptide_nm_52,-0.16048,0
peptide_nm_53,-0.56921,0
peptide_nm_54,-0.51758,0
peptide_nm_55,-0.24293,0
peptide_nm_56,-1.19959,0
peptide_nm_57,-1.3602,0
peptide_nm_58,-0.96795,0
peptide_nm_59,-0.74693,0
peptide_nm_60,-1.08786,0
peptide_nm_61,-0.21121,0
peptide_nm_62,-0.46528,0
peptide_nm_63,-0.6989,0
peptide_nm_64,-1.07775,0
peptide_nm_65,-0.22679,0
peptide_nm_66,-0.55923,0
peptide_nm_67,-0.99481,0
peptide_nm_68,-0.90328,0
peptide_nm_69,-1.02527,0
peptide_nm_70,-0.46423,0
peptide_nm_71,0.32792,0
peptide_nm_72,-0.02855,0
peptide_nm_73,-1.02964,0
peptide_nm_74,-0.82791,0
peptide_nm_75,-0.49256,0
peptide_nm_76,-0.89694,0
peptide_nm_77,-0.81656,0
peptide_nm_78,0.15084,0
peptide_nm_79,-0.99497,0
peptide_nm_80,-1.12315,0
peptide_nm_81,-0.84993,0
peptide_nm_82,-1.15583,0
peptide_nm_83,-0.8785,0
peptide_nm_84,-0.73065,0
peptide_nm_85,0.34658,0
peptide_nm_86,0.26745,0
peptide_nm_87,-1.17297,0
peptide_nm_88,1.08959,0
peptide_nm_89,-0.6901,0
peptide_nm_90,-1.01487,0
peptide_nm_91,-1.23983,0
peptide_nm_92,-0.09012,0
peptide_nm_93,-0.56157,0
peptide_nm_94,-1.17478,0
peptide_nm_95,-1.09376,0
peptide_nm_96,-0.5586,0
peptide_nm_97,0.25367,0
peptide_nm_98,0.32876,0
peptide_nm_99,1.31125,0
peptide_nm_100,-0.86829,0
peptide_nm_101,-0.41968,0
peptide_nm_102,-0.39309,0
peptide_nm_103,-0.94108,0
peptide_nm_104,0.30506,0
peptide_nm_105,-0.85561,0
peptide_nm_106,0.46995,0
peptide_nm_107,-0.90588,0
peptide_nm_108,-0.64993,0
peptide_nm_109,-0.02438,0
peptide_nm_110,-0.71128,0
peptide_nm_111,-1.35748,0
peptide_nm_112,-0.39364,0
peptide_nm_113,-1.15217,0
peptide_nm_114,-0.25889,0
peptide_nm_115,-0.45249,0
peptide_nm_116,-0.04708,0
peptide_nm_117,0.06589,0
peptide_nm_118,-1.01216,0
peptide_nm_119,0.28176,0
peptide_nm_120,0.57038,0
peptide_nm_121,-0.64224,0
peptide_nm_122,-0.94946,0
peptide_nm_123,-0.71374,0
peptide_nm_124,-0.38824,0
peptide_nm_125,-0.28622,0
peptide_nm_126,-0.58251,0
peptide_nm_127,0.00902,0
peptide_nm_128,-0.47278,0
peptide_nm_129,-1.11049,0
peptide_nm_130,-0.76351,0
peptide_nm_131,0.49078,0
peptide_nm_132,-0.30243,0
peptide_nm_133,1.04395,0
peptide_nm_134,-0.15392,0
peptide_nm_135,-0.48703,0
peptide_nm_136,-0.19448,0
peptide_nm_137,-1.24032,0
peptide_nm_138,-0.01234,0
peptide_nm_139,-0.41835,0
peptide_nm_140,-0.47366,0
peptide_nm_141,-1.37407,0
peptide_nm_142,-0.70908,0
peptide_nm_143,-0.20927,0
peptide_nm_144,-1.13244,0
peptide_nm_145,-0.69297,0
peptide_nm_146,-0.01515,0
peptide_nm_147,0.07287,0
peptide_nm_148,-1.0466,0
peptide_nm_149,-0.63563,0
peptide_nm_150,-0.79235,0
peptide_nm_151,-0.07616,0
peptide_nm_152,-0.58086,0
peptide_nm_153,-0.73684,0
peptide_nm_154,-0.53858,0
peptide_nm_155,-0.61106,0
peptide_nm_156,-0.63203,0
peptide_nm_157,0.33759,0
peptide_nm_158,0.0764,0
peptide_nm_159,-0.69188,0
peptide_nm_160,-0.62135,0
peptide_nm_161,-0.1626,0
peptide_nm_162,-0.44051,0
peptide_nm_163,-0.14987,0
peptide_nm_164,-0.50561,0
peptide_nm_165,-0.13903,0
peptide_nm_166,-0.75374,0
peptide_nm_167,-0.58373,0
peptide_nm_168,-0.87043,0
peptide_nm_169,-0.836,0
peptide_nm_170,-0.72554,0
peptide_nm_171,-1.22098,0
peptide_nm_172,0.0335,0
peptide_nm_173,-0.43659,0
peptide_nm_174,-0.23314,0
peptide_nm_175,0.02101,0
peptide_nm_176,-0.75547,0
peptide_nm_177,-0.40498,0
peptide_nm_178,0.00601,0
peptide_nm_179,-0.76428,0
peptide_nm_180,-0.30841,0
peptide_nm_181,-0.35432,0
peptide_nm_182,-0.92901,0
peptide_nm_183,-0.48626,0
peptide_nm_184,-0.85743,0
peptide_nm_185,-0.56274,0
peptide_nm_186,-1.2243,0
peptide_nm_187,0.31582,0
peptide_nm_188,0.05037,0
peptide_nm_189,-1.03155,0
peptide_nm_190,-0.06864,0
peptide_nm_191,-1.0944,0
peptide_nm_192,-0.04384,0
peptide_nm_193,0.65202,0
peptide_nm_194,-0.40263,0
peptide_nm_195,0.68161,0
peptide_nm_196,-0.65209,0
peptide_nm_197,-1.14968,0
peptide_nm_198,0.42642,0
peptide_nm_199,0.1644,0
peptide_nm_200,0.2349,0
peptide_nm_201,-0.78426,0
peptide_nm_202,-0.17826,0
peptide_nm_203,-0.81391,0
peptide_nm_204,-1.04348,0
peptide_nm_205,-0.86511,0
peptide_nm_206,0.33407,0
peptide_nm_207,-0.76868,0
peptide_nm_208,0.26651,0
peptide_nm_209,-0.89458,0
peptide_nm_210,-0.50219,0
peptide_nm_211,-0.3203,0
peptide_nm_212,0.23469,0
peptide_nm_213,-1.329,0
peptide_nm_214,0.42468,0
peptide_nm_215,-0.71792,0
peptide_nm_216,-0.02349,0
peptide_nm_217,-0.6599,0
peptide_nm_218,-0.78132,0
peptide_nm_219,0.03504,0
peptide_nm_220,0.52387,0
peptide_nm_221,0.03105,0
peptide_nm_222,-0.46252,0
peptide_nm_223,0.12495,0
peptide_nm_224,-1.21556,0
peptide_nm_225,-0.46656,0
peptide_nm_226,-0.9969,0
peptide_nm_227,-0.14696,0
peptide_nm_228,0.22905,0
peptide_nm_229,0.48657,0
peptide_nm_230,-1.12704,0
peptide_nm_231,1.25255,0
peptide_nm_232,-0.97247,0
peptide_nm_233,-0.15045,0
peptide_nm_234,-0.97159,0
peptide_nm_235,0.68359,0
peptide_nm_236,-1.05293,0
peptide_nm_237,-0.14281,0
peptide_nm_238,-1.16354,0
peptide_nm_239,-0.14098,0
peptide_nm_240,-0.95564,0
peptide_nm_241,-0.17365,0
peptide_nm_242,-0.88505,0
peptide_nm_243,-0.91624,0
peptide_nm_244,-0.45399,0
peptide_nm_245,-0.2829,0
peptide_nm_246,-0.24903,0
peptide_nm_247,-0.69151,0
peptide_nm_248,0.06119,0
peptide_nm_249,-0.4259,0
peptide_nm_250,-1.156,0
peptide_nm_251,-0.96921,0
peptide_nm_252,0.02364,0
peptide_nm_253,0.34527,0
peptide_nm_254,-1.35952,0
peptide_nm_255,-1.26699,0
peptide_nm_256,-1.38002,0
peptide_nm_257,0.44242,0
peptide_nm_258,-0.01111,0
peptide_nm_259,0.03858,0
peptide_nm_260,-1.13013,0
peptide_nm_261,-1.03145,0
peptide_nm_262,-0.96285,0
peptide_nm_263,-1.32443,0
peptide_nm_264,-0.16508,0
peptide_nm_265,-0.36091,0
peptide_nm_266,-0.25953,0
peptide_nm_267,-0.76227,0
peptide_nm_268,-0.77375,0
peptide_nm_269,-0.99739,0
peptide_nm_270,1.06485,0
peptide_nm_271,-0.09695,0
peptide_nm_272,-0.60007,0
peptide_nm_273,-1.15326,0
peptide_nm_274,0.0229,0
peptide_nm_275,0.20427,0
peptide_nm_276,-1.00549,0
peptide_nm_277,-0.63066,0
peptide_nm_278,-1.35842,0
peptide_nm_279,-1.11869,0
peptide_nm_280,-0.15222,0
peptide_nm_281,-0.05168,0
peptide_nm_282,-1.0545,0
peptide_nm_283,-0.19512,0
peptide_nm_284,-0.49399,0
peptide_nm_285,-0.21223,0
peptide_nm_286,-0.55081,0
peptide_nm_287,-0.37864,0
peptide_nm_288,-0.31734,0
peptide_nm_289,0.62655,0
peptide_nm_290,0.59815,0
peptide_nm_291,-0.99552,0
peptide_nm_292,-1.15267,0
peptide_nm_293,0.23758,0
peptide_nm_294,0.0118,0
peptide_nm_295,-1.30247,0
peptide_nm_296,-0.47395,0
peptide_nm_297,0.18207,0
peptide_nm_298,0.043,0
peptide_nm_299,-0.77997,0
peptide_nm_300,-1.23044,0
peptide_nm_301,1.02705,0
peptide_nm_302,-0.6267,0
peptide_nm_303,-0.75762,0
peptide_nm_304,-1.00367,0
peptide_nm_305,0.00158,0
peptide_nm_306,-0.94886,0
peptide_nm_307,-1.07268,0
peptide_nm_308,0.23739,0
peptide_nm_309,0.17383,0
peptide_nm_310,-0.06557,0
peptide_nm_311,-1.28902,0
peptide_nm_312,-0.93645,0
peptide_nm_313,-0.46984,0
peptide_nm_314,-0.57747,0
peptide_nm_315,-0.98485,0
peptide_nm_316,-0.52194,0
peptide_nm_317,-0.18072,0
peptide_nm_318,-0.56745,0
peptide_nm_319,-0.60889,0
peptide_nm_320,-0.9056,0
peptide_nm_321,-0.56353,0
peptide_nm_322,1.08082,0
peptide_nm_323,-0.08437,0
peptide_nm_324,-0.67407,0
peptide_nm_325,-0.97908,0
peptide_nm_326,-0.30741,0
peptide_nm_327,-0.48957,0
peptide_nm_328,0.11628,0
peptide_nm_329,-1.45569,0
peptide_nm_330,-0.19291,0
peptide_nm_331,-0.03441,0
peptide_nm_332,-1.19369,0
peptide_nm_333,-1.23854,0
peptide_nm_334,0.0222,0
peptide_nm_335,-0.39847,0
peptide_nm_336,0.27944,0
peptide_nm_337,-0.03449,0
peptide_nm_338,-0.78493,0
peptide_nm_339,-0.9799,0
peptide_nm_340,-0.13624,0
peptide_nm_341,-1.26988,0
peptide_nm_342,-0.55059,0
peptide_nm_343,0.11829,0
peptide_nm_344,-0.26125,0
peptide_nm_345,-0.52482,0
peptide_nm_346,-0.31704,0
peptide_nm_347,-0.08858,0
peptide_nm_348,-0.78334,0
peptide_nm_349,-0.16391,0
peptide_nm_350,-1.11284,0
peptide_nm_351,-0.75465,0
peptide_nm_352,-0.90136,0
peptide_nm_353,-1.06029,0
peptide_nm_354,-0.38805,0
peptide_nm_355,-0.84532,0
peptide_nm_356,-0.53266,0
peptide_nm_357,-0.95541,0
peptide_nm_358,-0.67094,0
peptide_nm_359,-0.34891,0
peptide_nm_360,-0.46521,0
peptide_nm_361,-0.77328,0
peptide_nm_362,-0.72916,0
peptide_nm_363,0.48666,0
peptide_nm_364,-0.4049,0
peptide_nm_365,-0.20664,0
peptide_nm_366,-0.50041,0
peptide_nm_367,0.46236,0
peptide_nm_368,-0.28408,0
peptide_nm_369,0.05618,0
peptide_nm_370,-0.79414,0
peptide_nm_371,-0.81132,0
peptide_nm_372,-0.79445,0
peptide_nm_373,-0.85668,0
peptide_nm_374,-1.09189,0
peptide_nm_375,-0.52586,0
peptide_nm_376,-1.16941,0
peptide_nm_377,-0.01417,0
peptide_nm_378,-0.84907,0
peptide_nm_379,0.15465,0
peptide_nm_380,-0.15591,0
peptide_nm_381,0.22149,0
peptide_nm_382,-0.60048,0
peptide_nm_383,-0.09652,0
peptide_nm_384,0.1525,0
peptide_nm_385,-1.2289,0
peptide_nm_386,-1.31558,0
peptide_nm_387,0.05961,0
peptide_nm_388,-1.34825,0
peptide_nm_389,-0.9483,0
peptide_nm_390,1.29712,0
peptide_nm_391,-1.10625,0
peptide_nm_392,-0.90083,0
peptide_nm_393,-0.75612,0
peptide_nm_394,-0.23337,0
peptide_nm_395,-0.56392,0
peptide_nm_396,0.40598,0
peptide_nm_397,-0.49926,0
peptide_nm_398,0.01255,0
peptide_nm_399,-0.60006,0
peptide_nm_400,-0.43975,0
peptide_nm_401,-1.39623,0
peptide_nm_402,-0.2216,0
peptide_nm_403,-1.02827,0
peptide_nm_404,-0.3515,0
