,GAAC_alphatic,GAAC_aromatic,GAAC_postivecharge,GAAC_negativecharge,GAAC_uncharge,y
peptide_nm_1,-1.80199,-1.13166,-0.4052,-0.01774,3.2267,0
peptide_nm_2,-1.73161,-0.2729,2.15245,0.04316,0.16885,0
peptide_nm_3,1.55248,-1.13166,-0.36273,-0.39894,-0.44424,0
peptide_nm_4,-1.11585,-0.6665,-0.88292,2.42336,0.92991,0
peptide_nm_5,-0.76781,-0.16089,-0.15595,0.15437,1.03745,0
peptide_nm_6,-0.88713,0.46317,-0.4052,1.16982,0.31155,0
peptide_nm_7,0.0849,-1.13166,-0.04691,0.57604,0.31155,0
peptide_nm_8,0.0849,-0.43392,-0.54851,0.57604,0.31155,0
peptide_nm_9,0.48515,-0.43392,-0.04691,-0.11671,-0.15223,0
peptide_nm_10,-2.18318,-0.20134,1.79232,0.11421,0.92991,0
peptide_nm_11,-1.239,2.30335,-0.317,-0.80945,0.73965,0
peptide_nm_12,-0.74639,0.15647,-0.317,0.89577,0.45425,0
peptide_nm_13,-1.17105,-0.7467,0.38552,0.71937,1.0152,0
peptide_nm_14,0.65367,-1.13166,-0.70692,0.35728,0.40918,0
peptide_nm_15,0.34593,-0.64627,-0.15595,-0.32754,0.3922,0
peptide_nm_16,-0.69453,-0.54409,-1.12932,2.69074,0.40918,0
peptide_nm_17,-0.63988,-0.52821,-0.35872,-0.36011,1.66527,0
peptide_nm_18,-0.74639,-0.2729,-1.55173,1.74838,1.31045,0
peptide_nm_19,0.65367,-1.13166,0.1379,-0.22609,0.01864,0
peptide_nm_20,-0.02043,-0.54409,-0.28451,1.52401,-0.37191,0
peptide_nm_21,1.1967,-1.13166,-1.55173,-0.80945,1.34216,0
peptide_nm_22,1.32778,-0.54409,-1.12932,0.35728,-0.37191,0
peptide_nm_23,-0.93796,0.10876,-0.65998,1.03787,0.92991,0
peptide_nm_24,-0.22641,0.10876,-1.10585,0.42209,0.92991,0
peptide_nm_25,-2.71684,3.33386,0.05342,1.40733,-0.05947,0
peptide_nm_26,-1.34456,1.26058,-1.55173,3.94081,-0.4835,0
peptide_nm_27,-1.34456,-0.33424,-0.4052,0.77397,1.63662,0
peptide_nm_28,0.84092,-1.13166,-0.65998,-0.19368,0.51767,0
peptide_nm_29,-1.64951,-0.51145,1.12351,1.65364,0.10542,0
peptide_nm_30,-0.7156,0.26382,-0.54851,-0.11671,1.2391,0
peptide_nm_31,-0.26826,-0.14662,-0.37147,0.16854,0.63892,0
peptide_nm_32,-0.04852,-0.20134,-0.88292,0.11421,0.92991,0
peptide_nm_33,1.22407,-1.13166,-0.317,0.89577,-0.97275,0
peptide_nm_34,0.02772,-1.13166,-1.55173,0.77397,1.63662,0
peptide_nm_35,-1.11585,-0.43392,-0.54851,1.96153,0.77532,0
peptide_nm_36,-1.64951,-0.20134,-0.88292,1.96153,1.54828,0
peptide_nm_37,0.96204,-0.89413,-1.03945,0.13386,0.35102,0
peptide_nm_38,-1.05655,-0.71818,-0.95723,1.65364,1.47957,0
peptide_nm_39,0.31662,-0.54409,-0.70692,0.94064,0.01864,0
peptide_nm_40,-0.99269,-0.70228,-0.62568,2.60099,0.45425,0
peptide_nm_41,-1.11585,0.06446,0.4547,1.96153,-0.4835,0
peptide_nm_43,-1.11585,2.5896,0.4547,0.11421,-0.92519,0
peptide_nm_44,0.12937,0.10876,-0.65998,1.03787,-0.30682,0
peptide_nm_45,0.37473,-0.7467,-0.72148,0.71937,0.24758,0
peptide_nm_46,-0.15525,-0.75953,-0.08035,1.2226,-0.05947,0
peptide_nm_47,-0.28333,-0.90838,0.53496,0.96398,-0.20788,0
peptide_nm_48,0.23884,-1.13166,-0.317,0.04316,0.73965,0
peptide_nm_49,0.0849,-1.13166,-0.54851,3.34702,-1.07978,0
peptide_nm_50,-0.67921,-0.11677,-0.45731,0.70199,0.81748,0
peptide_nm_51,-0.81937,-0.30471,-0.06548,0.01158,1.20474,0
peptide_nm_52,1.1967,0.10876,-0.21411,0.42209,-1.54355,0
peptide_nm_53,-0.31535,0.26382,-0.21411,0.11421,0.31155,0
