,CKSAAGP_alphaticr.alphaticr.gap0,CKSAAGP_alphaticr.aromatic.gap0,CKSAAGP_alphaticr.postivecharger.gap0,CKSAAGP_alphaticr.negativecharger.gap0,CKSAAGP_alphaticr.uncharger.gap0,CKSAAGP_aromatic.alphaticr.gap0,CKSAAGP_aromatic.aromatic.gap0,CKSAAGP_aromatic.postivecharger.gap0,CKSAAGP_aromatic.negativecharger.gap0,CKSAAGP_aromatic.uncharger.gap0,CKSAAGP_postivecharger.alphaticr.gap0,CKSAAGP_postivecharger.aromatic.gap0,CKSAAGP_postivecharger.postivecharger.gap0,CKSAAGP_postivecharger.negativecharger.gap0,CKSAAGP_postivecharger.uncharger.gap0,CKSAAGP_negativecharger.alphaticr.gap0,CKSAAGP_negativecharger.aromatic.gap0,CKSAAGP_negativecharger.postivecharger.gap0,CKSAAGP_negativecharger.negativecharger.gap0,CKSAAGP_negativecharger.uncharger.gap0,CKSAAGP_uncharger.alphaticr.gap0,CKSAAGP_uncharger.aromatic.gap0,CKSAAGP_uncharger.postivecharger.gap0,CKSAAGP_uncharger.negativecharger.gap0,CKSAAGP_uncharger.uncharger.gap0,CKSAAGP_alphaticr.alphaticr.gap1,CKSAAGP_alphaticr.aromatic.gap1,CKSAAGP_alphaticr.postivecharger.gap1,CKSAAGP_alphaticr.negativecharger.gap1,CKSAAGP_alphaticr.uncharger.gap1,CKSAAGP_aromatic.alphaticr.gap1,CKSAAGP_aromatic.aromatic.gap1,CKSAAGP_aromatic.postivecharger.gap1,CKSAAGP_aromatic.negativecharger.gap1,CKSAAGP_aromatic.uncharger.gap1,CKSAAGP_postivecharger.alphaticr.gap1,CKSAAGP_postivecharger.aromatic.gap1,CKSAAGP_postivecharger.postivecharger.gap1,CKSAAGP_postivecharger.negativecharger.gap1,CKSAAGP_postivecharger.uncharger.gap1,CKSAAGP_negativecharger.alphaticr.gap1,CKSAAGP_negativecharger.aromatic.gap1,CKSAAGP_negativecharger.postivecharger.gap1,CKSAAGP_negativecharger.negativecharger.gap1,CKSAAGP_negativecharger.uncharger.gap1,CKSAAGP_uncharger.alphaticr.gap1,CKSAAGP_uncharger.aromatic.gap1,CKSAAGP_uncharger.postivecharger.gap1,CKSAAGP_uncharger.negativecharger.gap1,CKSAAGP_uncharger.uncharger.gap1,CKSAAGP_alphaticr.alphaticr.gap2,CKSAAGP_alphaticr.aromatic.gap2,CKSAAGP_alphaticr.postivecharger.gap2,CKSAAGP_alphaticr.negativecharger.gap2,CKSAAGP_alphaticr.uncharger.gap2,CKSAAGP_aromatic.alphaticr.gap2,CKSAAGP_aromatic.aromatic.gap2,CKSAAGP_aromatic.postivecharger.gap2,CKSAAGP_aromatic.negativecharger.gap2,CKSAAGP_aromatic.uncharger.gap2,CKSAAGP_postivecharger.alphaticr.gap2,CKSAAGP_postivecharger.aromatic.gap2,CKSAAGP_postivecharger.postivecharger.gap2,CKSAAGP_postivecharger.negativecharger.gap2,CKSAAGP_postivecharger.uncharger.gap2,CKSAAGP_negativecharger.alphaticr.gap2,CKSAAGP_negativecharger.aromatic.gap2,CKSAAGP_negativecharger.postivecharger.gap2,CKSAAGP_negativecharger.negativecharger.gap2,CKSAAGP_negativecharger.uncharger.gap2,CKSAAGP_uncharger.alphaticr.gap2,CKSAAGP_uncharger.aromatic.gap2,CKSAAGP_uncharger.postivecharger.gap2,CKSAAGP_uncharger.negativecharger.gap2,CKSAAGP_uncharger.uncharger.gap2,CKSAAGP_alphaticr.alphaticr.gap3,CKSAAGP_alphaticr.aromatic.gap3,CKSAAGP_alphaticr.postivecharger.gap3,CKSAAGP_alphaticr.negativecharger.gap3,CKSAAGP_alphaticr.uncharger.gap3,CKSAAGP_aromatic.alphaticr.gap3,CKSAAGP_aromatic.aromatic.gap3,CKSAAGP_aromatic.postivecharger.gap3,CKSAAGP_aromatic.negativecharger.gap3,CKSAAGP_aromatic.uncharger.gap3,CKSAAGP_postivecharger.alphaticr.gap3,CKSAAGP_postivecharger.aromatic.gap3,CKSAAGP_postivecharger.postivecharger.gap3,CKSAAGP_postivecharger.negativecharger.gap3,CKSAAGP_postivecharger.uncharger.gap3,CKSAAGP_negativecharger.alphaticr.gap3,CKSAAGP_negativecharger.aromatic.gap3,CKSAAGP_negativecharger.postivecharger.gap3,CKSAAGP_negativecharger.negativecharger.gap3,CKSAAGP_negativecharger.uncharger.gap3,CKSAAGP_uncharger.alphaticr.gap3,CKSAAGP_uncharger.aromatic.gap3,CKSAAGP_uncharger.postivecharger.gap3,CKSAAGP_uncharger.negativecharger.gap3,CKSAAGP_uncharger.uncharger.gap3,CKSAAGP_alphaticr.alphaticr.gap4,CKSAAGP_alphaticr.aromatic.gap4,CKSAAGP_alphaticr.postivecharger.gap4,CKSAAGP_alphaticr.negativecharger.gap4,CKSAAGP_alphaticr.uncharger.gap4,CKSAAGP_aromatic.alphaticr.gap4,CKSAAGP_aromatic.aromatic.gap4,CKSAAGP_aromatic.postivecharger.gap4,CKSAAGP_aromatic.negativecharger.gap4,CKSAAGP_aromatic.uncharger.gap4,CKSAAGP_postivecharger.alphaticr.gap4,CKSAAGP_postivecharger.aromatic.gap4,CKSAAGP_postivecharger.postivecharger.gap4,CKSAAGP_postivecharger.negativecharger.gap4,CKSAAGP_postivecharger.uncharger.gap4,CKSAAGP_negativecharger.alphaticr.gap4,CKSAAGP_negativecharger.aromatic.gap4,CKSAAGP_negativecharger.postivecharger.gap4,CKSAAGP_negativecharger.negativecharger.gap4,CKSAAGP_negativecharger.uncharger.gap4,CKSAAGP_uncharger.alphaticr.gap4,CKSAAGP_uncharger.aromatic.gap4,CKSAAGP_uncharger.postivecharger.gap4,CKSAAGP_uncharger.negativecharger.gap4,CKSAAGP_uncharger.uncharger.gap4,CKSAAGP_alphaticr.alphaticr.gap5,CKSAAGP_alphaticr.aromatic.gap5,CKSAAGP_alphaticr.postivecharger.gap5,CKSAAGP_alphaticr.negativecharger.gap5,CKSAAGP_alphaticr.uncharger.gap5,CKSAAGP_aromatic.alphaticr.gap5,CKSAAGP_aromatic.aromatic.gap5,CKSAAGP_aromatic.postivecharger.gap5,CKSAAGP_aromatic.negativecharger.gap5,CKSAAGP_aromatic.uncharger.gap5,CKSAAGP_postivecharger.alphaticr.gap5,CKSAAGP_postivecharger.aromatic.gap5,CKSAAGP_postivecharger.postivecharger.gap5,CKSAAGP_postivecharger.negativecharger.gap5,CKSAAGP_postivecharger.uncharger.gap5,CKSAAGP_negativecharger.alphaticr.gap5,CKSAAGP_negativecharger.aromatic.gap5,CKSAAGP_negativecharger.postivecharger.gap5,CKSAAGP_negativecharger.negativecharger.gap5,CKSAAGP_negativecharger.uncharger.gap5,CKSAAGP_uncharger.alphaticr.gap5,CKSAAGP_uncharger.aromatic.gap5,CKSAAGP_uncharger.postivecharger.gap5,CKSAAGP_uncharger.negativecharger.gap5,CKSAAGP_uncharger.uncharger.gap5,y
peptide_nm_1,-1.35851,-0.68562,-1.09631,-0.64811,0.96042,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,2.73556,-0.628,-0.30483,-0.41086,-0.27412,1.8491,0.99574,-0.58647,3.02879,1.62627,2.38926,-0.62309,-0.73181,-1.01632,-0.6297,-1.21021,-0.70926,-0.27957,-0.56477,-0.29322,-0.60162,-0.97483,-0.48976,-0.50958,-0.37427,3.07603,1.09179,-0.31424,-0.36969,-0.26509,-0.47704,-1.22922,-0.53484,1.03808,1.87116,5.3322,-1.31413,-0.71529,-1.04409,-0.64523,0.14641,-0.80005,-0.33651,-0.49013,-0.29523,-0.55197,-1.01702,-0.48313,0.47395,-0.38151,1.10974,-0.57987,-0.28084,-0.42205,-0.27205,2.02527,1.46577,-0.48969,-0.71564,1.88879,3.64725,-1.29122,-0.71485,-1.01679,-0.57719,-1.00624,-0.87534,-0.33873,-0.44999,-0.24543,-0.48201,-0.89788,-0.41254,-0.61673,3.15045,1.01299,1.58546,-0.31128,-0.32663,-0.2865,-0.45368,0.35521,-0.38967,1.22469,-0.44638,5.22425,-1.18421,-0.60726,-1.00483,-0.52997,-1.12355,-0.62155,-0.33931,-0.555,-0.27934,-0.44415,-0.9654,-0.42718,-0.52747,-0.3637,2.89638,-0.5965,-0.28281,-0.3398,-0.23983,1.82801,1.68549,-0.45984,-0.6224,2.06319,3.14835,-1.1654,-0.56849,-0.95686,-0.59145,-0.95583,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,0.23137,-0.43135,-0.49719,-0.31177,1.80456,-0.56156,-0.24109,-0.31874,-0.26764,-0.42689,0.49215,-0.45603,-0.59803,2.59681,5.22207,0
peptide_nm_2,-1.35851,-0.68562,0.04221,1.27339,-1.37673,-0.76325,-0.31118,1.16086,-0.32148,-0.51381,1.29944,-0.5271,1.76511,-0.42706,3.02402,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,1.31594,3.34172,-0.50514,-0.63352,-1.21695,-0.73181,-0.03028,-0.6297,-1.21021,-0.70926,-0.27957,-0.56477,-0.29322,1.86648,-0.08735,1.27585,2.75059,3.30036,1.36808,-0.65439,-0.31424,-0.36969,-0.26509,-0.47704,0.04691,-0.53484,3.05584,-0.51101,-0.58048,-0.68757,-0.71529,-1.04409,-0.64523,-1.0603,-0.80005,-0.33651,1.5621,-0.29523,-0.55197,0.43509,1.72919,1.76075,3.29756,-0.7601,-0.57987,-0.28084,-0.42205,-0.27205,-0.46037,-1.10976,-0.48969,1.06041,-0.43638,1.70626,-1.29122,-0.71485,-1.01679,1.76524,-1.00624,1.16001,-0.33873,-0.44999,-0.24543,-0.48201,0.8768,-0.41254,1.51394,-0.39573,1.20332,-0.54595,-0.31128,-0.32663,-0.2865,-0.45368,-0.97915,1.88186,3.64294,-0.44638,-0.63774,-1.18421,-0.60726,-1.00483,-0.52997,-1.12355,-0.62155,-0.33931,1.59257,-0.27934,-0.44415,-0.9654,-0.42718,4.09837,4.21607,1.38904,-0.5965,-0.28281,-0.3398,-0.23983,-0.37297,2.0303,-0.45984,1.90273,-0.45474,-0.53597,-1.1654,-0.56849,-0.95686,-0.59145,-0.95583,-0.6148,-0.24834,1.68508,-0.24915,-0.52469,1.66637,-0.43135,1.64939,-0.31177,-0.62973,-0.56156,-0.24109,-0.31874,-0.26764,-0.42689,-1.0152,-0.45603,2.33912,3.02488,1.07301,0
peptide_nm_3,1.88028,-0.68562,-0.57084,0.23874,0.37613,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.55833,-0.5271,-0.66495,-0.42706,0.13943,0.23054,-0.30483,-0.41086,-0.27412,-0.50842,-0.13654,-0.58647,1.15117,-0.50514,-0.63352,2.20368,-0.73181,-0.14861,0.14996,-0.17136,-0.70926,-0.27957,-0.56477,-0.29322,-0.60162,-0.58434,-0.48976,0.20766,-0.37427,0.22034,0.18378,-0.31424,-0.36969,-0.26509,-0.47704,0.45527,-0.53484,-0.66926,-0.51101,-0.10747,1.8187,-0.71529,0.20921,0.22737,0.04585,-0.80005,-0.33651,-0.49013,-0.29523,-0.55197,0.19307,-0.48313,-0.59839,-0.38151,0.09691,0.32474,-0.28084,-0.42205,-0.27205,-0.46037,0.07069,-0.48969,0.02438,-0.43638,-0.66605,1.23313,-0.71485,1.03208,0.33941,0.67869,-0.87534,-0.33873,-0.44999,-0.24543,-0.48201,0.491,-0.41254,-0.61673,-0.39573,-0.70002,0.38075,-0.31128,-0.32663,-0.2865,-0.45368,0.76132,-0.38967,-0.75388,-0.44638,-0.63774,2.18186,-0.60726,0.4803,0.31618,-0.01635,-0.62155,-0.33931,-0.555,-0.27934,-0.44415,-0.0444,-0.42718,-0.52747,-0.3637,-0.54897,-0.5965,-0.28281,-0.3398,-0.23983,0.52743,0.05548,-0.45984,-0.6224,-0.45474,-0.53597,2.53632,-0.56849,-0.44617,-0.59145,0.58785,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,-0.03437,-0.43135,-0.49719,-0.31177,-0.62973,-0.56156,-0.24109,1.29424,-0.26764,-0.42689,-1.0152,-0.45603,0.38102,0.74181,-0.58661,0
peptide_nm_4,-0.7483,-0.68562,0.09171,-0.64811,-0.05574,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,0.37195,-0.66495,1.12194,-0.72594,1.31304,-0.30483,-0.41086,-0.27412,6.15413,0.01115,-0.58647,-0.72645,6.72314,-0.63352,-0.89303,0.21815,-1.01632,2.02825,-0.61996,-0.70926,-0.27957,-0.56477,-0.29322,-0.60162,-0.97483,-0.48976,-0.50958,-0.37427,0.34331,1.25053,-0.31424,1.47414,3.58443,0.93254,0.68498,-0.53484,0.26202,-0.51101,1.56958,-1.31413,-0.71529,-1.04409,0.35203,1.46804,-0.80005,-0.33651,-0.49013,-0.29523,-0.55197,-1.01702,-0.48313,-0.59839,1.37043,-0.7601,1.48781,2.08814,1.25211,1.0146,2.14364,0.91387,-0.48969,0.13009,3.21746,-0.10122,-1.00092,-0.71485,-1.01679,2.58509,-0.36035,-0.87534,-0.33873,-0.44999,-0.24543,-0.48201,-0.09927,-0.41254,-0.61673,-0.39573,-0.70002,1.58546,-0.31128,1.27021,2.20308,0.89434,-0.31197,0.63252,0.23541,0.77972,1.70706,-0.47557,-0.60726,-0.43162,-0.52997,0.15847,-0.62155,-0.33931,-0.555,-0.27934,-0.44415,-0.9654,-0.42718,0.44639,-0.3637,-0.54897,0.4283,2.14695,-0.3398,1.36542,2.75474,0.23366,-0.45984,-0.6224,4.31608,0.04577,-0.80551,-0.56849,0.23476,1.46799,-0.95583,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,-0.88474,0.63175,-0.49719,-0.31177,-0.62973,1.55732,-0.24109,-0.31874,2.66436,1.00544,0.32467,-0.45603,-0.59803,0.93206,1.99502,0
peptide_nm_5,-1.35851,-0.68562,-0.4753,0.39998,1.38535,-0.76325,-0.31118,0.39574,-0.32148,0.5262,-0.45227,-0.5271,-0.66495,1.19235,1.31949,0.38663,-0.30483,-0.41086,-0.27412,0.88466,2.07655,0.45121,1.49256,-0.50514,-0.63352,-0.53826,0.26339,-0.49982,0.29847,-0.59185,0.31393,-0.27957,-0.56477,-0.29322,0.6912,-0.04509,-0.48976,0.34427,-0.37427,0.39211,0.34343,-0.31424,-0.36969,-0.26509,0.99966,-0.56077,-0.53484,1.28198,0.85023,1.10885,-0.37428,-0.71529,0.45987,-0.64523,-1.0603,-0.80005,-0.33651,0.53599,1.76956,-0.55197,-1.01702,0.62303,-0.59839,-0.38151,2.32513,0.50566,-0.28084,-0.42205,-0.27205,0.90673,0.30678,-0.48969,0.17238,0.84247,1.11318,-1.29122,-0.71485,-1.01679,0.53238,1.71329,-0.87534,-0.33873,-0.44999,-0.24543,2.25135,1.62403,-0.41254,-0.1121,-0.39573,-0.70002,-0.54595,-0.31128,1.35426,-0.2865,-0.45368,1.12774,0.68632,1.32883,-0.44638,-0.02069,-0.4362,0.39575,0.20528,-0.52997,-1.12355,1.20743,-0.33931,-0.555,-0.27934,-0.44415,-0.9654,-0.42718,0.5005,-0.3637,1.17371,0.48523,-0.28281,-0.3398,-0.23983,-0.37297,-0.38337,-0.45984,0.49988,0.80422,1.92025,-0.78434,-0.56849,-0.326,-0.59145,0.31544,-0.6148,-0.24834,-0.49316,-0.24915,2.15637,-0.35951,-0.43135,0.3867,2.03264,-0.62973,-0.56156,-0.24109,-0.31874,-0.26764,1.08969,1.11282,0.70138,1.8208,-0.39973,0.09676,0
peptide_nm_6,-0.83871,0.90439,-0.59031,0.20589,-0.25144,1.3893,-0.31118,-0.52241,-0.32148,0.33361,-1.10916,0.23876,-0.12494,0.89246,0.10738,0.19874,1.1918,2.41747,-0.27412,0.62668,-0.72364,-0.58647,-0.72645,2.57357,0.33675,-0.39468,-0.73181,-0.18198,0.11998,-0.21132,0.11716,-0.27957,-0.56477,1.46266,1.48677,-0.59935,0.25723,-0.50958,1.18038,0.18565,-0.65439,3.30907,-0.36969,0.82067,0.71568,-0.68932,0.57144,0.90675,0.58845,-0.12566,-0.81288,0.07079,0.15908,-0.64523,0.0016,-0.80005,-0.33651,0.33076,1.3566,1.75643,-1.01702,-0.48313,-0.12656,2.56175,0.06263,1.15698,1.7091,-0.42205,-0.27205,0.63331,0.02347,2.01704,-0.71564,1.60977,-0.66605,-1.0493,0.95193,-0.36229,1.17963,-0.468,-0.87534,-0.33873,1.54465,2.00848,-0.48201,-0.89788,-0.41254,-0.21723,1.08185,0.72748,-0.54595,-0.31128,-0.32663,0.75083,2.91638,1.24478,1.31398,-0.75388,-0.44638,-0.63774,-0.30611,-0.60726,0.41573,0.27939,-1.12355,0.09414,0.73179,-0.555,-0.27934,0.77311,-0.9654,0.34249,-0.52747,1.22927,0.12512,-0.5965,-0.28281,-0.3398,2.41232,1.34954,-0.53329,0.61503,0.25591,0.53053,0.42516,-0.87095,0.20324,0.0181,1.09354,-0.46466,0.257,0.8967,-0.49316,1.53618,-0.52469,-0.88474,0.43846,-0.49719,1.49982,0.25547,0.30525,-0.24109,1.22093,-0.26764,0.74502,-0.46707,-0.45603,0.33652,0.68992,0.99758,0
peptide_nm_7,-0.89069,-0.68562,1.63614,-0.64811,0.6488,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,1.94808,2.27403,2.34826,-0.30483,-0.41086,-0.27412,-0.50842,1.6751,-0.58647,-0.72645,1.34208,-0.63352,-0.70793,-0.73181,-0.24158,2.15481,0.64488,-0.70926,-0.27957,-0.56477,-0.29322,-0.60162,1.11709,-0.48976,-0.50958,-0.37427,-0.68146,0.84233,-0.31424,-0.36969,-0.26509,1.73802,-0.22654,-0.53484,0.79417,-0.51101,0.26419,0.61377,-0.71529,0.11281,-0.64523,-0.03924,-0.80005,-0.33651,-0.49013,-0.29523,-0.55197,-1.01702,-0.48313,-0.59839,-0.38151,2.40424,1.09018,-0.28084,2.28236,-0.27205,-0.46037,-0.02011,-0.48969,-0.71564,1.53107,0.24638,-0.32355,-0.71485,-1.01679,-0.57719,2.22321,-0.87534,-0.33873,-0.44999,-0.24543,-0.48201,0.43313,-0.41254,-0.61673,2.55942,-0.70002,-0.54595,-0.31128,2.33477,-0.2865,1.79302,1.24478,-0.38967,0.89493,-0.44638,-0.63774,0.03981,-0.60726,-0.01474,1.16234,-1.12355,-0.62155,-0.33931,-0.555,-0.27934,-0.44415,-0.0444,-0.42718,1.15466,-0.3637,-0.54897,1.1736,-0.28281,-0.3398,-0.23983,1.42783,0.05548,-0.45984,-0.6224,-0.45474,1.47366,-0.5176,-0.56849,0.1156,-0.59145,1.20533,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,0.00815,-0.43135,-0.49719,-0.31177,1.3177,1.34543,-0.24109,-0.31874,-0.26764,-0.42689,0.19068,-0.45603,1.45797,1.9975,-0.58661,0
peptide_nm_8,-0.42286,-0.68562,-0.1855,0.88909,0.6488,-0.76325,-0.31118,0.82421,-0.32148,-0.51381,-0.14572,0.85144,-0.66495,-0.42706,-0.72594,0.86013,-0.30483,-0.41086,-0.27412,1.53476,0.6938,-0.58647,-0.72645,1.34208,0.23972,-0.19891,0.76098,-0.24158,2.15481,-1.21021,0.82552,-0.27957,-0.56477,-0.29322,-0.60162,-0.97483,-0.48976,0.7712,-0.37427,0.92889,-0.65439,-0.31424,-0.36969,-0.26509,1.73802,0.77613,-0.53484,-0.66926,-0.51101,1.10885,-0.83216,0.7964,0.11281,-0.64523,0.98182,-0.80005,-0.33651,-0.49013,-0.29523,1.66765,1.217,-0.48313,-0.59839,-0.38151,-0.7601,1.09018,-0.28084,-0.42205,-0.27205,-0.46037,-0.02011,-0.48969,-0.71564,3.49853,0.24638,-0.80738,-0.71485,0.29221,1.17963,0.07024,0.65117,-0.33873,-0.44999,-0.24543,-0.48201,-0.89788,-0.41254,-0.61673,-0.39573,2.15499,1.23023,-0.31128,-0.32663,-0.2865,-0.45368,1.24478,-0.38967,-0.75388,1.59711,0.33926,0.03981,-0.60726,-1.00483,-0.52997,1.09086,-0.62155,-0.33931,-0.555,-0.27934,2.10102,-0.0444,-0.42718,-0.52747,2.96704,-0.54897,-0.5965,-0.28281,-0.3398,2.53287,-0.37297,1.18395,-0.45984,-0.6224,-0.45474,0.46885,0.1302,-0.56849,-0.95686,-0.59145,1.20533,-0.6148,-0.24834,-0.49316,3.67858,-0.52469,-0.88474,-0.43135,-0.49719,-0.31177,3.26513,1.34543,-0.24109,-0.31874,-0.26764,-0.42689,0.19068,-0.45603,-0.59803,1.9975,-0.58661,0
peptide_nm_9,0.04497,-0.68562,0.72532,-0.64811,0.6488,0.52828,-0.31118,-0.52241,-0.32148,-0.51381,-0.14572,-0.5271,0.30707,-0.42706,0.77404,-0.628,2.3891,-0.41086,-0.27412,-0.50842,0.6938,-0.58647,-0.72645,1.34208,-0.63352,-0.19891,-0.73181,0.53317,0.76256,-0.28267,0.82552,-0.27957,-0.56477,-0.29322,-0.60162,0.41979,-0.48976,0.7712,-0.37427,-0.68146,0.84233,-0.31424,-0.36969,-0.26509,-0.47704,-0.22654,1.51969,-0.66926,-0.51101,0.26419,0.13179,0.7964,0.11281,-0.64523,-1.0603,0.79898,-0.33651,-0.49013,-0.29523,-0.55197,-1.01702,-0.48313,0.30898,-0.38151,2.40424,1.09018,-0.28084,-0.42205,-0.27205,-0.46037,-0.02011,-0.48969,0.65055,1.53107,-0.66605,-0.32355,-0.71485,1.60122,-0.57719,0.07024,-0.87534,-0.33873,-0.44999,-0.24543,-0.48201,0.43313,-0.41254,-0.61673,2.55942,0.72748,1.23023,-0.31128,-0.32663,-0.2865,-0.45368,0.13282,1.31398,0.89493,-0.44638,-0.63774,-0.5722,-0.60726,0.97534,1.16234,-0.01635,-0.62155,-0.33931,-0.555,-0.27934,-0.44415,-0.0444,1.18213,-0.52747,-0.3637,0.86049,-0.5965,-0.28281,-0.3398,-0.23983,-0.37297,2.31242,-0.45984,-0.6224,-0.45474,-0.53597,0.778,1.12933,-0.95686,-0.59145,0.12475,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,0.00815,-0.43135,-0.49719,3.67372,1.3177,-0.56156,-0.24109,-0.31874,-0.26764,-0.42689,0.19068,-0.45603,1.45797,-0.39973,-0.58661,0
peptide_nm_10,-1.35851,-0.68562,-1.09631,1.44808,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.20462,-0.5271,3.31151,-0.42706,1.31949,-0.628,-0.30483,3.06028,-0.27412,-0.50842,-1.26881,1.48889,1.49256,-0.50514,1.74806,-1.21695,-0.73181,0.06832,-0.6297,-1.21021,-0.70926,-0.27957,-0.56477,-0.29322,-0.60162,0.0014,1.45242,1.28351,3.66782,1.57303,-0.65439,-0.31424,3.68673,-0.26509,-0.47704,-1.22922,-0.53484,3.42835,-0.51101,0.60205,-1.31413,-0.71529,0.62698,-0.64523,-1.0603,-0.80005,-0.33651,-0.49013,-0.29523,-0.55197,0.59644,1.975,0.71225,3.70635,-0.7601,-0.57987,-0.28084,-0.42205,-0.27205,2.57764,-1.10976,-0.48969,5.20453,-0.43638,-0.66605,-1.29122,-0.71485,-1.01679,-0.57719,0.60848,-0.87534,-0.33873,-0.44999,-0.24543,-0.48201,-0.89788,-0.41254,1.78027,4.03699,-0.70002,-0.54595,4.71675,-0.32663,-0.2865,-0.45368,0.6888,-0.38967,4.19254,-0.44638,-0.63774,-1.18421,1.97192,-1.00483,-0.52997,-1.12355,-0.62155,-0.33931,-0.555,-0.27934,-0.44415,-0.9654,-0.42718,4.75921,-0.3637,1.6659,-0.5965,-0.28281,-0.3398,-0.23983,-0.37297,0.70032,-0.45984,2.26347,2.7826,-0.53597,-1.1654,-0.56849,-0.95686,-0.59145,-0.95583,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,-0.88474,2.75796,2.00716,-0.31177,2.61599,-0.56156,-0.24109,-0.31874,-0.26764,-0.42689,0.9946,-0.45603,2.82864,3.59565,-0.58661,0
