,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_1,-0.9492,0.17972,1.04469,0.71066,-0.42846,-0.57537,-0.62828,-1.07829,-0.4973,1.2122,-1.12354,-0.37975,-0.49469,-0.78908,2.05043,2.67162,3.42402,-0.50082,-0.55741,-1.01459,0
peptide_nm_2,-0.9492,0.24789,-0.63081,0.81562,-0.42846,1.19413,-0.62828,-1.07829,5.76439,0.23536,-0.50191,0.29121,-0.49469,0.39272,2.26378,-0.86606,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_3,1.24634,-0.24693,-0.63081,-0.65388,0.71505,0.27661,-0.02857,1.18531,1.51262,0.19315,0.07367,-0.65974,-0.49469,-0.78908,-0.00411,-0.86606,-0.75343,-0.50082,-0.55741,0.87369,0
peptide_nm_4,-0.45521,-0.7064,1.32393,0.1421,-0.42846,1.34159,3.41981,0.19498,-0.4973,-0.90428,-0.78683,-0.28284,0.99466,-0.78908,0.89475,-0.17818,0.05885,0.24749,-0.55741,-0.30648,0
peptide_nm_5,-0.43373,-0.7064,1.40892,1.0073,-0.42846,1.42493,-0.62828,-1.07829,0.68243,0.38401,-0.06947,0.10062,1.05941,-0.78908,-0.7232,0.56952,0.94177,-0.50082,1.63373,-1.01459,0
peptide_nm_6,-0.52578,-0.26334,1.04469,0.71066,-0.42846,1.06774,1.10661,-1.07829,1.44084,-0.90428,0.03091,-0.67051,0.78189,0.3083,1.35702,-0.86606,-0.75343,0.782,-0.55741,0.19931,0
peptide_nm_7,-0.20821,0.84431,2.30131,-0.65388,-0.42846,2.30007,1.39576,-0.12334,-0.4973,-0.90428,0.89675,-0.45244,-0.49469,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,0.04757,0
peptide_nm_8,-0.9492,0.06896,0.83525,0.54009,-0.42846,-0.57537,0.38374,-0.12334,-0.4973,0.94764,-0.61847,-0.45244,-0.49469,-0.78908,-0.7232,0.16577,1.68341,-0.50082,1.01748,2.17189,0
peptide_nm_9,-0.9492,0.84431,-0.63081,0.54009,0.53638,-0.57537,-0.62828,-0.12334,-0.4973,-0.90428,1.9069,-0.45244,-0.49469,-0.78908,-0.7232,1.19759,-0.75343,-0.50082,1.01748,0.04757,0
peptide_nm_10,0.03879,0.32741,-0.63081,0.93808,0.85799,-0.57537,-0.62828,-1.07829,-0.4973,-0.90428,-1.12354,1.75244,-0.49469,0.4912,-0.7232,1.88547,0.87113,-0.50082,-0.55741,-1.01459,0
peptide_nm_11,-0.9492,-0.7064,1.17357,-0.65388,-0.42846,1.19413,-0.62828,0.09704,-0.4973,-0.90428,0.11972,0.29121,-0.49469,-0.78908,-0.7232,0.40388,0.74617,-0.50082,7.19587,-1.01459,0
peptide_nm_12,0.41879,0.24789,0.27138,0.81562,-0.42846,-0.57537,0.61728,0.09704,0.54631,-0.90428,-0.50191,-0.64814,0.88009,0.98361,-0.7232,1.03885,1.49596,-0.50082,-0.55741,-1.01459,0
peptide_nm_13,-0.54038,0.14917,-0.63081,0.66361,-0.42846,1.01108,0.48843,1.0292,1.37401,-0.90428,-0.84488,-0.11908,-0.49469,-0.25931,-0.0537,0.84179,1.9355,-0.50082,-0.55741,-0.42857,0
peptide_nm_14,1.54678,-0.7064,1.83834,0.35157,-0.42846,-0.57537,0.22395,-0.27412,-0.4973,-0.90428,0.15243,-0.1043,1.38659,-0.78908,0.29866,0.00285,0.27261,-0.50082,-0.55741,-0.12014,0
peptide_nm_15,0.59722,-0.7064,0.38906,0.17671,-0.42846,-0.57537,-0.62828,2.90761,1.86217,-0.90428,-1.12354,-0.25334,-0.49469,-0.12111,1.80924,-0.86606,0.94177,-0.50082,-0.55741,0.4632,0
peptide_nm_16,-0.9492,-0.7064,-0.63081,1.35702,-0.42846,0.63534,2.78064,-0.27412,0.9308,-0.12453,0.15243,-0.96126,-0.49469,-0.78908,1.32053,0.00285,0.27261,-0.50082,0.76881,-0.12014,0
