,GAAC_alphatic,GAAC_aromatic,GAAC_postivecharge,GAAC_negativecharge,GAAC_uncharge,y
Neg_446,-1.23669,-0.95195,-0.09386,0.17277,1.79184,0
Neg_2228,-0.04894,-0.28501,-0.04482,-0.70686,0.8024,0
Neg_2386,-1.19032,-1.47323,1.02999,-0.15884,1.57418,0
Neg_2835,-1.01066,-0.54093,2.26072,1.20647,-1.04985,0
Neg_2149,1.04184,-0.73869,-0.65689,-0.11504,-0.11838,0
Neg_2248,-1.34432,0.83532,1.86851,0.64428,-0.83564,0
Neg_2739,-0.16135,-0.00415,0.18224,0.40699,-0.26605,0
Neg_2580,-1.0912,-0.35876,-0.4717,-1.01182,2.45316,0
Neg_2765,0.39071,-0.66524,-0.89185,0.27886,0.36525,0
Neg_939,-1.29093,1.43555,1.24963,0.05961,-0.3901,0
Neg_1859,0.65763,-0.31896,0.11032,0.34598,-0.83564,0
Neg_1088,0.32397,0.25818,0.37405,-0.54893,-0.31352,0
Neg_448,1.11579,-0.74966,-0.4565,0.05213,-0.45119,0
Neg_2831,-0.40708,-0.3838,0.15773,-0.31766,0.79918,0
Neg_358,1.07016,-0.8856,-0.65689,-0.07707,-0.08884,0
Neg_2287,1.15194,0.32231,-0.08504,-0.7478,-0.75829,0
Neg_2597,0.02739,-0.12658,-0.76878,1.34032,-0.48756,0
Neg_2648,0.23972,-0.33061,-0.35853,0.45445,-0.1676,0
Neg_152,0.27915,0.6975,-0.4565,-0.50886,-0.01479,0
Neg_2086,-0.31629,-0.59973,2.39121,-0.08938,-0.81683,0
Neg_966,0.80592,-0.75502,-1.34312,-0.33018,0.75781,0
Neg_2081,-0.04224,-0.68495,-0.19844,-0.22153,0.76045,0
Neg_2579,1.02679,-0.44175,-0.42836,-0.64414,-0.02098,0
Neg_542,-0.63045,-1.28533,0.9199,0.88709,0.13576,0
Neg_270,-0.56879,0.27378,1.19374,0.41854,-0.68512,0
Neg_447,0.21275,-1.47323,0.8136,1.53919,-1.0677,0
Neg_2242,1.10935,0.01845,-0.63624,0.29091,-0.97488,0
Neg_1615,0.70212,-0.93457,1.44654,-1.02622,-0.32512,0
Neg_103,-1.29549,-1.07909,2.68328,0.08405,0.16616,0
Neg_1048,-0.23212,1.04053,0.29786,-0.05176,-0.54171,0
Neg_628,0.01701,0.46595,0.95425,-0.44154,-0.58502,0
Neg_2169,1.65085,-0.3458,-0.62567,-0.56974,-0.65755,0
Neg_599,0.10637,-0.06803,0.56898,-1.17148,0.46589,0
Neg_2490,0.19741,-0.916,1.0561,-0.14777,-0.2355,0
Neg_62,0.22923,-0.0767,0.00613,0.25759,-0.39732,0
Neg_1129,-1.50237,-0.19745,2.85865,-0.61958,0.28189,0
Neg_190,0.24698,-1.47323,1.40867,0.48366,-0.67499,0
Neg_1522,2.15681,-1.47323,0.63055,-0.07083,-1.72255,0
Neg_165,-0.6154,0.01845,2.09031,0.48366,-1.12482,0
Neg_1152,2.68739,0.21009,-0.76878,-0.6608,-1.90891,0
Neg_217,0.15714,0.21009,-0.46109,1.16631,-0.89366,0
Neg_1140,-0.50292,-0.77063,0.24792,-0.35439,1.10152,0
Neg_2378,1.01353,-0.75502,0.62605,-0.05176,-0.97488,0
Neg_1569,-0.38403,-0.68495,-0.01833,0.23684,0.64159,0
Neg_662,0.15714,-0.12658,2.30806,0.64428,-2.11196,0
Neg_688,-1.98737,1.75875,1.22277,0.60632,-0.26605,0
Neg_541,1.01353,0.68142,-1.01492,-0.60859,-0.32512,0
Neg_624,-0.23212,1.51934,-0.90552,-0.51579,0.32464,0
Neg_2108,0.45404,0.17015,-0.74792,-1.23149,0.87528,0
Neg_2808,0.4412,0.05541,0.19585,-0.08938,-0.55341,0
Neg_2794,-0.76219,-0.44175,-0.42836,0.68871,0.8085,0
Neg_2286,-0.64484,-1.08384,0.49161,0.21659,0.83349,0
Neg_373,0.57153,0.78568,-1.36429,-0.50082,0.21984,0
Neg_2612,0.1272,-0.23016,-0.10607,0.16241,-0.05022,0
Neg_937,0.11389,0.52182,-0.54086,0.8763,-0.75829,0
Neg_1345,-0.13002,0.38118,0.42161,-0.00612,-0.36773,0
Neg_2671,1.27362,0.48016,-0.53886,-0.20474,-1.1034,0
Neg_2855,1.32495,-1.47323,0.01442,0.26462,-0.70907,0
Neg_279,0.41497,-0.84363,-1.0405,0.83411,0.11368,0
Neg_706,-0.12474,-0.5445,0.71659,0.57228,-0.45955,0
Neg_2921,1.03896,0.50553,-0.79389,-0.67678,-0.33838,0
Neg_994,-0.71122,-0.64452,1.40867,0.80491,-0.42508,0
Neg_2453,2.74662,0.63458,-1.35739,-1.44384,-1.22913,0
Neg_2074,-1.34432,0.25818,0.63778,-0.54893,1.25287,0
Neg_1803,0.15714,-0.7999,0.46196,0.12225,-0.08146,0
Neg_653,0.65763,-0.54981,-1.57754,-1.08588,1.53133,0
Neg_1943,0.51957,-1.47323,-0.4717,-0.57979,1.10883,0
Neg_1283,0.46697,0.17574,0.11032,-0.1654,-0.53729,0
Neg_1383,1.32495,-0.8517,0.27261,-0.96197,-0.30013,0
Neg_325,-0.63832,-0.53643,-1.99951,-1.44384,3.43218,0
Neg_2702,0.39071,-1.093,0.25925,0.61972,-0.40156,0
Neg_2180,0.45991,-1.17398,-0.08504,-0.28377,0.50513,0
Neg_585,-0.76219,0.2459,1.14279,0.15557,-0.22835,0
Neg_2047,0.43046,-0.44175,-0.74259,-1.44384,1.43061,0
Neg_2392,-2.01164,-0.70371,1.51687,-0.84724,2.18109,0
Neg_919,2.10349,-1.47323,-0.76878,-0.39978,-0.48756,0
Neg_2566,-0.51205,-0.02066,-0.34009,1.79392,-0.62445,0
Neg_404,-0.23212,1.22008,0.95425,0.22666,-1.29976,0
Neg_953,0.11947,-0.6913,-0.09386,-0.43346,0.69144,0
Neg_1257,0.11947,0.35127,0.62076,0.37485,-1.03776,0
Neg_1680,0.29956,0.10334,0.52199,-0.52711,-0.30927,0
Neg_1098,-1.19032,-0.23016,2.54474,1.44741,-1.42471,0
Neg_1404,-1.12188,0.83532,1.51687,-0.84724,0.32464,0
Neg_79,0.54641,0.21009,1.07732,-0.39978,-1.09671,0
Neg_2483,0.22584,-0.04736,-0.69638,0.76711,-0.34423,0
Neg_2866,-1.19032,-0.23016,-0.86345,0.48366,1.57418,0
Neg_133,0.05098,0.17948,0.18224,-0.02012,-0.26605,0
Neg_1514,-1.88651,-1.47323,1.23117,5.60358,-2.31501,0
Neg_1790,0.50062,-0.04736,0.17237,0.76711,-1.20421,0
Neg_2219,0.36323,-0.28501,0.60675,-1.2596,0.37242,0
Neg_2758,-0.38403,-1.07909,1.24242,-0.6799,0.76045,0
Neg_621,0.92456,-1.01152,0.53228,-0.01199,-0.69641,0
Neg_904,1.32495,-1.47323,0.46196,1.68834,-2.11196,0
Neg_736,-0.93532,-0.95195,2.76462,0.17277,-0.40896,0
Neg_431,-0.69692,-0.26727,1.52737,0.05213,-0.16026,0
Neg_2469,-0.63395,0.61191,0.38255,0.57692,-0.40896,0
Neg_2895,0.81843,-0.69444,0.31368,0.06564,-0.69306,0
Neg_202,-0.38042,-1.21673,0.11032,-0.25063,1.25287,0
Neg_478,-0.59849,1.37851,0.60675,-0.33837,-0.34423,0
Neg_1929,0.11389,-0.2762,-0.35853,0.41227,-0.03634,0
Neg_1179,-1.7892,0.32231,-1.17902,0.64428,1.94904,0
Neg_116,0.32772,-0.74695,-0.34009,0.80852,-0.29592,0
Neg_2854,-0.54354,-0.26124,0.58503,0.12225,0.24342,0
Neg_2229,0.6937,0.27378,0.39543,-0.08938,-1.08024,0
Neg_301,0.32397,0.25818,-0.41714,-0.54893,0.20861,0
Neg_2264,-0.76905,-0.35876,0.2922,0.9323,0.10058,0
Neg_58,0.22584,0.42793,0.60675,-0.33837,-0.63089,0
Neg_37,-0.677,-1.01152,-0.73361,4.64155,-1.81028,0
Neg_1299,1.74961,-1.47323,3.37096,-1.44384,-2.03812,0
Neg_2238,-0.70602,-0.06803,0.56898,1.2798,-0.5935,0
Neg_1065,-0.11679,0.12281,-0.54086,0.25759,0.20431,0
Neg_2393,0.28079,-0.14242,0.60675,-0.11727,-0.51623,0
Neg_1063,-0.41008,0.37361,0.53228,-0.36995,0.13899,0
Neg_2681,-1.07379,-1.47323,-0.00373,0.92646,1.2905,0
Neg_1206,-0.04894,0.19029,-0.04482,0.58287,-0.48756,0
Neg_926,-1.87115,1.07833,-0.4449,0.53438,1.17958,0
Neg_1834,2.88202,-1.47323,-1.99951,0.64428,-1.29976,0
Neg_219,-1.63031,0.83532,-0.79389,0.60167,1.25287,0
Neg_1051,-0.70841,-0.33253,0.95425,-0.26467,0.51574,0
Neg_2732,-1.27017,-1.47323,1.28245,-1.44384,2.4905,0
Neg_22,0.39071,0.95075,0.95425,0.43547,-1.94952,0
Neg_2672,0.90029,-0.59178,-0.11984,-0.53266,-0.08884,0
Neg_1925,0.52742,1.0887,-0.55865,-0.98547,-0.07156,0
Neg_1046,2.14928,-0.99794,-0.69638,-0.70686,-0.63089,0
Neg_2602,-0.04894,-0.20579,-1.42034,-1.44384,2.23569,0
Neg_2626,-0.28318,-0.9434,0.90583,0.61005,-0.20795,0
Neg_664,0.22923,0.72132,-0.54086,-0.20644,-0.15666,0
Neg_1033,0.89042,-0.90952,-1.48432,-0.71543,1.15573,0
Neg_1541,0.76885,-1.08847,0.28614,0.04767,-0.37153,0
Neg_352,-0.92416,-1.47323,-0.35853,0.64428,1.58806,0
Neg_2763,-0.97359,-1.21673,1.04802,1.53919,-0.13947,0
Neg_2198,1.16008,0.0477,-0.262,-1.00165,-0.2869,0
Neg_260,0.54641,-1.47323,0.46196,1.68834,-1.29976,0
Neg_743,-0.16587,-1.12941,-0.42836,-0.9107,1.84535,0
Neg_1798,-1.30261,1.05175,2.15421,2.07987,-2.31501,0
Neg_805,0.84585,-0.43734,-1.62082,-0.31947,0.6995,0
Neg_2446,0.37061,0.78568,0.22375,-0.3661,-0.72336,0
Neg_1456,-1.87115,-0.62271,1.88702,-0.78444,1.69255,0
Neg_853,0.65763,-1.47323,-0.94459,-0.54893,1.25287,0
Neg_1866,-1.01066,-0.66524,1.32347,0.43547,0.24342,0
Neg_1972,0.15714,-0.73869,1.02138,-0.30487,-0.1553,0
Neg_1250,0.29728,-0.34204,0.06812,-0.19097,-0.00024,0
Neg_2893,-0.4628,-0.47571,1.10011,0.10292,-0.03634,0
Neg_415,0.2869,-0.12658,-0.76878,-0.05176,0.32464,0
Neg_2440,0.71566,-0.77063,1.2111,-0.35439,-0.80538,0
Neg_1947,1.1834,-0.49385,-1.10443,0.45445,-0.5614,0
Neg_2296,2.06251,-0.19745,0.13808,-1.11414,-1.25701,0
Neg_1491,-0.73039,0.14276,0.65887,0.31018,-0.00024,0
Neg_1592,0.30312,-0.21074,-1.07646,0.51377,0.12159,0
Neg_833,-0.75115,0.02305,1.82944,-0.51579,-0.03634,0
Neg_2254,-1.59456,-1.47323,2.61574,0.9053,0.12159,0
Neg_2786,0.43801,-1.47323,0.80469,0.45926,-0.45672,0
Neg_1307,0.14157,0.03502,0.56042,0.22666,-0.71497,0
Neg_1022,-0.79833,1.46493,0.01442,0.26462,-0.26605,0
Neg_2289,-0.06379,-0.59973,1.19374,1.60369,-1.60708,0
Neg_2564,-0.82129,-0.16297,-0.40288,0.92646,0.50025,0
Neg_1131,0.00028,-0.26727,1.08651,-0.88285,0.13068,0
Neg_2814,0.32397,0.54675,-0.68087,0.34598,-0.48756,0
Neg_2346,-0.93532,-0.43066,0.38255,0.17277,0.84864,0
Neg_2538,0.88702,-0.21074,-0.15341,0.31801,-0.94442,0
Neg_503,0.54641,-1.47323,1.28245,-0.39978,-0.21683,0
Neg_614,1.20517,-0.64452,-0.48476,-0.15884,-0.42508,0
Neg_2227,0.85783,-0.66524,-0.52263,-0.81741,0.48708,0
Neg_1977,0.03867,1.33718,-0.92931,-0.71754,0.32464,0
Neg_1151,0.20649,-0.10761,0.70464,0.32077,-0.86506,0
Neg_2315,0.95125,0.46595,0.65887,0.05961,-1.75459,0
Neg_1180,-0.73588,-0.28501,1.04113,-0.52261,0.65907,0
Neg_308,0.29956,0.10334,1.60264,-0.52711,-1.02242,0
Neg_1426,0.15714,-0.60752,0.11032,-0.77266,0.73074,0
Neg_12,1.41837,0.46595,-0.37494,-1.06798,-0.68249,0
Neg_506,-0.94393,-0.0881,-0.10066,-0.36995,1.3921,0
Neg_136,-0.23212,-0.8517,-0.6741,0.80491,0.57455,0
Neg_378,-2.37981,-0.35876,-0.4717,2.44439,1.10883,0
Neg_2058,0.80592,0.32231,-1.17902,-0.39978,0.05391,0
Neg_2336,2.0436,-0.23016,-1.43148,0.48366,-1.42471,0
Neg_2220,0.23862,-0.15789,-0.28221,0.30435,-0.20423,0
Neg_262,-0.90911,-1.47323,-1.99951,-1.44384,4.27969,0
Neg_1888,-0.51017,0.25818,-0.41714,0.79343,0.03457,0
Neg_2552,0.13425,-0.83951,0.02758,0.27579,0.13353,0
Neg_1340,-0.13481,0.37842,0.46196,-0.53029,0.02006,0
Neg_1753,1.21102,-1.07909,0.52199,0.38963,-1.26014,0
Neg_941,0.4491,-0.29491,-0.46109,-1.18283,0.93379,0
Neg_689,1.32495,-0.31896,0.46196,-0.54893,-1.0677,0
Neg_403,1.41837,-0.18044,-0.37494,-0.56683,-0.68249,0
Neg_2524,-0.14315,0.60447,1.37622,-0.36995,-0.83564,0
Neg_1006,1.32495,1.31296,-1.49024,-0.36378,-0.90766,0
Neg_89,-0.677,0.25818,1.16523,-0.54893,0.20861,0
Neg_1956,1.84397,0.0658,-1.53066,-1.04611,-0.13947,0
Neg_2723,0.51957,0.75572,-0.98097,-1.22783,0.60471,0
Neg_34,0.27016,-0.17002,0.38255,0.17277,-0.56616,0
Neg_757,-0.76905,-0.35876,1.56537,-0.14777,0.10058,0
Neg_1170,-0.59849,0.42793,1.4755,0.76711,-1.20421,0
Neg_1405,0.41349,1.67992,-0.55865,-0.6799,-0.54699,0
Neg_1634,0.03634,-0.916,1.31074,0.50027,-0.73962,0
Neg_835,0.12103,-0.14046,0.13207,-0.28138,0.09019,0
Neg_1809,-0.95369,-1.27616,1.96285,-0.83268,1.11703,0
Neg_296,1.12757,-0.33521,-0.54343,-0.738,-0.04142,0
Neg_1989,-0.41318,0.21792,0.74817,0.30435,-0.43089,0
Neg_636,0.04165,-1.11807,-0.21427,-1.03081,1.57418,0
Neg_1350,0.12999,-0.72161,-0.62567,0.88709,0.02243,0
Neg_160,1.32495,-1.47323,-0.76878,-0.39978,0.32464,0
Neg_1524,1.21102,-1.07909,0.16178,-0.52711,-0.30927,0
Neg_836,-0.77233,0.17574,-0.94459,2.51933,-0.63674,0
Neg_1885,0.06731,-0.23016,-0.29542,0.00178,0.26216,0
Neg_1723,-0.0716,0.69253,-0.17244,-0.02306,-0.21124,0
Neg_1139,-1.37252,-0.79042,2.36873,1.73246,-1.00233,0
Neg_531,-0.29982,0.63458,-0.07314,0.46271,-0.38162,0
Neg_131,0.39071,1.04053,-0.68673,-0.19097,-0.43341,0
Neg_226,0.29364,0.83532,-0.27329,0.18327,-0.77236,0
Neg_2031,0.67617,-0.7999,0.25683,-0.22577,-0.21683,0
Neg_1050,-0.72383,-0.62271,0.33241,0.31458,0.66662,0
Neg_2215,-0.831,-0.8517,0.84064,-0.48009,1.19931,0
Neg_1008,0.59832,-0.75502,-0.35853,-0.33018,0.32464,0
Neg_755,-1.37944,-0.62271,0.33241,0.53438,1.17958,0
Neg_1309,0.21275,-0.70371,2.22015,-0.25063,-1.0677,0
Neg_1348,-1.27017,0.02305,1.55594,1.10831,-0.5778,0
Neg_2829,1.32495,-0.57546,-1.99951,-0.05176,0.32464,0
Neg_1281,0.57153,-0.95195,0.38255,-0.23138,-0.09456,0
Neg_2879,-2.10061,-0.39591,2.92342,-0.60859,0.9744,0
Neg_2182,-0.00968,-1.28085,-0.0655,0.49513,0.44067,0
Neg_513,-0.03121,0.61191,-0.09386,-1.03969,0.53424,0
Neg_2222,0.47564,-1.47323,-1.3282,1.4036,0.17697,0
Neg_2348,0.78178,0.40582,-1.31259,-1.44384,0.92907,0
Neg_549,2.32592,-0.89609,0.63778,-1.44384,-1.18373,0
Neg_2669,-1.7355,2.98467,-0.4717,-0.57979,0.77275,0
Neg_1248,-0.07642,-0.66524,1.2004,0.43547,-0.65,0
Neg_19,-0.677,0.32231,0.11032,1.14145,-0.44888,0
Neg_1763,0.18871,-0.59973,-0.40288,-1.10523,1.2905,0
Neg_2832,0.22584,-1.47323,0.60675,1.5041,-0.91755,0
Neg_1992,-1.52631,-0.42389,-0.65689,-0.14215,2.39205,0
Neg_2675,-0.69692,0.93869,0.20479,-0.32187,0.27615,0
Neg_203,-0.86766,0.83532,0.26102,-0.1654,0.35779,0
Neg_2314,-0.42676,-0.05924,0.21581,0.59208,-0.12207,0
Neg_460,-1.37252,-0.79042,0.70464,0.32077,1.19403,0
Neg_248,0.71566,-1.29758,-1.19686,-1.17148,1.73716,0
Neg_418,-0.39603,-0.83534,-0.63923,-0.45473,1.69255,0
Neg_1007,1.22962,-0.31896,-0.19108,-0.03755,-0.9351,0
Neg_2178,1.71422,1.22008,-1.07646,-0.92181,-1.09671,0
Neg_537,0.74105,0.54675,0.30812,-0.46503,-0.94442,0
Neg_97,-0.38403,-0.88202,0.34189,-0.6799,1.23589,0
Neg_1719,0.42664,0.70214,1.40867,-0.96197,-1.04985,0
Neg_1777,0.11947,-0.43066,-0.33206,0.57692,-0.09456,0
Neg_771,-1.22299,0.17948,1.69269,-0.73198,0.61998,0
Neg_2070,0.20386,0.46595,-0.81801,-0.44154,0.38961,0
Neg_1418,-0.45143,-1.47323,0.28861,-0.38508,1.46858,0
