,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,y
peptide_nm_1,-1.34184,0.64656,1.18552,1.09445,-0.5586,-0.68665,-0.81602,-1.44572,-0.60849,0.64478,-1.99301,0.13784,-0.55316,-1.11359,1.00738,0.69228,1.86938,-0.71188,-0.69549,-1.30882,0
peptide_nm_2,-1.34184,0.64656,-0.76643,1.09445,-0.5586,1.28645,-0.81602,-1.44572,2.58693,0.64478,-0.04018,0.13784,-0.55316,0.7568,1.00738,-1.13441,-0.95204,-0.71188,-0.69549,-1.30882,0
peptide_nm_3,0.96142,0.64656,-0.76643,-0.8251,1.79018,1.28645,0.90502,2.69666,1.52179,0.64478,-0.04018,0.13784,-0.55316,-1.11359,1.00738,-1.13441,-0.95204,-0.71188,-0.69549,1.58026,0
peptide_nm_4,0.38993,-0.96082,1.18552,1.09445,-0.5586,1.28645,0.90502,1.78689,-0.60849,-1.2963,-0.04018,0.13784,1.62389,-1.11359,1.00738,0.69228,0.92891,1.32246,-0.69549,0.61723,0
peptide_nm_5,0.38993,-0.96082,1.18552,1.09445,-0.5586,1.28645,-0.81602,-1.44572,1.52179,0.64478,-0.04018,0.13784,1.62389,-1.11359,-0.91026,0.69228,0.92891,-0.71188,1.39399,-1.30882,0
peptide_nm_6,0.38993,0.64656,1.18552,1.09445,-0.5586,2.60843,0.90502,-1.44572,2.94907,-1.2963,-0.04018,0.13784,1.62389,0.7568,1.00738,-1.13441,-0.95204,1.32246,-0.69549,1.90769,0
peptide_nm_7,0.38993,0.64656,1.18552,-0.8251,-0.5586,1.28645,0.90502,0.48997,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,-1.13441,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_8,-1.34184,0.64656,1.18552,1.09445,-0.5586,-0.68665,0.90502,0.48997,-0.60849,0.64478,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_9,-1.34184,0.64656,-0.76643,1.09445,1.79018,-0.68665,-0.81602,0.48997,-0.60849,-1.2963,0.52614,0.13784,-0.55316,-1.11359,-0.91026,0.69228,-0.95204,-0.71188,1.39399,0.61723,0
peptide_nm_10,0.38993,0.64656,-0.76643,1.09445,1.79018,-0.68665,-0.81602,-1.44572,-0.60849,-1.2963,-1.99301,1.84782,-0.55316,0.7568,-0.91026,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_11,-1.34184,-0.96082,1.18552,-0.8251,-0.5586,1.28645,-0.81602,0.48997,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,0.69228,0.92891,-0.71188,2.22978,-1.30882,0
peptide_nm_12,0.38993,0.64656,1.18552,1.09445,-0.5586,-0.68665,0.90502,0.48997,1.52179,-1.2963,-0.04018,0.13784,1.62389,0.7568,-0.91026,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_13,0.38993,0.64656,-0.76643,1.09445,-0.5586,1.28645,0.90502,1.26425,1.52179,-1.2963,-0.04018,0.13784,-0.55316,0.7568,1.00738,0.69228,1.68129,-0.71188,-0.69549,0.61723,0
peptide_nm_14,0.38993,-0.96082,1.18552,1.09445,-0.5586,-0.68665,0.90502,0.48997,-0.60849,-1.2963,-0.04018,0.13784,1.62389,-1.11359,1.00738,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_15,0.38993,-0.96082,1.18552,1.09445,-0.5586,-0.68665,-0.81602,3.72258,1.52179,-1.2963,-1.99301,0.13784,-0.55316,0.7568,1.00738,-1.13441,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_16,-1.34184,-0.96082,-0.76643,1.09445,-0.5586,1.28645,0.90502,0.48997,1.52179,0.64478,-0.04018,-1.36215,-0.55316,-1.11359,1.00738,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_17,1.8273,-0.96082,1.18552,1.09445,-0.5586,1.28645,0.90502,0.48997,2.94907,0.64478,-0.04018,0.43783,1.62389,0.7568,2.10043,1.00282,0.92891,1.32246,1.39399,0.61723,0
peptide_nm_18,-1.34184,-0.96082,1.18552,1.09445,1.79018,1.28645,0.90502,0.48997,-0.60849,-1.2963,0.93623,-1.36215,-0.55316,-1.11359,-0.91026,0.69228,-0.95204,-0.71188,1.39399,-1.30882,0
peptide_nm_19,1.08264,0.64656,1.18552,-0.8251,-0.5586,1.28645,0.90502,-1.44572,-0.60849,0.64478,-0.04018,0.88783,1.62389,-1.11359,1.00738,-1.13441,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_20,0.38993,0.64656,2.49332,1.09445,-0.5586,-0.68665,0.90502,0.48997,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,1.00738,-1.13441,-0.95204,-0.71188,1.39399,0.61723,0
peptide_nm_21,0.38993,-0.96082,1.18552,-0.8251,-0.5586,-0.68665,-0.81602,0.48997,-0.60849,-1.2963,-0.04018,-1.36215,1.62389,-1.11359,-0.91026,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_22,0.38993,-0.96082,1.18552,1.09445,-0.5586,-0.68665,-0.81602,1.45782,-0.60849,0.64478,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,0.69228,0.92891,1.32246,-0.69549,0.61723,0
peptide_nm_23,0.38993,-0.96082,-0.76643,2.38055,-0.5586,-0.68665,0.90502,0.48997,-0.60849,-1.2963,-1.99301,0.13784,-0.55316,0.7568,-0.91026,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_24,0.38993,0.64656,-0.76643,-0.8251,-0.5586,1.28645,0.90502,-1.44572,-0.60849,0.64478,-0.04018,-1.36215,-0.55316,0.7568,-0.91026,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_25,-1.34184,0.64656,-0.76643,1.09445,-0.5586,-0.68665,-0.81602,-1.44572,-0.60849,-1.2963,-1.99301,-1.36215,-0.55316,-1.11359,1.00738,-1.13441,-0.95204,-0.71188,1.39399,-1.30882,0
peptide_nm_26,-1.34184,-0.96082,1.18552,1.09445,-0.5586,-0.68665,0.90502,-1.44572,-0.60849,0.64478,-0.04018,-1.36215,-0.55316,0.7568,-0.91026,0.69228,-0.95204,1.32246,1.39399,0.61723,0
peptide_nm_27,-1.34184,-0.96082,-0.76643,1.09445,-0.5586,1.28645,-0.81602,0.48997,-0.60849,0.64478,-1.99301,0.13784,-0.55316,0.7568,1.00738,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_28,0.38993,-0.96082,1.18552,1.09445,-0.5586,-0.68665,-0.81602,0.48997,-0.60849,0.64478,-0.04018,0.13784,1.62389,-1.11359,1.00738,0.69228,-0.95204,-0.71188,-0.69549,1.58026,0
peptide_nm_29,0.38993,0.64656,1.18552,1.09445,-0.5586,1.28645,0.90502,-1.44572,-0.60849,0.64478,-0.04018,1.14283,-0.55316,-1.11359,-0.91026,0.69228,0.92891,-0.71188,1.39399,-1.30882,0
peptide_nm_30,1.55022,1.7235,2.49332,1.09445,1.79018,-0.68665,-0.81602,0.48997,-0.60849,-1.2963,-0.04018,-1.36215,-0.55316,0.7568,1.00738,-1.13441,0.92891,-0.71188,1.39399,-1.30882,0
peptide_nm_31,0.38993,0.64656,-0.76643,1.09445,1.79018,-0.68665,-0.81602,0.48997,-0.60849,1.42121,-0.04018,0.73783,-0.55316,0.7568,1.00738,1.60563,1.86938,-0.71188,1.39399,0.61723,0
