,Ez__1,Ez__2,Ez__3,Ez__4,Ez__5,Ez__6,Ez__7,Ez__8,Ez__9,Ez__10,Ez__11,Ez__12,Ez__13,Ez__14,Ez__15,Ez__16,Ez__17,Ez__18,Ez__19,Ez__20,Ez__21,Ez__22,Ez__23,Ez__24,Ez__25,Ez__26,Ez__27,Ez__28,Ez__29,Ez__30,y
Neg_446,0.22274,0.63721,0.39645,0.3373,0.3731,0.79141,0.82193,0.43528,0.65115,0.64576,0.96546,0.72771,0.75293,0.98553,0.54763,-0.85765,-0.69862,-0.52091,-0.46688,-0.40529,-0.42035,-0.46886,-0.32955,-0.25098,0.00338,-0.25301,-0.24066,0.08529,-0.0146,0.17203,0
Neg_2228,-0.43345,-0.17865,0.69315,-0.10275,0.34771,0.01773,-0.0255,-0.39178,-0.25138,-0.36164,-0.2439,-0.10404,-0.39227,-0.27928,-0.56099,0.19149,0.18834,0.3274,0.40583,0.48251,-0.22131,-0.10175,-0.11725,0.06303,-0.11008,-0.31526,-0.38543,-0.26111,-0.09137,-0.32939,0
Neg_2386,0.6883,1.54204,0.92557,0.56079,0.49802,1.23324,1.20469,1.19794,0.96926,0.95703,1.6476,1.41708,1.3264,0.99042,1.00373,-1.14946,-1.05644,-1.05048,-0.91631,-0.82862,-0.90327,-0.92973,-0.94073,-0.74425,-0.637,-0.77694,-0.59013,-0.66266,-0.61243,-0.38347,0
Neg_2835,2.2114,-0.36807,1.1492,1.48373,1.7031,1.15228,1.55162,1.39534,1.49705,1.08523,0.67792,1.80848,1.46481,1.21681,1.078,-0.70771,-0.61107,-0.6189,-0.66546,-0.68543,-0.71318,-0.79517,-0.73338,-0.66432,-0.78512,-0.59365,-0.96595,-0.72598,-0.69151,-0.90544,0
Neg_2149,-0.59776,-0.78647,-0.87468,0.00913,-0.7114,-0.46561,-0.21967,-0.41514,-0.27613,-0.29934,-0.31331,0.12107,-0.01245,-0.3895,-0.34157,0.06059,0.09517,0.08391,0.0529,0.12696,1.12359,1.05175,1.04546,0.96226,1.28563,1.50341,1.44556,1.38082,1.34807,1.49845,0
Neg_2248,1.11768,0.2617,0.14238,1.7434,-0.7927,0.95227,0.84017,0.87595,0.49103,0.99709,0.93139,1.12905,0.93796,0.30841,1.11946,-0.56337,-0.42522,-0.54059,-0.51419,-0.67999,-0.84885,-0.69388,-0.97098,-0.74588,-0.75412,-0.76004,-0.84591,-0.92834,-0.60781,-0.83829,0
Neg_2739,0.18393,-0.24511,-0.06737,0.19073,0.01396,0.21117,0.22421,0.19306,0.18386,0.21267,0.45895,0.08285,0.51466,0.69428,0.4849,-0.55951,-0.5871,-0.63497,-0.51618,-0.63612,-0.00388,-0.03666,-0.08456,-0.03683,0.18245,0.38415,0.37677,0.17701,0.23671,0.32805,0
Neg_2580,-0.78973,-0.62625,0.20704,0.68191,-0.51993,-0.02152,0.22681,0.07365,0.47644,0.13054,-0.0655,-0.0413,0.31771,-0.20241,0.2544,0.11959,-0.28862,0.0094,-0.12107,-0.28886,-0.43756,-0.44877,-0.2482,-0.4449,-0.68134,-0.6057,-0.40576,-0.49701,-0.60478,-0.65724,0
Neg_2765,-0.68285,-0.27427,0.17534,-0.75552,-0.34025,0.04108,-0.31896,-0.34718,-0.35994,-0.25745,-0.19071,-0.3742,-0.30696,-0.34324,-0.03008,-0.42198,-0.35103,-0.35421,-0.35358,-0.25218,0.30171,0.34519,0.23266,0.35409,0.48478,0.92715,0.54773,0.61281,0.74872,0.46806,0
Neg_939,1.31306,0.66105,1.38409,0.1532,0.04723,0.38633,0.7406,1.18489,1.00522,1.31408,0.13231,0.77536,1.00798,0.72759,0.68333,1.23937,1.26794,1.13778,1.10559,1.06111,-0.06134,-0.15052,-0.41976,-0.30614,-0.28071,-0.60718,-0.92733,-0.91439,-0.7602,-0.92767,0
